Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P13016	11801500	11065500	10635300	10295800	10822700	11641400	11404900	9697830	7766150	9826270	11856300	13263000	10979100	9805320	9430680	11149900	10293300	8385350	10646900	9078680	10789000	10000200	9267390	10613700	57559.7	63957	54436.3	68250.5	65418.8	62517.6	60825.5	59386.5	63517	57829.5	59833.6	65937.5	52448.5	57730.5	42731.7	53307.3	51865.8	50235.9	44951.9	45412.8	47728.8	49349.5	50166.1	5834630	4980810	5252120	4037780	5562210	4953890	4409770	5061120	5090410	4931930	4858650	4526680	4254550	4424130	3849780	4239130	3802470	4308810	4087840	4116560	3708310	4370490	4186920	2109990	1931220	2147230	1939030	1847480	2173240	1949970	1721880	1687090	2186220	1633770	1663590	1750170	1591680	1683880	1758020	1715050	1811840	1651080	1636240	1928620	1981780	1676720	1705420	663703	906397	834855	669653	775827	815888	884793	879987	889888	812195	802359	927188	819301	830728	685620	703911	664863	682790	704702	632202	716404	609260	713862	630209
P19636	6044500	5971640	4522120	4278370	5743280	5167010	5535750	5275160	5573950	6159080	5382640	3441230	6522290	6187270	4398630	4174560	4312700	3836640	3895240	4209660	4441940	4211950	4214170	4257940	76614.4	95500	79465	93531.4	93595.8	87531.1	98763.3	74424.5	82916.6	94822.2	88378.1	97817.8	54519.5	66094.3	64240.1	70418.2	64841.9	54776.4	59373.2	64157.9	79581.2	65555.4	65583.2	3420430	3345210	3584830	2667980	3861330	3246680	2663420	3553480	3347820	3392930	3303010	1973260	2061280	2375440	2272330	2256340	2182630	2371850	2211640	2404310	1790850	2143660	2031130	3174730	2888940	2984710	2901860	2748930	3316750	2992790	2763880	2707240	3130400	1944550	1927440	2155040	2021210	2031070	2087420	1930460	1897390	1883010	1947910	2770370	2929050	1909120	1879010	397394	687465	662765	352831	577551	582968	651264	640960	657911	625612	577968	625123	688276	583126	428478	439762	387848	384207	411787	466895	500083	388201	420264	398936
P77522	13907300	14119100	13657200	15311400	11060800	11309000	20517600	15477600	10963200	13640400	13839400	10597800	15746200	14439500	14282600	12666900	13906100	13715900	17336100	18001600	19361100	15437900	12276400	19809600	70933.2	71769.4	87865.1	71458.1	80540.4	73676.3	62039.7	89524.2	82986.8	74132.3	78440.1	64560.3	73633.6	86338	91761.9	91380.7	78522.2	67533.5	73722.8	86171	93038.1	97779.7	84260.8	2636960	2871020	3099590	4746580	2778500	3203710	4062470	3228040	3854630	3186010	3486700	3973310	4883440	4417710	3867850	4183180	5185640	4403440	4074010	4480140	4581220	3678440	4311430	1968900	2583280	1849530	2489760	2602060	1780920	2788560	3044090	2986120	1926480	2374860	2326420	2211790	2464890	2282860	2547520	2551380	2589830	2611780	2192200	2321060	2438570	2185690	2470840	1423600	1252800	1274530	1142310	1088650	1470110	1392750	1492420	1629100	1473350	1507430	1080850	1084480	1281660	1167100	1451980	1415300	1305170	1196750	1500870	1190160	1625210	1256950	1556960
P0A884	17465000	17897600	19472100	20285800	17292600	17616300	19092100	16968100	13359800	16718900	18283200	12121500	18753800	19098100	19125300	19479700	20382400	16757000	20723900	19645000	20641000	20076700	19088500	19758200	232449	290224	254949	259659	247434	282503	304363	248637	299325	303529	265495	252189	323758	303723	290850	303510	274090	319059	274923	291679	288413	284497	290080	7558870	7447570	8898960	6842070	9490140	8024980	7047790	8480360	7574440	7425350	7907420	9152140	9119260	9209680	9469400	9465420	8825760	9629360	9696620	9237400	8006580	9497200	9568580	4242000	4308720	4129080	4284520	4096530	4261770	4134770	3765270	4123300	4053450	4296720	4221060	4651460	4421660	4124050	4357930	4103540	4298350	4203460	4203960	4117430	4194440	4322860	4122670	2609620	2431510	2491990	2527680	2233500	2318650	2453680	2403600	2397010	2315660	2373930	2349880	2305840	2344620	2475650	2561670	2508780	2496320	2392050	2489080	2588560	2570310	2459670	2447030
P41052	6862900	6829630	6133770	7029980	5626010	6329390	7561790	7534260	5855940	7257530	7361400	8916060	7213920	7746650	6386780	6134110	6869100	6441250	7459570	6613510	7235460	6700330	6344270	7314330	39460.5	34528.7	41672.6	33256	40493	42248.1	27944.5	41084.5	40155.1	32155.9	36639.6	42658.5	23131.9	41555.5	42048.3	39403.3	41831.9	23139.2	24509.9	39231.7	36494.5	34778.6	30207.2	1646150	1718730	1654580	2017220	1679110	1789440	2016940	1742320	1578330	1647350	1795980	1488680	1646650	1832150	2204950	1927970	1988630	2028640	1902140	1930370	1172750	1700820	1862230	718428	861317	845925	879890	806760	764319	763144	897829	909165	798742	919315	937041	874924	796047	921511	893796	999812	978333	894769	846620	924590	893349	957939	906496	766675	726052	728748	715456	763704	638265	775167	775923	759626	602995	702534	545783	688545	676140	814634	772959	794872	755430	805129	765394	714401	760266	780178	728422
P0A7I7	44693300	38424800	39992500	37022200	35557300	38734400	38531900	33328400	28496300	36061200	41232800	48556300	37747600	29495700	38074000	40444600	39832800	34035700	40072500	37222200	41271500	39638400	35570800	39703100	120565	136495	109747	131493	124901	131520	81942.9	116674	130183	69226	119302	146100	71573.5	138416	118592	114763	143216	62063.8	52626.1	108839	132601	109692	101572	17680600	14942300	15353600	12068800	16342200	15677700	13272100	14123600	15190700	14268300	14165800	15668800	14056800	13222200	11363500	12098200	11034600	12650400	12117000	13937000	12918000	12885100	12636700	10652500	10428900	11361500	10736400	9598870	11120300	10054700	9627340	9220310	11280100	10356600	9988370	11222000	10629000	10670200	10564400	10432500	10551400	10585200	10348000	9955590	10347900	10190200	10835500	2409620	2941710	2836790	2541380	2835010	2932170	2826680	2936940	2812610	2846520	2642760	2649580	2867840	2660430	2612780	2394050	2569950	2432340	2431810	2540280	2478210	2493370	2420930	2575030
P69503	26483300	23018700	27350800	31095100	26669100	26807700	26768800	25689400	23423800	25541200	29593400	34950900	30391200	25768100	32543600	36720500	29313700	33822000	36244500	34017000	37960600	35641200	33018300	40546600	359088	378120	378405	378046	386892	401841	295679	364490	368656	245838	383769	439941	374462	591165	531502	537374	660700	270946	284496	454950	494927	466158	442231	33348600	28093200	28954200	36244800	26630600	30831900	34510400	20084500	30892000	31073700	27750900	33607800	31039600	28875300	29985900	30340200	25634100	27937300	29803800	31840900	33516400	27982800	31697700	8091460	9301190	10627900	9805030	8878280	9362690	8940960	9575790	8541540	9545460	11946400	12752800	13450400	11361300	13100100	12780500	12076400	12336900	12629500	12537400	10067800	9852760	12035700	12389800	7167230	5858560	6194870	6966280	5417760	6295930	5929130	6121510	5977350	5839910	5688170	4657970	5684340	6323890	7226900	7672280	7588540	6967950	7391650	7567510	7549660	7353360	6961480	7315510
P64534	21390800	21387000	16711600	15298300	20035900	16747900	23840700	21325400	21668800	21027600	20833900	31648300	22326000	21371700	17152300	17002800	17658000	16352700	15784500	17395600	17738900	16036400	16044300	16912400	305867	479090	377662	469457	449609	421832	426164	378237	437979	434929	486536	455130	383662	394180	388939	389035	427294	376475	355975	310699	393028	382096	360724	17090600	13109600	10978500	17639400	10229700	14705500	17939800	7585410	16362200	13654500	12489300	7617970	5904500	7145850	7284670	7428230	5466330	7553430	7208190	6715910	6917350	6657940	7706460	5385910	5627900	6426760	5500720	5562760	5513350	6141800	6354040	6460260	5515290	4608250	5108700	5191420	4255210	4653630	4922650	4988860	4435780	4614910	4569470	5281760	5602380	4154430	4803130	1021800	1607450	1542050	973628	1508940	1972230	1491830	1710640	1785220	1797450	1900800	1349550	1380350	1661310	1113120	1145940	1234620	1019190	1017940	1074180	1054270	1021740	1007330	1011770
P25889	8713140	8924950	3053620	3051900	15542400	11290400	3771660	8989710	24190500	9083830	8878270	5191860	7847800	10945500	2855010	2115800	2364700	2591930	1668650	3984230	2728270	3635670	3624520	1644770	67678.3	58655.2	57166.7	77976.2	59401.1	126168	60977.2	47917.1	34728.9	86948.9	66592.8	106006	13121.3	15482	15710.5	5877.92	10704.5	4242.22	12591.4	26271.6	22300	10130.8	14447.4	7292400	6419250	4448640	1024690	13894200	4728850	1229490	9520590	2735710	3846930	3449270	688316	241491	392680	469468	330204	467007	726966	656586	1321700	582421	996018	759131	4410510	1419710	3368980	1284390	1328460	4901900	1140810	1009980	1075460	5121040	195930	107140	218043	197349	274071	614915	445474	366084	626230	507003	2114770	2027440	564943	423571	864045	1096660	923569	415435	1504820	622156	946461	981753	632619	598453	748258	1367380	2674570	802443	605875	NA	NA	NA	819498	815315	881944	699168	657507	NA
P0A901	13480300	15812200	9255110	9962220	15426600	17488600	20460000	16648600	13857700	15934000	16574400	22124000	16566900	17004500	9292580	11015500	10799600	11379200	12188200	11242200	11250700	9789860	10112500	11384400	74327.3	58989.9	72454.9	45325.4	73497.5	59833.9	54766	72193.8	67298.7	40750.9	73484.4	56441.4	26025.6	56845.4	57439.7	50115.9	48347.9	33371.3	21444.4	44578.2	50031.8	37169.5	42510	4486520	4352920	5643460	5503620	5175630	4889170	6265660	4893800	5678100	5336670	5618560	4209810	4425710	4633710	4798150	4751290	4508080	4580760	4531820	4274270	3990360	3699220	4279790	2083850	2575150	2163030	2529950	2642600	2133590	2515840	2746000	2637310	2006350	1724370	1726330	1803970	1778080	1756610	1837060	1671310	1769370	1462450	1477650	2545040	2277960	1450790	1633290	875205	1298190	1242450	771735	1256430	1260210	1405730	1293820	1451810	1385350	1327800	1187660	1191770	1270560	883010	789556	909654	911500	965582	809116	877069	950745	888333	930452
P0A756	27907200	20736200	26032400	28543400	23280700	19644000	17699100	24195700	25250600	25566600	20769700	24809800	22524400	26656600	27352000	28027400	27121100	33200500	31124300	24225500	28628200	22277600	22703500	26432000	14236.8	17658.1	15575.5	17681.2	15406.2	14680.8	19321.8	17352.9	16775	20003.9	15809.7	15420.7	17972.8	15591.6	17438.8	16173.5	16226.8	18074.7	17600.9	19466.9	15863.8	22196.4	13967.7	441877	483992	663704	475911	571791	579369	428917	571411	556016	529134	489754	432133	468143	571766	564160	650178	514204	614093	593760	584493	444071	490607	419791	381472	365897	346633	347016	372221	371785	347903	369181	359540	393206	402062	401452	481189	390142	377686	432988	348130	394868	367903	337868	354904	365082	346779	362138	177248	115678	75562.7	108170	124284	99917.6	105491	99345.2	107943	78713.7	101382	110449	113842	103859	121067	138087	118546	141350	124159	122479	101761	116557	114850	137211
P33920	16208900	15643800	15746200	15996500	16258800	16929600	15524900	14584300	13589800	15490600	15954700	9830200	15704100	15265600	15103000	15340800	15769700	15899900	15888800	15202800	16560500	15677800	16281700	15680100	132657	170404	147007	146454	151052	157649	157540	150578	160051	127926	130258	155786	132034	155912	138098	147726	146196	134507	121675	145310	135528	137709	132362	5959800	6828680	7524240	6633970	7319300	6784320	6890430	6311420	6950500	6843800	7132400	6253560	6136810	7392330	7432530	7826930	6948370	7988800	7528320	6900530	5451060	7719260	8007790	3387090	3583640	3481850	3534910	3333630	3365330	3336470	3405730	3484820	3339440	3436640	3519490	3476920	3415820	3482940	3541100	3298850	3239710	3328060	3286260	3369020	3567870	3419820	3286520	5914840	5566000	5966010	5953820	6037450	5094430	6083010	5696000	5532000	5121550	5133140	6206720	5272980	5465140	5980650	5945220	6064050	6196680	5933640	5864030	6201910	6027790	5951270	6041940
P0AA53	122687000	112948000	84108400	85166200	121939000	148687000	122375000	118846000	115537000	120862000	116930000	63590700	117632000	115042000	92987600	94903800	91771700	85571900	89474000	89830500	90294700	87792400	91245900	85585200	86947.2	94901.5	94293.3	83738.5	87834.1	91578.7	77882	79225.4	80837.7	81966.6	86370.6	85116.5	46230.7	66142.6	61071.7	65224.5	68491.8	37508.6	38785.6	58438.1	59907	54125.6	49227.5	6927990	6760880	7015340	6650920	9528420	6792710	6341250	8340790	6492690	8071210	7434770	4284740	4009590	5407360	5471730	4927010	5247930	4632680	5117270	5085040	4417670	4926040	5024700	4809790	4628360	4715820	4936540	4784450	5095320	4613960	4677200	4776010	4909500	3284040	3192590	3499490	3441450	3261730	3491710	3373540	3194430	3455370	3456360	5010890	4991510	3357870	3265240	911899	1373760	1230940	972557	1519280	1102280	1322650	1313510	1190490	1142800	1113330	1369600	1308330	1246590	928626	914088	906872	927828	916740	943438	908053	966898	942994	872431
P60664	33616600	33718800	56670100	65463100	29156000	32586700	32738700	31455400	27212900	32042400	32148300	33593400	32404100	31257100	58550900	64735800	66136000	50481700	72913300	58233100	62577200	58553100	57576900	63545700	172089	206743	191420	226346	198668	225705	170371	229598	242003	181307	208472	196730	300586	447965	442668	460065	486051	355475	283810	373322	392495	410149	352035	11776400	11227000	11996100	9916490	13441400	10739500	10947400	11686600	11298300	9709990	10893500	26001800	30251700	27996600	25285400	25590500	24484600	24021800	23421200	23456500	24028900	22086000	25248400	4852440	5071670	4882920	5036630	5178180	5121780	5035070	5170700	4686570	4998750	11123500	11406400	11588700	12356400	10715700	10124900	10085100	10756000	10011600	10120400	4866780	5051810	9733640	10589800	7378210	3762790	3705740	6638920	3847750	3621950	3659170	3675300	3883330	3832720	3771350	3730950	3560970	3702610	7298160	7544590	7243160	9503070	7328040	6727880	6678060	7016820	7059790	7168260
P0AAT4	8157560	7312670	8689730	9460180	6217090	8151920	7936630	6054390	4764630	6202390	7674580	4652580	7389880	5942840	9087790	10607600	9417530	5639070	10030300	8952160	11008100	11071800	7599670	10611400	27441.4	46463.8	41163.4	43007.4	37252.9	47122.3	24465.5	28561.3	45359.2	21848.7	47176	30089.6	32668.4	59395	45476.8	47074.9	61512.8	26217.5	27913.5	45359.2	46735.5	38674.6	50570.8	2069490	2244490	2376300	2264280	2416390	2136600	2244810	2472570	2181240	2331170	2303880	2704980	3326990	3134900	3082650	3062490	3122800	3231440	3109430	2957600	3370850	3233590	3107950	1116540	1144220	1085630	1126800	1122320	1091470	1105220	1103590	1093440	1052610	1386890	1365990	1207890	1360900	1340440	1326640	1378670	1339630	1243130	1357610	1145480	1089470	1352680	1277740	846678	599388	567130	805922	569352	507824	660427	654261	586111	623071	579065	610755	649998	628067	821903	778138	931978	843127	792157	862030	879826	849401	868426	784479
P0A6U5	79767200	76554100	95060000	91327400	79005400	81087900	70674200	78583100	71762100	79084400	72465800	82963800	77579100	75500700	92848800	95319400	94645700	85153100	90242000	92201100	101344000	94341500	96251700	91973100	46936.4	61811.8	49974.7	52443.5	46768.6	58140.4	38536	63149.7	59610.8	43488.9	49197.2	56309.2	42998.1	57984.6	55623.4	56134.2	61652.6	44376.7	40991.8	47783.7	52667.7	50775.5	48784.1	7717310	7490310	7280790	6260680	7456090	7412020	5986680	7166480	7006570	7914710	6911710	6255170	6418420	7165040	6339670	6292480	5208870	7009750	7064000	7071050	6095100	6588810	6976640	2970700	2522960	3093200	2720500	2613470	3065440	2734570	2639080	2480850	2892370	2978220	3052720	2938520	2841330	3019970	3009390	2651360	2936430	2787660	2917420	2831160	2859470	2895590	2851190	1202640	1343830	1256310	1382730	1344480	1281220	1205280	1284850	1093050	1313960	1223840	1211880	1305640	1338170	1347870	1236880	1312060	1170790	1270270	1191620	1188990	1296080	1205320	1201790
P0AG30	163946000	164664000	180583000	189451000	172770000	182443000	166272000	170862000	143484000	180543000	156862000	87331300	180680000	177064000	178697000	188040000	187120000	184521000	190892000	188320000	188557000	189755000	181436000	190797000	1300780	1592190	1355690	1511610	1329060	1574330	1482570	1466180	1630860	1397250	1431890	1358130	1569070	1702240	1652690	1696020	1739080	1445150	1305640	1718990	1625480	1689070	1620550	65674700	69005000	76674400	66982600	81660500	70206200	64702400	72422100	66570900	73680300	75010100	72477300	80635700	86885100	90179000	84788600	87076900	87345800	88959800	78229200	75940700	88626600	92018100	32111700	33268600	31996800	33252000	33071800	32734200	32659300	33068400	32850200	31578000	35377900	35265000	36108600	36663800	35036400	34252400	36433500	35567300	35721500	35835200	33840100	35528800	37249500	36817500	12585000	11171100	10969100	12413700	11642500	9185100	11534200	10470000	10102500	9705500	9706600	11331200	10565200	9767590	12060100	11909400	11889700	12137400	12068800	11980100	11991400	11796000	11987300	12023100
Q47146	38522400	39669000	11398800	13360800	34826800	35152500	60578400	38366800	24264300	39216000	40745600	26048700	41717000	38672100	10191200	13856100	11610500	11784300	14891100	13310900	14175700	8237950	14341500	11784600	94310.3	105399	105024	93547.4	121473	94807.9	98407.5	123028	119248	100587	113634	100861	18534.4	28082.9	24864.9	34624.2	33216.5	30383.7	27260.9	21876.4	29455.2	41567.3	24683.3	7036480	8043440	9000580	11251500	5519280	7878400	11186800	7692760	9753620	8614610	9658230	1547830	2355130	1852050	2399760	2966160	2582110	2037410	2248320	1730370	1954400	1245000	2411850	8161160	12304100	8980920	12081700	10302600	8147320	11825300	12587800	11712600	7846560	2619280	2666510	1848790	2815240	2684160	2378570	2652740	2864900	1809350	1682650	10036500	10433400	1579450	2733890	1353700	3583760	3577240	877687	3268950	3558740	4199170	3611410	4455760	3934020	3659930	3621690	3174010	3346220	1178740	1191260	1301430	1274630	1229410	1415220	1203070	1252450	1222870	1506490
P13656	1317810	1304660	1733740	1577000	863736	569622	792691	1184810	1702830	1235940	913950	NA	1125460	1215870	1700090	1407470	1628120	1933950	1226310	1650380	1277830	1531210	2051060	1154340	7972.32	7781.47	7916.08	9759.52	8868	8385.87	12657	6372.88	8503.48	9999.43	9711.98	10696.4	11380.3	10487.1	9811.91	12265.9	9553.32	14008.8	15826.8	13757.5	13076.9	11338.3	15435.5	396301	490104	437597	414761	571318	387322	389270	905102	436093	377698	471440	518586	527184	557497	642230	802339	1000540	647636	560671	598454	527951	584353	548513	1131270	1194200	957624	1019620	1054140	1137280	1090340	1026900	1117910	1264170	1089710	1152440	1011150	1175480	1017990	1126440	1031500	1114610	1049500	1238920	1060280	1006560	1289310	1234400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P76142	6089000	5667340	2841490	2433880	6822340	5881240	6435530	7012930	8083230	6323750	6335480	10876600	6091860	6182990	2542310	2954690	1570500	2466070	2730610	3319120	2352080	1930780	3162160	2105260	49585.1	41941.8	46423.8	42751.7	48264.7	43320.2	32078.7	46224.8	42210	22037.4	45555.5	43128.7	9376.1	15347.3	14955.4	17970.7	26857.4	7921.67	10814.8	10075.3	14962.8	18463.5	14264.8	37851500	33732500	32857700	32889200	33431100	41756100	46242500	28394400	45759400	38165100	41768400	12142900	11422600	9690160	15696300	17515800	10597000	12054200	14632500	10854500	13760100	8142950	15271000	3579400	4346300	4059840	4754550	4606670	3923350	4968740	5165880	5181970	3876040	2257360	1957170	1243400	1992320	2060010	1844560	2141240	2169930	1491330	1219140	4373290	4113310	1512580	2127000	9068150	15462600	16754000	10005200	15481800	21825300	16506100	16127500	17804400	17812300	17708400	16538200	13198600	17515200	7767640	4252370	8948190	18431900	8522340	8090860	9603030	8671940	11206300	7607790
P0ADU2	69129700	55911700	53602700	45001400	61755200	71685200	58723900	56373000	52140800	60748600	67312300	85580700	62617600	57851300	56479500	58619400	57618900	52665300	54125400	58149400	58364600	56969300	50159000	59965500	88401.4	68630.1	57990	45702.2	57687.4	96768.2	52532.4	86635.8	89973.7	73218.4	83402.2	77526.9	59591.8	53010.1	76782.2	69186.3	63880.1	52917.3	50353.4	57480.4	70663.2	53175	47788.9	25206800	21704000	20832300	17345200	23990900	23496000	16961000	17602900	22095400	21550300	18714100	20361500	16484800	15274300	12919400	14062400	11555800	14494500	14004500	14611800	19288300	17781600	18209900	22468500	19893100	23699400	20392600	19703900	23088000	20232200	19515700	19028000	23053700	17052700	18026700	21006500	17540200	18278600	19506000	18164900	17674400	18833800	19521200	22241900	20918500	17982900	17865700	3390590	4530500	4454320	3672520	4501860	4069170	4280430	4534030	3974140	4118480	4204890	4357340	4483980	4349540	3611180	3156980	3299540	3487560	3362560	3372410	3555140	3523750	3636760	3373390
P0ABJ9	175747000	173224000	131137000	131331000	188739000	241320000	178562000	197817000	209633000	220634000	172892000	81792600	179314000	187007000	113473000	128436000	134031000	124886000	116785000	118058000	111023000	114141000	126626000	103008000	202505	392827	293907	469255	388590	502590	213923	239243	535703	202083	389490	306710	132798	301161	215804	207294	326957	165017	109835	218123	232770	133775	258286	73256600	71809100	88621700	60240400	91535400	62760900	64613600	82280200	61729500	66614500	67601100	41053000	56525000	44978400	46104800	44205700	44265800	42975400	41092100	41443900	50182000	60591200	51094200	26600300	27001700	25530600	26557600	25236000	23002900	23237400	25650700	26367700	25830700	14119400	16691900	12791200	16244200	14442400	12216200	13389000	12882100	11497500	13771600	23920600	23671100	16497600	15348600	6630270	10584300	9674490	6700070	9841690	10722200	11316600	9776760	11197400	10629900	11013600	12660800	10959500	11001600	6544210	5773730	6056590	6750090	7036550	5560190	5950060	5489320	5581130	5593850
P28861	9810910	8511260	9658950	8954600	12163200	12086700	12207400	10655000	8974060	10969200	10971600	12716700	10483000	11596400	10995400	11058600	10400700	10842100	10791500	10751800	10423500	10840700	10326300	10622700	52953.6	65247.5	65547.6	66045.4	62786.2	61610.9	66492.9	81406.3	64579.7	79577.2	56313.8	61417.5	69595	66755.1	62334	66253.6	63178.6	61444	51338.6	55353.9	58238.6	69850.4	59671.8	2962120	2738480	3596580	2848660	3834620	3126880	3054420	3311790	2875920	3002130	2988450	3477600	3566950	3584680	3626660	3242400	3377800	3623170	3448910	3438610	3089550	3406360	3473820	2468360	2566190	2462360	2646530	2495150	2590770	2593530	2458720	2378590	2481790	2498480	2467390	2394550	2354770	2436300	2466780	2482650	2456600	2460540	2408660	2349800	2459060	2461740	2396220	2224450	2563000	2473490	2257470	2399900	2495990	2596170	2497410	2574410	2516410	2479130	2537720	2420910	2436020	2202930	2215560	2259000	2181520	2257180	2225210	2208060	2285340	2230670	2175870
P0A9W6	52869300	41555800	43677200	45727900	42840800	45247000	48947800	37871100	31447400	39104300	55342400	70851800	44179800	39816800	43135000	57202900	48464900	42954700	51927900	43791800	53202100	49664200	42616700	50570300	105333	67254.7	101057	47985.9	93467.8	72650.9	33045.2	71913.7	67889.7	33982.9	86273	94534.9	25060.5	79738	94036.5	100728	82954.6	20053.7	16973.8	91171.3	84737	36869.9	49423.7	38750600	33238100	32934400	35296300	34935800	38699000	42041100	29561500	41207200	35721400	34027700	47430900	39583100	38974200	31651200	32714100	26425100	34255500	30127500	43514000	30934300	41548900	43005700	4059800	4571820	5147940	4423060	4665050	3950360	4637780	4346850	4703320	4187490	5426140	5755660	6281340	5208510	5550460	6014390	5003480	6021630	5483640	5045260	4600790	4253200	5582450	5083570	4283010	4345250	4199190	4373360	4036150	4826250	3945820	4392380	4598290	4472780	4739120	3664870	3743880	4350120	5057040	4838350	5063820	4688940	4717810	4630500	4695220	4398910	4546140	4599740
