data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed
Balanced Simulated Data,uncorrected,F1_score,1.0,lab2,Train-Test-Split,43
Balanced Simulated Data,uncorrected,MCC,1.0,lab3,Train-Test-Split,43
Balanced Simulated Data,uncorrected,F1_score,1.0,lab3,Train-Test-Split,43
Balanced Simulated Data,corrected,MCC,1.0,All,Train-Test-Split,43
Balanced Simulated Data,corrected,F1_score,1.0,All,Train-Test-Split,43
Balanced Simulated Data,corrected,MCC,1.0,lab1,Train-Test-Split,43
Balanced Simulated Data,corrected,F1_score,1.0,lab1,Train-Test-Split,43
Balanced Simulated Data,corrected,MCC,1.0,lab2,Train-Test-Split,43
Balanced Simulated Data,corrected,F1_score,1.0,lab2,Train-Test-Split,43
Balanced Simulated Data,corrected,MCC,1.0,lab3,Train-Test-Split,43
Balanced Simulated Data,corrected,F1_score,1.0,lab3,Train-Test-Split,43
Mildly Imbalanced Simulated Data,uncorrected,MCC,1.0,All,Train-Test-Split,43
Mildly Imbalanced Simulated Data,uncorrected,F1_score,1.0,All,Train-Test-Split,43
Mildly Imbalanced Simulated Data,uncorrected,MCC,1.0,lab1,Train-Test-Split,43
Mildly Imbalanced Simulated Data,uncorrected,F1_score,1.0,lab1,Train-Test-Split,43
Mildly Imbalanced Simulated Data,uncorrected,MCC,1.0,lab2,Train-Test-Split,43
Mildly Imbalanced Simulated Data,uncorrected,F1_score,1.0,lab2,Train-Test-Split,43
Mildly Imbalanced Simulated Data,uncorrected,MCC,1.0,lab3,Train-Test-Split,43
Mildly Imbalanced Simulated Data,uncorrected,F1_score,1.0,lab3,Train-Test-Split,43
Mildly Imbalanced Simulated Data,corrected,MCC,1.0,All,Train-Test-Split,43
Mildly Imbalanced Simulated Data,corrected,F1_score,1.0,All,Train-Test-Split,43
Mildly Imbalanced Simulated Data,corrected,MCC,1.0,lab1,Train-Test-Split,43
Mildly Imbalanced Simulated Data,corrected,F1_score,1.0,lab1,Train-Test-Split,43
Mildly Imbalanced Simulated Data,corrected,MCC,1.0,lab2,Train-Test-Split,43
Mildly Imbalanced Simulated Data,corrected,F1_score,1.0,lab2,Train-Test-Split,43
Mildly Imbalanced Simulated Data,corrected,MCC,1.0,lab3,Train-Test-Split,43
Mildly Imbalanced Simulated Data,corrected,F1_score,1.0,lab3,Train-Test-Split,43
Strongly Imbalanced Simulated Data,uncorrected,MCC,0.95,All,Train-Test-Split,43
Strongly Imbalanced Simulated Data,uncorrected,F1_score,0.975,All,Train-Test-Split,43
Strongly Imbalanced Simulated Data,uncorrected,MCC,1.0,lab1,Train-Test-Split,43
Strongly Imbalanced Simulated Data,uncorrected,F1_score,1.0,lab1,Train-Test-Split,43
Strongly Imbalanced Simulated Data,uncorrected,MCC,0.875,lab2,Train-Test-Split,43
Strongly Imbalanced Simulated Data,uncorrected,F1_score,0.9375,lab2,Train-Test-Split,43
Strongly Imbalanced Simulated Data,uncorrected,MCC,0.9583333333333334,lab3,Train-Test-Split,43
Strongly Imbalanced Simulated Data,uncorrected,F1_score,0.9791666666666666,lab3,Train-Test-Split,43
Strongly Imbalanced Simulated Data,corrected,MCC,1.0,All,Train-Test-Split,43
Strongly Imbalanced Simulated Data,corrected,F1_score,1.0,All,Train-Test-Split,43
Strongly Imbalanced Simulated Data,corrected,MCC,1.0,lab1,Train-Test-Split,43
Strongly Imbalanced Simulated Data,corrected,F1_score,1.0,lab1,Train-Test-Split,43
Strongly Imbalanced Simulated Data,corrected,MCC,1.0,lab2,Train-Test-Split,43
Strongly Imbalanced Simulated Data,corrected,F1_score,1.0,lab2,Train-Test-Split,43
Strongly Imbalanced Simulated Data,corrected,MCC,1.0,lab3,Train-Test-Split,43
Strongly Imbalanced Simulated Data,corrected,F1_score,1.0,lab3,Train-Test-Split,43
Proteomics Data,uncorrected,MCC,1.0,All,Train-Test-Split,43
Proteomics Data,uncorrected,F1_score,1.0,All,Train-Test-Split,43
Proteomics Data,uncorrected,MCC,1.0,lab_A,Train-Test-Split,43
Proteomics Data,uncorrected,F1_score,1.0,lab_A,Train-Test-Split,43
Proteomics Data,uncorrected,MCC,1.0,lab_B,Train-Test-Split,43
Proteomics Data,uncorrected,F1_score,1.0,lab_B,Train-Test-Split,43
Proteomics Data,uncorrected,MCC,1.0,lab_C,Train-Test-Split,43
Proteomics Data,uncorrected,F1_score,1.0,lab_C,Train-Test-Split,43
Proteomics Data,uncorrected,MCC,1.0,lab_D,Train-Test-Split,43
Proteomics Data,uncorrected,F1_score,1.0,lab_D,Train-Test-Split,43
Proteomics Data,uncorrected,MCC,1.0,lab_E,Train-Test-Split,43
Proteomics Data,uncorrected,F1_score,1.0,lab_E,Train-Test-Split,43
Proteomics Data,corrected,MCC,1.0,All,Train-Test-Split,43
Proteomics Data,corrected,F1_score,1.0,All,Train-Test-Split,43
Proteomics Data,corrected,MCC,1.0,lab_A,Train-Test-Split,43
Proteomics Data,corrected,F1_score,1.0,lab_A,Train-Test-Split,43
Proteomics Data,corrected,MCC,1.0,lab_B,Train-Test-Split,43
Proteomics Data,corrected,F1_score,1.0,lab_B,Train-Test-Split,43
Proteomics Data,corrected,MCC,1.0,lab_C,Train-Test-Split,43
Proteomics Data,corrected,F1_score,1.0,lab_C,Train-Test-Split,43
