"MSP"	"ERS436799"	"ERS436798"	"ERS436797"	"ERS436796"	"ERS436795"	"ERS436794"	"ERS436793"	"ERS436792"	"ERS436791"	"ERS436790"	"ERS436789"	"ERS436788"	"ERS436787"	"ERS436786"	"ERS436784"	"ERS436783"	"ERS436782"	"ERS436781"	"ERS436780"	"ERS436779"	"ERS436778"	"ERS436777"	"ERS436776"	"ERS436775"	"ERS436774"	"ERS436773"	"ERS436772"	"ERS436771"	"ERS436770"	"ERS436769"	"ERS436768"	"ERS436762"	"ERS436761"	"ERS436759"	"ERS436755"	"ERS436754"	"ERS436753"	"ERS436750"	"ERS436749"	"ERS436748"	"ERS436746"	"ERS436745"	"ERS436744"	"ERS436743"	"ERS436742"	"ERS436741"	"ERS436740"	"ERS436739"	"ERS436738"	"ERS436737"	"ERS436736"	"ERS436733"	"ERS436730"	"ERS436729"	"ERS436727"	"ERS436725"	"ERS436722"	"ERS436721"	"ERS436720"	"ERS436714"	"ERS436713"	"ERS436712"	"ERS436711"	"ERS436705"	"ERS436704"	"ERS436703"	"ERS436701"	"ERS436699"	"ERS436698"	"ERS436697"	"ERS436695"	"ERS436694"	"ERS436693"	"ERS436691"	"ERS436690"	"ERS436689"	"ERS436688"	"ERS436685"	"ERS436684"	"ERS436683"	"ERS436679"	"ERS436673"	"ERS436672"	"ERS436670"	"ERS436669"	"ERS436668"	"ERS436666"	"ERS436665"	"ERS436661"	"ERS436660"	"ERS436659"	"ERS436658"	"ERS436657"	"ERS436655"	"ERS436654"	"ERS436653"	"ERS436651"	"ERS436649"	"ERS436648"	"ERS436647"	"ERS436645"	"ERS436644"
"msp_0033"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1612	0	0	0	0	0	0	0	0	0	9159	0	5813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4413	0
"msp_0034"	273	0	3	10662	0	4	7692	22990	16778	0	15	206	4065	543	6221	0	16	0	0	3527	4624	5797	3011	0	4	738	2255	0	151	2187	0	3171	0	6	9	0	361	9	59	0	10	6133	4	60	0	1262	452	2654	2	9	0	0	17	416	2030	1764	1415	512	9	0	15	14485	6	666	17205	0	61	34	0	711	154	100	0	0	0	0	44	0	593	20	0	0	0	0	3699	70	0	4605	4	4958	7	4450	84	7487	785	0	3434	4243	279	155	8581	8264
"msp_0035"	252	7639	11503	0	0	1357	8097	1237	0	974	95775	29	1024	40	0	2098	11	0	6224	1126	0	802	1437	0	913	0	158	0	0	11273	0	748	10	0	29	0	6729	148	297	839	15545	2464	19395	5658	9269	743	0	738	7	13168	8298	0	29	9170	35	194	1708	548	0	4396	347	977	0	129	2104	11	427	1136	21932	3210	69	46	147	1911	12	11478	29666	0	3615	2278	38	0	8396	40177	0	22	4637	41	2956	9961	5008	7200	15	1325	40	495	8509	6103	98	18248	1054	887
"msp_0036"	0	114	0	0	5	0	0	11729	5372	0	7	0	0	12	0	0	5	5371	0	9	0	1072	579	2992	759	809	0	22538	16309	0	0	0	12	0	0	10296	0	0	0	25851	0	0	0	0	0	5614	13	0	0	0	0	0	600	8	0	0	0	0	0	2198	67275	0	303	2273	12374	0	243	0	0	134	11	8	0	1617	0	0	0	10	67	0	0	67	0	0	1913	4008	0	0	22	0	0	1432	0	809	1296	0	0	25087	234	0	14	0
"msp_0037"	0	0	0	0	0	246	3283	0	0	0	0	11	0	0	0	0	0	0	0	0	0	16	42	0	30	0	839	1713	0	0	4969	0	20	0	0	0	1029	0	0	0	1734	16	0	0	0	0	0	0	0	940	0	1558	0	10853	0	19	0	0	0	0	0	453	0	0	0	0	0	0	10135	0	1031	0	0	0	250	0	9	3345	3717	871	73	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	1401	0	0	0	413
"msp_0038"	0	14	0	0	0	0	1680	126	41	0	0	0	0	222	1466	0	0	0	0	0	209	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	414	35	0	371	0	0	0	0	36	119	516	0	0	0	0	0	94	810	0	0	0	0	0	0	1117	87	0	0	0	0	0	210	0	0	57	5	0	460	0	0	0	0	0	0	0	0	13	43	0	369	0	0	0	0	0	0	0	80	0	0	0	272	121	526	0	0
"msp_0039"	2187	9	2	5	14	0	23482	3389	17591	0	16	894	3	47723	17	4	73	0	26	0	40	4116	3206	0	8322	15116	8888	0	4	3	191	0	37	18	0	3	1106	9	3259	0	13	2756	4	10232	0	10583	15711	1080	0	0	0	1707	2642	0	0	8	25555	1458	20	10949	0	43150	6	10	10	0	46	0	3288	7	591	84	43	3352	0	0	11	0	0	109	0	46	0	0	0	12808	3753	2061	79405	8306	15	0	38	0	0	0	0	958	1539	26324	21544	6548
"msp_0040"	1793	8	4	0	8	0	12774	0	10	0	4	2879	3	0	2897	0	19	0	0	7107	4310	10793	0	0	1493	10940	0	19789	8	0	0	23758	0	0	0	16	0	0	213	0	0	8	2825	4	0	2343	0	77	0	12	0	0	15	538	1205	42	0	12	6075	2	61015	10088	0	8636	0	3	1991	0	7	828	68	20	22001	1548	3746	0	0	2	21539	0	0	464	770	0	0	0	583	0	1199	5877	3	3773	28	591	5802	11939	6	22704	0	0	12	7626
"msp_0041"	6	0	4	0	57	5	1971	5	53	0	7	16348	5	15163	7	0	215	848	6	11	27	0	0	9	34822	66954	12959	0	7	22	60	0	21	70	0	14	19357	0	31563	0	35	22	0	8618	0	0	204449	62	0	0	0	0	0	0	0	4	39286	52700	4079	7	31	0	9	15422	36	0	13109	15939	37	4479	40376	180	0	0	9	0	3	0	22880	17564	0	82359	48	16	5	24	0	0	28	62	74	604	0	11	0	221837	22	0	11246	0	8811	0
"msp_0042"	0	4	4	5	13	3	0	121	5	2	141	41493	3	132	0	4	216	6471	9	15238	779	569	43089	5	26	9	40982	6	117	54693	5	0	58	3430	18	0	333	581	6801	0	147	18	0	4	0	612	13	32040	2	33	0	8792	0	5654	4	3071	0	5977	6033	539	20	2	0	22816	4	0	176	1391	3001	9102	20	32	0	5	1034	0	19	0	0	0	0	0	7	4	24335	2156	8294	2239	31	24010	11	30667	114	3931	8868	13	4591	473	5901	0	666	19
"msp_0043"	0	0	57302	0	0	2	860	0	0	0	0	0	0	0	0	0	132	0	0	0	0	18695	0	3	0	0	2626	0	0	0	0	0	0	0	33	0	1877	0	5665	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	81	0	0	3012	0	0	0	0	7385	0	0	2656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0
"msp_0044"	18	164	5	45	0	0	22	130	7	116	0	0	32	12	0	57	103	377	0	0	0	0	0	36	48	0	9	96	8	6	0	51	24	35	5	40	20	10	69	128	1731	123	5899	8	0	23	18	0	43	67	41	23	35	785	18	7	8	12	0	41	2671	0	198	76	7	0	14	85	50	0	12	4	0	52	0	44	31	0	13	262	6	45	0	76	0	105	21	0	44	0	0	0	225	0	12	12	0	0	23	19	0	0
