"rowname"	"B1_DDA_ABS_QTOF6600_B1_D5_1"	"B1_DDA_ABS_QTOF6600_B1_D5_2"	"B1_DDA_ABS_QTOF6600_B1_D5_3"	"B1_DDA_ABS_QTOF6600_B1_D6_1"	"B1_DDA_ABS_QTOF6600_B1_D6_2"	"B1_DDA_ABS_QTOF6600_B1_D6_3"	"B1_DDA_ABS_QTOF6600_B1_F7_1"	"B1_DDA_ABS_QTOF6600_B1_F7_2"	"B1_DDA_ABS_QTOF6600_B1_F7_3"	"B1_DDA_ABS_QTOF6600_B1_M8_1"	"B1_DDA_ABS_QTOF6600_B1_M8_2"	"B1_DDA_ABS_QTOF6600_B1_M8_3"	"B1_DDA_APT_QE-HFX_B1_D5_1"	"B1_DDA_APT_QE-HFX_B1_D5_2"	"B1_DDA_APT_QE-HFX_B1_D5_3"	"B1_DDA_APT_QE-HFX_B1_D6_1"	"B1_DDA_APT_QE-HFX_B1_D6_2"	"B1_DDA_APT_QE-HFX_B1_D6_3"	"B1_DDA_APT_QE-HFX_B1_F7_1"	"B1_DDA_APT_QE-HFX_B1_F7_2"	"B1_DDA_APT_QE-HFX_B1_F7_3"	"B1_DDA_APT_QE-HFX_B1_M8_1"	"B1_DDA_APT_QE-HFX_B1_M8_2"	"B1_DDA_APT_QE-HFX_B1_M8_3"	"B1_DDA_FDU_Lumos_B1_D5_1"	"B1_DDA_FDU_Lumos_B1_D5_2"	"B1_DDA_FDU_Lumos_B1_D5_3"	"B1_DDA_FDU_Lumos_B1_D6_1"	"B1_DDA_FDU_Lumos_B1_D6_2"	"B1_DDA_FDU_Lumos_B1_D6_3"	"B1_DDA_FDU_Lumos_B1_F7_1"	"B1_DDA_FDU_Lumos_B1_F7_2"	"B1_DDA_FDU_Lumos_B1_F7_3"	"B1_DDA_FDU_Lumos_B1_M8_1"	"B1_DDA_FDU_Lumos_B1_M8_2"	"B1_DDA_FDU_Lumos_B1_M8_3"	"B1_DDA_FDU_QE-HFX_B4_D5_1"	"B1_DDA_FDU_QE-HFX_B4_D5_2"	"B1_DDA_FDU_QE-HFX_B4_D5_3"	"B1_DDA_FDU_QE-HFX_B4_D6_1"	"B1_DDA_FDU_QE-HFX_B4_D6_2"	"B1_DDA_FDU_QE-HFX_B4_D6_3"	"B1_DDA_FDU_QE-HFX_B4_F7_1"	"B1_DDA_FDU_QE-HFX_B4_F7_2"	"B1_DDA_FDU_QE-HFX_B4_F7_3"	"B1_DDA_FDU_QE-HFX_B4_M8_1"	"B1_DDA_FDU_QE-HFX_B4_M8_2"	"B1_DDA_FDU_QE-HFX_B4_M8_3"
"TRABD"	0.988708333333333	-6.72929166666667	0.854708333333332	1.10770833333333	-6.72929166666667	0.933708333333332	-6.72929166666667	1.60870833333333	-6.72929166666667	0.688708333333332	-6.72929166666667	0.748708333333332	3.360875	3.476875	-4.963125	-4.963125	-4.963125	-4.963125	-4.963125	-4.963125	-4.963125	3.197875	2.953875	-4.963125	-4.26579166666667	-4.26579166666667	-4.26579166666667	-4.26579166666667	-4.26579166666667	-4.26579166666667	-4.26579166666667	-4.26579166666667	4.13020833333333	-4.26579166666667	3.96620833333333	3.58020833333333	-1.65879166666667	-1.21079166666667	-1.56179166666667	-2.42879166666667	-2.37179166666667	-2.01579166666667	-2.33179166666667	-2.43379166666667	-2.27379166666667	-2.60779166666667	-2.77979166666667	-3.04079166666667
"TRADD"	2.7825625	0.775562499999999	1.5405625	2.4775625	2.4395625	2.2295625	2.4675625	2.5125625	2.1715625	-6.3314375	-6.3314375	0.3035625	3.4670625	0.8640625	3.6970625	1.4630625	3.6800625	3.8600625	4.0000625	3.8500625	2.2560625	-6.6999375	-6.6999375	-6.6999375	4.15897916666667	0.0919791666666672	-5.49802083333333	3.86597916666667	1.07297916666667	3.97697916666667	4.38897916666667	3.37497916666667	1.72797916666667	-5.49802083333333	-5.49802083333333	0.872979166666667	0.0543958333333334	0.243395833333333	-0.714604166666667	1.54839583333333	0.692395833333334	1.69039583333333	1.02139583333333	-0.314604166666667	1.48439583333333	0.607395833333333	0.408395833333333	0.316395833333333
"TRAF1"	-0.576208333333334	0.0207916666666663	0.507791666666666	2.64179166666667	2.85879166666667	1.63579166666667	2.83179166666667	2.34079166666667	3.71779166666667	2.83679166666667	1.38379166666667	1.15479166666667	0.277125	1.537125	1.510125	2.591125	2.585125	2.574125	2.225125	2.391125	0.884125	1.360125	1.794125	1.625125	-0.633791666666667	0.836208333333333	0.602208333333333	2.79920833333333	2.43420833333333	2.33920833333333	2.74920833333333	2.52420833333333	2.24520833333333	1.97920833333333	1.46520833333333	2.01420833333333	0.848875	-0.0731249999999998	-0.0881249999999998	2.304875	2.125875	2.688875	2.314875	2.893875	2.258875	1.983875	2.220875	1.874875
"TRAM1"	1.27379166666667	2.31679166666667	1.19279166666667	2.27079166666667	2.50479166666667	2.49579166666667	2.20379166666667	3.03479166666667	2.33579166666667	-7.49120833333333	1.18579166666667	0.636791666666667	2.251375	-1.236625	2.301375	2.677375	1.240375	3.271375	-0.754625	2.260375	2.744375	-1.612625	1.882375	-1.064625	5.05370833333333	4.58870833333333	-4.23729166666667	2.92770833333333	4.52070833333333	-4.23729166666667	5.16370833333333	3.79170833333333	2.96170833333333	-4.23729166666667	1.90170833333333	-4.23729166666667	1.621125	2.168125	1.777125	2.339125	2.422125	2.386125	1.642125	1.581125	1.732125	2.051125	-7.700875	1.941125
"TRAP1"	8.04866666666667	7.41366666666667	7.48566666666667	7.03766666666667	6.80966666666667	7.56566666666667	7.99966666666667	7.56366666666667	7.48366666666667	7.08566666666667	7.23066666666667	7.34866666666667	7.3905	7.3095	7.3925	7.5955	6.9105	7.3955	7.6105	7.5415	7.5055	6.8895	7.7905	7.7415	7.49566666666667	7.97366666666667	8.02566666666667	6.62166666666667	7.41666666666667	8.00066666666667	7.78366666666667	6.67466666666667	7.97466666666667	7.52866666666667	6.50966666666667	7.06766666666667	8.29316666666667	7.68916666666667	7.66016666666667	7.62516666666667	7.13416666666667	7.69116666666667	7.25416666666667	7.76416666666667	6.42616666666667	7.48616666666667	7.02416666666667	7.02516666666667
"TRIM21"	2.29979166666667	0.208791666666666	-0.221208333333333	2.34879166666667	-0.121208333333334	2.95879166666667	1.23979166666667	0.891791666666667	1.73179166666667	3.03679166666667	2.49979166666667	2.76779166666667	1.938125	1.085125	2.017125	2.237125	2.341125	1.707125	0.824125	1.715125	0.715125	1.318125	2.532125	1.211125	1.05229166666667	1.69529166666667	0.926291666666667	0.700291666666667	2.55629166666667	1.85229166666667	2.17229166666667	0.669291666666667	1.84029166666667	1.70229166666667	2.76929166666667	1.70529166666667	1.95079166666667	1.95679166666667	2.07179166666667	1.31179166666667	1.28279166666667	1.64379166666667	1.41079166666667	1.46479166666667	1.73679166666667	1.49879166666667	1.27679166666667	2.03579166666667
"TRIM22"	1.76002083333333	-0.886979166666667	2.05602083333333	2.33102083333333	2.34502083333333	2.15802083333333	1.55302083333333	2.17602083333333	-0.582979166666667	-0.454979166666667	1.46402083333333	2.94902083333333	1.40835416666667	1.79535416666667	2.08435416666667	2.00235416666667	1.74135416666667	1.38235416666667	0.776354166666667	0.940354166666666	0.561354166666666	1.64535416666667	1.37235416666667	1.15735416666667	1.5396875	2.2696875	2.6996875	1.3246875	1.8566875	0.1816875	1.2906875	1.4886875	1.4006875	0.4426875	0.6226875	1.7496875	2.0509375	2.0819375	2.0019375	0.7049375	1.5739375	1.4659375	1.1059375	1.2129375	1.0759375	1.7099375	1.1589375	0.7239375
"TRIM25"	4.88627083333333	4.37527083333333	4.31127083333333	3.76427083333333	5.12727083333333	3.54227083333333	4.24227083333333	3.55527083333333	3.48527083333333	4.51027083333333	4.81127083333333	4.33127083333333	4.70977083333333	4.62777083333333	4.75677083333333	4.19777083333333	4.10877083333333	3.79877083333333	3.55377083333333	3.38977083333333	4.86077083333333	4.17477083333333	4.25577083333333	4.50777083333333	4.4844375	4.2764375	4.5084375	4.1894375	3.8584375	4.4114375	4.1544375	4.0574375	4.0074375	4.3084375	4.2374375	4.4484375	4.48652083333333	4.35452083333333	4.22052083333333	4.19552083333333	4.01652083333333	4.04852083333333	4.64152083333333	4.44352083333333	3.56352083333333	4.36652083333333	4.63252083333333	3.97252083333333
"TRIM28"	5.50077083333333	5.26777083333333	5.64777083333333	4.99377083333333	5.09877083333333	5.04577083333333	4.52477083333333	4.97877083333333	5.02777083333333	5.54377083333333	5.17777083333333	5.37577083333333	5.2201875	5.2471875	5.7141875	5.2851875	4.9321875	5.3851875	4.9151875	5.3071875	4.6771875	5.3951875	4.8091875	5.2951875	5.32252083333333	5.49152083333333	5.49352083333333	5.10852083333333	5.10252083333333	5.02852083333333	5.04652083333333	5.00652083333333	4.82852083333333	5.21252083333333	5.34852083333333	5.19352083333333	5.34552083333333	5.38552083333333	5.25652083333333	4.80152083333333	5.06152083333333	5.15452083333333	5.05552083333333	5.00452083333333	4.99752083333333	5.25852083333333	5.49152083333333	5.37052083333333
"TRIP10"	1.25054166666667	3.77154166666667	3.10454166666667	2.62654166666667	2.72054166666667	2.01354166666667	3.12654166666667	3.03954166666667	2.77954166666667	2.55354166666667	2.45054166666667	2.82554166666667	2.07395833333333	2.97495833333333	3.04495833333333	3.55295833333333	3.16895833333333	3.74195833333333	4.02995833333333	-0.253041666666667	3.30595833333333	1.09095833333333	3.27195833333333	2.25895833333333	1.54954166666667	2.15754166666667	2.53054166666667	1.90254166666667	3.34154166666667	3.40454166666667	4.14054166666667	2.92854166666667	3.68154166666667	2.08654166666667	2.68054166666667	1.85854166666667	2.54095833333333	2.43595833333333	1.97795833333333	2.95395833333333	2.47495833333333	2.79195833333333	2.97595833333333	3.43295833333333	3.21095833333333	2.56095833333333	2.30595833333333	2.59995833333333
