Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
P0AD05	23521400	14179000	12977100	20561700	19965600	15835300	13138200	14755200	13523600	12260200	14668300	13782800	14527800	12732900	11625600	13776800	212075	278387	292313	281857	300938	235175	259574	259704	313193	160248	170793	149373	129955	16953600	13746800	15141500	10006600	16205600	15075800	10896800	14036700	14510700	13166900	12455800	11207600	7452970	8418560	7360770	7026630	6397440	5852990	4536710	4728880	4807800	4818020	4510160	4345640	4577460	4645770	6091840	5169170	4862270	5123780	5282950	5321380	4909460	5032170	5484010	4780770	4938220	4960520	4758640	2729520	3018620	2983420	2947350	3019650
P13036	2360210	3387380	3708110	2597970	1981940	2308610	3972010	3380870	4139260	3684060	4005160	4389990	3976980	3908190	3232500	4269470	15285.5	17541.1	15971.3	14049.8	11737.6	17119.3	21783.7	15671.8	15371.3	24895.2	34893.4	33782.8	27477.4	1015890	646729	1099070	1552880	1169680	838560	1222760	646513	996842	650589	981673	2441400	2065230	2520510	3645830	4054600	5152020	4593620	7254170	7636750	7111750	7187370	7948120	7282460	7790740	7427120	3370370	6420010	7650860	NA	28648.2	NA	37283.2	NA	25587.5	39279.1	30946.3	NA	15512	46550	66655.6	56163.8	52369.4	NA
P09148	9034670	5812410	5545050	9663720	8848480	10137200	5665060	5628060	5732720	5876600	5624700	5737660	5166910	5062830	5963490	5387100	79816.7	81294.6	81857.9	79841	85780.6	85839.5	87007.9	81043.3	85135	47316.4	53007.8	33879	48803.7	4562550	4034030	4341530	3308230	4633900	4074550	4103310	4388080	4205420	4333060	4035960	2168070	2262850	1991860	2170350	2204990	2042290	1980580	1117390	1102150	1234960	1199080	1138200	1224480	1225060	1181560	2037230	1291950	1280300	1135630	1013380	1151890	953050	1145180	1077500	1078570	995926	1078570	1051300	604544	620021	605679	690491	635375
P77559	6174470	6291610	5299840	5983560	5741250	6174240	7677840	7597910	8409110	6736380	6362690	5788360	6997060	7583250	5582850	7464360	11948.4	14662	16345.6	12401.8	15688.1	13334.6	13469.9	18469.3	12402.6	13712.5	13848.9	12238.4	13651	878102	915470	1073430	922917	978381	980301	997632	1023420	965737	948710	1105510	1075320	956363	967265	268343	292080	282934	297498	249356	267643	251833	232833	257376	256423	234425	230761	295675	274901	246776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AEK0	11213600	14504300	12698900	11374700	9948330	11023100	13296900	11432500	13542800	7998920	12471000	12739100	11829100	10360200	12911000	9913530	15773.3	14914.3	14083.8	13490.3	15436.2	18006.5	18196.7	14612.9	15515.3	13422.6	13813.9	23190.5	14281	1074360	1189930	1633550	1083940	1437740	1456260	1170130	1549050	1231860	1319590	1253860	2140010	1454660	1674230	542113	698655	641335	577742	591807	597168	649245	660366	679903	588709	686151	652489	620558	638825	698553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AED0	347740000	212440000	248302000	277224000	298148000	368494000	179969000	201544000	203116000	218904000	174260000	231486000	237413000	217467000	213468000	250106000	3009540	4061360	4791910	3403970	5186510	3756210	3618250	5234750	3988300	3176100	2485380	2631120	2098210	218956000	203574000	234885000	159927000	279224000	211112000	144156000	229015000	206332000	209327000	189363000	136218000	97061800	108661000	66717900	70690400	67573800	58530800	47258700	46831300	44074800	48778500	48330000	48246500	48158600	51003400	70605200	48905400	46402800	63411900	64695100	65697300	66198200	60559200	59768700	61177900	61217000	61814400	59262100	37284600	35100700	38354500	38248400	37962900
P0ADX9	7628120	7560150	6677560	6967280	6305100	6113980	7274920	7009490	7603040	6107310	6620760	6797070	7155820	6382470	6427330	6131300	22494.4	29073.2	29176.9	33815.1	28989.8	27774.5	34781.5	28053.3	30258.9	21749.1	32665.6	22782	28904.5	3823360	3214040	3376720	2763900	3581320	3563650	3340530	3183290	3629460	3274790	3325440	3560180	3353520	3409000	1461860	1408720	1339970	1314270	1550060	1524650	1556870	1645180	1379830	1606310	1461830	1493980	1334800	1561500	1521550	782636	745069	632302	739409	685489	696239	743315	744811	620119	716096	785614	854245	677633	777665	745370
P04395	1275090	2558640	2241680	1171620	1396170	2510090	2329260	2556110	2164340	8956390	1960250	2552020	1845340	2098930	2630900	2562330	11740.9	11844.5	12381.1	11404.6	12351.7	11651.9	10980.5	11659.4	13874.7	7608.67	10645.5	6980.33	9728.34	597283	542272	528238	610769	616454	457060	562758	551649	559582	635766	593154	477533	662975	537118	1033860	1043910	957175	941678	807120	807864	862999	799922	846749	823274	903932	804666	983916	825787	752584	283303	334737	307708	187230	285424	277684	260331	217903	288175	269189	289451	321914	306441	352155	354269
P39371	3470240	2832040	2770510	3410820	3184670	3802280	3431500	2911590	2986750	2778800	2738190	2851330	2786020	2665200	3196960	2748910	61464	77985.4	77958.2	74831.3	73352.4	56061.3	69815.7	66831.8	76858.4	37233.4	53007.8	45417.9	52864.4	12377100	9109220	8868150	7767570	8697980	9183860	10577300	7462280	9782900	9247990	7903920	6999850	6089440	6202810	1056090	966075	1000980	1084920	779575	744969	736252	709264	749989	739909	759019	748770	956509	703070	785996	544060	529854	642637	762433	510969	569427	575654	563231	476852	580964	445954	350910	288075	421803	351915
P37351	12230800	5359310	5827880	11454300	12221300	9894930	5308210	5560870	4792390	4245180	5264790	4916790	5811070	5891680	4756730	6205730	41965.4	61527.6	59280.8	46307	45714.4	47714.4	54140.3	56569	41258.1	30355.9	27739.1	23415.9	27372.5	4905960	4876130	6189850	4834780	5422460	4981500	5095500	4918800	4612870	5149340	5633130	2355290	3230710	2906570	2941900	3336950	3012770	2998140	1469220	1387120	1439520	1481520	1616240	1500030	1546910	1591030	3331340	1626750	1615380	1335660	1625220	1556590	1067750	1442850	1277040	1259760	1152190	1529540	1157990	1223620	958197	1111190	1415180	1242090
P23305	10221600	11215900	11636800	12767000	11643700	9872330	11102000	11958100	11394500	8810610	11993800	11701100	11987700	12322900	11385000	12416100	58340.7	50356.8	39982.6	50339.1	51537.2	44334.9	47068	44689.7	51875.6	40258.6	56194	36527.9	56191.9	2146710	2018180	2285300	2146180	2268230	1985100	1943920	2114830	2199620	2143580	2090550	2959930	2335630	2455680	3565320	3619930	3938030	3622110	3735940	3887910	3940410	3877020	3682070	3805970	3836600	3795810	3550090	3829040	3637650	3288350	3596660	2858110	3359560	3481300	3480450	3569240	3599050	2873940	3349980	3706770	3482080	3204850	3458730	3705730
P06961	12915100	12281400	12711400	13823400	12172000	13428700	12107900	12149500	12352200	10307500	12437800	12249800	12566000	12323400	12060500	12638100	40482.5	44244.8	45648.9	41183.5	43281.5	47414	48723.1	43567.2	42622.6	43843.8	41356.8	42164.2	41140	3359490	3337280	3534490	3580270	3506370	3565000	3729390	3340540	3569350	3524810	3564690	3222510	3712510	3567970	1900950	1881940	1929460	1999340	1828370	1810070	1908920	1813510	1901450	1837710	1818180	1782180	1915880	1766580	1772190	736274	740205	695959	659329	755360	714439	690895	719863	732354	701033	671927	760198	732469	727170	724598
P10902	70187700	73942900	72135000	58258500	72158500	58045700	77370400	71708700	67171400	70708800	68708600	65158000	81811000	83554300	67177500	76462300	48436.2	52575.9	48300.6	43655.2	46678.6	53211.5	47508.4	52835.6	42009.1	66227	59655.6	56397.2	67361.8	2882440	3245370	2753880	3208520	3547060	3562410	3262900	3227490	3222280	3363990	3367630	2991930	4078210	3742660	1525570	1549570	1716240	1709700	1868180	1745580	1750120	1925030	2036940	1858850	2146660	2208460	1743690	2055280	1912180	770638	699276	732500	675841	784000	843670	690357	739781	784920	780119	800947	843259	933305	896214	858902
P0A9R7	17856800	17808100	17189100	21080000	16980600	18390400	18541000	18406100	18504000	14188000	18253000	18918000	17216300	17438300	17793500	17057700	75738	103775	98517.2	90289	90037.6	83965.2	107609	92879.3	82996.5	82929	87709.6	87604	97792.4	5216560	5887670	6584160	5344410	7063760	6355200	5996600	6737280	5606100	5890720	6426570	7433710	6402970	7354110	2934230	2926710	2893110	2759100	2817680	2646170	2899340	2672710	2952960	2815770	2810500	2692140	2952420	2690670	2751290	11824000	11636900	12897200	9566090	13077500	11868700	10466400	10811200	12269700	11409700	12731200	11124400	12185000	11299100	11966600
P0A761	4700040	1998960	2182810	6784750	5956090	4692650	2351000	2945720	2153150	1972270	2557530	2437160	2823140	2272010	1779280	2783720	21197.1	31156.9	23915.9	25011.3	26129.1	27035.9	32632.2	16788.1	28041.9	9455.84	12578.2	15900.9	10176.8	2587690	2265400	2043610	1952680	2050610	2229100	2155510	1540710	2088000	1901700	1857860	746076	798227	658342	8421270	7872700	8254470	8303260	3785920	3694470	3808290	3863080	3900240	3910700	3694830	3738390	8132240	3653180	3926010	288549	304879	310068	291751	294153	331337	311503	265002	286459	253587	139527	149968	107581	133699	178887
P45579	17254300	12731500	11968200	13295500	15124900	16500400	11904300	14174200	13460200	11848400	13304700	12542700	13275400	13795200	12739300	13584000	122039	138758	133742	111596	147665	118961	110820	104373	158208	66569.3	114824	57638.2	113504	5117640	5336570	6115020	3851200	9842560	4971240	3447290	7125220	4395750	5149320	4774980	3545860	3707680	3373670	7787830	7061000	6231380	5847080	5066970	4548020	4525230	5032000	4730390	5027610	4667950	4712370	7093890	5337880	4741400	1394540	1375400	1670350	1226280	1456470	1388100	1158260	1090630	1612780	1294650	883627	1078860	1057900	1063430	978999
P77252	30738500	4353080	3700690	17710700	29064700	33255200	2715750	3501050	5979500	2598570	5136760	3034750	4204880	3317640	2535720	2927810	134152	153686	176358	144606	243818	137928	123279	197766	263153	15976.8	7144.13	9881.32	11271	13370900	14250800	12100600	5692790	15707800	8961400	4389440	13775500	7387890	8281810	8141380	654348	436900	764289	26134600	12784700	12006600	11082700	615215	758155	790215	848713	1185760	1158620	1266150	1234300	14663000	1741590	1406390	2958020	2849780	3696320	2403920	2826240	3444250	2180680	2331860	3640230	2796380	170846	304086	121115	158106	236702
P0AEB7	152599000	130876000	134610000	131947000	127756000	128187000	127252000	131225000	135530000	114721000	131201000	150293000	145790000	141530000	133039000	138648000	1024440	854410	699264	679770	744330	805916	752863	708301	757152	719607	842760	650420	664607	31308300	26777800	34229700	23375800	33615200	32908500	30013500	35340700	31769500	28609800	29770000	37863600	29048200	31295900	15796700	17900800	16862800	15368400	16293600	15186200	15599700	14873700	15610300	16666300	15682200	15357800	17652600	14417700	14295500	6909440	7292930	6247040	6749550	6856380	7256980	7013490	7619240	6948850	6967420	4694260	6551650	6444130	6131560	5588830
P22729	4208990	2497950	3660280	3523690	4134260	2331370	2640630	2584840	3342390	1661720	3898290	2866600	3781150	3138500	2491750	3114270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	772800	692934	645986	677511	514608	643152	897822	456232	647979	447726	752914	315397	506793	702920	456064	641933	630164	584080	509257	510541	443047	464147	426247	446958	283895	430092	335485	500390	452018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P39199	20029700	16985500	17331900	19680800	21072400	13225600	17714600	22259900	18081100	14667500	20564800	15527100	20740300	20029200	14444800	19435900	162828	256776	272733	186010	222143	252120	268417	230525	206814	247547	232495	197244	206423	8644590	8671970	10034700	8747800	9737140	8568230	8962990	8562600	8803460	8566640	8554910	10544000	10495600	10025600	8683940	9301910	8934270	8577600	9503480	9192320	9210770	9177060	9078320	9430930	9006350	8775400	8394360	9001680	8832860	2706320	2648550	2797950	2470240	2740410	2590320	2594610	2678420	2730070	2547700	2862360	3003570	2962990	2823960	2861100
P0C0R7	16772600	15489300	16279000	17133800	15567500	15297000	14372000	14042700	14439600	13019000	15250100	15104100	14606200	14270600	16320900	14580600	65019.1	73001.1	68818.2	63009.8	75962.1	66912.3	80949.4	59419.1	75143.3	40258.4	67759.9	42469.4	60365.8	6215230	6184200	7337320	5466940	7611690	6820940	5844240	7712920	5904320	6747690	6404610	5889750	6066130	7009570	3195270	2810210	2840530	2563470	2841800	2922280	2733120	2822710	2567470	2893640	2639480	2683360	2741220	2603620	2525160	2969630	2704950	2818590	2499890	2631180	2727800	2867280	2529720	2663340	2836920	2717940	2806400	2887750	2722850	2969870
P0AEJ4	5521560	4413190	4386460	6990460	6819440	7209080	4419480	4394230	4172750	4628140	4640220	4528480	4236410	4679640	4329040	4482160	33699.7	43542.9	39625.4	42010.6	44486.8	35254	40159.7	41191.3	42020.6	29381.6	36021	35053.4	33575.5	2013730	2064880	2130810	1963040	1826310	1910650	1968530	2042640	2117770	1944920	2058470	1879680	1775590	1727200	735906	840651	796535	780362	655920	622488	633652	636661	680133	689389	679060	665936	782252	608047	635245	381114	387958	317001	359954	378636	344108	396344	385875	372350	370750	237742	304325	298655	303108	291246
P24173	7149120	7726760	8283250	7638600	7263990	5511240	5823420	7302150	7694550	3655910	8088340	6661130	9437510	7945830	6030960	8537080	35775.4	51701.9	57627	47092.7	40670.9	43631.3	56518.8	53460.3	39427.9	60220.1	59302.3	51767.3	50141.2	1258280	1191260	1604610	1327410	1506900	1337510	1272280	1500390	1391330	1360240	1456270	2075610	1742170	1952600	1050360	1260570	1195650	1211710	1273380	1257230	1365850	1240900	1286620	1306970	1227700	1293710	1140840	1295970	1235410	624938	654787	630428	484701	569874	643525	552341	489005	562772	495774	766282	665416	707376	765747	734374
Q47690	11875000	7954400	8834350	9718820	11103900	7514840	9611410	11037200	8516250	6819200	7568420	7491840	10114100	9636860	7028060	6413820	142517	150622	128876	110187	142618	137617	132975	100307	145757	91121.2	103991	75157.6	79314.8	4762560	4890940	5045350	3314490	6267580	4432190	3730150	5708330	4219840	4287080	4101680	3380250	3174000	3002790	3577090	3077300	2778910	2597100	2214260	2101810	2209860	2211540	2179900	2376060	2271880	2336970	2837570	2287110	2145320	750459	837809	852313	798135	801793	846599	754001	762197	868486	735836	538732	642141	651362	647992	695933
P68187	13557100	22770000	21045500	22711800	13495900	13112100	21369500	14550000	18177800	15755500	12074100	23218000	20017300	22173100	20307200	19516900	66059	96764.3	86070.7	94912.2	85052.1	98847.2	101409	68658.1	62721.4	117495	113874	93564.2	156688	1671240	1581660	2573610	2523040	1351760	1787340	2948880	1903680	2491220	2193960	2449250	3214710	3085720	3595580	1767670	2811250	2286960	2415650	2610810	2155940	2438600	2804920	3319680	3135870	3745060	3296810	2210040	3051490	2931800	1665340	1721970	1537590	1602970	1804510	1555200	2006960	1636370	1422000	1670260	2231680	1904080	2181980	2748290	2405410
P0A9R4	60476200	78108300	51969300	45184200	47654700	62848100	77422700	78813500	62293900	83807800	64478800	61664400	58605500	55294200	72098700	61695700	217819	135088	157823	219555	193699	195708	161463	99533.5	217656	110114	227780	98196.5	200962	41120300	34983900	31710400	24625200	31750100	32238600	27586100	23816100	34574700	34361400	31769600	39989600	30022700	32992600	7295770	7337300	6616010	7424770	9421540	8483450	9196480	9319800	8516970	9112180	9209090	8842380	7036690	9463960	10008300	3358990	3506390	3041570	3416100	2977760	3328570	3245640	3091740	2851980	2943500	3221760	3594470	3386960	2712100	3105200
P13016	11801500	10635300	10295800	11404900	11856300	9805320	9430680	11149900	10293300	8385350	10646900	9078680	10789000	10000200	9267390	10613700	57559.7	63957	68250.5	65418.8	62517.6	59386.5	63517	57829.5	65937.5	52448.5	53307.3	44951.9	45412.8	5834630	4980810	5252120	4037780	5562210	4953890	4409770	5061120	5090410	4931930	4858650	4526680	4239130	4186920	2109990	1931220	1847480	1687090	1633770	1663590	1591680	1683880	1715050	1811840	1651080	1636240	1981780	1676720	1705420	906397	834855	775827	815888	884793	879987	812195	802359	927188	830728	703911	664863	704702	632202	716404
P19636	6044500	4522120	4278370	5535750	5382640	6187270	4398630	4174560	4312700	3836640	3895240	4209660	4441940	4211950	4214170	4257940	76614.4	95500	93531.4	93595.8	87531.1	74424.5	82916.6	94822.2	97817.8	54519.5	70418.2	59373.2	64157.9	3420430	3345210	3584830	2667980	3861330	3246680	2663420	3553480	3347820	3392930	3303010	1973260	2256340	2031130	3174730	2888940	2748930	2707240	1944550	1927440	2021210	2031070	1930460	1897390	1883010	1947910	2929050	1909120	1879010	687465	662765	577551	582968	651264	640960	625612	577968	625123	583126	439762	387848	411787	466895	500083
P77522	13907300	13657200	15311400	20517600	13839400	14439500	14282600	12666900	13906100	13715900	17336100	18001600	19361100	15437900	12276400	19809600	70933.2	71769.4	71458.1	80540.4	73676.3	89524.2	82986.8	74132.3	64560.3	73633.6	91380.7	73722.8	86171	2636960	2871020	3099590	4746580	2778500	3203710	4062470	3228040	3854630	3186010	3486700	3973310	4183180	4311430	1968900	2583280	2602060	2986120	2374860	2326420	2464890	2282860	2551380	2589830	2611780	2192200	2438570	2185690	2470840	1252800	1274530	1088650	1470110	1392750	1492420	1473350	1507430	1080850	1281660	1451980	1415300	1196750	1500870	1190160
P0A884	17465000	19472100	20285800	19092100	18283200	19098100	19125300	19479700	20382400	16757000	20723900	19645000	20641000	20076700	19088500	19758200	232449	290224	259659	247434	282503	248637	299325	303529	252189	323758	303510	274923	291679	7558870	7447570	8898960	6842070	9490140	8024980	7047790	8480360	7574440	7425350	7907420	9152140	9465420	9568580	4242000	4308720	4096530	4123300	4296720	4221060	4421660	4124050	4103540	4298350	4203460	4203960	4194440	4322860	4122670	2431510	2491990	2233500	2318650	2453680	2403600	2315660	2373930	2349880	2344620	2561670	2508780	2392050	2489080	2588560
P41052	6862900	6133770	7029980	7561790	7361400	7746650	6386780	6134110	6869100	6441250	7459570	6613510	7235460	6700330	6344270	7314330	39460.5	34528.7	33256	40493	42248.1	41084.5	40155.1	32155.9	42658.5	23131.9	39403.3	24509.9	39231.7	1646150	1718730	1654580	2017220	1679110	1789440	2016940	1742320	1578330	1647350	1795980	1488680	1927970	1862230	718428	861317	806760	909165	919315	937041	796047	921511	999812	978333	894769	846620	893349	957939	906496	726052	728748	763704	638265	775167	775923	602995	702534	545783	676140	772959	794872	805129	765394	714401
P0A7I7	44693300	39992500	37022200	38531900	41232800	29495700	38074000	40444600	39832800	34035700	40072500	37222200	41271500	39638400	35570800	39703100	120565	136495	131493	124901	131520	116674	130183	69226	146100	71573.5	114763	52626.1	108839	17680600	14942300	15353600	12068800	16342200	15677700	13272100	14123600	15190700	14268300	14165800	15668800	12098200	12636700	10652500	10428900	9598870	9220310	10356600	9988370	10629000	10670200	10432500	10551400	10585200	10348000	10347900	10190200	10835500	2941710	2836790	2835010	2932170	2826680	2936940	2846520	2642760	2649580	2660430	2394050	2569950	2431810	2540280	2478210
P69503	26483300	27350800	31095100	26768800	29593400	25768100	32543600	36720500	29313700	33822000	36244500	34017000	37960600	35641200	33018300	40546600	359088	378120	378046	386892	401841	364490	368656	245838	439941	374462	537374	284496	454950	33348600	28093200	28954200	36244800	26630600	30831900	34510400	20084500	30892000	31073700	27750900	33607800	30340200	31697700	8091460	9301190	8878280	8541540	11946400	12752800	11361300	13100100	12076400	12336900	12629500	12537400	9852760	12035700	12389800	5858560	6194870	5417760	6295930	5929130	6121510	5839910	5688170	4657970	6323890	7672280	7588540	7391650	7567510	7549660
P64534	21390800	16711600	15298300	23840700	20833900	21371700	17152300	17002800	17658000	16352700	15784500	17395600	17738900	16036400	16044300	16912400	305867	479090	469457	449609	421832	378237	437979	434929	455130	383662	389035	355975	310699	17090600	13109600	10978500	17639400	10229700	14705500	17939800	7585410	16362200	13654500	12489300	7617970	7428230	7706460	5385910	5627900	5562760	6460260	4608250	5108700	4255210	4653630	4988860	4435780	4614910	4569470	5602380	4154430	4803130	1607450	1542050	1508940	1972230	1491830	1710640	1797450	1900800	1349550	1661310	1145940	1234620	1017940	1074180	1054270
P25889	8713140	3053620	3051900	3771660	8878270	10945500	2855010	2115800	2364700	2591930	1668650	3984230	2728270	3635670	3624520	1644770	67678.3	58655.2	77976.2	59401.1	126168	47917.1	34728.9	86948.9	106006	13121.3	5877.92	12591.4	26271.6	7292400	6419250	4448640	1024690	13894200	4728850	1229490	9520590	2735710	3846930	3449270	688316	330204	759131	4410510	1419710	1328460	1075460	195930	107140	197349	274071	445474	366084	626230	507003	2027440	564943	423571	1096660	923569	1504820	622156	946461	981753	598453	748258	1367380	802443	NA	NA	819498	815315	881944
P0A901	13480300	9255110	9962220	20460000	16574400	17004500	9292580	11015500	10799600	11379200	12188200	11242200	11250700	9789860	10112500	11384400	74327.3	58989.9	45325.4	73497.5	59833.9	72193.8	67298.7	40750.9	56441.4	26025.6	50115.9	21444.4	44578.2	4486520	4352920	5643460	5503620	5175630	4889170	6265660	4893800	5678100	5336670	5618560	4209810	4751290	4279790	2083850	2575150	2642600	2637310	1724370	1726330	1778080	1756610	1671310	1769370	1462450	1477650	2277960	1450790	1633290	1298190	1242450	1256430	1260210	1405730	1293820	1385350	1327800	1187660	1270560	789556	909654	965582	809116	877069
P0A756	27907200	26032400	28543400	17699100	20769700	26656600	27352000	28027400	27121100	33200500	31124300	24225500	28628200	22277600	22703500	26432000	14236.8	17658.1	17681.2	15406.2	14680.8	17352.9	16775	20003.9	15420.7	17972.8	16173.5	17600.9	19466.9	441877	483992	663704	475911	571791	579369	428917	571411	556016	529134	489754	432133	650178	419791	381472	365897	372221	359540	402062	401452	390142	377686	348130	394868	367903	337868	365082	346779	362138	115678	75562.7	124284	99917.6	105491	99345.2	78713.7	101382	110449	103859	138087	118546	124159	122479	101761
P33920	16208900	15746200	15996500	15524900	15954700	15265600	15103000	15340800	15769700	15899900	15888800	15202800	16560500	15677800	16281700	15680100	132657	170404	146454	151052	157649	150578	160051	127926	155786	132034	147726	121675	145310	5959800	6828680	7524240	6633970	7319300	6784320	6890430	6311420	6950500	6843800	7132400	6253560	7826930	8007790	3387090	3583640	3333630	3484820	3436640	3519490	3415820	3482940	3298850	3239710	3328060	3286260	3567870	3419820	3286520	5566000	5966010	6037450	5094430	6083010	5696000	5121550	5133140	6206720	5465140	5945220	6064050	5933640	5864030	6201910
P0AA53	122687000	84108400	85166200	122375000	116930000	115042000	92987600	94903800	91771700	85571900	89474000	89830500	90294700	87792400	91245900	85585200	86947.2	94901.5	83738.5	87834.1	91578.7	79225.4	80837.7	81966.6	85116.5	46230.7	65224.5	38785.6	58438.1	6927990	6760880	7015340	6650920	9528420	6792710	6341250	8340790	6492690	8071210	7434770	4284740	4927010	5024700	4809790	4628360	4784450	4776010	3284040	3192590	3441450	3261730	3373540	3194430	3455370	3456360	4991510	3357870	3265240	1373760	1230940	1519280	1102280	1322650	1313510	1142800	1113330	1369600	1246590	914088	906872	916740	943438	908053
P60664	33616600	56670100	65463100	32738700	32148300	31257100	58550900	64735800	66136000	50481700	72913300	58233100	62577200	58553100	57576900	63545700	172089	206743	226346	198668	225705	229598	242003	181307	196730	300586	460065	283810	373322	11776400	11227000	11996100	9916490	13441400	10739500	10947400	11686600	11298300	9709990	10893500	26001800	25590500	25248400	4852440	5071670	5178180	4686570	11123500	11406400	12356400	10715700	10085100	10756000	10011600	10120400	5051810	9733640	10589800	3762790	3705740	3847750	3621950	3659170	3675300	3832720	3771350	3730950	3702610	7544590	7243160	7328040	6727880	6678060
P0AAT4	8157560	8689730	9460180	7936630	7674580	5942840	9087790	10607600	9417530	5639070	10030300	8952160	11008100	11071800	7599670	10611400	27441.4	46463.8	43007.4	37252.9	47122.3	28561.3	45359.2	21848.7	30089.6	32668.4	47074.9	27913.5	45359.2	2069490	2244490	2376300	2264280	2416390	2136600	2244810	2472570	2181240	2331170	2303880	2704980	3062490	3107950	1116540	1144220	1122320	1093440	1386890	1365990	1360900	1340440	1378670	1339630	1243130	1357610	1089470	1352680	1277740	599388	567130	569352	507824	660427	654261	623071	579065	610755	628067	778138	931978	792157	862030	879826
P0A6U5	79767200	95060000	91327400	70674200	72465800	75500700	92848800	95319400	94645700	85153100	90242000	92201100	101344000	94341500	96251700	91973100	46936.4	61811.8	52443.5	46768.6	58140.4	63149.7	59610.8	43488.9	56309.2	42998.1	56134.2	40991.8	47783.7	7717310	7490310	7280790	6260680	7456090	7412020	5986680	7166480	7006570	7914710	6911710	6255170	6292480	6976640	2970700	2522960	2613470	2480850	2978220	3052720	2841330	3019970	2651360	2936430	2787660	2917420	2859470	2895590	2851190	1343830	1256310	1344480	1281220	1205280	1284850	1313960	1223840	1211880	1338170	1236880	1312060	1270270	1191620	1188990
P0AG30	163946000	180583000	189451000	166272000	156862000	177064000	178697000	188040000	187120000	184521000	190892000	188320000	188557000	189755000	181436000	190797000	1300780	1592190	1511610	1329060	1574330	1466180	1630860	1397250	1358130	1569070	1696020	1305640	1718990	65674700	69005000	76674400	66982600	81660500	70206200	64702400	72422100	66570900	73680300	75010100	72477300	84788600	92018100	32111700	33268600	33071800	32850200	35377900	35265000	36663800	35036400	36433500	35567300	35721500	35835200	35528800	37249500	36817500	11171100	10969100	11642500	9185100	11534200	10470000	9705500	9706600	11331200	9767590	11909400	11889700	12068800	11980100	11991400
