Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
P0AEJ2	52848400	69912400	82545300	91220700	46576300	66951000	77925200	62046900	74035100	71104000	101118000	103367000	119418000	94416400	33201700	132941000	311539	345386	287403	361851	276950	337303	424477	209330	235730	333748	490679	347856	459262	15614100	17077500	21141400	48944700	20491400	22403600	29681000	11840600	24157500	25126600	28011100	36479100	35532100	40438000	3075850	7668630	6727150	7546010	8278020	9226300	8193220	8328350	10626000	10041100	12365100	8466490	6945620	7599030	9850620	5171910	5415320	2999930	6012710	6070450	5990210	6086180	5207880	2958900	5534250	8810490	7422810	4860110	7659440	6170430
P08142	47435700	50117900	46952800	48467300	41436900	51341800	52310300	47859600	48449600	47274100	47540400	50159300	45417400	43853400	55571300	43295000	468627	516272	557148	501262	570000	578500	591877	620681	533225	569779	564153	587122	519374	27707000	30919900	33355800	22502400	32857100	31184900	28309900	38107100	29654400	30568700	31259400	28304600	32845800	30220900	15962400	15741500	15686100	14846100	15199600	15046600	15553600	14623700	14837800	14683200	13566300	13894700	16312800	14340300	14787900	5539380	5445730	5566890	5137690	5042400	5281210	5330310	5337300	5597730	5308080	4402050	4894680	4873220	4705590	4705300
P76576	28986500	30740400	29033900	31403100	26731500	29415800	32370700	32519800	32558200	35586600	29603600	33748400	30387200	30544500	34845500	28510400	451944	483549	405252	404409	428972	401381	470834	427558	424633	354038	439020	330473	403024	10572200	9776300	10932400	7968710	11185400	10562000	9642640	11225600	10823400	10267500	9811900	9581790	9290350	8680140	6072600	5557150	5608920	5312460	5995500	5778940	5948110	6015050	5827820	5852360	6007210	5804320	5485810	5776030	5935200	10498800	10401000	10579100	10553100	10413800	10526100	9952880	10547200	10676000	10010100	9429250	10450700	10513300	10068200	10332600
P0AET8	105697000	79546200	91414400	132925000	126106000	114158000	101134000	107959000	101509000	94696500	96979000	95581900	104891000	109019000	93444300	104464000	677912	676561	622257	673849	634470	696014	774377	574332	606202	419367	564033	464513	608240	30245000	32067100	37993300	33914800	39102100	35462000	38902200	36372700	32476000	37984300	37278600	34714500	29047500	34822200	12921700	13799600	14285600	13723400	11324800	11195700	11130000	11792600	12374300	12446800	12091000	12268700	13973100	11236700	11272800	5716570	5423300	5773220	5062400	5927160	5512250	5676140	5599490	5867630	5826990	4779490	4804590	4821160	5038320	4757420
P0AFI5	685827	1169030	1197240	617168	517100	915354	1064830	1021080	1099440	1082840	904775	968264	963094	1036000	1036760	1000340	17639.4	23027.8	21269.9	17940.1	19145.7	18408.9	21700.8	22229.8	19956	28462	27559.8	22762.7	26449.5	792558	732956	633233	732683	548284	686450	814113	678527	774512	679456	725361	1030460	955554	1048730	532295	544493	568147	499126	776434	753584	841127	736718	741111	717841	780061	841651	588082	798532	766891	220011	169000	182252	155242	170564	158328	187191	147927	180403	144776	190345	209392	199341	153974	187614
P25888	8176250	17488100	20546100	9443480	7422490	9109730	17460400	20606400	17766900	19468000	20047600	16823900	17803700	15722100	17702900	17652400	21281.9	31646.4	31332.6	24440.8	24696.6	26119.4	33144	27758.1	27642.3	106165	123486	92896	89963.3	1295350	1231260	1388440	1396420	1580160	1482650	1488370	1099520	1390840	1291830	1225430	5521250	5791340	5607540	929884	948092	974689	961645	3712400	3818420	3688210	3864680	3471790	3549330	3123500	2970750	956095	3482190	3976760	495150	583209	433530	537376	537247	490073	495776	514730	410165	556682	1372430	1719570	1601000	1432370	1555520
P16659	100624000	106266000	108272000	96483100	90124800	91797400	101180000	103601000	105439000	82304400	104764000	98308800	106065000	108082000	98097700	103450000	667013	806313	777584	688939	759288	713478	740742	770815	741804	795076	866711	593534	871972	28937600	30790400	32020200	27085800	31353200	29680300	27502100	33642600	27820700	30301300	29815000	28678600	34944200	36008600	15970300	15268300	15085900	15191400	16651300	16571700	16371200	16426800	16377600	16119300	16376600	16573300	15755700	17056700	17129100	7621340	7357740	7829240	6574280	7649300	7043970	6943510	6768970	7990670	7097690	7802530	7855930	8208810	7804430	7715300
P0ABQ0	20418200	16940700	17838900	21148200	18009300	22689700	15420600	14982400	18174000	16270900	16489800	18516000	16803200	16680400	17290900	16538900	110900	122856	93088.4	114560	120041	121323	110195	81007	107516	47737	95878	61878.1	86934.1	4706880	4683390	5156150	4383340	5224640	4666400	4505850	5128520	4386540	4670760	4755140	3587350	3536360	3901540	3958860	3951200	3685130	3848880	3046720	2864470	3042290	2850790	2971310	3020820	2949690	2831230	3913460	3040310	3067180	1252520	1186510	1327820	1077680	1296820	1216320	1172570	1132990	1243130	1124040	960957	938388	952035	956906	964184
P0ADC3	9663660	11839800	13074900	13278500	11058400	11512400	12769300	13438400	11970300	12509200	12873400	11449400	12191200	12338800	11524200	12309000	28583.6	31494.6	33166.2	40446.6	36723.9	32701.9	37015.3	22548.5	39661.4	30617.3	41206.7	17155	43912.4	2058350	2290980	2478710	2374520	2105090	2203630	2341550	1970430	2133710	1998560	2353670	2175660	2696570	2855930	1604080	1738810	1708150	1692250	1855370	1846920	1911790	1862330	1862480	1798860	1771120	1859250	1626490	1810060	1830440	506186	561355	506172	507547	565548	489809	566750	565840	542908	481248	576269	635368	625173	566011	623885
P10121	30973000	28758000	29576800	28367400	28863000	27370700	27459800	29912900	30345100	25940800	30565100	28593500	29785300	30140300	28512800	28848500	197817	221054	241211	228258	230157	214422	234154	240979	229579	216365	229635	202754	221669	15831500	15683200	16946500	13966700	17634200	16510300	13574800	17165300	16588400	15542700	15675000	17132700	14134400	14955400	39571300	38372000	37934000	36769800	39044800	38641400	37989700	39709200	37660800	38251700	37963000	38427800	39450600	38901100	39260000	2530360	2473750	2464550	2484970	2533360	2508790	2550520	2472700	2349490	2479550	2402620	2416220	2387460	2363500	2353620
