"MSP"	"ERS848745"	"ERS848744"	"ERS848743"	"ERS848742"	"ERS848741"	"ERS848740"	"ERS848738"	"ERS848736"	"ERS848734"	"ERS848731"	"ERS848730"	"ERS848729"	"ERS848728"	"ERS848727"	"ERS848724"	"ERS848723"	"ERS848722"	"ERS848721"	"ERS848717"	"ERS848715"	"ERS848714"	"ERS848713"	"ERS848710"	"ERS848709"	"ERS848708"	"ERS848707"	"ERS848706"	"ERS848705"	"ERS848704"	"ERS848701"	"ERS848700"	"ERS848699"	"ERS848698"	"ERS848695"	"ERS848692"	"ERS848690"	"ERS848689"	"ERS848688"	"ERS848686"	"ERS848684"	"ERS848682"	"ERS848681"	"ERS848680"	"ERS848679"	"ERS848678"	"ERS848677"	"ERS848675"	"ERS848673"	"ERS848672"	"ERS848668"	"ERS848666"	"ERS848665"	"ERS848664"	"ERS848663"	"ERS848662"	"ERS848661"	"ERS848660"	"ERS848659"	"ERS848658"	"ERS848656"	"ERS848655"	"ERS848654"	"ERS848653"	"ERS848652"	"ERS848651"	"ERS848650"	"ERS848649"	"ERS848648"	"ERS848645"	"ERS848640"	"ERS848635"	"ERS848633"	"ERS848631"	"ERS848630"	"ERS848629"	"ERS848622"	"ERS848621"	"ERS848620"	"ERS848619"	"ERS848618"
"msp_0626"	0	0	12	0	0	0	215	0	0	0	0	0	0	0	0	1471	0	0	0	0	0	0	9	0	193	0	0	261	0	0	0	0	0	0	0	1178	0	0	9	0	0	0	0	0	20	0	0	0	87	0	21	104	0	0	0	0	0	0	0	11	0	0	0	25	0	30	50	0	0	0	0	8	6374	37	0	0	9	0	0	0
"msp_0627"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0629"	0	0	0	0	231	0	0	0	19	226	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	4441	0	811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	34
"msp_0630"	0	189	342	447	0	0	125	80	37	28	0	66	274	162	0	12	0	123	141	0	0	1948	0	70	73	0	206	1971	100	884	1323	86	551	739	20	0	280	172	159	0	0	144	71	0	0	0	0	6382	0	1972	0	12	0	299	0	457	0	0	299	8	291	0	0	0	0	0	0	3	156	0	0	0	0	0	0	0	0	0	0	12
"msp_0631"	0	0	7	25655	0	0	0	0	168	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	807	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0
"msp_0633"	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	7	0	0	0	31	0	0	0	0	0	0	16
"msp_0634"	0	0	0	0	0	0	0	0	0	15	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0
"msp_0635"	0	0	0	22	0	0	0	0	0	534	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	19	0	0	0	71	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
"msp_0636"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0637"	0	89	0	0	0	0	242	44	194	0	0	0	15	458	0	138	0	1041	0	0	0	0	0	683	0	0	0	0	0	0	0	0	11	0	0	0	39	101	0	0	46	0	0	9	0	0	0	17	0	19	0	50	0	0	0	0	6	0	14	23	291	76	15	0	0	0	0	0	22	0	0	0	17	154	0	0	0	0	109	732
