rowname,BBM_673_P283_01_VEB_001_R4,BBM_673_P283_01_VEB_002_R3,BBM_673_P283_01_VEB_003_R3,BBM_673_P283_01_VEB_004_R3,BBM_673_P283_01_VEB_005_R3,BBM_673_P283_01_VEB_006_R2,BBM_673_P283_01_VEB_007_R2,BBM_673_P283_01_VEB_009_R2,BBM_673_P283_01_VEB_010_R2,BBM_673_P283_01_VEB_011_R2,BBM_673_P283_01_VEB_012_R2,BBM_673_P283_01_VEB_013_R2,BBM_673_P283_01_VEB_019_R2,BBM_673_P283_01_VEB_023_R3
P00579,22.609052040126123,22.712082893342306,22.691595788442267,22.752416911721085,22.675427340205133,22.535456663648546,22.620452423182716,22.595167355196843,22.547133747717968,22.633601552342412,22.615953240658232,22.676887373177745,22.744843278297203,22.77045635619613
P00579;P13445,18.748435178885494,19.20741973400891,19.622783844220244,18.958027793974104,19.623802528178707,19.43108716200318,18.94333479769476,19.76336281797139,19.040416738216628,19.176656159026713,19.080367262836532,19.64781446620723,20.063385146934742,19.55328703876763
P00582,21.878406285079684,22.059301955365,22.119183264038714,21.982572481190353,22.1263058014826,21.968253272251296,22.00143810036659,22.233645607934303,22.036050549895002,22.06414500797476,22.169317064405053,21.837469348853283,22.0656292592725,22.038840903685117
P00634,20.259530783773815,19.970708154335114,20.06108077850892,20.253388885483854,20.02887064308546,20.235798639167175,20.423954387838446,19.926379096161295,20.41941120967818,20.112016166148756,20.1854520045038,19.73765094543877,19.3577619558038,19.350948929506934
P00803,21.593320199711975,21.68683290695424,21.856372060385592,21.667564813271248,21.861314593543362,21.66507298723518,21.58797480419065,21.68858970301456,21.71296283279086,21.69763436483623,21.72559205205487,21.846025297844314,21.73623484066601,21.779461813893445
P00805,23.744337072091703,23.47087381917919,23.18126040227029,22.84022471425074,23.84720843361486,23.275675206875164,22.362259560422366,23.146467935223427,23.036122473033373,23.107352479789316,22.954714434691827,21.509577505630755,21.147016121829473,21.45725087629726
P00811,19.599970161278684,19.764145027785343,19.763729878329542,19.38836486028824,19.872265641675302,19.67154590416874,19.63961640799148,19.957003588057518,19.725733950974604,19.675760802802337,19.62654410758913,19.910359304066567,19.883736985987873,19.80919888963789
P00861,20.286264275333743,20.286348817443574,20.411392034783532,20.32281105485655,20.42504070942097,20.342167026661023,20.495008320332126,20.273296207592935,20.351853518769964,20.51823741286171,20.47877185608965,20.661853355685928,21.081912770118294,20.9445505320681
P00864,24.561572559547226,24.59734502161869,24.67870908244089,24.465383674510047,24.823270463567148,24.591910025009692,24.5011094098128,25.004688212222657,24.566635395137098,24.647796914106014,24.63879766572359,25.674960232965194,26.0510287678721,26.04531986447003
P00887,21.696136252107387,21.655562360589084,21.947024553236584,21.458994101386548,22.197114245175456,21.77275191144306,21.442268363100496,22.12711613622555,21.651802305129387,21.84301471799806,21.885682638655933,21.951617613692903,22.04761738908273,22.104193799721216
P00888,22.900416282259027,22.88091286283253,23.35781103047043,23.309939347532218,23.22024841582731,23.245011349534682,23.21202303382489,23.038554719508863,23.187778691550662,23.290591307415642,23.391274488551396,22.548468421069707,22.387539197297556,22.65666769354201
P00893,21.99641598201762,22.045064573090002,22.321765275138745,22.063980547134378,22.236116213588033,22.123007405459898,22.06413206030864,22.413074985858824,22.107339306848665,22.22319680774322,22.24870391030915,22.590865491174785,22.897403734670377,22.812967027142992
P00894,22.233177985009885,21.994608819631765,22.182937152429776,22.094223702988046,22.090023383058615,22.143517600806305,21.908823609191234,21.969375113954726,22.1634738105053,22.19401811011266,22.129614561154575,22.660723011179535,22.551301004882387,22.513791277360603
P00895,22.133124750511875,22.302530602248684,22.52159952453054,22.55792385743172,22.503510224820168,22.414360586725316,22.578756039839593,22.429115482155485,22.342878888283057,22.50203657754903,22.62758808420525,22.490873597963752,22.736448915006847,22.883048936844872
P00903,18.019783431825335,17.99177986267701,18.353377613361843,18.103491892477855,18.15806641159115,18.158077043909625,17.71927705512282,18.213355442336713,17.955754737905146,17.904504255706403,18.06307960034497,18.528279540509658,18.498626809195454,18.13060920929182
P00904,22.340755059922806,22.42262640526205,22.69412259222066,22.742772022336297,22.5508094502742,22.52213966539015,22.71110819920291,22.52177363187328,22.652582661341093,22.627075432705524,22.702052050487026,22.301338134461304,22.85133256389029,22.822107796362573
P00909,22.43779407242848,22.503444265494892,22.675568667665225,22.75435836560767,22.595867520475334,22.657358842070522,22.86408444511052,22.534869438738937,22.587019967842192,22.753530836709356,22.791637676674547,22.81032017207882,22.873903772878993,22.96696015077456
P00914,18.195438646848903,18.527800798243018,18.619526966345404,18.947282268342203,17.99509444504272,18.416510348260335,19.141543941773996,18.379745607613582,18.58916767881257,18.461168903957105,18.40059143853079,18.46581506754169,18.83721661072191,18.561012629687653
