rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P0AFX9,21.90254836988339,21.821239543922378,21.905386377686117,21.92305099394033,21.868814575307734,21.803381711953435,21.93261594862347,21.844040461406966,21.886657286753007,21.90611728651426,21.841145148746747,21.843827320765023,21.911878646608134,21.797321403029073,21.814763801281273
P0AFY8,22.56012870074462,22.752082928709548,22.60132795436813,22.323515438603188,22.283740323688853,22.327736732159764,22.49860207989728,22.230205561922567,22.455643801228597,22.503602230407317,22.298692046690185,22.400906649558983,22.49852115026969,22.332605751400898,22.456328490993528
P0AFZ1,20.467011954237552,20.659497058565208,20.70235293867207,20.125883410646264,20.331134471912307,20.361024176154572,20.362617588495105,20.298501632907186,20.534248623120085,20.250909873449363,20.148797338662927,20.361515724485965,20.294712120880085,20.256312123970382,20.07254899324023
P0AFZ3,21.909370117193735,22.110414728421766,21.796655554775878,21.870507914743083,21.80403446509541,21.790821900546145,21.935647433426418,21.5623980282213,21.804272645226817,21.713093581010014,21.570028209563294,21.613591420000187,21.787031523339806,21.609291057638988,21.77624592059969
P0AG00,21.544912719436777,21.520926945868506,21.609469113563748,21.70542647717835,21.640218135995795,21.635256087122734,21.669819647830874,21.684721774597616,21.664344585981876,21.65687354655684,21.636051162713663,21.6524151488327,21.656808256180135,21.70355437252406,21.626120496393764
P0AG03,19.128494026983596,18.98214323607588,19.042818490256472,19.144608483534395,18.840201834914403,18.837510375434206,18.939263580555828,18.81081431578485,18.84041247464303,18.927302508021636,18.86681219336311,18.86026230283108,18.84894104298695,18.796572609002133,19.067677126660094
P0AG07,23.091687399756815,23.11069433719156,23.161558880420106,23.104098687486815,23.06970736160488,23.028616857517598,23.326230876229655,23.038449169244252,22.992834398869913,23.065293056185514,23.07337795674385,23.041340752229026,23.098854533508753,23.004418466414062,23.169187757688917
P0AG14,21.232734113306467,21.199559571483565,21.32194628300663,21.183630360963466,21.352392766392537,21.321589723506925,21.371036552372132,21.33489170096628,21.33811789610208,21.328435787071882,21.386053746818398,21.359575552208547,21.295990224158018,21.319654537624977,21.16568060196133
P0AG16,21.845787478907205,21.935735550004615,21.84096765703492,22.085997961924623,22.626608177674473,22.583455825795014,22.469652913156484,22.510631914759784,22.595214999912894,22.540871454259328,22.619197634121193,22.55047900646814,22.645846143183455,22.645846143183455,22.08144577282243
P0AG18,22.147403446217353,22.197832724138163,22.17893924439992,22.264396525990872,22.327653252899854,22.5498158168042,22.474108152831047,22.30376418891638,22.461803643956788,22.335251461436567,22.34888846673402,22.3785181599818,22.49938675442208,22.340202533965062,22.11365391856284
