"MSP"	"ERS436842"	"ERS436841"	"ERS436840"	"ERS436839"	"ERS436838"	"ERS436837"	"ERS436835"	"ERS436834"	"ERS436833"	"ERS436832"	"ERS436831"	"ERS436829"	"ERS436828"	"ERS436827"	"ERS436826"	"ERS436825"	"ERS436824"	"ERS436823"	"ERS436822"	"ERS436820"	"ERS436819"	"ERS436818"	"ERS436817"	"ERS436815"	"ERS436814"	"ERS436813"	"ERS436812"	"ERS436811"	"ERS436810"	"ERS436809"	"ERS436808"	"ERS436807"	"ERS436806"	"ERS436805"	"ERS436803"	"ERS436802"	"ERS436801"	"ERS436800"
"msp_0239"	0	11	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0242"	0	0	0	0	0	0	0	444	0	0	0	86	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	31	0	0
"msp_0243"	0	0	0	0	2259	0	0	0	0	1025	0	0	2	0	0	0	0	0	0	3	0	234	0	0	0	0	0	2282	0	0	0	0	0	0	1051	0	100	0
"msp_0244"	218	70	178	160	97	477	169	1861	0	0	0	0	133	0	46	0	0	1355	36	0	527	17	2321	41	885	12	42	58	14	18	0	167	1755	0	140	2836	0	0
"msp_0246"	0	0	0	0	0	0	0	16	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	21	0	0	0
"msp_0247"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	940	973	0	0	458	0	0	0
"msp_0249"	8	0	266	0	351	26	112	48	9	78	312	1054	5	453	605	0	6	12	43	63	0	400	243	215	0	104	230	154	12	11	208	103	137	11	50	0	182	718
"msp_0250"	2459	3039	1753	6	4144	1013	1008	0	0	5	9	5575	3	0	0	5	7814	3669	317	2105	101	13194	0	40	3	2674	4284	2404	625	4	0	300	4	15	2480	3	11787	19
"msp_0254"	0	0	59	0	0	23	0	247	0	0	0	134	0	49	143	0	404	304	0	0	45	4	0	0	22	440	0	0	0	0	1406	0	0	0	0	109	4	0
"msp_0258"	1826	681	0	3211	5992	28	700	226	4797	0	59	0	240	1621	1519	878	0	8520	2	0	535	52	196	16	2751	6291	918	1104	28	43	4309	12	1973	64	662	13	1885	0
