rowname,BBM_673_P283_01_VEB_001_R4,BBM_673_P283_01_VEB_002_R3,BBM_673_P283_01_VEB_003_R3,BBM_673_P283_01_VEB_004_R3,BBM_673_P283_01_VEB_005_R3,BBM_673_P283_01_VEB_006_R2,BBM_673_P283_01_VEB_007_R2,BBM_673_P283_01_VEB_009_R2,BBM_673_P283_01_VEB_010_R2,BBM_673_P283_01_VEB_011_R2,BBM_673_P283_01_VEB_012_R2,BBM_673_P283_01_VEB_013_R2,BBM_673_P283_01_VEB_014_R2,BBM_673_P283_01_VEB_015_R2,BBM_673_P283_01_VEB_016_R2,BBM_673_P283_01_VEB_017_R2,BBM_673_P283_01_VEB_018_R2,BBM_673_P283_01_VEB_019_R2,BBM_673_P283_01_VEB_020_R2,BBM_673_P283_01_VEB_021_R2,BBM_673_P283_01_VEB_022_R3,BBM_673_P283_01_VEB_023_R3,BBM_673_P283_01_VEB_024_R3
P00936,20.05868787996289,20.210751245683866,20.324135341275834,20.400369100061713,19.99485554670054,20.21578838750276,20.350683863449365,20.54445785424802,20.221039256887973,20.186857941191597,20.273768134387986,21.15172022193485,21.675403986617294,21.504568566876436,21.54431886485833,21.557656093935766,21.67016283918827,21.578573284287224,21.54958416564169,21.411649417887556,21.44183362069254,21.544615308043824,21.472520618667332
P00946,23.497750166113317,23.400939405323076,23.40323277185324,23.17549193807285,23.517209651811775,23.401477455812483,23.174663557310005,23.382282988042682,23.25911040292346,23.329439313680947,23.298426708733476,22.93022588304237,22.852213459323245,22.856271600110457,22.813723674642993,22.85926086468319,22.76750152791864,22.9442253193789,22.93020676069608,22.901656732120415,22.8414689270536,23.037480689475263,22.97559586931358
P00954,22.746377393059152,22.865954251081114,23.051105492146245,22.725390541660012,22.981269908801217,22.851839807629315,22.733807152074387,22.94100921614099,22.838948853982323,22.89701749446962,22.96896786898717,23.3572209239589,23.4087851024775,23.2921478478015,23.33701915844466,23.291816125609195,23.380759002816156,23.3574947188626,23.363882905141253,23.316436601853574,23.370119145720498,23.378550208162554,23.48938708492639
P00956,24.523246177400825,24.57381732676385,24.572573403304453,24.075063779734624,24.761613038339107,24.429556574408398,24.21063752880064,25.033611097311425,24.32936209119588,24.464753690878045,24.452623203545564,23.947727403827116,24.14808359114833,24.216179914329224,24.301958351867867,24.254701438286407,24.42863521875471,24.248946183978198,24.244309913619418,24.119098694360513,24.201485524499315,24.315049550514143,24.257752599563574
P00957,23.40797724235494,23.55439141051956,23.622930834818124,23.504448280677195,23.652278469073316,23.533582937442688,23.42159551210189,23.75459069575979,23.498227551974455,23.54476269905067,23.61381857853199,23.55621187001234,23.768835806031383,23.755754638849943,23.87952651386344,23.8357238109809,23.91388634823967,23.864273292598572,23.81918072703076,23.60864696935549,23.71426048654038,23.793623144029,23.86493518373278
P00959,23.262214822680903,23.273618316898155,23.38792387266909,23.15696185003628,23.35340794361327,23.232472107126235,23.129581284026585,23.47694180561255,23.180872941983846,23.299378965198414,23.291331119266665,23.28796419846816,23.609234219582476,23.69039267291826,23.762417334785077,23.744286434901028,23.711654137388926,23.72851493948486,23.754201156136936,23.49093450503076,23.49302898985273,23.650889751593642,23.69855133604514
P00960,22.985220641572393,23.02461130452145,23.00100623981984,22.924572301211168,22.989719877186253,22.91547630858563,22.853236583843135,22.841798409843676,22.85592681536341,23.022366598833557,23.060749492043957,23.046914764034103,22.844716062972925,23.10367658533116,23.156212775461196,23.032370041152962,22.9012690676122,23.048220733396022,23.03619706897389,22.771060405931586,22.81648488691077,22.92973924001605,23.10178154706467
P00961,23.923269388709965,24.050919934573194,24.17039218778878,23.912214343537133,24.10854372508064,24.009659803595348,23.813151925871484,24.27572903351516,24.02625029674867,24.052046143636264,24.06214265791916,24.041641425423364,24.195555772112236,24.190365855307622,24.13814270070455,24.105147605363598,24.117373261642985,24.1732186050109,24.165878811376572,24.02686506496018,24.178979536185974,24.16363125273056,24.165121274425207
P00962,22.827149517728714,22.841514266596832,23.102451690583408,22.759980149403003,23.17342555742288,22.930605788932052,22.796001100470463,23.1038870601215,22.85396331217253,22.997382414546376,22.98812008746529,22.960163652551046,23.26851465042905,23.391273023685915,23.39719677234223,23.36505800014871,23.413358858947138,23.386244414002253,23.404387708349535,23.191375746991778,23.16776730576191,23.302964028363004,23.223904670865373
P00963,22.602054895031564,22.605889933203578,22.84641299491255,22.423390697049978,23.360844106758382,22.72394778643196,22.46986360423605,23.003241032390495,22.625783515591948,22.67957004818819,22.843304248043736,23.56230282878399,23.585463365110712,23.626937761356526,23.42585222299612,23.396602419149477,23.315739544585465,23.235862113730672,23.213072317814188,23.38255468809658,23.35340981167736,23.536463413336808,23.35432991039551
