rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643
P0A8W0	4.399663764172974	4.439711153229356	4.395784459437927	4.441790061229635	4.423488849243112	4.4272135958826375	4.374104246780648	4.407578799828984	4.441505334019666	4.4059347596435785	4.428225081161699	4.443328168511629	4.3988886335281405	4.428818900607671	4.42510178198003	4.408747109657692	4.433452480047235	4.375708447284869	4.3837216460605175	4.410052781966092	4.401755284947317	4.412674594654752	4.402204456030691
P39451	4.195418116405674	4.215821949972043	4.2237490171312615	4.214488431072069	4.191780215769588	4.103638166554185	4.184826682926429	4.2625310869990365	4.254754260660001	4.15955099005957	4.168350723400212	4.153438332335326	4.087359326644236	4.1256279493381545	4.095143832723273	4.183369070619303	4.143079114376328	4.148801192553116	4.1605288489418495	4.102673880779589	4.098122958142002	4.169003535495515	4.149926191341145
P76559	4.386060843099855	4.37553189677002	4.367772304033819	4.3290234730621995	4.408616167579856	4.356688061211137	4.354645656008012	4.353816714076275	4.378791520899685	4.351134759078344	4.37431565249048	4.400037584525968		4.214847029009755	4.224882972255761	4.2251875297720005	4.251729887790587	4.26793135927229	4.208716920005303	4.251704613765838	4.134822794736088	4.3224320454870355	4.229815170279693
P08506	4.61848923493773	4.617782919092772	4.612294007766374	4.6209397476231775	4.624298500470483	4.6216503673340075	4.609050629797025	4.615345120391498	4.622206412404613	4.6021429226827335	4.6170725601966245	4.623752047736084	4.552942965816062	4.599671144758903	4.596724153480928	4.60029759426513	4.599870948551597	4.569365213475987	4.547299134025074	4.5994118498120695	4.6002267017156955	4.596429817163824	4.586631612703121
P0AB58	4.3592907983424825	4.399758833677967	4.38180028962693	4.3963872114887765	4.370910072968834	4.385157140563541	4.402361547849512	4.389418018907258	4.379362801720915	4.383449362560232	4.376786002597562	4.375228536000381	4.357001130124728	4.360909490600337	4.357223314634418	4.355510231047959	4.3509619992810515	4.348243896958763	4.317476949177732	4.342550312917172	4.340070571125118	4.365557037958434	4.363437679467086
P06992	4.413584300292876	4.4463566338229015	4.436966224406672	4.432439656444301	4.441624985956992	4.425447764554972	4.440998932204115	4.436145873015789	4.438516736800078	4.415663861031427	4.4332241265305	4.446687068702124	4.428003977416647	4.4608399705559725	4.442419022662909	4.463533362712729	4.455861851846762	4.423865512377123	4.434989260589787	4.459890098575166	4.4601818602556005	4.450097992801277	4.440229124375362
P33025	4.417094453423422	4.4182001365269885	4.409352895201568	4.414158023197509	4.431961346616257	4.4335276073921	4.415866180346611	4.420867627879245	4.435143575503401	4.422435786224857	4.42886443124242	4.4134119269703636	4.167802250214364	4.201661584763133	4.195406253301321	4.182842975007204	4.175531752925634	4.138935785423458	4.16280244428398	4.245453270232641	4.19304958622118	4.179939852973052	4.174423086499782
P0A7K2	4.811918498354354	4.834863466435078	4.810910296878114	4.829527934276295	4.828156739605621	4.814082471466943	4.837192339348621	4.809103565717981	4.825191903077462	4.8347702921054285	4.816907089724561	4.833354942663409	4.857251850354447	4.869951287674784	4.852662640984622	4.85526109643019	4.8563959354475585	4.859712916736758	4.85015253169681	4.869977469415011	4.854425575933936	4.858821115439364	4.856090264124872
P39264	4.269227264640271	4.321411649323429	4.296870551142075	4.271495822760543	4.150152435358736	4.166011873583814	4.145850014247571	4.236317891854159	4.254011754348601		4.2330466894249845	4.20049454143229	4.1302232320824395	4.200405033352575	4.224681349118017	4.209432111528714	4.258954527617873		4.128872098401208	4.116665654725572	4.175011144057193	4.156364481221206	4.15134908542705
P0ABD5	4.601027862083325	4.614016309278883	4.595027235710822	4.622151648068731	4.608606329853122	4.626560557403214	4.620120955630889	4.6185858193387554	4.632568302718266	4.622393507944906	4.617489067483923	4.608435843626875	4.6068788452373095	4.616222846254088	4.627230748744344	4.624346531979831	4.619886686899217	4.61900021437655	4.617767636398852	4.614897195798657	4.620526965071666	4.627148053148602	4.613543362800506
