rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3
P30745	4.135710052110001	4.149498411166659	4.117624025520904	4.137409211236344	4.183193890909061	4.155414072472894	4.151058334082695	4.156058614197562	4.133160411046069	4.1368812749605555	4.130344619655768	4.120219248175512	4.169929096622258	4.164326008694141	4.172727238571219	4.171273352242044	4.165286382117261	4.142907885366161	4.129541963442408	4.12903897175863	4.108635455456395	4.003831239733446	4.101488602010212
P43337	4.412518307766648	4.415115575253318	4.412001252063675	4.4240752894305455	4.416132340562434	4.407082616015741	4.415992421406225	4.411242085423626	4.403722358341434	4.410614535474878	4.4082151207586255	4.41848753931493	4.411007933882775	4.4069539404914	4.418443367199531	4.408586706528522	4.407344487138084	4.412727397915539	4.4041015323662975	4.401552886377691	4.408088440580788	4.400248200731914	4.414037477474841
P75838	4.436848796766993	4.434984179671585	4.444305322941809	4.436640769452794	4.444215521900981	4.4400528647809265	4.449743743677594	4.439421161386403	4.443256887920601	4.440496556313639	4.446707525607567	4.491311240363771	4.514365395904214	4.501640998084728	4.51133719310945	4.515998445697615	4.506054846911873	4.505635986704524	4.509719345102203	4.4927471179766645	4.499577480960506	4.498656178167727	4.504433046683892
P0ADV1	4.522823384703776	4.512146208515969	4.498477433639482	4.514663440877836	4.499517628242594	4.514567890467466	4.512046708243187	4.482521178568021	4.516073974427597	4.508501916517624	4.50724102829846	4.477950915528951	4.463709736319752	4.48416865782687	4.477848925277169	4.479263812061855	4.465536338356055	4.479971021808679	4.476240989609243	4.480777633410004	4.455651050446255	4.483620782107502	4.485842844477063
P37744;P61887	4.398177978061967	4.4131015758481436	4.420942902064525	4.4026103504287075	4.4275070906249026	4.415340955983789	4.3988451747587956	4.416530270718116	4.4026367928980195	4.407263084449714	4.414240572632746	4.431401475974445	4.429842785173335	4.4229943242894185	4.417633392892334	4.403344631180723	4.419337573848512	4.420912225619232	4.422880785283167	4.421297092234194	4.404493661691816	4.41873425502475	4.420871305215941
P0A9M8	4.6693101337693665	4.673539618343416	4.675137003236579	4.683716248790746	4.683507252417754	4.672955321816801	4.675257906056095	4.6854387346129185	4.670488057171598	4.676285083181531	4.67625840086845	4.635299143146887	4.638980572687315	4.639282357768456	4.651184073245775	4.64242567895222	4.647452149861754	4.648136392860452	4.652095150386677	4.638021238739935	4.6527439656938485	4.658878422868447	4.656526144615134
P15031		4.220683426017847		4.2138718083058695	4.034448803586313	4.127070103454593	4.218363423555096		4.113007355855512	4.160383032483139	4.05921744799788	4.22239894269708	4.2377807645994725	4.1628743526070044	4.18093884500963	4.164769113718881	4.179284601108965	4.1558650450570696	4.181433387751073	4.212658201259974	4.1097658446505	4.119726629033152	4.180512313329946
P0A8W0	4.431003851576688	4.41823824339588	4.42493287648222	4.416082641545569	4.423415193677168	4.429153554939111	4.419124593300073	4.404982992964489	4.425489548457682	4.424433153201153	4.422243598381749	4.42322347288708	4.407656093526916	4.409968316078873	4.393498879213226	4.397246565282612	4.389112308220986	4.4052029737819955	4.410257904799148	4.414671605048998	4.3936006956421085	4.406288486325868	4.409596610020765
P39451	4.171212838647947	4.142861704200369	4.222242295969685	4.285070125635245	4.204414218483683	4.1915566369081105	4.243439449410415	4.180311453551842	4.196830508265864	4.18041110047169	4.198015020248812	4.134227956253089	4.206186621508436	4.162186023574057	4.123430517766518	4.082764840449725	4.161405113163413	4.137157248536392	4.098376547234842	4.168421135242391	4.137947379726223	3.992857055148191	4.097925711173087
P76559	4.374837883025605	4.364886714878173	4.340462611154385	4.372496565884101	4.330381386729131	4.369795274318906	4.396365282745833	4.306850992914411	4.3816469540559	4.360407689034874	4.357000451249848	4.249130980322077	4.253303541879346	4.231071086350824	4.249643834926546	4.268039267645719	4.235083994162276	4.248394054789419	4.248410276446156	4.253596816528957	4.256458473831317	4.235123313750697	4.248887448847442
P08506	4.600246938787282	4.608670723624832	4.6183826369124175	4.604223047261155	4.622651071490131	4.610905272985335	4.6066675217010395	4.621829683328851	4.607167701078306	4.612283229694533	4.615240961915076	4.58119291040872	4.585972020751009	4.592521144497245	4.5969793997548045	4.594414339094302	4.597897413962053	4.5986939908141515	4.59496639101719	4.589709828618636	4.578809198009895	4.595702254335512	4.595886146149158
