gene_ID	ERS2637868	ERS2637867	ERS2637866	ERS2637865	ERS2637863	ERS2637862	ERS2637861	ERS2637859	ERS2637858	ERS2637856	ERS2637855	ERS2637854	ERS2637853	ERS2637852	ERS2637851	ERS2637849	ERS2637848	ERS2637847	ERS2637845	ERS2637844	ERS2637842	ERS2637841	ERS2637839	ERS2637838	ERS2637837	ERS2637836	ERS2637835	ERS2637834	ERS2637833	ERS2637832	ERS2637831	ERS2637830	ERS2637829	ERS2637828	ERS2637827	ERS2637826	ERS2637824	ERS2637822	ERS2637821	ERS2637820	ERS2637818	ERS2637817	ERS2637816	ERS2637815	ERS2637814	ERS2637813	ERS2637811	ERS2637810	ERS2637809	ERS2637807	ERS2637806	ERS2637805	ERS2637804	ERS2637803	ERS2637801	ERS2637800	ERS2637798	ERS2637797	ERS2637795	ERS2637794	ERS2637791	ERS2637789	ERS2637788
msp_2258	-11.339515315336765	-11.339515315336765	-11.339515315336765	-6.897496801914315	-11.339515315336765	-11.339515315336765	-6.105858339395535	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-5.2121332935156754	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-6.256947170398815	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765	-11.339515315336765
msp_0565	-11.350764142227193	-11.350764142227193	-4.063003143082352	0.5995876740157645	-3.8349149385909724	-5.4993762310016425	-11.350764142227193	-3.270728341689903	-11.350764142227193	-11.350764142227193	-11.350764142227193	-11.350764142227193	-5.028391890856093	-5.500696729594202	-11.350764142227193	-11.350764142227193	-11.350764142227193	-3.034800215710603	-11.350764142227193	-5.245150608384482	-4.403211016182032	-5.182708247158972	-4.280009221584592	-11.350764142227193	-3.434496166570712	-11.350764142227193	-3.924832113560252	-11.350764142227193	-2.1503033188286027	-3.401881631736752	-11.350764142227193	-2.930078104212953	-5.878201460590413	-0.9182747253763028	-3.2317094979528527	-4.069755178449222	-11.350764142227193	-11.350764142227193	-6.321434605579372	-11.350764142227193	-11.350764142227193	-11.350764142227193	-11.350764142227193	-11.350764142227193	-4.425517796811462	-6.4316507916795125	-6.214315638412953	-6.938591324546413	-11.350764142227193	-4.3113906990584026	-11.350764142227193	-4.8176760233404226	-11.350764142227193	-11.350764142227193	-2.659881625207243	-2.135158560596123	-2.3810230647814423	-11.350764142227193	-5.594070307512652	-7.044197582189793	-5.040997944547542	-5.592572659841952	-11.350764142227193
msp_0677c	-12.150410090974908	-12.150410090974908	-12.150410090974908	-7.456462025631388	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-6.693285101224007	-4.593642608759607	-12.150410090974908	-12.150410090974908	-12.150410090974908	-7.324060429317817	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-6.354628412020517	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-5.957709387727178	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-12.150410090974908	-4.355245634235607	0.2431628073783505	-12.150410090974908	-12.150410090974908	-12.150410090974908
msp_1193	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-3.7066808948277874	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	1.4520831652724973	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-3.5333382880934474	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-5.503255071786678	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-1.7742930786657478	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-6.543802262605688	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639	-11.076533044795639
msp_0278	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-5.853485600226986	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-2.5217645140219367	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-5.980522477231357	-11.360583166465528	-11.360583166465528	-11.360583166465528	-11.360583166465528	-1.8979653357074566	-11.360583166465528	-11.360583166465528	-11.360583166465528
msp_0246	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-1.0594372443920228	-11.162564962907293	-4.028652148668222	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-5.568535207945633	-4.377084786846723	-1.8543250347036828	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	0.3760592796422423	-3.266901396698183	-0.7772009093576526	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-4.328820119635983	-11.162564962907293	-11.162564962907293	-11.162564962907293	-3.2912072546392523	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293	0.6865280688041023	-11.162564962907293	-11.162564962907293	-11.162564962907293	-11.162564962907293
msp_1357	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-3.4710286839954136	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-5.034196207257104	-12.350611013497755	-12.350611013497755	-12.350611013497755	-3.6948113341840036	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-3.8161354112639136	-12.350611013497755	-12.350611013497755	-2.9972254419558038	-12.350611013497755	-12.350611013497755	-12.350611013497755	-3.901134954335834	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-12.350611013497755	-6.449832897756163	-5.939308527353234	-12.350611013497755
msp_1012	-13.751344934695604	-4.5372581192417645	-13.751344934695604	-13.751344934695604	-4.544101939332604	-5.708180030850974	-13.751344934695604	-3.518481686163644	-6.314297733543134	-13.751344934695604	-7.607196568186684	-13.751344934695604	-6.580431826638534	-5.750937757956174	-13.751344934695604	-13.751344934695604	-5.918081996109034	-1.864352774731481	-3.702870365220684	-7.121677546022814	-5.876482642513244	-5.934117349668404	-3.278780724019904	-13.751344934695604	-13.751344934695604	-6.444482936902574	-6.390120769441904	-6.829770918844244	-7.511402750497904	-3.965985136295634	-5.485222792290774	-7.5194240654563345	-7.932226003483264	-3.840731650674804	-4.8517718538723535	-13.751344934695604	-13.751344934695604	-2.9120587858723743	-13.751344934695604	-13.751344934695604	-13.751344934695604	-13.751344934695604	-13.751344934695604	-13.751344934695604	-5.358381936532534	-13.751344934695604	-1.87476295203563	-8.239110688940544	-13.751344934695604	-6.369171428692044	-5.926009270140044	-8.151395905262163	-13.751344934695604	-2.046197990844795	-2.446605506538334	-2.207169245543148	-7.841672108844144	-6.884513224292764	-2.086465946797379	-9.048083724059534	-13.751344934695604	-13.751344934695604	-8.441947146672874
msp_0343	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	1.7543517625126084	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-1.6224851018773916	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212	4.244609164510939	-12.144569826047212	-12.144569826047212	-12.144569826047212	-12.144569826047212
msp_2280	-11.948502034373199	-11.948502034373199	-11.948502034373199	-7.040146247554218	-7.518850835651378	-11.948502034373199	-11.948502034373199	-6.580936820634488	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-5.191431479581388	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-7.475857826792998	-11.948502034373199	-6.183432222138448	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-7.035140921749578	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-6.962431591480478	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-3.818973552125218	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199	-11.948502034373199
