"file"	"lab"	"batch"	"condition"
"DIA_BGI_D5_1"	"DIA_BGI_D5_1"	"BGI"	"DIA_BGI"	"D5"
"DIA_BGI_D6_1"	"DIA_BGI_D6_1"	"BGI"	"DIA_BGI"	"D6"
"DIA_BGI_F7_1"	"DIA_BGI_F7_1"	"BGI"	"DIA_BGI"	"F7"
"DIA_BGI_M8_1"	"DIA_BGI_M8_1"	"BGI"	"DIA_BGI"	"M8"
"DIA_BGI_D5_2"	"DIA_BGI_D5_2"	"BGI"	"DIA_BGI"	"D5"
"DIA_BGI_D6_2"	"DIA_BGI_D6_2"	"BGI"	"DIA_BGI"	"D6"
"DIA_BGI_F7_2"	"DIA_BGI_F7_2"	"BGI"	"DIA_BGI"	"F7"
"DIA_BGI_M8_2"	"DIA_BGI_M8_2"	"BGI"	"DIA_BGI"	"M8"
"DIA_BGI_D5_3"	"DIA_BGI_D5_3"	"BGI"	"DIA_BGI"	"D5"
"DIA_BGI_D6_3"	"DIA_BGI_D6_3"	"BGI"	"DIA_BGI"	"D6"
"DIA_BGI_F7_3"	"DIA_BGI_F7_3"	"BGI"	"DIA_BGI"	"F7"
"DIA_BGI_M8_3"	"DIA_BGI_M8_3"	"BGI"	"DIA_BGI"	"M8"
"DIA_FDU_D5_1"	"DIA_FDU_D5_1"	"FDU"	"DIA_FDU"	"D5"
"DIA_FDU_D6_1"	"DIA_FDU_D6_1"	"FDU"	"DIA_FDU"	"D6"
"DIA_FDU_F7_1"	"DIA_FDU_F7_1"	"FDU"	"DIA_FDU"	"F7"
"DIA_FDU_M8_1"	"DIA_FDU_M8_1"	"FDU"	"DIA_FDU"	"M8"
"DIA_FDU_D5_2"	"DIA_FDU_D5_2"	"FDU"	"DIA_FDU"	"D5"
"DIA_FDU_D6_2"	"DIA_FDU_D6_2"	"FDU"	"DIA_FDU"	"D6"
"DIA_FDU_F7_2"	"DIA_FDU_F7_2"	"FDU"	"DIA_FDU"	"F7"
"DIA_FDU_M8_2"	"DIA_FDU_M8_2"	"FDU"	"DIA_FDU"	"M8"
"DIA_FDU_D5_3"	"DIA_FDU_D5_3"	"FDU"	"DIA_FDU"	"D5"
"DIA_FDU_D6_3"	"DIA_FDU_D6_3"	"FDU"	"DIA_FDU"	"D6"
"DIA_FDU_F7_3"	"DIA_FDU_F7_3"	"FDU"	"DIA_FDU"	"F7"
"DIA_FDU_M8_3"	"DIA_FDU_M8_3"	"FDU"	"DIA_FDU"	"M8"
