"rowname"	"U_L3_D5_01"	"U_L3_D5_02"	"U_L3_D5_03"	"U_L3_D6_01"	"U_L3_D6_02"	"U_L3_D6_03"	"U_L3_F7_01"	"U_L3_F7_02"	"U_L3_F7_03"	"U_L3_M8_01"	"U_L3_M8_02"	"U_L3_M8_03"	"U_L3_D5_04"	"U_L3_D5_05"	"U_L3_D5_06"	"U_L3_D6_04"	"U_L3_D6_05"	"U_L3_D6_06"	"U_L3_F7_04"	"U_L3_F7_05"	"U_L3_F7_06"	"U_L3_M8_04"	"U_L3_M8_05"	"U_L3_M8_06"
"HMDB0000062|Carnitine"	25.037	25.022	24.933	24.806	24.845	24.812	25.262	25.289	25.372	25.191	25.222	25.223	25.044	24.933	24.942	24.805	24.822	24.84	25.335	25.243	25.265	25.144	25.192	25.203
"HMDB0000033|Carnosine"	16.733	16.726	16.801	16.748	16.428	16.443	17.402	17.5	17.297	17.113	17.603	17.601	16.691	16.855	16.739	16.279	16.143	16.251	17.421	17.235	17.39	17.836	17.374	17.356
"HMDB0003229|cis-9-Palmitoleic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000094|Citrate"	22.556	22.529	22.454	22.397	22.494	22.38	23.071	23.144	23.126	23.311	23.288	23.315	22.571	22.549	22.567	22.436	22.563	22.505	23.279	23.138	23.195	23.406	23.313	23.343
"HMDB0000904|Citrulline"	19.126	19.073	19.691	20.472	20.783	20.686	20.278	20.528	20.433	20.825	20.725	20.665	18.902	19.747	20.521	20.669	20.652	20.741	20.415	20.604	20.329	21.005	20.747	20.655
"HMDB0000064|Creatine"	26.818	26.812	26.769	26.792	26.783	26.663	27.122	27.078	27.24	27.215	27.158	27.241	26.818	26.772	26.707	26.782	26.826	26.784	27.245	27.208	27.227	27.138	27.217	27.174
"HMDB0000122|D-Glucose"	16.514	0	16.194	0	16.407	15.502	17.344	17.127	16.888	0	18.553	16.648	16.464	0	0	0	16.056	15.933	17.228	16.762	0	17.221	17.111	0
"HMDB0001548|D-Ribose 5-phosphate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000098|D-Xylose"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0001401|D-Glucose 6-phosphate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000626|Deoxycholate"	22.916	22.936	22.895	22.828	22.92	22.882	22.935	22.979	22.967	22.857	22.934	22.935	23	22.978	22.885	22.899	22.937	22.886	23.013	22.987	22.969	22.918	22.896	22.906
"HMDB0001999|Eicosapentaenoate (EPA; 20:5n3)"	20.55	20.723	20.982	20.684	21.067	20.732	21.275	20.149	20.784	20.782	20.648	20.701	20.593	20.714	20.701	20.77	21.112	20.563	20.95	20.895	21.201	21.231	20.765	20.62
"HMDB0000613|Erythronate"	21.685	21.542	21.42	22.511	22.498	22.471	23.269	23.2	23.05	23.515	23.677	23.555	21.754	21.642	21.555	22.592	22.439	22.478	23.166	23.151	23.073	23.698	23.634	23.597
"HMDB0000134|Fumarate"	17.07	17.271	17.133	17.232	17.675	17.459	18.105	17.901	18.106	17.499	18.915	17.72	17.829	17.437	17.547	17.368	17.622	17.083	17.987	18.094	17.824	18.015	17.886	0
"HMDB0000148|Glutamate"	25.594	25.834	25.834	25.337	25.644	25.371	25.56	25.764	25.612	25.835	25.883	25.823	25.717	25.916	25.845	25.365	25.527	25.447	26.088	25.863	25.76	26.178	26.128	25.949
"HMDB0000641|Glutamine"	16.387	0	0	16.093	0	0	17.234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000139|Glyceric acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000123|Glycine"	24.498	24.47	24.502	25.178	25.277	25.131	25.395	25.461	25.394	25.357	25.337	25.326	24.546	24.548	24.5	25.265	25.297	25.266	25.584	25.47	25.444	25.437	25.402	25.371
"HMDB0000721|Glycyl-L-Proline"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000128|Guanidineacetic acid"	22.408	22.45	22.321	22.482	22.692	22.366	22.723	22.857	22.895	23.231	23.121	23.176	22.473	22.434	22.444	22.546	22.6	22.503	23.083	22.959	22.929	23.221	23.125	23.137
