rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P0A9Q5	118822000	134712000	161065000	146262000	147220000	142020000	161560000	152544000	145775000	157484000	128688000	86315700	138961000	146366000	153321000	152323000	144342000	152858000	141244000	157908000	139255000	140098000	162015000	140330000	637148	623986	585997	626385	655674	713010	463644	648781	766185	618047	641648	660810	458082	600371	720923	746634	748409	552946	424331	668738	664476	644992	704523	47372600	46001800	55196300	38459400	57237800	44985700	42054100	56027900	46551200	48839100	48119200	63346700	57497900	56600100	50447300	50842100	53498200	50723100	52946200	55449500	56690800	56702000	57163200	43472500	44846500	43314700	43724700	42797800	44495200	43802900	43764900	42187000	43320800	44085000	43494600	44723700	45116800	43203000	46619900	42465500	43649400	43486400	42579400	40776300	42011000	44006700	44766500	13929600	14207500	14058600	14042400	13370000	13891200	13793600	13388900	13820600	13957900	14137100	13910300	13370200	13355000	14231400	14742300	14498600	13991300	13892500	14409700	13852000	14024400	14348800	13746400
P08506	66642800	68752200	51372200	50565800	63447400	59434700	65537000	64641600	69564100	69135200	59273000	39755900	66125800	65265100	49114800	48212000	49405300	47376600	47736900	50569800	48953300	47616900	53567000	47038500	330977	294562	302902	304846	311302	308735	267871	307884	307188	266552	296083	344309	153008	224145	230632	245525	243703	183822	141404	232525	237201	215636	196911	13708700	14881200	16779300	13573700	17622000	15229000	14729000	16550000	14571600	15695600	15978100	10121000	10925100	11825300	12741300	12417000	12845300	13135500	12145400	11725400	10200000	12028400	12769800	9373440	9288820	8864770	9377150	9520240	9559350	9538830	9538500	9524830	9571100	7077350	7197420	7135850	6890960	6978330	7305740	7314820	7130730	6986660	6993410	9690700	9462530	6923400	6922090	25329100	34290300	33343600	25735500	35503000	32017900	36812900	33989400	34638400	33267200	34345200	38267700	36375100	34781500	25076200	24323200	25047200	25513900	26065900	26627300	25378800	25373100	25560700	26289100
Q46919	6088320	5697420	6640350	4573220	6550500	5473230	5761840	5177310	7638790	6156240	6456570	10579800	6463700	5206400	7620210	7119120	6320320	6129790	5681700	5886540	5934590	5459620	6424030	5158360	50359.7	41414.5	58639.3	47213.5	40696.7	48800.4	35889.8	51189.9	37005.7	43936.6	55816.4	74184.9	30395.1	53075	55597.7	39930.3	78214.3	37747.6	43204.5	43984.9	45691.6	59764.6	36714.8	7385010	6777390	4406980	8622690	4605920	5459030	6265540	2832390	7065250	5686310	5627980	4820310	3841960	3883030	3194190	3458510	2660740	3272240	3624880	3790760	3457750	3301740	3552050	2735020	2592060	3044620	2834740	2636170	2632660	2343280	2729690	2558310	2728120	2752400	3143500	3274420	2439450	2927780	3448870	3042650	2811610	3316540	2831820	2274670	2026680	2775980	2865890	334620	372146	377677	301476	352955	391893	368020	382607	359146	383037	349454	290774	409127	391703	332538	287924	341564	288531	322909	329015	351771	307963	321361	329259
P0ADT5	16836800	17125400	13376700	13327900	19858300	19374100	20132000	18222300	16221000	20051800	17766600	18337000	19354000	20998300	13830000	14405500	14794000	13267500	14575400	15012400	13512500	13365600	15009300	14127300	269846	321968	309857	232603	297569	295600	199636	306610	311165	199884	294753	278937	190624	225510	173698	190636	187196	165787	148980	188503	164329	209260	161957	6246060	6602490	7608120	6080840	7531320	6941400	7313760	7744930	7120990	7149410	7382180	4812170	5989280	5941200	6411190	6311570	5963000	6265530	5962720	5469820	4808030	5905470	6069320	4213430	4339650	4201060	4289160	4451210	4136810	4232680	3972280	4038940	4094710	3234580	3143200	3023050	3256120	3208450	3267740	3257800	3184120	2934060	2966210	4317420	4024090	2946810	2910930	1287120	1600130	1693450	1325210	1611540	1379030	1776010	1537950	1713870	1629120	1581790	1704290	1669620	1463710	1367730	1141640	1262220	1331960	1382580	1393290	1332890	1422820	1253120	1382570
Q46856	26824000	26108200	24082900	22098500	25302500	27358600	25907300	28021100	22261900	26545700	24716000	18943500	25914200	25924400	22720900	22254600	20603000	18924800	18485500	23586200	22738700	25115600	21709000	22895500	106427	114940	103825	95956	106568	106729	122426	102456	102948	101108	97059.6	112336	78964.1	84591.1	84798.6	78897.1	82286.1	70199.9	71121.7	100717	87348.9	80727.8	84520.3	13918500	14326100	15102000	13713200	17694600	14100700	12150900	14222900	13234200	13530400	13126900	9637250	8792140	9976540	9973700	9507030	10399000	11065200	10674500	10833700	9720300	10355500	10842400	9917510	9572540	9440550	9685760	9953200	9632140	9396800	9598390	9137360	9725990	7313380	7230770	8231820	7343260	7830240	8700820	8113630	8076860	8987470	8689250	10401600	10021000	8325540	8284140	1713490	2194620	2000260	1794570	2306890	2066430	2124130	2096050	2115080	2006020	2074010	2298840	2213080	2123440	1594490	1669060	1643130	1480690	1604940	1750560	1584300	1742390	1777870	1718060
P62399	398748000	403314000	623348000	580451000	409786000	365771000	403414000	505036000	499968000	476589000	353560000	313376000	396135000	472264000	622186000	560249000	608535000	678574000	581814000	651518000	559992000	534369000	654547000	533670000	1446950	2001540	1541870	2045870	1841450	2071780	2056090	1934740	2199240	2100620	1967900	1959060	2467340	2578520	2459310	2540900	2674620	2789160	2292350	2394730	2575480	2736090	2644320	226265000	267851000	290263000	232890000	332997000	279001000	230047000	311437000	250137000	261119000	264323000	385936000	380686000	398717000	368749000	368348000	381442000	380951000	383417000	374497000	377759000	410612000	407361000	198944000	204731000	198581000	198354000	196602000	205181000	209938000	186732000	177197000	197707000	258418000	264284000	276832000	261012000	264755000	255482000	256002000	268634000	266805000	253764000	214263000	200585000	267395000	280117000	83303200	65810300	61405800	84055100	64447300	68616500	67750000	64143300	63290200	65751600	66267000	69937000	66408400	68343200	82886000	87716500	84229600	82799100	86417100	83785600	79761400	81151200	82156700	82377100
P75796	26900500	25101400	24700500	23369200	29815600	29694400	26769800	26529500	21796500	27672000	26251100	13033500	27716300	24942700	26409800	25635700	24685100	21291900	24988800	25872500	25988400	26367100	24533300	26363100	140516	137612	139766	127878	162196	143368	147857	136219	140053	136649	148537	183311	99544.1	145679	157054	165747	150297	108751	107431	167462	148988	132075	142462	4689320	4737700	4682280	4553160	5031270	4485360	4118100	5249160	4097220	4478140	4702580	4148330	4848450	4559430	4817930	4725340	4703080	4683000	4614970	4206230	4864380	4350320	4494340	7185110	6432640	6971290	6758280	7084140	6955430	6481280	6310390	6489610	7328910	6157810	6126710	5494050	6109610	6070200	6084140	6458050	6017880	6458490	6475360	7173890	6879950	6329020	5935960	2080230	2369970	2097670	2215660	2358290	1910550	2362810	2428500	2123530	2274150	2127970	2446440	2640380	2311390	2158650	2155360	2202030	2186760	2186840	2125880	2168570	2239200	2308650	2103760
P0AAI5	95470100	93066900	101684000	107288000	84669600	95148800	92546900	87632800	73917600	94486800	92937600	68800400	95364000	93377600	97279200	103847000	104408000	96725200	105068000	98823100	100888000	101641000	106002000	101715000	196915	189006	207492	184341	175573	191727	164272	181340	194708	159955	170862	176467	122064	215250	196390	221326	208589	68757.3	81144.6	187223	195326	180785	144008	18751000	21002900	22884900	17882200	21650100	20987500	19281300	24158600	21271900	22049700	22198600	22449300	22933100	27922500	26651500	25562400	26244600	27444200	26958900	25886700	20997400	24347800	26369000	21510400	21158500	21415900	21703900	21102500	21942200	20831200	20143900	20799900	20025500	24038500	23633400	23039600	24440500	24636300	23433100	23776200	23104200	23741900	23141300	20993000	22612800	23769100	24364800	7959670	7163450	6906060	7765820	7353790	6014070	7502920	6830610	6724810	6474490	6094860	7449730	6749840	6429340	8096830	8241640	8039410	8487660	8313900	7944090	8149120	8094460	8205410	8087670
P13445	7610040	7956170	9578840	9053390	9390690	9471860	10596900	9331720	6529210	8929610	9088360	9989570	8961880	8801860	8976040	11553700	7906680	10724200	10142000	7532290	8857310	6660490	7680700	9482850	62037.9	53292.9	51905.4	45833.6	75679.9	53103.6	59991	51606.8	57740.3	51710.2	68710.2	47186.4	59149.7	70950.1	76095.1	86264.2	108372	68306.7	53158	49206.8	52832.4	76665.7	46829.4	3551180	3620650	3477530	4724400	2451860	4199610	4378790	3204200	4717580	4191920	4145830	2209180	2243750	3009450	2311250	2648730	2475870	2541030	2753580	2262660	1713070	4023500	3811080	1048150	1359160	1383620	1494380	1504590	1224160	1730650	1717100	1633810	1132970	1052150	1143270	1167680	1173290	1175950	1216040	1126750	1030210	898608	841791	1546800	1653420	1816270	1796600	671662	630343	625602	775026	467811	485049	519445	618048	587916	610389	644347	464832	447931	643494	395320	356950	462856	434276	400838	402941	427805	278966	345918	405339
P0ACL5	9455270	8609600	2413330	2526540	10719000	11142800	10229700	9739100	7067170	11489500	9404460	5328130	10221300	9910860	2877580	2953250	2997340	2315740	3207670	2647810	2717640	2531880	2798900	2509450	41869.2	60000.1	46081.7	43969.2	50410.1	52961.6	34657.2	43562.1	46654.1	37411.6	49480.4	51285.8	8587.86	13314.1	11088.3	10866.7	12537	13271.9	6766.94	11770.4	10893.7	6567.52	7086.01	2218400	2366260	3354560	2292920	2494350	2255220	2099630	2387640	2295990	2618690	2854820	493910	517862	563298	390452	538314	483182	500867	500958	482094	442030	502735	469941	1627950	1946670	1989860	1969460	1582040	1799200	1702410	1456230	1507350	1418730	358792	382368	390194	389858	400313	371339	356573	344680	376507	357343	1668450	1868050	406875	355608	51696.4	497978	508851	89282.5	465485	396547	477152	398264	442041	426551	365486	471758	385588	326128	52103.2	46170.2	44233.4	64917.8	49003.9	77874.1	36251.5	53917.2	34779.8	43262.2
P0A7B8	55779000	55362800	59559600	63298900	53092900	53444400	48153900	59401800	50996000	52748500	41802900	49878200	54976800	50106400	64050000	61862500	63388500	58432700	50187400	51423500	60951900	63777000	57372800	46468400	71718.4	70895.9	75974	79277	73371.1	65606.9	75867.1	85563.7	77222.9	72446.8	60355	59462.8	75489.1	81890.8	68249.1	78223.7	67419.3	73565	98077.6	67678.1	41351.7	72558.9	81722.4	17449400	17600000	20496300	14605400	23435000	18488700	16151500	21916900	20002600	16044000	21133200	15832000	11472800	25651600	19612400	19084300	22072500	27811000	22629500	30174700	7441430	27188300	22635500	7425260	10827300	12025200	8600000	10879900	10528100	11926900	10628900	8748930	8585880	10840300	9699040	10157500	8796430	9966970	8508180	10864700	10763900	10994100	10223300	11040100	10925700	10477300	10771200	2916580	2835280	3773580	2884990	2195050	2755090	3195170	3417280	2797490	3222000	3015560	2699200	3181630	3267200	3695700	3183380	2935670	3484880	2828870	3251190	4040600	3512420	3322580	4017090
P75989	2216340	2133910	1927250	2342480	2078650	2247180	2422370	2136190	1832010	2073150	1727400	853521	1909080	2239710	2274210	2024530	2522780	1349960	2803880	2578510	2222950	1768630	2230470	1931740	30798.4	25267.8	29508.9	22828.2	28352.4	30589.3	28576.8	37802.3	27046.5	20522.9	28519.3	27122.4	29692.8	33237.8	38502.2	32305	28687.9	32492.9	23460.2	33000.7	32272.1	20424.4	27701.2	819050	1134940	1057860	1531760	1309880	1056540	1354500	1497080	1347770	1287230	1362630	1669550	1646940	1652300	1478560	1520700	1835050	1429360	1690280	1726170	1113910	1305970	1513540	1091840	1294080	1093140	1219130	1216130	1089010	1160720	1118360	1173370	1044730	1186200	1083120	1207550	1174860	1107140	1076650	1107960	1089820	1050960	1068500	1206750	1168600	1132310	1153110	227261	232955	266848	233902	239161	247249	240670	256390	308751	239515	200207	219344	227056	229947	264423	209738	252028	285463	239399	230656	210293	240796	257544	230708
P0A9P6	20271200	21619800	67278000	71501800	21722700	24423400	24950900	19784100	19754500	20881000	19502000	12410200	21071300	17657400	61529100	65775500	61764200	50371100	69572300	55891700	64658300	61029400	56862000	62936500	181409	201489	183983	204778	198184	179962	197082	204340	256029	229261	187689	240048	638294	790869	657413	770716	693076	650015	549157	707024	755731	654433	717682	4046170	4378500	5020230	5812890	6720490	4851780	5989670	5415910	4923820	4844090	5189960	14909200	17479300	16627400	19514300	19192500	21056700	19154000	19336900	13826500	15754800	17595300	20618800	4736660	4542920	4631770	4808370	5432760	4674340	4782920	5858120	5617720	5080600	16125800	16562400	12175800	16010800	16208100	13657000	15800400	15171800	13811700	14034200	4752580	4940360	15584700	17322500	8721910	2665420	2380280	7963330	2607860	2409460	2540420	2437200	2499800	2579650	2541310	2689920	2539230	2882140	8062760	7228720	8282160	7791320	8636310	7609970	8217870	7333490	7724170	7936850
P33667	1178400	905682	1908750	1450920	1491940	1116450	1124450	1829080	1809360	1591670	1020200	631700	1145960	1881920	1697000	1846280	1364260	2177540	1461430	2064250	1579140	1452530	1880330	1296390	8851.62	8059.91	12302.8	11211.7	10698	13862.7	11318	10439	8790.7	5591.63	10373.4	14173.9	14022.3	13276.4	14958.9	18597.2	15075.5	12684	7420.12	17849.2	14638.6	11664.1	13173.1	572799	780248	892238	642224	999087	927104	865010	947551	1029150	562260	791871	1161240	1150480	1067300	1249450	1246670	1316410	1246600	1430220	1388180	1231460	1284400	1172940	566849	538415	536160	556749	565526	632054	552247	445204	468584	606660	595686	533073	622583	569328	590260	599112	716028	652366	625941	629553	506389	497246	652549	598052	359952	450949	122054	295407	257439	309866	248251	358385	246571	421855	204754	263184	256612	432245	272549	569196	479880	433605	346785	243918	386201	606443	631009	349790
P0A6D3	34814300	34526400	55127100	59932400	26978800	29189800	31939700	30574500	21010300	27631500	32947000	25290900	32323800	29554400	57825400	57297600	60456400	46123300	65352800	56959200	63042400	59707000	51588700	62295200	153936	221831	198983	215818	168555	194033	208602	189549	167331	220739	174199	167695	369625	430863	370821	448639	429398	369017	367193	423968	433159	439550	404600	11696500	11844300	13580400	12213200	12215600	12328300	12179800	12516400	10968900	13071100	13735400	23666600	28311300	26792000	25751000	25277800	26017500	26338100	26365600	24929900	26680400	25171000	27388300	5879230	6270730	5888350	6641480	6370690	5963370	6257680	6243320	5864060	5851850	12617700	12146900	12380400	12344000	12231600	11959900	13002700	12694700	12418600	12292000	6686090	6714200	11728000	12173500	6218370	2867470	3018590	5774540	3149210	2551480	3254830	3008450	3026870	2658570	2733600	2868740	2824040	2874900	6045720	6387280	5850190	6454270	5939940	6268280	6014750	6247680	6120320	6134940
P76909	2218280	1767450	3307700	3417630	1740760	1247300	1904560	2732340	1823860	2108750	1568850	92847.5	1531710	2000150	3308600	2625460	3362340	2599780	2624720	2922360	2865050	3127780	3118630	2465230	12522.8	12183.8	15378.5	12218.1	10790.6	8054.08	6589.26	6188.12	7227.06	5833.95	9530.06	19119.8	10834.6	7478.19	8260.07	4029.29	13401.2	6650.77	3719.09	10305.5	7255.19	4436.01	3280.77	513997	469237	422789	470771	599561	489929	447045	594727	393847	445603	357484	821396	717682	761449	801970	744791	783135	923558	817000	855634	1020870	820604	840085	423938	347968	368337	408231	447648	430117	370246	393201	374138	443002	532875	541093	563317	524848	526744	537590	582405	561493	563123	557308	430095	416940	543264	522970	124072	62395.1	47830.8	126706	71916.2	NA	19566.2	56855.9	58986.5	55020.4	95503.3	68927.9	74636.6	66383.6	86502.3	110687	112860	85781.2	93503.7	95812.4	121027	116928	126941	83041.5
P04846	46500100	45777100	71816000	56468900	50536700	40598400	37403400	49228800	58224700	46908100	40926300	57078100	45845000	49044500	73614800	66454200	65552000	76515400	55594300	62474200	59379400	66156000	68162800	56856400	307601	250902	276596	211633	339544	301057	212392	264540	305829	182509	333783	355184	193908	386786	442158	369117	321837	221508	178561	438282	426101	256365	332814	25815400	29441000	29527600	25372700	33975300	28564800	25606200	27346700	25687800	26452800	28469100	32461700	34126800	34548900	37881700	40539700	37194900	35918400	36669600	33059300	28439200	43140900	38979900	14307500	14084100	14330100	14285700	14559300	14231400	13473900	13500500	14581300	14706800	17778500	18249500	16228300	17577400	17535700	16302600	16608000	17011000	17042900	19136200	14579100	14681300	22227700	18990100	5043590	4372320	4242100	5562340	3923190	4433400	4095090	4387880	3950000	4376020	4155190	4190920	4357530	4518410	4968150	4913020	4788140	4439000	4825060	4743310	4692770	4445960	4880720	4594590
P30177	82122900	84556900	69966800	67916200	68120000	66395400	67761200	64644000	58702400	66301900	62820800	59343300	74374400	69245200	64184800	64667200	66350800	53614900	64473700	67569300	69061600	70440400	62511100	62637400	315937	303073	283980	273219	253699	311828	203791	292249	309859	227522	254699	356625	187599	265771	220433	259002	264020	162004	140859	238951	255231	240311	182718	19472800	20099200	21796600	17578100	25048300	19697400	16352300	22915900	18849700	19043100	18247500	18012300	16843800	18337100	17141500	17336200	16927000	17320700	17106300	18069100	17015500	17843700	18296400	10983300	9408810	9879490	9632300	9354220	11031100	9677360	9469500	9457370	11114700	8613270	8598860	9091610	8794990	8841830	9069480	8581800	8601030	9079670	9136000	10346100	10245100	9024050	8791320	3791380	4476340	4157920	3915470	4776390	3897000	4243190	4478080	4136570	4062180	4046260	4613750	4862150	4137420	3858500	3838480	3654910	3887530	3851670	3928190	3832590	3844830	3982950	3758920
P0ADI4	63583700	69166400	55707200	76104500	37168700	53113200	117060000	87933000	38908200	76194500	56843600	63809200	85054400	66669900	73887500	67011000	76975300	46965100	100147000	93559500	123855000	94202300	24440000	131808000	373418	456128	459449	354305	437955	313924	295351	390971	532116	275399	377591	316797	311941	473218	452620	524076	412290	346246	255923	395072	537631	385230	426331	15017700	16468300	19887700	45275800	18810900	22280900	30797900	13363900	22157000	22892300	24675400	29244100	35924100	32579600	26975900	28803600	34244600	31262800	27768800	36692600	32601000	22528800	30235300	9255360	17663100	10474400	18289800	16480800	8529710	17986800	19739100	16999500	9001160	16553000	19139700	25112900	16752500	16803500	20862100	20658100	19952800	23080600	15991700	15454000	15555700	13691000	17858200	51114900	46352400	45058400	39459300	30837200	55237500	53134600	52536000	58140600	53080900	51825000	31669100	30954000	53182700	43446500	58412100	62518100	50007800	42426800	56148400	44099800	61881000	47321400	51430600
P29018	11166300	10601900	7433570	8893330	11449900	12310900	13046500	9257710	6847820	10644700	12554900	6706140	11924600	10803400	8276720	9864940	9761360	8974760	10415600	8929600	10170700	9013720	8686750	9748600	42435.8	45302.2	36756.2	46982.5	49467	47834.2	35631.2	46820.4	57351.3	43859.5	43724.8	51754.3	33424	47122.2	34651.3	44671.5	48627.1	31641.3	29221.2	38150.3	44213.8	45507.5	48114.8	2338680	2139480	2444920	2275260	2153910	2092680	2413260	2217310	2310620	2333740	2367600	1567430	2337540	2278780	2691890	2505230	2530300	2481560	2380660	2113580	1834610	1981640	2202060	2139660	2097430	1909800	2137660	2147500	2029260	2181600	2148010	2181740	2112000	1972270	2015230	1600360	1907620	1746400	1704870	1900020	1790370	1661280	1793150	1994490	1923890	1793460	1840830	832180	757068	880229	726361	749729	734834	882427	806815	918266	812197	793286	912436	921925	765647	811143	667765	816937	864819	715678	693719	768185	805994	775452	905204
P0AG55	715454000	637249000	945091000	995208000	869819000	810411000	777025000	826874000	849555000	828695000	751955000	613440000	817631000	821169000	1019890000	1050710000	1017360000	1305430000	1048790000	1022530000	987233000	1019420000	1059940000	1084600000	1815570	2277070	1822530	2262720	2279440	2175140	1846020	1925260	2757390	1880190	2382360	2447530	2204310	2765410	3043660	2790060	3275260	2262860	2401240	2874990	2855720	2413140	2671840	338404000	293635000	291249000	257021000	294670000	286677000	267291000	237419000	300300000	279849000	247515000	387538000	315511000	323661000	276625000	273696000	253434000	289429000	291580000	343324000	327142000	306904000	317725000	237689000	237673000	274883000	234765000	233085000	236261000	248368000	238103000	213443000	236133000	306017000	326170000	324007000	297772000	338730000	315539000	294119000	326718000	326088000	308149000	258387000	242446000	322321000	323671000	116269000	99257400	99437800	114196000	104377000	106901000	93399600	100054000	96345200	101301000	98653600	94483300	95712600	99009500	119344000	121582000	121897000	112500000	114711000	115130000	114856000	110457000	112518000	113217000
P07762	38337900	42982400	27179500	30996600	35532600	40986300	34705900	31050200	26715200	31281000	34832900	20760000	38094300	33216500	25417000	25083000	31013000	17649300	27733500	28444000	30642000	32400500	23051300	31234100	177822	167296	146521	165353	166541	153895	193089	164537	145831	206002	171846	182498	152471	137440	141549	126097	122281	152846	153148	161058	148545	136670	148433	10608800	10136000	11071900	8314410	16969100	11025000	9083710	17158700	9512680	10683200	10786600	7630760	9558790	9996060	10197100	10045700	11318500	10608700	10709800	9265410	8936010	10683700	9653940	8910500	7962660	8398990	8066240	8448510	8999140	8002460	7236780	7451340	8936240	6741070	6940090	6621680	6886140	7134650	7223580	7346030	7250000	7278230	7745890	9909590	8616950	7583590	6905930	2809000	3230930	3208810	3035170	3683790	2322820	3249760	2886960	2922090	2656140	2558260	3692520	3508230	2871450	2667860	2717110	2507600	2797030	3001750	2884020	2858240	2998670	2882940	2741920
P23886	13204300	12003400	9607730	10184800	10786300	13241000	14916200	9013230	6940300	10291100	13605100	6384780	13190900	9127140	10221500	10903600	10807100	6715940	11655000	9935940	11659000	10967800	8869710	11066900	24775.6	36652.1	37921.4	25587.8	38208.3	35154.6	18077.1	30709.5	43994.6	21308.3	37546.5	25364.4	16840.5	40897.7	30580.3	30202.7	41784.8	12858.9	19277.5	35926.2	26468.2	21080.8	28587.9	4345790	4817280	4739440	4738700	4138040	4520470	5334480	4666720	4929170	4897420	5426170	3664450	4594440	4727340	5320190	5010760	4838660	4755280	4521750	3879040	4198860	4647100	5274820	1820780	1906000	1699840	1874290	1899370	1729010	1856690	1972780	1897310	1777920	1775590	1657150	1467780	1620410	1593230	1588490	1661300	1630520	1556240	1632760	1754130	1777730	1507100	1580030	1017340	872265	967970	910525	918578	802414	911912	843520	997749	868948	874853	993999	933356	877799	892862	990699	949907	1023970	861833	941130	933721	976694	902062	1015040
P36929	8753270	9189480	9804590	9708320	7750460	7302580	9034100	7737680	8332000	8639950	6855780	5332050	7663350	8571490	9036800	8775150	8896010	8598420	8829120	8537160	7936140	8569070	9523760	8422280	71723.5	90910.9	83254.8	72344.8	84808.9	70644.4	68129	71633.8	68556.4	58525.6	70755.9	89171.2	48513.2	92962.7	85483.7	81349.9	97792.1	55261.9	48052.4	78369.2	83619.8	64787	69126.7	6570790	6407730	7605730	6310880	7541840	7160230	6471180	6533190	6589680	6929610	7158650	7446740	6511060	7577570	8049190	8632960	7783140	8009070	7899140	7356830	6186470	7496150	8077010	3459010	3336080	3247480	3498760	3425940	3618720	3514500	3564220	3516050	3516230	3719360	3545270	3674140	3700950	3599500	3540150	3675940	3648940	3621960	3639690	3576600	3379250	3599450	3682630	1152860	1072210	1074700	1121980	1028430	994841	1058190	996525	1052370	1050390	1064910	1028930	1050760	1054920	1102540	912888	1141990	1044450	1099720	1025860	1076570	1015080	1093180	1057710
