rowname	CVT09_QC2_LabE_024	CVT09_QC3_LabE_025	CVT09_s3_002	CVT09_s10_003	CVT09_s13_004	CVT09_s16_005	CVT09_s28_007	CVT09_s31_008	CVT09_s36_009	CVT09_s50_011	CVT09_s59_013	CVT09_s61_014	CVT09_s73_016	CVT09_s77_017	CVT09_s84_018
P15639	10709200	11027400	10889600	10290700	12300000	10434000	10382400	10374300	11520700	9689670	12868100	13707800	13861200	13059600	13193500
P09832	7376700	6910420	6632780	6435210	6977740	6437330	6420330	6590120	6912100	6474470	15827200	15707200	16434800	15637300	14859500
P31224	3895740	3938890	3584480	3417280	4225640	3777840	3844750	3676300	4121940	3658500	4109680	4543810	4783360	4467280	4461290
P0A8Y5	1231890	1174360	1149090	1191980	1204740	1122840	1223020	1206800	1180480	1186390	1966120	1970380	2004080	1895570	1812150
P02924	882009	1019220	916912	1015380	968226	1042190	893849	952222	843086	836715	494259	318527	146840	NA	443362
P50456	399879	415190	414451	295092	432977	382851	368177	402906	432679	438589	537890	424384	435586	506541	420929
P0ADC1	7489360	6713810	7882010	6734860	7115180	7528510	7099770	7305020	7635390	7314050	6053220	6197490	6660200	5888890	5666050
P09152	1958990	1757400	1851240	1903510	1966940	2119730	1755300	1992810	2254590	2270060	3535210	4354920	4819360	4724190	4925090
P0A7J7	57438400	54852100	56858500	59058800	53937500	58129400	57921300	57753300	53167300	57946400	70522400	71581800	67367500	67104300	65786100
P0A6Y8	26278200	26760600	24629700	27518600	23869900	26852900	27190200	27522000	22822100	27069100	21435600	24083500	22384400	22711000	23093100
P0ACQ4	1214430	1107100	1178540	1120890	1293070	1237230	1223540	1167830	1132750	1253290	1291030	1225910	1205590	1211460	1213010
P32053	275257	268318	281668	261939	329666	231947	255882	273606	354556	245584	267718	256578	266461	251429	277496
P08839	9128380	9234130	8523160	9276160	9510380	8928710	9699620	9362650	8504570	9239060	29345500	29361900	29530500	29101500	28451500
P0ADG4	5536950	5215430	5642070	5350060	5561250	5455870	5314800	5101730	5637260	5517510	7943650	8991840	8627500	7878780	7840260
P21165	7426900	7421520	7766230	6293250	7699420	7498860	6890500	6418400	7779860	6733690	6211570	6215440	6312230	6374640	6351260
P0A867	8229260	8474700	8313600	8901550	9264490	8170280	9142570	8924960	8363750	8660680	9212200	10817700	9856040	9980030	10192000
P0A9F6	440864	405032	452935	324244	456836	423318	382818	367638	414949	419295	323715	335883	353808	358185	409346
Q59385	4902380	4120330	5263760	3303580	4545020	3879760	3736780	3674430	5644940	3832070	2598440	4102690	2967130	3685830	3599750
P36683	50419800	49823000	49721800	40755500	50799000	42197300	43043200	40301700	57479500	38302000	18365200	16503600	19158600	17323700	16549900
P00961	12608000	12326800	12399800	11466700	12635400	12115500	11860900	11633900	12816500	11638100	12055400	12129800	12647000	12367500	12152000
P77541	1376490	1657970	1090740	1619880	1483900	1389610	1650840	1500000	1131690	1395820	1557620	1606830	1306630	1316220	1577510
P0A6C1	952217	1013760	954599	1001370	1020140	954226	1041350	977073	875165	1041310	1260360	1297210	1162670	1269530	1266780
P27306	6546170	6646230	7054040	5125080	6960130	6088380	5608730	5314210	7413150	5072480	1882940	2090800	1980450	2044050	1962490
P0ACB7	3941710	3928210	3667470	3868540	3859150	4044170	4233290	4211230	3771880	4061470	2969320	3238830	2973550	3144440	3140900
P0A9U6	3840190	3555020	3421570	3436170	3466910	3727020	3484460	3396560	4654530	3919630	2588420	1818650	2521500	2356130	2094380
P28249	1255870	1253860	1204930	1194550	1253840	1296460	1249980	1231730	1288420	1194720	953815	945022	987988	963615	924383
P07813	9327410	8860950	9667520	7969240	9641090	9010380	8165390	8246650	10507700	8471930	10008700	10330100	11323400	10759400	10487800
P0A870	20103100	19997900	22051500	17389100	21078800	19504500	17705900	18221500	22763000	18671900	13633000	13471800	13996600	14868800	14331100
P30864	344616	367351	425382	215868	377466	361037	269353	254492	369726	266283	382170	333778	345834	382867	393424
P0ACE0	1442770	1285850	1582800	1013200	1375630	1617580	1111990	1135760	1487030	1408100	1154570	1192670	1281690	1412930	1477290
P0A8R9	391982	338918	403234	209500	382084	403352	334764	315013	476983	305327	491995	419686	440791	455018	473866
P21513	7905190	8029270	7811910	7374140	7747190	7642280	7348610	7352080	8330700	7477750	7901420	7969410	8299610	7799100	7854720
P77171	2159210	2111510	2170240	1845960	2863010	2003540	2065130	1798430	2428820	1779700	1191120	1090150	1093130	1177530	1047850
P76116	19943300	20082600	14831300	22428000	21644600	21674900	22218000	20926900	14598500	22082700	27543700	23829500	16829700	21711200	19150400
P00934	23128400	23197500	21534500	26449900	24961000	26476800	26774200	27272000	23809800	28218500	18057700	18347100	17781100	17674600	17293100
P0ABC7	6251780	6211960	6246250	6092800	6585340	6127750	6387770	6331400	6420120	6455790	6262920	6208580	6311650	6170000	6180720
P77649	530431	529785	431744	618021	475965	519327	607464	562028	416698	524461	403985	487001	374079	505867	459728
P0ABA4	8280820	8078680	8131080	9142150	8360990	8535050	8684810	8771060	7902320	8377270	5754820	5677510	5433930	5551650	5613130
P77748	2473190	2473090	2558580	1847150	2406290	2297550	2052170	2020170	2650760	2179130	2737440	2657510	3155960	2911840	2979110
P0ABJ1	7689840	7200000	8708560	6441440	8809090	7100460	7090200	7073880	9641310	6618360	5320550	4416330	5122130	4727220	4005800
P65870	503660	550357	511660	561501	549228	514525	552754	557453	481859	583416	652950	785735	715528	691386	700260
P0A9J0	1349470	1423830	1376550	1112660	1404470	1369760	1307180	1246050	1405980	1211120	2031890	1844280	1832560	1933470	1901780
P0AD59	6646130	6603920	5574850	8032690	6775550	6786740	7349440	7940770	5474060	7131720	3147650	3725570	3384680	3562520	3249240
P39451	122015	86715.8	88530.5	158419	131828	162383	177409	108418	76750.6	125051	NA	58328.8	45524.8	30201.9	NA
P05041	426433	389028	392986	343222	404046	406537	385662	393006	411084	416027	508967	498790	479289	499817	446463
P00888	5919110	6049300	5393400	6379980	5839150	5194470	5929590	5639560	5757920	5538780	3133970	3359510	3770760	3074830	3349020
P0ABE2	1670910	1562890	1824020	1548310	1792370	1788020	1533260	1522130	1731540	1512440	1884300	2136830	2046220	2152310	2221660
P0AC02	14302200	14067100	13524400	13069500	14206100	13729500	14070800	14139400	14505200	14490400	13195300	12949100	13156400	12492300	12413200
P24182	8838890	8619440	8469360	7963880	9238280	8414720	8067440	8128810	9151080	8126220	10176500	10323600	10480600	10380800	9941800
P33650	3088960	2507320	2384740	1654420	2898850	3153840	3789350	4255660	2736560	5473800	3964620	4609190	4883460	3481390	3960700
P0A7L0	49620900	49577000	45753500	50386500	48421000	46965900	48404400	49790200	48938900	49523800	56994500	61484500	60336100	57261900	54883300
P63284	20668500	19350200	21142800	19068500	19416500	20327600	19594600	20153400	20089800	21213400	16516300	17372900	17251900	17952900	17969200
P31455	5877860	5641060	5673410	5272140	5281250	5634040	5632340	5563120	5598170	5485860	4961000	5060300	4838420	4651200	4732540
Q46893	1074020	1002150	1074590	1035900	983440	1045830	1031780	1065720	921756	1029550	895246	904080	779439	853284	862365
P11454	1840910	1890150	1319320	2074770	2061580	2222950	2153540	2049750	1349460	2269010	3525550	3015250	2326170	2959170	2500050
P13482	3642440	3770940	3268270	4533870	3640210	3908650	4479030	4440530	3360330	4018140	1803670	2286990	2000490	1916650	1827560
P0A6Z3	14493300	13623400	14177300	13785100	13797100	14399000	13945100	14205500	13259900	14217600	12034500	12504000	11939200	12866200	12566700
P0AAX8	5234860	5155600	4900570	5470360	4986010	4976470	5034340	5294860	4957420	5164650	4232770	4747790	4636620	4530430	4550020
P31677	2954800	3095110	2653530	3130680	3069770	2832160	3147710	3118180	2591190	2932620	2920540	3376400	3170410	3216720	3387710
P26616	5651550	5511670	6050540	4566210	5887660	5227380	4783980	4762300	6184220	4721660	3966510	3690720	3806570	3925140	3756930
P24193	1022360	932340	1078280	912590	991142	983752	854609	853325	1011150	940286	1078150	1047630	1191020	1184190	1248070
P00634	1078620	1232910	870614	1578080	1213790	1126690	1276740	1326640	1140940	1350170	883067	751377	775560	815569	783923
P0AGB0	835909	816085	804074	705828	847551	778916	762452	771904	866435	802759	1353700	1259630	1283980	1258200	1454890
P0AC41	45939400	41767600	49534000	37369900	45159600	39957600	38368400	37676800	53443600	36745100	9444490	8755150	9811440	9292180	8391620
P77475	1770040	1581330	1382390	1516480	1532120	1503890	1858220	1875230	1982730	1840620	1550430	1585910	1605950	1517040	1377070
P21151	9421330	8978900	8325050	10495300	9706970	10165700	11043100	9939170	8720670	9262140	1311190	2058280	1794550	1623520	1868530
P0AD27	1132960	1107080	1143410	1053260	1149640	1117120	1151740	1137120	1058810	1233140	873798	824501	887856	807028	766900
P0AAA1	3528450	3476960	3720610	2811650	3886910	4093420	3371080	3540980	3704480	3387540	5840680	5211900	5813690	6004540	5718190
P0A7D7	24226300	24231000	22898600	22978400	24691400	22341100	21960000	22919100	24233200	22325100	19949200	19432400	19666000	20275200	19691400
P36680	1713060	1807100	2059180	1356470	1914220	1724890	1577230	1344790	2009150	1470780	2423070	2167490	2246080	2455760	2637720
P0A8V0	667862	654109	556694	642393	590403	538000	690746	624326	654077	607429	874926	711005	704938	671489	740104
P0AFA7	189304	236123	146423	155630	251047	218341	210376	219518	223071	190085	198683	216031	229975	250026	284702
P0A6P9	56377900	54584800	54497500	62415200	56498600	54383500	59507300	58477500	51674000	55411300	99685300	107692000	104174000	102949000	106750000
P0A9T0	32847700	33242300	37096200	23492200	34414800	30902000	26638700	27275900	35390200	29373300	64740300	57185500	59685200	62825300	59348700
P0AFL6	2159630	1960130	2229720	1741710	2199750	2046060	1935330	1802510	2020260	1934670	2467110	2513330	2507200	2549800	2521640
P33218	1631170	1739150	1580500	1772670	1510830	1551400	1731950	1517470	1272080	1694620	1166710	1245800	1080910	1029130	1087370
P00960	7097820	6728870	7678640	5266080	7376700	6737620	5764530	5765190	7735480	6062090	7266760	6847520	7684390	7654830	7546870
P00363	5200130	5044000	5698920	4203660	4990290	5302060	4120600	4314260	5994500	4979270	4233440	3775650	4794930	4224720	4299260
P0ACD4	15260200	16944300	14673800	22413600	16174100	17852800	18316700	18049300	14460500	16142700	14391000	15855500	14574000	15154100	15085800
P39298	493444	494490	435815	483477	519391	514591	474897	489500	538408	529531	531667	498655	455758	448166	597448
P0A6L0	2933030	2860610	2950930	2897440	2705450	2796220	2912730	2884450	2754940	2989380	3080040	3062500	2907750	2920030	3029770
