rowname	20230516_EPL1_LiSc_SA_S610_RT_25_s2	20230516_EPL1_LiSc_SA_S610_RT_26_s9	20230516_EPL1_LiSc_SA_S610_RT_29_s24	20230516_EPL1_LiSc_SA_S610_RT_33_s44	20230516_EPL1_LiSc_SA_S610_RT_35_s51	20230516_EPL1_LiSc_SA_S610_RT_36_s56	20230516_EPL1_LiSc_SA_S610_RT_38_s68	20230516_EPL1_LiSc_SA_S610_RT_39_s72	20230516_EPL1_LiSc_SA_S610_RT_41_s81	20230516_EPL1_LiSc_SA_S610_RT_42_s89	20230516_EPL1_LiSc_SA_S610_RT_43_s92	20230516_EPL1_LiSc_SA_S610_RT_44_s96	20230516_EPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EPL1_LiSc_SA_S610_RT_48_QC4_LabD
P75800	546146	509683	593995	559495	957490	962768	887454	792535	937887	890414	925536	972705	576452	859279	834471
P39280	747787	762570	752724	748667	1181570	1075060	1129590	1138790	1104970	1074350	1045560	1152370	754466	1078080	979537
P0A7E3	741887	767572	777121	718085	1124990	1082000	1079170	1057770	1055640	1086600	1114520	1162310	780229	1135030	1094760
P39310	4398890	4131290	4057630	3932650	3004000	3045710	2978170	3007050	3058030	3175590	3130670	3108350	4091270	3237310	3082920
P0A7C2	6198650	6732200	6583740	6898960	6348430	6471870	6165820	6834530	6119870	6255760	6306750	6045280	6717190	6841250	6918100
P36548	1884180	1902140	1913570	1621750	2486380	2447050	2322300	2365190	2355150	2434770	2465860	2297990	1884990	2484860	2358990
P77182	414200	397348	402451	348371	403596	375704	385257	374969	411332	396518	398710	416694	377948	382710	362357
P08204	299228	298566	285801	299957	193640	47429.9	74021.3	77483.4	87505.8	76205.3	74500.6	73247.6	303414	81116.8	92136.5
Q46845	14138500	14956000	14852800	14081500	9479640	9540260	9469640	9857860	9421610	9619840	9401770	8996140	14797900	9138140	9567150
P0A7L8	86710300	88348300	86391200	75959400	128168000	133728000	138008000	140516000	135168000	144758000	143149000	129260000	88748400	124177000	137742000
P0A948	1328590	1196980	1246990	1047810	1520380	1382070	1521880	1564430	1533380	1534710	1540140	1546030	1186040	1455850	1362400
P25742	1813830	1652170	1636480	1611190	1561830	1615310	1579320	1593010	1616590	1598790	1595360	1647520	1572400	1590470	1588160
P0A7R1	168445000	174739000	171046000	163593000	227741000	240803000	212979000	234589000	219245000	249361000	232019000	219591000	178507000	233449000	241206000
P77212	1841170	2107180	2261280	2283470	1597000	1587390	1625190	1646840	1669800	1637010	1593550	1626730	1998420	1474230	1621860
P76104	3003090	2677730	2645790	2464490	3929520	3929840	4043330	3941400	3761600	3710010	3966720	4080250	2814770	4201690	3996130
P77570	2002670	1912960	1836860	1766360	1462910	1499690	1458340	1489800	1451180	1511890	1546720	1496340	1776150	1481060	1438150
P0AAA9	391584	428492	389857	362085	315762	419222	452843	390488	438600	510719	490556	486250	403065	403009	565162
P0AF26	117556	148486	139555	96738.3	226478	250850	259449	335070	283772	361095	426917	433558	136539	351259	309196
P0AAT9	20581600	20218100	19003400	21951300	10672700	10637900	10088200	11107300	10484700	10089400	10683600	10145200	18436700	10435200	10700900
P0AG14	3520060	3306750	3391650	3536480	3725180	3730550	3775370	3730070	3905620	3750880	3616090	3668580	3483380	3843870	3702500
P0A6N8	10070000	11327500	10949100	11312600	11320000	11373900	10840500	11926700	10878000	11267200	11013900	10941300	11558700	11204900	11600500
P64599	1331000	1127770	1645740	1445840	1677790	1438730	1422300	1425300	1744610	1663400	1677820	1631190	1423730	1420290	1741760
P27242	2109550	2122280	2171040	1897030	2528560	2409260	2329520	2416820	2263730	2287100	2360440	2483080	2033880	2245200	2096080
P61517	17442600	18083500	17246200	19317800	20782700	19310000	20341000	19799900	19910900	20298800	19104500	17316400	17492200	17648900	18659400
P0A9P9	1222640	1015860	1127290	1020040	567429	591411	587418	567169	633468	520541	593068	667556	1210000	715879	584268
P42596	1582810	1652100	1668580	1697040	2187660	2195690	2277430	2232380	2127360	2200030	2162960	2186410	1689170	2248740	2161760
P0ABY4	2067420	1780970	2004190	1814970	1862180	2153700	1796500	1811740	1710910	1761730	1993130	1835890	1850970	1843600	1785770
P0A9H5	1369690	1373940	1331700	1263230	1198260	1208230	1176090	1244300	1118180	1174970	1125140	1134900	1263730	1173770	1225010
P37744	14782500	16729200	16137200	15136100	17566500	18441900	18202200	17891500	17896800	18069800	17508600	17531100	16512900	17998200	18500500
P28905	1462150	1603300	1485130	1360710	1429020	1481780	1430490	1438180	1498610	1484050	1454880	1362600	1515540	1440300	1326840
P0AG96	84740200	68440800	82060200	72380400	104909000	106297000	116877000	97630000	113632000	113827000	114449000	90370300	66835500	107310000	98930500
P60340	2199900	1992510	1924290	1982280	2155920	2190200	2093020	2119140	1971550	2062020	1978590	2069590	2048350	2074670	2192350
P77148	2512070	3020740	3046050	3161510	2980630	3049260	3064430	2905720	3292620	3061030	3019170	2898160	2899720	2851260	2928340
P0A890	3599980	3170040	3565910	3421340	2795830	2921960	2817460	3185840	2860630	2811530	2983280	2705440	3213240	3039120	2948320
P0AFJ5	1346260	1436510	1471440	1414860	1322100	1346430	1301830	1261980	1243080	1286290	1287550	1263530	1475280	1244460	1294080
P33594	1029640	754989	946490	819378	831105	764662	800099	894725	946702	826593	1121120	1186350	862537	1014610	971264
P0C8J6	243667000	187514000	185085000	156044000	44624200	42281400	50892200	47525700	51142100	52516200	59558700	60927800	216576000	66536000	53941300
P0AG86	43968600	48857800	43540800	40124200	38384700	39704900	38716600	38762000	37090000	41651800	39958100	39138600	41827700	41515400	42934300
P31678	3394360	3913650	4140740	4161840	2943600	2963520	3020690	2865290	2999060	3098720	2960720	2875130	3856960	2726650	2953400
P0AFW0	1340230	1231410	1269350	1284110	1224210	1188010	1169970	1124970	1069030	1079020	1150180	1162680	1263090	1154150	1178160
P62768	19851900	20613700	20147600	21057000	13671200	14163100	13623300	15470300	15077600	14863300	15122600	14372200	20054600	14592300	14586800
Q46948	4366070	4521270	4349710	4086990	3845520	3871440	4054030	4254770	4228020	4230140	4381020	4254270	5097980	4137440	4187530
P18775;P77374	951407	804090	777169	734568	780004	762194	955429	1035470	1238000	1005190	1312090	1246380	1034090	1189410	1264770
P0AES9	16753500	18213600	22335900	26960200	11781100	14235900	10248000	14577300	14985400	16108100	17214300	16299000	21167000	16015300	13393200
P0A9M2	13319900	12484000	11749000	10966900	15338800	15210600	15088200	15113000	14603000	14980500	15160300	15041500	12569800	14746600	15479800
P0AE39	1064190	962774	1065660	1038190	1162070	1114440	1180520	1143980	1202770	1112450	1147870	1232820	1080670	1068770	1084260
P07604	3185600	3171210	3126320	3253190	2855750	2818600	2855120	2913760	2923670	2873650	2941620	2895270	3132870	2981260	2886060
P0A9W9	6784210	6912000	7019320	6850450	9762270	9840830	9117160	9580410	9156090	9631800	9280250	8876760	6681090	9029140	9638070
P0AFK6	313565	304714	367024	376804	338097	349542	387222	335131	327885	352229	218965	361848	267645	357965	316323
P23908	13021200	13917000	12555600	12700100	13734800	13539800	15838100	14016300	13082900	13757600	13680200	13156600	14230300	14409800	13975100
P02932	42463.5	32792.2	40138.6	28037.9	42103.3	31325.8	43996.9	42326.6	38732.6	37805.1	38043.9	45097.9	NA	53212.7	45091.8
P27240	509343	500353	503496	463476	655991	625758	673570	648716	651106	662978	645935	628914	562268	644497	656268
P38489	9312070	9938240	9494590	8591990	11772100	12431100	11823800	12099000	11772400	12548900	12189400	11922200	9292700	12004700	11565300
P27848	2200120	2220800	2046410	2025340	2167740	2138630	2196820	1981930	1977290	2101540	2022280	2011480	2081390	2075970	2063010
P77499	6159310	7260100	6972860	8222820	6843710	6402890	6399480	6373840	7245930	7565270	7318620	5872820	6840700	5675720	6931440
P30855	913192	1131820	1134900	973931	1508650	1531800	1512250	1429100	1459510	1362670	1515440	1468320	1230700	1437340	1510030
P0AAT2	1662720	1434120	1516900	1169650	1108470	1139260	1167800	1306120	1157850	1271240	1311950	1151560	1552700	1211330	1197240
P27830	1386290	1740430	1642370	1566990	2235650	2211250	2334620	2219590	2134640	2279460	2146350	2203510	1702230	2220380	2235060
P77318	11141900	11054700	10472100	10185900	1537530	1510940	1835030	1887600	1981180	1745810	2033350	2088410	10462500	2031860	2089670
P0AGM7	1059920	832790	787536	1050990	1308540	1178620	1037230	1411160	1246320	1042750	1089850	1469280	739233	1231670	1425040
P0AE85	4375420	5326450	5530750	6581040	2832950	3017370	2488100	3004240	2929010	2761680	2937920	2710810	5663260	2541180	2837170
P50465	222412	216009	232135	201722	442150	483847	531302	444165	449862	432992	479399	485405	270724	437563	358384
P06720	5301690	5103060	4943780	4916850	1132110	1136030	1169090	1205760	1248190	1521710	951294	1026740	5184850	1143210	1235320
P64451	6335120	7040680	7376970	8200240	5402950	5490140	5644880	5483330	5319420	4950510	4918210	5075800	6527320	5115990	5738460
P0AFI7	3304670	3059160	3073550	2711320	3237300	3251350	3551330	3406410	3440220	3463280	3414990	3505910	3273170	3283840	3228180
P0A8L5	543386	562425	600198	491773	641194	717958	696620	733549	646659	820383	725076	706031	616539	699687	675808
P33025	2697570	3164180	3101940	2989750	367966	395335	407606	432063	419838	456684	430501	411960	3033460	454917	384301
P0ADM8	545376	649220	672910	565335	545980	563550	611488	555510	553847	575619	553361	574578	757038	639411	648350
P03841	5039560	7409180	6232620	6997190	4940810	4366800	4723050	6259390	6443670	6219380	7549440	6800290	5827340	6746110	6678910
P24255	4751910	4658870	4710990	4412180	4694190	4607570	4563990	4633570	4808670	4532380	4759470	4629950	4681200	4546180	4711090
P0AFR4	11036600	10563900	11313700	10528500	9622060	9954920	9205870	10652300	9604810	10004700	10071900	9570680	11400700	9274730	9988970
P63020	17456000	18026500	18771700	20332700	15694200	15901700	13468900	14188700	13573800	13910900	14032400	13449200	16788200	14066500	12514400
P0AA43	8048600	7355720	7299510	7226270	9004900	9281650	8589760	9216720	8386480	9150000	8870520	8993100	7577890	9551450	9122430
P15082	1926360	1839070	1844810	1730520	1267610	1395690	1349970	1340470	1303920	1320010	1361040	1365590	1745370	1386620	1286990
P07014	64427900	65294200	52694000	48140800	12259400	13005300	13546700	12747300	11203600	11977000	10326500	9174690	63906000	10027100	11381400
P0A9K9	47697100	58125800	60151600	56599900	57036400	65084300	46305500	60170000	53623600	54676800	53719400	52178000	56110500	57579400	54814300
P0A8I3	3599970	3710580	3899670	3876960	4313610	4468350	4467060	4082110	4053070	4324600	4117890	4109520	3525520	4047690	4035340
P07822	288055	428935	484367	448352	530430	471893	437691	368630	494298	434293	461589	406654	346519	430714	389858
P27836	975436	1098750	1045430	969710	1361270	1447320	1474040	1402800	1359750	1520230	1307820	1329490	1068570	1375340	1275300
P75949	4506600	4025750	3871680	3877430	4653400	4571230	4784960	4521890	4429750	4523260	4369590	4550340	4073370	4668700	4385070
P16431	656538	391512	475919	338457	873101	792001	952773	1107620	1435460	1422520	1876500	2114310	558354	2197150	1814380
P76471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AA84	553541	641129	586363	636408	689711	675022	604023	629141	615964	642959	628855	633177	615705	608082	573489
P60595	4884130	5088410	4934160	4570080	10766000	11737100	12602300	10256900	8879740	10794600	9312720	9393390	5062000	9305890	10839000
P16525	2361720	2460880	2532830	2607890	2618930	2535810	2680660	2568320	2688210	2599450	2501860	2653340	2561620	2488410	2512880
P52645	586969	589820	595693	632451	506653	486839	501288	469394	490952	481394	498150	485502	624374	510472	505749
P60651	7652470	10240600	9942240	8662480	10038800	9957930	10059900	9851780	9770510	10536300	10074100	9564100	9031390	9943950	10315600
P76372	14540600	13144300	13250600	14338500	13169100	13768600	13186200	13048000	12729200	12440500	12928400	12889300	12983700	14225300	13268300
P75818	23685100	24247100	26101600	28018500	18408000	18202400	19737300	19120100	18716800	17910800	18430400	18525100	25436000	18892800	20739000
P0ACA3	29846300	26816800	28676900	27610700	26084000	25910700	24685200	25995600	25734300	24399700	26319000	26398800	29590300	25867800	25534000
P76007	4433990	4425990	4405880	4158130	5695970	5427580	5364120	5172750	5778080	5475130	5119010	5392390	4083630	5584400	5529800
P76185	376738	404532	429950	401926	486880	495663	467836	445584	511838	436567	465307	465141	425911	504528	456628
P52102	805587	755238	675152	713106	1192510	1259730	1127720	1180670	1199790	1139380	1558380	1348650	763209	1337030	1424220
P64479	3129910	2716890	3081810	3613380	1812270	1976270	1092060	1448110	1319540	1531810	1447140	1422810	1947340	1529800	997766
P37024	1194690	1130890	1138480	1093320	1165850	1208320	1208560	1134170	1183720	1227310	1141340	1179090	1122360	1234440	1175270
P52697	33591900	38471700	38875800	41323600	34117600	35266200	33359100	33671600	34628900	36608200	34233200	33894000	33469600	32207500	35618100
P15288	25232800	28033700	27469600	26292200	24830200	23969500	25363800	24936400	24806200	25241700	24844000	24443400	28334200	25500000	24244100
P32705	10594300	14373800	12958900	15394600	NA	249109	NA	362862	NA	NA	NA	NA	9207020	NA	381997
P0ACA1	4042420	5006800	4694770	5044470	3905450	3854840	4157410	3885050	3935090	3833690	3668380	3351020	4989660	3244470	4029090
P33607	2437020	3308360	3591920	2102320	2516900	1918780	1728770	2338360	2314850	1544000	1792100	2318410	1979820	3205330	1993600
P0A800	28194700	29546300	29264200	33492800	32351400	34045000	32112100	35092400	34922300	34580300	35727600	31429700	29479300	32254300	34869100
P00946	17945900	15865400	16228800	15656100	12972100	13009100	13214200	13102900	12707200	12365600	13972400	13724000	17192300	14202900	13425700
P37747	7170030	8775570	8741740	7170240	10644100	10832900	10765600	11316500	10583300	10520100	10578300	10687600	9105820	10728800	10675300
P0AB46	6059760	5305150	6298370	7318700	4673170	4665380	4357910	5449620	5755690	5126130	6502390	6383450	5320500	5892280	5570070
P0AGE9	111196000	138077000	115019000	103997000	29867400	33590900	33162000	30301700	30373200	32905700	28703600	24017600	131892000	25653000	31257100
P0A7E9	13537800	15450800	14079500	13682100	15883600	15090600	14498700	15450500	15793700	15434700	15870600	16127300	15451600	15384700	14585900
P37610	419498	502151	524239	410783	372188	359040	367420	376464	367979	363726	405553	371740	479258	374344	353909
P0AAJ8	1459170	809913	892462	837668	602766	533899	618573	682894	727638	723075	949156	974027	919546	989448	848609
P37631	643310	615008	660434	679789	874554	827848	923832	858045	883632	857384	860465	880180	629350	821771	793553
P0A8F4	2786560	2693760	2450430	2417270	2422420	2515050	2570660	2452030	2404660	2423960	2483580	2489180	2616020	2570080	2565860
P64476	2351250	2469820	2080540	1655790	2250020	2452090	2769150	2863930	2385110	2428580	2980710	2711040	2471800	2370240	2814400
P0AB43	6350940	5823420	6173300	6409310	7833910	8586900	7508480	8369650	8416290	8331720	8533340	7892810	6187580	8076200	8531620
P0A6A0	1430020	1506110	1476880	1436970	1466340	1434790	1539630	1423670	1463190	1428040	1366660	1401690	1372020	1357170	1353000
P0A6Y1	28681900	25854000	26418400	25406500	19030200	20004500	19533500	21967100	20837500	21533000	21725500	20457500	27075000	19052000	21305400
P0A6G7	25479300	25817100	23224200	22914700	24492800	24616400	25105000	24590000	23909100	24429700	24829700	24805800	24979700	26239600	24976700
P37903	42083800	41292900	37399100	30309700	9383350	9655500	10269000	13159800	11470600	11928200	12529900	11483600	41012100	12275100	11696900
P05637	1802160	2145190	2196280	1887210	2392580	2539490	2430940	2372990	2296050	2457620	2359150	2355540	1990480	2301950	2287560
P63883	1636960	1521950	1604180	1604680	1151150	1091590	1166280	1141230	1169160	1107660	1302000	1284020	1608880	1337270	1066100
P0A7H0	985407	808580	860104	815817	864018	883729	946158	865097	894672	921629	911412	956967	883268	837379	811357
P46130	9765560	8997370	9130840	9268750	8664800	8626180	8903430	8502720	8768380	8893840	8629680	8399880	9466720	8833650	8872930
P0AEZ9	23053500	22300800	22728300	22087800	18911400	18103900	18664700	20142100	20167700	20651300	20406900	20253700	23147500	20416400	18983100
P31802	4762390	3850630	3991490	3701560	3340060	3603540	3721460	3664830	3709100	3572440	3998550	3858640	4085420	3728970	3771940
P00550	4229060	4690980	4710960	5060300	3635690	3641600	3442800	3517320	3733500	3517670	3356720	3401110	4582430	3308790	3658560
P32681	417770	575597	457044	513645	439692	411385	457273	368892	404164	388106	376874	395941	490589	371465	401253
P0ABG1	NA	1691450	2383910	2380200	3139510	3059790	3150000	2501250	3232530	2731050	2624930	2968840	2383560	2824350	3382140
P00926	1165560	1265670	1284680	1372560	1617860	1596680	1630220	1562940	1614120	1659580	1624730	1588520	1276230	1517020	1522700
P07024	7638780	7817930	7998160	8288680	5972820	6148320	5653700	5898900	6039350	5814400	6020870	5857740	8016060	6027420	6214240
P52060	1610490	1447590	1734370	1468660	1366620	1461160	1206680	1381380	1394610	1109370	1369420	1289290	1403820	1277450	1212430
P0AD01	3917980	3641350	3604590	3577800	1916420	1840230	2003560	1957510	1968920	1939920	2026440	2097200	3732830	2086450	1839340
P23836	16951500	16357600	16661500	15352600	16634800	17615000	16198300	16539200	15872700	16183700	16417100	17094700	17224000	16362400	16234500
P21693	439578	499232	460102	501806	664206	650027	655765	648996	581726	562695	603927	561152	492599	614010	636372
P24230	736108	807667	766896	814240	784466	797145	757120	791452	787972	780515	779663	812528	807089	794152	735782
P04425	12085300	12163700	12027000	11650300	13589900	13234000	13568400	13646500	13558400	13355800	13185700	13296800	12801800	13650100	12870400
P0AG82	4727470	5187140	5327060	5983880	3079190	3224190	2688340	2871680	2733780	2861820	2935720	2757480	4857370	2860150	3037970
P76055	1471570	1452600	1226540	1205790	1976270	2081720	1955930	2062130	1867310	2009820	1960860	2108100	1379950	2030740	2076820
P0ABC9	1066210	1149170	1050180	1145300	1010440	1043000	1002780	924544	911398	958893	891013	907532	1043780	1047980	961277
P0AB01	647185	566771	577562	620044	477073	474605	471722	455673	518527	467267	454126	451152	553411	468779	483638
P24251	21628000	25464100	23402900	21642300	25173800	25882700	23639900	24453300	23934900	23671100	23854300	22019500	26107900	21980200	21265100
P0AE30	162851	185858	195533	185562	122284	117219	144474	118938	143406	134531	106401	124471	147326	154366	160332
P0A6W3	534073	632439	762737	765940	489042	441321	485035	398863	450498	441815	268913	448334	405084	487394	540891
P0ABV2	3642160	6610440	6166340	5997280	9722320	9690590	8896730	8372420	8409570	8832990	9244690	8257520	5318360	7777880	8325080
P0A9N4	4139820	3998370	4044420	3734530	4413830	4488060	4810680	4680180	4456780	4650000	4712930	4791630	4098620	4942780	4244290
Q46920	2606280	2520230	2395110	2339380	2693290	2560280	2735320	2649590	2571780	2703810	2623700	2693060	2571100	2591760	2696790
P61949	19810000	23587900	21823300	23345100	24648100	26446800	20390200	25307400	23742500	24648000	23459200	24206600	22446800	23197200	22427000
P0A780	5152190	4753130	4680190	4280260	4723220	5023240	4534250	4948570	4554680	5145610	4924430	4868430	4840690	4646100	4740150
P52062	1171140	1144050	1111660	1104470	1092640	1027570	1058280	993844	1005600	980465	1054290	997587	1145460	1023970	1093640
P0A921	1651370	1826760	1681860	1532910	1691030	1700720	1684160	1682010	1647420	1650790	1631780	1648650	1606690	1651490	1596860
P09029	6559210	7623040	6991200	6440390	8214380	8077360	8285260	7756350	7793420	8322650	8032490	7686090	6891380	8566600	8051430
P0A9Y6	103428000	128742000	129536000	124283000	143415000	148536000	126522000	140576000	132486000	134777000	138002000	130960000	128271000	146996000	151380000
P0A9X9	27473300	19553600	28125300	36407900	75387200	82851900	61735000	84790200	83064400	73751400	49550400	49633800	27628000	78350700	89254900
P36995	1616180	1952270	2317400	3005160	3796640	4114890	3289230	3984760	3947420	3335530	2249730	2317720	2333120	4580070	5111110
P0A972	200177000	225395000	240390000	259736000	285377000	293494000	242249000	280911000	235130000	261272000	228788000	215456000	240403000	306626000	330049000
P76542	302517	286224	279662	283661	302511	316444	330039	313868	297867	298596	289216	294414	267958	287320	309268
P32134	1042920	1018140	966586	863874	677904	784937	791381	712566	718571	736688	772390	880153	1039490	934890	751962
P0ACY9	2110950	1766380	1868570	2147500	2479970	2554600	2251460	2628710	2433410	2502270	2667290	2619520	1821620	2391980	2440490
P0ACN4	11571500	9250930	9517400	9397880	12419700	11999800	11919700	11857800	12165000	12353200	11823200	12562200	9927280	11537400	10715500
P25534	1949400	1910740	1875640	1794260	1872630	1813130	1955070	1903620	1957790	1887970	1968430	2006660	1868550	1968920	1954310
P52061	7190790	7258920	6966640	6150120	6361940	6939750	6406200	6850590	6038310	6580290	6282300	6291680	7171640	6648590	6444250
P77791	1696170	1828610	1795250	1643430	1270950	1288540	1268550	1387430	1386680	1373530	1407220	1338030	1851010	1290340	1362700
P23837	1089640	1128980	1049810	1072430	956335	997539	941944	952559	1021240	977476	935013	969612	1006280	957683	952160
P0AC75	1171690	1233640	1159770	1113310	1521060	1477500	1478390	1430760	1396230	1431650	1346050	1301570	1162930	1345570	1257220
P14407	9185810	5251480	6181770	4830230	13586800	13320900	13854200	14944500	16818800	15834200	17047700	17809000	6856600	18777400	16084700
P0C0L7	4542390	5873240	6133250	6061010	20733800	21673000	21266500	19976100	19538900	18461500	17357300	18843000	5550880	20283800	20953500
P08400	629774	721439	750808	696881	608604	558753	675911	545836	601966	610307	591327	588887	623516	590237	571974
P0AEV1	1674490	1494850	1658270	1649050	1517690	1527070	1493520	1566650	1659650	1542190	1473150	1513570	1503860	1493270	1609170
P0A927	14607000	14735900	13578100	13816000	13852100	13443100	14730600	14028200	13332700	13609400	14096600	14050100	13598400	15249500	14170500
P0ACI3	1461160	1611040	1565910	1605700	1279840	1136680	1256580	1161960	1339050	1293190	1294960	1244260	1484790	1163010	1098580
P69506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P23871	1524000	1750390	1693450	1723320	1841400	1762710	1879570	1722530	1734870	1834490	1684520	1631960	1631810	1722460	1795030
P0A908	12533200	13809600	13774800	12592700	15713900	15440900	14477400	14859900	15558200	15980000	14821800	15019300	13509500	13834800	15202700
P45531	621083	550920	573876	503225	553714	573449	558900	599728	529488	583466	581468	555494	528883	532486	569585
P30128	2315520	2167460	2076410	2076040	2148710	2095690	2196370	2315990	2108200	2022920	2271720	2245550	2221930	2107420	1985910
P0AA39	4271020	4388220	4310280	4199410	5154160	5022150	5177720	5046490	5063170	5013490	4881230	5022660	4407270	4973070	4943350
P15078	4802810	5794350	5459830	5376560	365222	363812	324066	303417	365818	373318	312957	217785	3808270	291269	337406
P75792	2846820	2857720	3005340	3065470	3472540	3510540	3580980	3484980	3432240	3440560	3295880	3293370	3006450	3411030	3412960
P0AFH2	2490540	2059320	2677840	2241590	2348850	2438610	2389470	2449160	2379640	2493570	2478740	3057740	1867620	3315380	2668660
P0A7B3	612035	617263	583305	585482	588968	519732	548532	545344	533118	538159	523519	601322	600172	526671	524797
P05052	288712	257418	347406	208681	396774	345482	392713	399153	394747	379694	457437	528245	284592	452008	371749
P75823	6444330	6599010	6708570	6278350	6111200	6275420	6234300	6251580	6348880	6147120	6407800	6406900	7011050	6256710	6115840
P0A6S7	5347130	5550660	5571300	5524500	4241620	4633680	4033020	4569550	4391680	4552230	4516410	4313680	5711950	4515860	4434830
P69828	79974500	86463100	84079200	65011600	25319500	27694000	31223200	27859500	25678900	26451700	30699300	29799800	90129600	34118800	32234900
P0A8P3	20087500	19766500	20507300	22536900	18693600	19117700	17617200	19368100	20418400	19540400	20172900	17984200	19226000	18232000	18905400
P0ADP0	7004650	6691880	6733730	6109070	6736860	6913900	7386020	6456320	6598160	6699740	6549370	6394400	6345460	6463080	6822240
P64517	970174	1106070	1041890	1076550	464614	466077	502036	565608	511548	489389	530237	509980	1207290	671072	643634
P0AE63	4875420	5416980	5851450	6836510	4443000	4993860	3981290	4750180	5137610	4787030	4815030	4463880	5245210	4058950	4140130
P0ACU5	2303090	2153570	2157460	2348840	2307370	2411360	2332010	2359770	2343520	2295590	2348730	2415000	2381500	2362130	2280960
P0AEQ6	916785	1305530	1384420	1246730	615277	687709	549177	602905	609834	601352	373030	722804	741116	694470	652636
P23883	491039	549025	451305	489989	500318	494827	520147	468926	496150	434656	475486	450165	502156	419215	494218
Q93K97	1214880	1237050	1240750	1144420	1358360	1252040	1312900	1309390	1293950	1244820	1236690	1310110	1322430	1236490	1327120
P37128	963066	1004470	1109860	1014340	1347790	1468240	1193120	1337830	1293780	1187250	1257110	1227130	1133480	1327510	1332230
P75801	998582	1065840	1082330	1033890	2448850	2384530	2281700	2014820	2444590	2487940	2300350	2577620	1078890	2208680	2188860
P0A823	822688	746049	795111	778458	854775	789470	859048	807350	889166	760769	802742	867440	768721	819434	767968
P0ACU7	5494550	5239750	5420720	5473430	4320080	4513060	4151510	4465710	4191180	4499630	4394290	4145510	5343740	3863620	3954530
P0ACC1	563766	535534	500309	481890	625374	640103	647161	604779	582062	608393	631816	602472	501988	637341	591757
P0A9Z1	8976920	9357710	9604990	8384680	9847590	10172100	8122620	8573700	8491800	8349880	8753780	8080130	9092560	8648050	9554190
P0AGA6	1762190	1812990	1765740	1745220	1536410	1513180	1373240	1378930	1324670	1533930	1440470	1373340	1841030	1416520	1451120
P64557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0ACT6	1131390	1020410	971085	941574	708455	662219	691161	708152	680189	640982	696575	709620	1051040	755203	678951
P76330	1256020	1125930	1138140	1207530	854301	790819	797274	779869	829014	758824	788628	745453	1064570	758952	763089
P0ACN7	1411960	1301490	1295500	1277750	834130	847018	838497	877618	921616	892053	911914	923654	1281600	872370	892220
P77554	2057640	1829000	1717890	1751250	1346590	1372070	1357140	1370290	1460320	1358760	1448560	1408450	1894970	1392480	1392380
P75822	5441600	5315550	5238050	4981440	3948060	4043200	3880370	4008200	4175360	4374160	4060840	4225150	5243920	3874090	3653580
P02929	2399890	4391130	4345800	4541390	5817290	5780140	5365820	5251080	5323740	5130510	5616150	5137850	4213780	4761080	5198690
P75746	1222170	1170330	1211810	1236610	1044660	1039750	1065840	987632	1055320	1090210	1066950	1046400	1160360	1032730	1059680
P0ADN2	31639600	31902700	30323600	34583400	36746500	37818400	34349800	41420000	39807400	41032800	44050400	41615300	30974300	40767500	39484500
P64545	1024110	1267600	1103680	1163480	975989	1021570	948660	945681	996321	1000210	944518	976931	995312	1036400	895022
P23862	690857	754449	697003	625806	644871	658028	596830	617643	641407	637413	628495	592175	694462	644891	677385
P0AEX5	3690990	3812740	3913750	3816150	3045770	2986620	2920110	2981730	3234160	2881790	2875640	2980000	4066510	2814860	3290020
P45799	2717100	2651140	2389290	2452530	2388630	2482980	2292850	2348390	2197260	2275110	2333380	2182170	2467490	2304200	2317900
P38105	1347590	1794590	1955900	2241550	937484	889525	944066	816658	1014390	875136	874891	786791	1564500	732848	773769
P08622	11431900	11213900	11536500	11908700	12310100	12622900	11371500	11784400	11857700	11885900	12020600	11372300	10807100	11212400	11977800
P20099	5832860	6048620	6154810	6195920	7279250	6981600	6883250	6470940	6745180	6645570	6449530	6917930	5839300	6777730	6568280
P76549	1852120	1922710	1891140	1697430	1495620	1370290	1556490	1522580	1643710	1673740	1620000	1772650	1797880	1598480	1502430
P0AFM4	6133440	6339630	7123970	8786240	3931100	4245900	3513780	4425460	4405600	3998140	4221370	3671170	6102530	3686590	3886330
P0AC30	2348330	2435390	2635400	2509740	2292930	2362140	2050730	2176580	2188240	2154330	2121550	2266140	2263690	2386810	2255450
P0A809	2620440	2543270	2654350	2617680	2233550	2167490	2189390	2277590	1952690	2321680	2195230	2220800	2625080	2064540	2115100
P75849	6829810	6071520	6041680	5667570	6142600	6091450	6251090	5904670	6250680	6021940	6271600	6171930	5732320	5933120	6222020
P13857	2216900	1836580	1812070	1672560	1262460	1231460	1274720	1269980	1316350	1255180	1327690	1286040	2004540	1210680	1345500
