rowname	20230516_EPL1_LiSc_SA_S610_RT_25_s2	20230516_EPL1_LiSc_SA_S610_RT_26_s9	20230516_EPL1_LiSc_SA_S610_RT_29_s24	20230516_EPL1_LiSc_SA_S610_RT_33_s44	20230516_EPL1_LiSc_SA_S610_RT_35_s51	20230516_EPL1_LiSc_SA_S610_RT_36_s56	20230516_EPL1_LiSc_SA_S610_RT_38_s68	20230516_EPL1_LiSc_SA_S610_RT_39_s72	20230516_EPL1_LiSc_SA_S610_RT_41_s81	20230516_EPL1_LiSc_SA_S610_RT_42_s89	20230516_EPL1_LiSc_SA_S610_RT_43_s92	20230516_EPL1_LiSc_SA_S610_RT_44_s96	20230516_EPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EPL1_LiSc_SA_S610_RT_48_QC4_LabD
P39356	2057440	2106170	2059690	1954130	2005270	1930210	2156050	2090120	2176180	2090160	2119510	2157220	2218260	1999180	1958380
P77399	2906620	3362610	2906600	3260840	903758	901529	855353	954076	881547	904149	750812	703571	3144490	772371	985330
P60560	34741200	39829000	3.9e+07	40875700	28655700	28486800	27649700	28276800	28716300	27578400	27917300	28181900	38279800	26456300	27177300
P30178	46340900	46829900	46100300	41583000	52715700	50685600	56143500	48847100	50967500	52553100	49367000	49627700	45852500	52230600	50097900
P76243	4180040	3933190	4290050	3960200	3586430	4003780	3655700	4289860	4177930	4046350	4311930	3969920	4270090	3983290	3935570
P02918	10857500	10816600	10947300	11358000	10677900	10400900	10266400	10028200	9951760	9526720	9714340	9941200	10555400	10170200	10121300
P0ADK0	9831320	8360080	8472850	8478260	7355320	6943680	7277080	6985530	7285820	7410760	7152560	7373400	8304230	7450510	7234960
P0AES6	10411300	10759700	10423000	10329000	12205400	12523600	12392100	12136200	12219400	12070700	11969900	12240400	10633900	12806600	12933500
P0ABD8	24030400	31382900	27553200	30337600	32140300	34790100	30330300	34189100	40055500	34721900	33870800	33120900	30697400	32311300	35255000
P76034	3256970	2482380	2682970	2388670	2588820	2490330	2651390	2535340	2620580	2493190	2605190	2780280	2770950	2605640	2430970
P0A6K6	15686800	16920100	17784900	18184400	12699100	13517800	13804300	14001800	14346700	13985700	14042800	14196300	16678700	14122700	14244900
P39176	2932490	2761120	3111490	2934490	2098110	2361760	2315120	2380710	2521310	2375260	2493960	2254630	3221270	2538710	2699950
P77596	347566	462839	414666	431064	206462	120359	201135	136487	159693	148309	169223	116562	444607	158415	197656
P37146	2524020	3948350	3483440	3610950	3999780	4121900	4167650	3951420	4360880	4595410	4725390	3605240	3504600	3160470	3955420
P36999	1091550	1067680	1018380	1031250	1272660	1301620	1390760	1270450	1153670	1227910	1231010	1179030	935220	1209320	1273500
P0AGJ7	1813880	1778090	1740720	1745220	1910070	1998160	1943090	1990440	1837710	1844300	1855060	1839950	1691570	1907240	1854710
P25745	5886060	5675850	5597150	5497660	6924060	7061640	6678400	7093220	6750550	6698000	6902160	6890700	5684620	7033240	6818310
P33221	19973500	24525000	23350600	23493500	20406100	20948900	19662000	20652500	21969900	21345000	21218300	21492900	21951600	20824200	19604900
Q46802	3133800	3093630	2675770	2605210	695045	636148	723025	838847	822231	770509	1048190	699178	3024020	679407	904181
P37177	3862180	3772210	3887440	3766700	3520970	3343430	3415850	3349560	3511430	3229540	3299350	3467140	3941080	3430020	3340080
P62623	4444540	4029590	3952950	3917660	4273730	4355710	4405350	4308030	4219320	4101430	4183310	4450870	4072840	4193200	4201750
P06149	18696100	20513800	18941400	18290700	11759600	11788500	12528600	11650400	11725700	11278800	11328900	11380600	20094300	11461000	11862900
P0AG67	137821000	153867000	146177000	141025000	198108000	201418000	192527000	203586000	201549000	196420000	197926000	196820000	150856000	201652000	203911000
P0AAC0	10234900	10045600	9481170	8348890	5751990	6110600	6020510	6465340	6395850	6576050	6112180	6675680	9704610	7181800	6615440
P75728	2173040	2478630	2516830	2395510	2484470	2466120	2666340	2559560	2779950	2566240	2656650	2662190	2327360	2393030	2335110
P0A962	4332510	4605040	4491090	4625270	4935990	5136010	4828370	5018670	4772760	4943350	4936640	4733190	4439970	4895200	4888340
P54901	1621880	1694750	1681460	1878310	796354	767773	703201	787368	876135	779349	738569	664525	1666520	558873	636100
P0AGD7	13051400	12667000	12068900	12194000	14083600	13832600	13771500	13506200	13906900	13586600	13787100	13855900	13068300	14403700	14380000
P0A7U7	108223000	110679000	115658000	123487000	159513000	174819000	148691000	172331000	171084000	165282000	173483000	155115000	117440000	158134000	175606000
P04391;P06960	23440600	21697100	20224300	17654900	25410100	27491000	27590400	26823500	25759100	26993800	26468600	26679100	22862400	29947600	27061200
P30130	503341	1000180	2067030	1698020	866830	1114670	1061120	1219960	929656	889456	609776	693785	1666990	777376	1032560
P0A9T8	1602080	1476910	1538020	1475950	1189660	1147040	1183390	1098960	1086970	1149880	1097820	1133450	1511970	1097070	1098780
P0A8G3	6371830	7062130	7036700	7993990	4559170	4607890	4799580	4767820	4901830	4584380	4588620	4338580	6341320	4153320	4750120
P39099	7783940	8505580	8680950	8286020	6593990	6808700	6451900	7169880	6489820	6771640	6814790	6455500	8751890	6546530	6978250
P0AGB6	2855370	2342830	2641510	2724660	2436760	2484890	2404940	2817640	2370880	2536080	2579540	2496730	2657560	2568140	2438970
P15977	2641530	2881740	2980470	3016020	3560500	3453300	3697830	3510420	3786460	3532490	3752640	3643410	2805240	3712430	3712090
P23882	8821620	8515920	8330460	8190870	7606040	7439000	7808220	7681440	7733470	7779970	7855510	7456570	8567440	7571660	7826700
P0ADF8	7771680	7621260	7095680	5909860	6979710	7077940	7081820	7290210	6882470	7531020	6736280	6235800	7251990	6299210	6559200
P37908	543007	520553	540425	536924	597323	552921	616076	548346	584475	582100	566041	561180	542849	596234	538895
