"rowname"	"BBM_673_P283_01_VEB_001_R4"	"BBM_673_P283_01_VEB_002_R3"	"BBM_673_P283_01_VEB_003_R3"	"BBM_673_P283_01_VEB_004_R3"	"BBM_673_P283_01_VEB_005_R3"	"BBM_673_P283_01_VEB_006_R2"	"BBM_673_P283_01_VEB_007_R2"	"BBM_673_P283_01_VEB_009_R2"	"BBM_673_P283_01_VEB_010_R2"	"BBM_673_P283_01_VEB_011_R2"	"BBM_673_P283_01_VEB_012_R2"	"BBM_673_P283_01_VEB_013_R2"	"BBM_673_P283_01_VEB_017_R2"	"BBM_673_P283_01_VEB_024_R3"
"P16431"	699236	632706	480507	509922	1753260	1132530	252457	1393860	684689	525314	631395	1288230	1428940	1461660
"P76471"	2117900	2615370	2784720	2778710	2673980	2843080	2836560	3995580	2632280	3611700	3485890	2395170	2998620	1791180
"P0AA84"	272096	260255	243199	402905	224837	257199	379740	200249	264304	268323	251410	344909	342617	365708
"P60595"	10190100	10669200	11941600	9739680	14798800	11268800	10405000	11258000	10696800	10765200	10947600	24712700	23061600	24641300
"P16525"	2312210	2259590	2554300	2617020	2442920	2373820	2360420	2241880	2345640	2533480	2532340	2321450	3074750	2784620
"P52645"	1205890	1309870	1339640	1322160	1444770	1167110	1343650	1729160	1339540	1366240	1376460	977170	1268010	1161770
"P60651"	7850920	7621440	9449320	9613360	9620400	8952990	9269000	8837400	9561460	8946340	9611660	10408500	10621000	10650900
"P76372"	13587300	14511200	15455200	13926800	15929300	13735100	13488800	15964700	13693100	14770300	14346800	16346400	16368200	17285600
"P75818"	37843200	36679100	41192800	39193600	46416400	38470200	37899900	44171000	44578500	40262000	40534000	35322000	32783300	35981700
"P0ACA3"	58103600	58860000	58094000	53896700	55253400	55792000	58056700	44866500	54319400	54558500	53860000	29128400	44672600	49499400
"P76007"	1007520	1136870	1066860	1038860	1021060	1067980	939277	1032030	992613	1082700	925899	1202540	1501220	1562060
"P76185"	421021	320921	396876	475900	401743	426539	418814	384648	470941	353044	608769	522947	811013	671881
"P52102"	1e+06	683385	746965	452732	786271	587146	493715	404855	619848	786290	630943	896968	632613	587625
"P64479"	2749060	2765400	1964870	4072490	1959810	2180830	2920430	1391630	2871310	2051910	2096600	NA	795050	948402
"P37024"	2358270	2340690	2566750	2089730	2565200	2338580	2233460	2644400	2141060	2372810	2324440	2586900	2850900	2974500
"P52697"	69706200	67939500	70439700	71619400	64574200	77362300	84872800	61922700	82947000	68374600	71058700	65405300	69017500	72444300
"P15288"	31144100	30520800	34816500	30474600	34439100	33748900	30984000	33309600	32672000	32215600	35541400	29775700	31219900	30875300
"P32705"	18849700	22181100	19675000	23755200	12463600	17398800	25434200	16342700	26716600	20208800	22324500	1660310	3438650	2746780
"P0ACA1"	7984830	7778900	8435610	9245410	7156300	8325130	9524490	7436100	9304090	8320900	8778260	4840830	6013120	6091580
"P33607"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P0A800"	52538200	45059800	37577400	47919400	34519600	42317600	44843100	26305500	46908600	41659700	40371700	41928000	32236200	34274300
"P00946"	33821900	31812000	31045200	26410000	34418000	30840600	27114000	31570100	28625900	30237900	30043100	22601200	21961600	23828100
"P37747"	6848210	6456670	7856910	7797200	8200830	7563200	7053170	6572900	6667640	8186800	8104550	8094150	9900910	10523100
"P0AB46"	33618200	27912500	19126600	28242200	22976800	28959900	26836700	13233200	27000900	25484400	21394900	18951500	16777300	19861600
"P0AGE9"	191734000	216158000	258482000	178810000	242294000	213840000	171239000	248200000	227348000	225290000	237904000	51595400	47995300	52691100
"P0A7E9"	12605500	12198400	14338400	13028700	17213200	12728900	13273400	19222600	13756200	14102000	16084800	21704000	12115500	18141400
"P37610"	412775	397780	450128	519779	382799	466374	589843	236978	458562	420639	451072	334441	349192	298136
"P0AAJ8"	5380490	4819100	2919710	1929120	5767050	4115120	2210330	3776690	3487430	3436820	2965090	1984430	1304740	1756770
"P37631"	840187	925159	961116	869473	1010330	938898	865484	1022560	941894	1004020	916334	1178720	1396010	1487340
"P0A8F4"	5918190	6535470	7175500	5809650	7249020	6048790	5654860	7277710	6358630	6808230	6618970	7585980	6862940	6389970
"P64476"	15389900	12404600	12656200	12513400	18176800	13947600	10889000	9908740	13959200	13475500	14066400	10385100	7375890	8798000
"P0AB43"	15640600	11643000	9955530	13108600	9843320	12066300	12160100	7158830	13229900	12214700	10990300	14966200	10605300	11675700
"P0A6A0"	8494590	9297700	10211200	11038500	9324560	9109700	12292100	9751730	9738950	9698840	10183500	8219530	11368200	10392100
"P0A6Y1"	73443800	64725700	59562400	67163200	68813800	66764700	56994700	54342900	74272000	61871000	56190900	49603700	31947700	38354100
"P0A6G7"	48650300	52662300	61218300	46477200	63533600	53435000	43188500	63156800	50543000	53294600	49087400	70368100	49062600	60499500
"P37903"	279938000	240891000	237511000	207727000	328607000	244923000	177442000	194094000	225117000	214588000	208539000	54323800	47453500	51755900
"P05637"	2427820	2697630	3554520	2745040	3897510	3446490	2905700	3895290	3085000	2828870	3070640	4176500	3718510	3764170
"P63883"	2292690	2602030	2271940	2753230	2645550	2315750	2556830	2631370	2392360	2513060	2289010	1894060	1906360	1822270
"P0A7H0"	672628	746216	881859	671677	774966	788510	739745	747815	791398	675134	808395	670261	980080	733820
"P46130"	18370900	19499600	19743600	15490700	20583800	19563700	17022300	18392200	19595500	19649700	21289700	15894600	19867200	20072700
"P0AEZ9"	47811000	42658800	46756100	38889100	49860800	44358200	40652300	45999700	47427200	44474800	44611600	42254500	31974000	35602900
