rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3
P00547	25.428000088058045	25.42389413537586	25.46484000879901	25.42418131482296	25.592862871664146	25.547667675018463	25.52011754145858	25.651759341082975	25.399740278695464	25.341790460575186	25.376084870986574	25.43617710185278	25.301709525616094	25.212264792668826	25.0981122238234	25.168506432678576	25.159268304948764	25.145222064845523	25.133871990673796	25.209451914963246	25.317446863429897	25.22856587156882	25.27436533284114
P00550	22.30391673971159	22.47181229636761	22.56903926981767	22.63450085657675	22.695674885401164	22.546701551272093	22.494289668991637	22.666410458944288	22.597231082256094	22.55964989843453	22.658767514063086	21.79992964486709	22.23449852592212	22.30691021803583	22.39074962576809	22.370663458912063	22.270991187062965	22.341706905938466	22.292251928748946	22.130845528896664	22.141944867463213	22.033281878489426	22.278109863238736
P00561	27.011688317947506	27.067569040541613	27.00535874915219	27.335995956638335	26.972032518345763	27.02755289951111	27.240596280783432	27.131402258105478	27.00067078381002	27.0117245106405	27.049622324571914	26.263999969652858	26.73897969596648	26.763560598965423	26.85721393317732	26.804696531344806	26.80660656342404	26.84202795575014	26.796589951904398	26.519588355600952	26.614968416793786	26.735773353078816	26.870396737650363
P00562	22.724382551954143	22.82296801493275	22.72690842631835	22.476074542875434	23.360538175553554	22.550424909166267	22.38679682452111	23.08679340926369	22.495804170328803	22.645386356335216	22.640278690041274	22.99144220304664	23.320816111344367	23.146540042619606	23.397970612873515	23.372138120943653	23.410207391592717	23.202338182172646	23.234658274012286	23.030693827827132	23.243576351156673	23.251656331653248	23.146225553228877
P00579	23.748836365178246	23.85186721839443	23.83138011349439	23.892201236773207	23.815211665257255	23.67524098870067	23.76023674823484	23.734951680248965	23.68691807277009	23.773385877394535	23.755737565710355	23.816671698229868	23.867832324683647	23.886358842254403	23.953618826539614	23.816696572352345	23.91093211268086	23.884627603349326	23.95486248693804	23.758796119212136	23.807180003519274	23.910240681248254	24.02727060997652
P00579;P13445	19.718542886107546	20.177527441230957	20.592891551442293	19.928135501196152	20.593910235400756	20.40119486922523	19.91344250491681	20.733470525193443	20.010524445438676	20.14676386624876	20.050474970058584	20.61792217342928	20.736993124885295	20.844694935384215	20.810929779057457	20.75320516640284	20.84085716192579	21.033492854156794	20.996654724550698	20.748161243421308	20.628886194687986	20.52339474598968	20.63969782336128
P00582	22.933967733378534	23.11486340366385	23.174744712337564	23.038133929489202	23.18186724978145	23.023814720550146	23.05699954866544	23.289207056233153	23.09161199819385	23.119706456273608	23.224878512703903	22.893030797152132	23.189708219089106	23.085205463332343	23.14608682081763	23.161092871741133	23.240323598277527	23.12119070757135	23.048110535439882	22.931461953168217	22.979050623003065	23.094402351983966	23.062220156233824
P00634	21.67217753279781	21.383354903359105	21.473727527532915	21.66603563450785	21.441517392109454	21.64844538819117	21.83660113686244	21.33902584518529	21.832057958702173	21.524662915172748	21.598098753527793	21.150297694462765	20.900979780072873	20.91960138369663	20.653866003789226	20.66003928521984	20.681763756925577	20.770408704827794	20.87007025199491	20.92920908326331	20.827458376193967	20.763595678530926	20.636508521407386
P00803	22.646525945604278	22.740038652846543	22.909577806277895	22.72077055916355	22.914520339435665	22.718278733127484	22.641180550082954	22.741795448906863	22.766168578683164	22.750840110728532	22.778797797947174	22.899231043736616	22.904335757153756	22.854990001967522	22.863484420663994	22.822896848740363	22.83904285797519	22.789440586558314	22.88826776375613	22.91746809714937	22.93570631665397	22.832667559785747	22.927877071801696
P00805	25.26198430307277	24.988521050160255	24.698907633251356	24.357871945231807	25.364855664595925	24.79332243785623	23.87990679140343	24.664115166204493	24.55376970401444	24.624999710770382	24.472361665672892	23.02722473661182	22.35205025900279	22.630757145717617	22.33404661003323	22.405605457195573	22.126968524512392	22.66466335281054	22.60420949840747	23.088857501579298	22.70260343381327	22.974898107278324	22.67323743021809
