"MSP"	"SRS2821229"	"SRS2821227"	"SRS2821226"	"SRS2821225"	"SRS2821224"	"SRS2821223"	"SRS2821222"	"SRS2821221"	"SRS2821218"	"SRS2821217"	"SRS2821215"	"SRS2821213"	"SRS2821212"	"SRS2821210"	"SRS2821207"	"SRS2821206"	"SRS2821205"	"SRS2821204"	"SRS2821020"	"SRS2821017"	"SRS2821016"	"SRS2821015"	"SRS2821014"	"SRS2821012"	"SRS2821011"	"SRS2821009"	"SRS2821008"	"SRS2821007"	"SRS2821006"	"SRS2821005"	"SRS2821004"	"SRS2821003"	"SRS2821002"	"SRS2821001"	"SRS2820998"	"SRS2820997"	"SRS2820996"	"SRS2820994"	"SRS2820993"	"SRS2820991"	"SRS2820990"	"SRS2820986"	"SRS2820979"	"SRS2820976"	"SRS2820975"	"SRS2820974"	"SRS2820972"	"SRS2820967"	"SRS2820965"	"SRS2820964"	"SRS2820963"	"SRS2820962"	"SRS2820960"	"SRS2820959"	"SRS2820958"	"SRS2820957"	"SRS2820956"	"SRS2820953"	"SRS2820952"	"SRS2820951"	"SRS2820950"	"SRS2820949"	"SRS2820947"	"SRS2820946"	"SRS2820943"	"SRS2820942"	"SRS2820941"	"SRS2820940"	"SRS2820939"	"SRS2820937"	"SRS2820936"	"SRS2820935"	"SRS2820933"	"SRS2820932"	"SRS2820929"	"SRS2820928"	"SRS2820926"	"SRS2820924"	"SRS2820923"	"SRS2820917"	"SRS2820914"	"SRS2820910"	"SRS2820909"	"SRS2820902"	"SRS2820901"	"SRS2820898"	"SRS2820897"	"SRS2820896"	"SRS2820895"	"SRS2820894"	"SRS2816074"	"SRS2816073"	"SRS2816071"	"SRS2816070"	"SRS2816066"	"SRS2816065"	"SRS2816062"	"SRS2816052"	"SRS2816048"	"SRS2816045"	"SRS2816044"	"SRS2815679"	"SRS2815673"
"msp_0850"	0	0	165	0	0	27	0	0	0	27	0	51	0	127	0	0	182	0	0	0	0	128	0	0	0	0	203	0	0	0	0	0	0	99	0	933	0	0	0	0	0	0	0	0	0	78	0	0	171	0	0	0	0	0	0	0	0	139	0	35	0	0	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0	0	0	0	2974	0	23	0	0	29	0	0	13	13782	49	306	31	806	0	546	0	0	0	56	0	0
"msp_0851"	625	197	0	16	0	0	0	0	0	0	0	0	73	0	0	0	0	0	64	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	215	9	0	0	36	0	0	15	7	17	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	88	0	21	17	33	35	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	38	0	13	0	0	0	0	0	0	0	0	0	18	29	0
"msp_0852"	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	9	0	0	0	506	0	0	0	17	0	0	0	0	15	0	0	562	114	0	32	10	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
"msp_0853c"	250	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	13	0	0	0	0	10	0	0	0	0	16	96	0	15	9	283	20	141	0	20	0	0	69	93	0	29	0	0	61	21	0	0	15	80	22	16	24	30	21	0	0	43	0	0	24	192	61	0	114	18	25	12	0	0	0	0	17	46	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17
"msp_0854"	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	6682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0855"	0	0	27	0	0	0	0	0	0	0	0	27	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
"msp_0856"	0	0	0	11	208	0	0	0	0	0	0	0	0	10	0	0	36531	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	4254	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	25693	10	0	0	4649	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	126	0	0
"msp_0858"	17	0	0	0	334	2661	0	0	0	0	0	526	0	0	20	0	0	0	0	0	0	2474	0	0	0	428	0	0	0	0	20	0	13	606	0	0	0	2260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	2118	0	0	0	0	0	0	0	0	0	0	0	0	16654	0	3978	343	862	0	0	0	0
"msp_0860"	329	38	0	105	59	0	0	0	0	0	0	36	12	58	1156	86	0	0	69	0	0	0	49	0	0	0	0	0	122	0	0	112	19	62	22	283	0	0	0	101	0	23	0	27	0	27	0	11	17	36	0	0	0	0	0	23	1360	0	15	0	18	0	0	0	0	879	0	0	0	79	0	35	0	0	0	0	22	0	86	0	85	29	0	399	0	9	54	45	0	122	0	38	0	47	611	395	0	0	22	0	17	0	0
"msp_0861"	0	1481	32	126	0	60	495	64	170	44	27	16	270	103	52	60	42	25	157	0	214	16	65	0	30	26	28	0	0	0	0	0	198	19	256	0	529	66	19	108	0	68	116	225	215	30	45	222	39	13	0	0	435	45	42	34	89	45	125	0	190	68	61	0	148	0	0	0	290	97	45	201	84	16	16	23	55	0	11	107	24	66	7	0	15	43	197	17	396	134	126	15	40	23	90	30	20	50	25	11	0	187	0
