"MSP"	"SRS9032198"	"SRS9032196"	"SRS9032195"	"SRS9032194"	"SRS9032193"	"SRS9032190"	"SRS9032188"	"SRS9032187"	"SRS9032183"	"SRS9032182"	"SRS9032181"	"SRS9032180"	"SRS9032179"	"SRS9032177"	"SRS9032176"	"SRS9032175"	"SRS9032172"	"SRS9032170"	"SRS9032169"	"SRS9032165"	"SRS9032162"	"SRS9032161"	"SRS9032159"	"SRS9032158"	"SRS9032157"	"SRS9032156"	"SRS9032155"	"SRS9032154"	"SRS9032153"	"SRS9032152"	"SRS9032151"	"SRS9032149"	"SRS9032148"	"SRS9032147"	"SRS9032146"	"SRS9032145"	"SRS9032144"	"SRS9032141"	"SRS9032140"	"SRS9032139"	"SRS9032135"	"SRS9032134"	"SRS9032133"	"SRS9032132"	"SRS9032131"	"SRS9032130"	"SRS9032129"	"SRS9032128"	"SRS9032127"	"SRS9032126"	"SRS9032125"	"SRS9032124"	"SRS9032123"	"SRS9032121"	"SRS9032120"	"SRS9032119"	"SRS9032116"	"SRS9032114"	"SRS9032113"	"SRS9032112"	"SRS9032111"	"SRS9032105"	"SRS9032104"	"SRS9032103"	"SRS9032102"	"SRS9032101"	"SRS9032098"	"SRS9032097"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032093"	"SRS9032092"	"SRS9032091"	"SRS9032090"	"SRS9032089"	"SRS9032088"	"SRS9032086"	"SRS9032085"	"SRS9032084"	"SRS9032083"	"SRS9032082"	"SRS9032079"	"SRS9032078"	"SRS9032077"	"SRS9032075"	"SRS9032074"	"SRS9032072"	"SRS9032070"	"SRS9032069"	"SRS9032068"	"SRS9032067"	"SRS9032065"	"SRS9032058"	"SRS9032056"	"SRS9032055"	"SRS9032053"	"SRS9032052"	"SRS9032051"	"SRS9032050"	"SRS9032049"	"SRS9032047"	"SRS9032046"	"SRS9032044"	"SRS9032043"	"SRS9032042"	"SRS9032041"	"SRS9032038"	"SRS9032036"
"msp_1622"	0	245	70	39	95	0	27	0	0	0	0	0	18	0	134	44	0	365	0	719	0	0	99	0	43	134	42	0	95	0	0	0	0	0	17	161	24	37	0	12	0	641	0	0	0	330	0	19	198	0	681	0	0	0	0	71	31	107	0	306	239	0	48	0	96	175	0	443	1800	185	32	0	0	134	32	0	0	0	0	0	0	0	138	0	0	0	12	0	0	7	0	220	0	0	0	13	0	0	0	130	49	10	0	317	0	30	0	0	99
"msp_1628"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1629"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	19	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1641"	86	220	150	81	206	0	594	207	7	62	14	291	22	51	239	239	32	0	810	252	0	0	63	306	47	169	0	210	0	0	0	0	0	11	0	167	0	14	22	0	0	225	15	13	264	939	479	691	11	0	0	7	33	0	20	652	848	1088	0	342	620	20	29	278	381	121	0	504	0	608	284	0	0	404	73	174	652	0	11	72	72	0	128	0	21	674	47	0	37	20	152	334	26	64	34	79	0	0	0	84	123	48	218	1199	152	6	6	0	36
"msp_1643c"	17	0	37	0	89	4724	43	9	898	31	34	23	120	0	12	23	0	0	11	0	0	0	133	0	23	136	0	0	0	0	0	0	154	64	0	0	0	0	18	0	35	95	114	0	21	62	33	18	0	0	0	13	0	0	15	197	0	0	0	0	36	44	62	0	144	0	31	44	0	16	28	30	0	128	115	69	19	142	470	92	30	96	11	0	60	12	145	0	248	0	0	0	49	0	0	0	0	0	179	0	16	0	26	22	0	222	16	0	0
"msp_1644"	0	0	0	0	0	0	0	0	0	0	0	0	23	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	241	0	8	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	12	0	0	0
"msp_1647"	0	0	191	0	0	9	0	0	0	135	0	0	628	0	391	0	0	0	0	7	0	0	0	0	0	333	0	0	0	0	0	0	0	0	114	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	61	0	0	0	0	0	280	0	0	0	870	0	0	0	10	0	0	0	16	0	19	0	0	0	0	0	11	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1649"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	43	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	55	0	0	0	0	0
"msp_1652"	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	30	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	9	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1653"	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
"msp_1674"	10	84	177	0	54	0	0	251	0	0	0	132	0	106	12	320	0	0	0	1290	0	0	603	20	0	213	0	0	0	0	0	0	18	0	0	530	0	0	0	18	0	0	0	0	0	629	550	88	62	0	0	0	38	0	18	406	169	91	0	123	6212	0	8	188	0	59	0	0	0	453	494	0	0	5	1065	64	0	0	63	0	217	56	308	0	0	225	558	0	56	0	0	31	179	82	0	0	33	0	233	524	680	43	365	352	0	22	19	0	0
"msp_1677"	0	0	211	0	32	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	1474	0	49	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	6	0	0	0	11	0	0	0	0	0	14	0	0	0	0	22	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
