rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643
P00547	23.83217876815685	24.404646220218638	23.998895778114864	24.409249261121566	24.35087541828998	24.40979319847333	24.391073117341477	24.42628553337356	24.97784050032393	24.46754203318757	24.420984164502777	24.380656228238706	23.560230629519445	24.145177657016568	24.145679592540482	24.251150400691536	24.089219046118906	23.95250973734491	23.726421201754484	24.24889937172894	24.37914252029168	24.122278630310902	24.1421175762001
P00550	21.329307545306566	21.1864723246766	21.143546724331443	21.45797020329056	21.472542217841966	21.350757407552837	21.636473315643542	21.452234635497227	21.441384669487082	21.69908063955347	21.503463613361617	21.338980042357953	21.110827259020766	21.06696821138266	20.856782325403586	21.260951898621315	21.014756946229365	20.977749906920003	21.168589045561415	20.970816591768603	21.007138027659497	21.326162831431976	21.22319319008093
P00561	25.8361584906623	25.609111438522415	25.956212935457707	25.666231755623702	25.950074431345325	25.85109565561549	25.75480416078792	26.152136898148566	26.00469505587345	25.77624469165698	25.91102229022443	25.925441113513944	25.320929583070907	25.525603636438053	25.659457584122773	25.708385032914574	25.571267542414912	25.04506088702858	24.626446568069962	25.757388978263293	25.545266928056304	25.50293084790398	25.352086078559392
P00562	21.8416997299504	21.608803522826744	21.70231030369963	21.520206704796276	21.61189353597258	21.516117982790817	21.733755336998584	21.481417149662565	21.599016740823267	22.000924758545224	21.632232050587902	22.105385419442126	22.268754790648803	22.2414527681925	22.248840470412706	22.40185872199925	22.21910694348835	22.051575913365912	22.052077456830546	22.55486218664484	22.28731764816623	22.41764845875391	22.548971722753187
P00579	22.47967845220738	22.74073536309971	22.670436259782434	22.639677764510026	22.79482424352382	22.74801207095514	22.61231767362562	22.68823908230219	22.780487615734735	22.630288769775063	22.62939745005169	22.545897382644114	22.538290252636124	22.84877174858247	22.776392282475513	22.918676493684707	22.852197241982687	22.429368951038313	22.18361144610099	22.710125218617563	22.75161889958781	22.741089052143856	22.699392481328005
P00579;P13445	19.93476835210994	20.01842816420088	19.976802086392908	19.50410209118118	19.598889412869163	19.749808761879656	18.802746049018577	19.85215238938308	19.698257582496602	18.513255348670448	19.686420191343696	19.768599405735614	18.674374553796206	20.089549057011403	19.441757390578772	19.67517148530807	19.829860622178558	18.785768809230674	17.859526911616847	19.69785499353431	19.755828257364044	18.303353757172662	18.620764466508206
P00582	21.872544519634424	21.998250354125858	21.966942138790312	22.086108597860704	22.099904599377123	22.086273194456712	22.20227708522556	22.125489031516725	22.147870397632143	22.298325997442483	22.06873845529851	21.981622903143393	22.09763773605387	21.88896090993449	21.96569013750735	22.122941166902674	21.788065601081954	21.95145229776707	22.03834936150709	22.081043963183294	22.116681254552017	22.145638231289784	22.00150808821365
P00634	19.698198504192227	20.366166227947488	20.01177521576003	20.02893507333667	20.27599388798499	20.328506713906023	20.04891846384024	20.31243909801431	20.58948554258552	19.83524143907902	20.388837166066022	20.053201357005065	19.62941807716631	19.69282517342181	20.121143685024283	20.106771184576974	19.99191753750666	19.401376374393188	18.874141662761698	19.659999730314635	19.915005690307982	19.888603354956825	19.594963060782717
P00803	21.358606242105488	21.902305254934266	21.575229160547515	21.779639091601126	21.835507670394765	21.825889183677564	21.897059001450444	21.841911242045274	22.178298872355807	21.873415567201267	21.828105827459773	21.745531917273517	21.366241988703134	21.764681173945288	21.7776731735117	21.805965225110057	21.435359903411815	21.61526899342675	21.40944496586746	21.78976079505304	21.655485417407053	21.62000181336268	21.813554733278593
P00805	23.511878053659302	23.419818007786436	23.35786377383202	23.861216338817016	23.338007046119312	23.84114349038476	23.298981710596642	23.07339203171048	22.853746228706687	23.46747412157307	23.430354912789607	23.715573950583664	21.621807743190267	21.8637934891476	21.971571518620003	21.519201510395725	21.93534939573378	21.083815365725076	21.004726274269444	22.101172708186613	22.037542186361676	21.474562752679958	21.47716512846981
