rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646
P16659	667013	806313	777584	688939	759288	713478	740742	770815	741804	795076	866711	593534	871972
P0ABQ0	110900	122856	93088.4	114560	120041	121323	110195	81007	107516	47737	95878	61878.1	86934.1
P0ADC3	28583.6	31494.6	33166.2	40446.6	36723.9	32701.9	37015.3	22548.5	39661.4	30617.3	41206.7	17155	43912.4
P10121	197817	221054	241211	228258	230157	214422	234154	240979	229579	216365	229635	202754	221669
Q46871	106732	117079	120552	119922	109387	116550	139841	91958.2	91590.4	69565.3	130702	108997	93199
P76541	102911	59680.4	59548.4	89400.8	79434	86069.8	71222.9	126016	74995.4	63497.9	64433.9	54068	56240.3
P60293	42310.8	45506.2	44693	45362.1	45859.6	46247.7	43865.3	39800.6	41965	47123.8	46578.5	38511.4	45409.6
P77674	164746	154099	177943	206646	164815	240413	227739	141325	145288	20166.1	29730.6	23472.6	23086.6
P33232	162580	178569	182881	159027	177469	169245	193362	169092	140455	123446	119055	121724	94325.1
P08337	9231.17	6125.48	4745.71	10884.6	10170.9	10031.6	6360.85	5440.05	11165.7	4950.9	8292.36	1607.84	9241.53
P0A9W3	882170	970618	1003360	949459	1045720	991446	1065050	948901	961550	692659	857080	763388	751900
P45955	148863	167044	146658	148987	147948	122890	157589	159595	197617	130305	169908	96530.2	141123
P29131	88778.2	68087.9	58168.5	88825.6	80968.4	87944.2	67989.8	66577.1	97290.2	28947.9	84394.7	48721.9	98549.2
P15639	742024	617857	504190	732962	687322	646772	614621	500551	602531	573339	920826	472871	920726
P09832	741357	804331	755364	789979	844637	803387	829185	751446	756026	1446920	1869470	1289080	1926740
P31224	92954.2	91196.5	95094	120385	121628	98599.7	112987	95179.5	111415	59479.9	95300.9	69291.1	108960
P0A8Y5	162715	164146	164385	143617	154469	152520	168185	152656	163376	241957	278550	205744	249366
P02924	77435.9	57258.5	45334.1	69201.8	65240.2	58061.7	54779.2	34357.1	81978.5	5241.96	10326.3	10872.5	8532.04
P50456	19514.2	24160.3	23717.4	24040.3	24372.7	16617	27715.9	27537.9	28195.6	23382.6	26035.7	18188.3	29242.3
P0ADC1	285727	226031	271254	313357	307770	232640	285720	231870	324795	124782	197055	220742	276201
P09152	32722.8	31219.1	42832.7	37096.7	36403.6	31063.5	35879.3	51169.4	44142	117786	71819.8	103540	128582
P0A7J7	930907	802061	790664	1069100	974160	966520	912095	639997	1076880	814590	1323180	629717	1261220
P0A6Y8	2819670	3094920	2732840	2871270	2850740	2853700	3017720	2741850	3053610	2296170	3415430	2528490	3432360
P0ACQ4	377139	425807	411110	394508	412349	377818	404562	417180	382433	470858	486756	508620	451314
P32053	22676.4	25889.7	25465.7	22630.2	24037.1	25513.8	22393	22762.7	22934.2	28367.6	31855.6	29167.1	36181.6
P08839	820030	767004	706374	786461	795120	878733	942107	608296	756347	1603400	2488580	1452660	2393880
P0ADG4	135245	195646	180889	173048	194091	203965	240999	176601	162703	172640	274227	187150	261155
P21165	531000	518212	436093	485543	502290	487213	466260	432937	505878	342136	454891	318770	440126
P0A867	806370	885098	777900	836603	688403	833914	934324	728395	652245	797416	1065650	955829	874511
