"MSP"	"SRS9032198"	"SRS9032196"	"SRS9032195"	"SRS9032194"	"SRS9032193"	"SRS9032191"	"SRS9032190"	"SRS9032188"	"SRS9032186"	"SRS9032183"	"SRS9032182"	"SRS9032181"	"SRS9032180"	"SRS9032179"	"SRS9032177"	"SRS9032176"	"SRS9032175"	"SRS9032172"	"SRS9032170"	"SRS9032169"	"SRS9032165"	"SRS9032162"	"SRS9032161"	"SRS9032159"	"SRS9032158"	"SRS9032157"	"SRS9032156"	"SRS9032155"	"SRS9032154"	"SRS9032153"	"SRS9032152"	"SRS9032151"	"SRS9032149"	"SRS9032148"	"SRS9032147"	"SRS9032146"	"SRS9032145"	"SRS9032144"	"SRS9032141"	"SRS9032140"	"SRS9032139"	"SRS9032138"	"SRS9032135"	"SRS9032134"	"SRS9032133"	"SRS9032131"	"SRS9032130"	"SRS9032128"	"SRS9032127"	"SRS9032126"	"SRS9032121"	"SRS9032120"	"SRS9032119"	"SRS9032116"	"SRS9032114"	"SRS9032113"	"SRS9032112"	"SRS9032111"	"SRS9032104"	"SRS9032102"	"SRS9032101"	"SRS9032098"	"SRS9032097"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032093"	"SRS9032092"	"SRS9032091"	"SRS9032090"	"SRS9032089"	"SRS9032088"	"SRS9032086"	"SRS9032085"	"SRS9032084"	"SRS9032083"	"SRS9032082"	"SRS9032081"	"SRS9032079"	"SRS9032078"	"SRS9032075"	"SRS9032074"	"SRS9032072"	"SRS9032070"	"SRS9032069"	"SRS9032068"	"SRS9032067"	"SRS9032066"	"SRS9032065"	"SRS9032058"	"SRS9032056"	"SRS9032055"	"SRS9032053"	"SRS9032052"	"SRS9032051"	"SRS9032050"	"SRS9032047"	"SRS9032046"	"SRS9032044"	"SRS9032042"	"SRS9032041"	"SRS9032039"	"SRS9032038"	"SRS9032036"
"msp_2448"	9	0	0	57	51	0	0	13	47	639	462	20	119	900	0	0	0	0	111	47	0	13	69	207	15	124	36	0	87	102	0	27	185	0	27	0	8	31	62	121	83	17	276	17	119	11	50	92	83	34	55	0	70	0	100	30	20	218	280	52	0	521	8	47	0	71	11	199	226	126	20	0	345	48	28	70	33	17	0	0	30	112	59	42	20	54	33	29	29	0	30	45	0	77	42	106	28	11	22	41	12	0	49	0
"msp_2451"	0	0	9	0	0	0	0	0	13	45	0	0	32	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	6	0	0	8	29	0	0	0	0	0	0	54	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	21	7	0	9	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_2469"	0	0	0	0	0	11	0	0	0	256	47	0	0	24	0	0	0	0	4	0	0	0	0	11	0	0	0	0	0	0	7	0	0	16	0	0	0	0	6	0	0	0	0	0	0	0	0	0	12	0	0	0	31	0	0	0	0	10	11	0	0	0	0	0	10	0	7	0	0	0	0	8	0	0	7	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	37	3	0	8	0	0	0	71	0	0	0	0
"msp_2477"	0	0	0	8	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	4	0	3	0	34	0	160	0	28	10	0	0	0	17	0	11	0	0	0	0	0	0	5	0	5	0	0	0	0	23	0	0	8	0	0	0	0	11	20	18	5	0	0	0	14	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	11	0	0	0	0	5	0	31	0	0	0	0	0	5	0
"msp_2489"	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	116	0	0	0	0	146	0	0	21	0	0	0	5	46	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0
"msp_2495"	19	21	23	354	37	0	44	12	73	670	39	28	17	2817	18	15	7	0	28	10	0	25	57	24	0	11	164	0	17	0	7	209	91	0	1377	892	35	152	48	114	87	73	568	44	876	0	32	130	0	62	0	0	0	50	0	0	29	0	423	144	0	152	53	91	0	61	48	21	30	625	15	41	676	65	0	18	0	0	7	0	7	0	13	20	18	50	326	0	0	0	12	0	0	284	16	60	27	0	18	44	39	0	117	0
"msp_2502"	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	18	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"msp_2511"	0	0	46	0	112	0	0	0	0	239	984	0	0	135	0	0	0	0	0	0	24	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	64	0	0	35	0	32	0	0	0	46	0	0	0	39	26	13	35	0	42	29	0	0	0	0	0	0	0	10	0	3205	0	0	0	10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	60	0	0	0	0	11	0	0	0	0
"msp_2531"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	11	0	0
"msp_2535"	10	0	34	189	39	0	0	0	65	258	143	20	35	1736	0	0	12	0	75	33	0	47	43	111	9	0	40	0	79	27	0	248	288	31	424	1304	8	729	68	77	13	90	333	79	717	17	17	0	0	37	0	0	32	25	0	0	31	85	679	156	0	171	77	82	0	17	148	322	43	139	0	61	206	115	76	90	113	14	49	0	8	16	283	17	0	0	24	8	0	0	10	6	0	24	21	28	11	0	19	110	35	16	198	0
