"MSP"	"ERS2637868"	"ERS2637867"	"ERS2637866"	"ERS2637865"	"ERS2637864"	"ERS2637863"	"ERS2637862"	"ERS2637861"	"ERS2637860"	"ERS2637859"	"ERS2637858"	"ERS2637856"	"ERS2637855"	"ERS2637854"	"ERS2637853"	"ERS2637852"	"ERS2637851"	"ERS2637850"	"ERS2637849"	"ERS2637848"	"ERS2637847"	"ERS2637846"	"ERS2637845"	"ERS2637844"	"ERS2637843"	"ERS2637842"	"ERS2637841"	"ERS2637840"	"ERS2637839"	"ERS2637838"	"ERS2637837"	"ERS2637836"	"ERS2637835"	"ERS2637834"	"ERS2637833"	"ERS2637832"	"ERS2637831"	"ERS2637830"	"ERS2637829"	"ERS2637828"	"ERS2637827"	"ERS2637826"	"ERS2637825"	"ERS2637824"	"ERS2637822"	"ERS2637821"	"ERS2637820"	"ERS2637819"	"ERS2637818"	"ERS2637817"	"ERS2637816"	"ERS2637815"	"ERS2637814"	"ERS2637813"	"ERS2637811"	"ERS2637810"	"ERS2637809"	"ERS2637807"	"ERS2637806"	"ERS2637805"	"ERS2637804"	"ERS2637803"	"ERS2637802"	"ERS2637801"	"ERS2637800"	"ERS2637798"	"ERS2637797"	"ERS2637795"	"ERS2637794"	"ERS2637793"	"ERS2637792"	"ERS2637791"	"ERS2637789"	"ERS2637788"	"ERS2637787"
"msp_1132"	0	0	0	0	0	0	0	0	0	327	25	0	0	434	0	0	0	0	0	0	455	0	0	0	0	63	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	26	574	913	22	0	0	0	0	40	0	0	0
"msp_1138"	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	11996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1139"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	150	0	0	0	0	1360	0	0	0	0	117	0	0	0	0	38	0	16	0	0	0	0	0	0
"msp_1140"	0	0	0	6	0	0	0	0	0	1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0
"msp_1143"	732	751	735	0	1953	105	937	323	0	66	442	102	380	413	0	270	149	0	0	17	17	599	38	498	0	250	319	0	97	1131	1382	248	704	370	73	27	251	473	0	2148	0	1443	969	143	0	760	313	0	480	246	9	368	274	613	142	2142	449	0	435	0	256	45	0	321	0	0	316	0	428	1959	924	166	487	1083	1688
"msp_1158"	0	0	0	0	0	0	2913	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	19945	52	0	0	42	0	73	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	208	0	0	0	0	0	0	0
"msp_1159"	0	0	0	1172	0	0	0	0	0	0	0	31	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	100	0
"msp_1166"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	154	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0
"msp_1168"	0	0	0	0	0	24	0	0	0	0	0	17	0	0	0	0	47	0	0	0	0	0	5	10	0	0	0	0	8	9	0	0	12	0	11	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1171"	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	45	0	0	0	0	0	0	1016	0	0	0	0	0	6	180	0	40	0	0	0	0	0	0	0	182	0	0	430	97	0	0	0	0	265	0	0	0	88	0	0	0	0	0	0	0
