"MSP"	"ERS848745"	"ERS848744"	"ERS848743"	"ERS848742"	"ERS848741"	"ERS848740"	"ERS848738"	"ERS848737"	"ERS848736"	"ERS848734"	"ERS848733"	"ERS848731"	"ERS848730"	"ERS848729"	"ERS848728"	"ERS848727"	"ERS848726"	"ERS848724"	"ERS848723"	"ERS848722"	"ERS848721"	"ERS848719"	"ERS848718"	"ERS848717"	"ERS848716"	"ERS848715"	"ERS848714"	"ERS848713"	"ERS848710"	"ERS848709"	"ERS848708"	"ERS848707"	"ERS848706"	"ERS848705"	"ERS848704"	"ERS848701"	"ERS848700"	"ERS848699"	"ERS848698"	"ERS848695"	"ERS848692"	"ERS848690"	"ERS848689"	"ERS848688"	"ERS848686"	"ERS848685"	"ERS848684"	"ERS848683"	"ERS848682"	"ERS848681"	"ERS848680"	"ERS848679"	"ERS848678"	"ERS848677"	"ERS848675"	"ERS848673"	"ERS848672"	"ERS848668"	"ERS848666"	"ERS848665"	"ERS848664"	"ERS848663"	"ERS848661"	"ERS848660"	"ERS848659"	"ERS848658"	"ERS848656"	"ERS848655"	"ERS848654"	"ERS848653"	"ERS848652"	"ERS848651"	"ERS848650"	"ERS848649"	"ERS848647"	"ERS848646"	"ERS848645"	"ERS848642"	"ERS848641"	"ERS848640"	"ERS848638"	"ERS848636"	"ERS848635"	"ERS848633"	"ERS848631"	"ERS848630"	"ERS848629"	"ERS848627"	"ERS848626"	"ERS848624"	"ERS848623"	"ERS848622"	"ERS848621"	"ERS848620"	"ERS848619"	"ERS848618"
"msp_0018"	858	0	595	26	6	17	12	0	0	261	84	2233	77	0	0	24	2974	21	0	0	1967	0	103	253	0	371	415	0	0	7	0	0	0	74	90	65	0	42	10	0	4	0	0	130	0	0	94	0	6	11	15	0	145	0	8	0	298	0	10	194	47	39	0	16	0	0	27	20	0	4	0	27	0	346	0	0	141	0	43	0	0	0	74	0	0	41	0	26	21	0	248	10	180	87	616	7
"msp_0020"	738	0	0	0	0	0	8	1002	0	5	92	0	0	0	0	253	806	0	0	11	14	0	0	21	0	91	0	277	5	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	21	0	148	0	0	0	0	237	10	7	0	38	0	1423	0	648	0	27	0	0	5	322	62	34	333	0	58	0
"msp_0021"	2857	248	2773	29	241	47	67	795	13766	1549	16799	334	919	1358	263	78	10	132	3085	576	275	4599	2113	4685	10302	316	989	0	42	2035	2741	1245	1065	5712	318	294	178	211	1269	2850	4298	115	1078	4840	8	674	8820	51	4555	109	7366	1271	1308	2397	1983	2546	257	4780	2513	1516	383	581	328	3588	190	17	622	462	91	758	0	42	564	13905	21514	271	88	10913	328	801	14254	1229	12392	0	417	958	97	995	841	224	9	1103	6673	270	400	629
"msp_0022"	0	99	85	0	264	0	3807	0	0	0	0	223	0	1194	0	718	0	811	0	5888	0	0	0	0	0	0	0	0	106	2019	0	259	152	0	715	600	48	0	2179	0	2366	0	42	4087	0	0	0	1834	0	0	0	0	0	0	5028	0	941	985	0	281	1293	248	0	0	0	0	0	723	0	25	0	3244	0	0	0	0	0	14	28	20969	26	17166	0	0	59	1752	122	0	2498	0	0	433	429	0	31	4
"msp_0023"	2407	3958	3099	157	0	17	24424	39	10768	6436	26	3539	14684	892	2726	4983	5111	745	10902	11712	14279	12	6	6	9164	19684	720	7746	1420	4113	4	2543	1253	5841	350	1254	1297	4	2302	544	3786	2427	1208	10909	0	632	0	0	1389	1139	5336	413	711	51159	0	934	0	9665	16900	573	2730	12306	1634	1483	18	712	507	4121	7	12430	17	7850	0	10246	10049	371	2002	6570	31	9208	6024	3368	1220	16	974	3194	388	11704	70	2393	12306	15455	17	253	16	4533
"msp_0024"	127	250	196	94	0	0	153	192	56	73	134	18	74	0	0	465	2216	29	0	0	1151	36	4	643	181	386	73	349	36	8	21	7	9	8	35	0	0	56	9	9	25	31	0	8	10	0	531	369	0	0	11	0	115	175	0	13	0	19	10	0	47	22	21	522	999	13	35	55	89	15	246	13	32	384	119	0	354	535	0	114	13	354	16	633	2101	110	0	37	50	1378	479	18	174	14	91	8
"msp_0025"	230	0	0	275	0	167	0	0	0	56	33	65560	132	0	44	8026	220881	0	21	29283	10	0	0	0	0	54	34151	0	0	0	121	422	1664	11	210	0	8515	0	1162	1084	2273	0	0	6470	0	0	3096	0	439	0	0	0	18	0	0	0	16857	0	0	1648	0	0	0	0	23	0	410	108752	26255	48	19	0	0	64	0	580	268	17	58	33	40	24474	278	255	44	123	107	50	33	28	28	33767	23907	77	34916	95326
"msp_0027"	1971	2148	3063	0	265	6	17700	1094	2124	2904	8	485	5102	1901	10400	3583	6	17485	13	10	5685	0	0	0	0	16	3858	2153	2372	3392	3941	3404	548	5789	13	1226	2154	6	0	59	4006	7	3785	2282	0	586	10681	4	1680	829	0	2387	4	7716	4244	7928	206	3878	45131	901	1215	11022	4595	951	4	202	8	7524	7	1834	8	2243	447	5379	6061	126	783	18852	0	0	506	35206	1313	5	508	2922	642	11350	841	28	10	1719	6	4226	0	820
"msp_0028"	140	313	17	0	92	0	176	0	94	0	0	1408	359	0	110	293	16	125	150	131	0	359	0	91	0	284	4141	0	0	1076	24	459	572	589	64	2202	90	0	2368	194	147	27	8	41	631	0	0	0	20	41	0	83	283	1444	176	6	0	7	0	27	290	6742	480	43	0	180	73	109	3580	12	0	0	0	118	0	74	193	152	0	1000	0	8	0	0	15	238	238	1565	231	8	0	0	252	196	0	221
"msp_0029"	16	20603	22176	2923	1595	147	1057	78	18748	1673	2215	24	1936	1449	21123	412	12	261	17268	28	1618	32261	10671	1292	22	3252	2069	17153	11940	27331	13080	68652	45823	10130	6943	14847	12657	1097	6102	20538	37674	3152	22376	283	23876	34902	1120	508	8359	654	4870	17553	32416	6	16690	5793	9	17013	93	5009	8	7307	2816	255	0	9006	4699	8259	49	1745	891	6	7738	47	3042	49	9196	29	207	18	9597	33	8	21	73	61008	4018	2046	6640	18	16	40558	4341	67	26036	3361
"msp_0031"	2579	979	1041	625	0	42	21	35	10689	7579	64995	100	53	1284	4751	14270	26	14607	15	11300	254	0	0	0	0	1389	4608	0	1217	46155	1099	40	132	18736	0	3244	475	9890	16999	4991	3258	6	821	0	0	435	4	0	403	617	0	4501	0	14797	4	1254	4	3389	84001	444	1537	6	586	8542	29450	1099	656	5702	2467	2043	9	9	4	5760	168220	274	0	104	1655	30	12545	15824	3346	239	7983	10304	2784	37436	94093	114	58	1138	7710	21	12838	919
"msp_0032"	3464	162	0	597	876	9	409	0	0	3878	9	143	4279	0	244	9122	8	19	3908	29	59077	37	11651	40183	97	2703	44916	15	0	1015	0	331	122	8760	603	774	0	3433	0	0	0	934	937	9820	2020	149	0	1985	1516	765	6039	94	2152	8272	115	5211	0	80	0	536	621	2628	26	1063	0	17	3745	2506	36937	712	4	267	65	566	618	120	872	0	0	547	9	3642	695	7	76	0	2167	5491	287	169	114799	1055	1869	0	0	3368
"msp_0033"	0	0	0	0	0	0	0	9727	3	0	0	0	0	0	0	0	0	0	0	0	0	10776	66	25593	56239	292	22	0	231	0	0	0	0	9	0	0	0	0	0	0	0	0	0	134	0	0	4629	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	9	0	5	43418	0	0	0	42	448	0	0	14	11	8	4	183	0	7	0	14	27	5	20	17783	17	10	0	8505	0
"msp_0034"	0	0	1124	0	2572	4	11296	0	0	0	0	0	0	635	0	0	0	0	13431	0	0	26	7445	0	0	0	381	0	434	2768	0	19804	5797	43010	3	6	525	1262	9618	25935	21616	11708	94	0	5	0	20162	0	946	1178	7673	371	12595	5960	0	2742	7	6	3	3807	2577	1520	0	0	9	13	6612	6	12	6	8	4	11	7	6	0	34	0	0	0	0	0	15	38	0	51577	828	0	0	0	426	5	0	1293	1455	10578
"msp_0035"	0	2219	11047	10	520	19	13979	11	0	0	9	0	0	0	1453	0	0	0	0	1308	7169	20239	94	13	0	3221	0	32262	0	13	0	11	5622	540	0	0	0	0	16	0	0	0	13	4643	4777	1469	83	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	79	447	0	919	488	0	0	507	7	0	0	4325	889	89	1736	27	88	49149	23155	28	0	0	783	8407	98	219	24	164	115291	75	89	0	18512	18
"msp_0036"	0	0	985	0	11	17	1808	35	10361	402	20	3969	11867	55	2334	6784	5	62504	27	1582	23	0	0	6616	16	1837	0	0	78	0	0	15999	10	4490	325	13	1627	0	0	187	10348	12	51	6	0	0	0	0	1574	115	0	967	10	74748	1084	0	9661	0	8	412	82	5945	377	3604	17	93	0	24	9	243	14	20	259	9	1154	0	0	44	0	0	57204	86	0	192	0	0	4942	172	51	516	22	0	2882	127	0	0
"msp_0037"	0	718	66	0	83	0	1368	0	0	2277	8	81	11	2179	61	9704	0	863	0	0	329	0	0	0	0	998	2433	0	0	0	0	6906	0	0	93	1635	12	0	0	528	0	29	6	1969	0	23	0	0	1283	130	1819	186	0	329	0	0	0	286	0	486	2615	56	997	226	703	0	160	0	6	1081	0	0	28	0	4	3	99	2553	0	0	25	11117	0	0	23	318	402	348	15	4	7	2011	4079	125	0	0
"msp_0038"	0	0	0	14	0	0	0	0	0	0	0	76	0	0	0	0	0	0	36	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	453	0	46	17	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	8	14	0	0	7	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	467	0	0	32	0	0	0	0
"msp_0039"	0	0	11	45715	6132	61	0	3	0	6167	0	0	0	7994	5706	0	0	0	4395	0	0	0	0	0	0	246	1812	18	19	1046	4830	10211	17759	9273	51234	5	3683	0	0	4868	5630	13901	0	13	0	0	0	0	0	3137	64	11570	12	4	0	0	0	4	56	582	4773	24514	3	5	8	2120	0	5828	9	21147	6	4	0	12	9	0	9743	0	0	0	0	6	0	9	0	6	6085	9	0	0	12	0	5	8	0	1161
"msp_0040"	0	0	4450	115	1783	17	0	0	0	17479	0	264	15	5080	0	7977	0	9513	14	20729	834	71	26489	16	13	9	3803	4	3826	0	2277	14	6740	5629	1333	2967	0	4	4	0	4	1792	714	15141	0	912	3	0	4627	1734	4	2568	1372	0	4	835	3089	2040	16	1427	2577	0	412	26132	0	0	4523	0	2218	3245	0	4	5	10	0	0	6	15	5	0	30	16	1285	173	8210	2611	3322	0	24497	5	0	0	0	0	6	1467
"msp_0041"	6	9199	59911	1847	3190	719	22359	42	38	76919	111	101	85	221747	268427	69	75	0	0	11	0	20531	85	13	5939	43	16	52	35625	10	10	108	60527	17	5861	62928	52086	20	10	55	12	60	119517	0	9	31	26	14	192559	4340	13	36	0	19	32	25	40	21	22	10672	85919	7	33195	8	41	165624	15	20	23	81319	2127	19	15	24	14	21	12	28	0	0	50	25362	12	14	0	20	108854	117	27	99	154	14	70	8991	0	1341
"msp_0042"	34	47409	0	0	0	29	15308	0	0	0	0	0	5	223	31	5126	0	0	5663	0	0	2589	19	12	12	30500	9	0	3	6275	1500	36241	866	366	994	16834	11106	0	3175	17824	11300	18	1369	16	6	8	0	0	22345	5684	0	4	31854	6	6	0	4	0	3	3349	0	0	0	0	0	4193	0	0	18	0	0	6	7	19	18	0	0	0	698	0	0	0	0	0	0	0	141	0	0	0	0	0	0	1622	0	0
"msp_0043"	7	5983	1609	7	2756	35	0	83	25818	0	43	927	34260	0	9141	12259	27	70562	21	10	12	80	38637	18	19	14	1448	4	6395	35	0	0	0	32849	0	7	1663	5	2854	4	0	8	15099	8	0	7	49502	0	3355	6	4	55144	0	37384	7	4	4163	9	265	1077	2808	0	320	0	17	14	2125	19	1642	4141	18	14	0	0	0	0	0	14898	6	0	4	6	0	4	9134	29404	13348	15	6	11	22	0	266	5	8	51
"msp_0044"	1328	12	473	76	0	11	0	20	23	131	0	830	47	0	0	102	379	88	0	16	47	10	124	41	0	75	3107	37	0	5	16	0	22	19	0	0	10	12	5	5	65	49	0	0	10	0	85	0	4	19	22	6	33	110	0	0	158	0	0	5	685	278	12	39	771	22	25	405	83	118	0	35	0	42	20	0	1182	22	12	15	0	52	14	70	3754	610	0	2	8	387	68	19	27	13	8	9
"msp_0045"	31	32702	10049	141401	24	10604	13959	44446	12568	914	35	86733	161	620	4952	27	115763	5547	5349	4174	8536	45967	237	81448	234	95	46394	23	25	4485	22	22	8350	8886	6912	19	8392	62915	2544	11022	33947	37	51606	35	52080	65823	18909	27338	4419	10	1748	269	70791	21	77844	16	65760	10	8	37931	2277	16228	56100	10334	40608	659	13	10	60702	26	7027	29	28	155	16	40	22016	24082	14890	4030	16	406	1971	117385	11	53	1804	6627	13	90925	9162	2833	139027	54	11	61
"msp_0046"	816	10994	15531	464	7539	54	20535	6012	14291	23561	15168	3881	15444	3303	3937	31241	32126	972	69838	10136	7491	22754	8935	77	928	29265	16273	4611	735	73072	13644	23370	3108	3160	842	10794	3943	58605	82767	13389	28726	4175	1080	44195	3992	2390	6	8	959	10889	15700	10437	7371	12993	9862	14205	11999	21618	16177	1974	11134	32579	2594	33385	16662	94	6034	22699	6222	884	29452	13236	157	27583	44001	358	43065	55822	1402	7289	34211	8021	44908	685	556	8213	22398	15123	3828	4697	105	7794	19244	833	37942	972
"msp_0047"	0	0	0	0	987	0	0	0	0	0	0	0	0	2430	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	568	1607	915	0	0	0	0	0	2027	510	0	1610	480	0	0	564	0	0	2426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	256
"msp_0048"	0	4206	4	3	3	12	0	16647	2577	142	20770	210	6	1686	716	45	0	81	572	0	188	3	0	78	0	0	7	482	0	891	946	253	954	2719	2262	230	14	6	531	26	1641	0	0	0	5922	1843	8833	8547	22	314	383	1871	0	713	0	4	664	1062	14134	353	12712	34	0	24	1294	2142	87	174	132	571	72	0	471	12	3786	0	99	174	48	216	0	0	0	487	36	439	90	0	0	0	0	10	0	225	68	21
"msp_0049"	272	0	11	9	24	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	85	30	0	6	10	0	0	14	3	0	0	6	9	8	0	0	0	0	0	11	0	50	0	0	0	0	0	0	9	0	0	130	0	0	0	0	0	0	18	3	0	9	0	0	0	19	0	0	0	61	0	0	0	0	0	192	5	8	0	0	13	0	0	0	0	0	0	0	0	35	0	5	17	0
"msp_0050"	0	3575	381	6498	804	8136	351	0	0	0	402	401	0	570	173	2283	615	251	292	217	475	210	0	2111	0	0	67	0	975	314	915	634	791	410	0	0	574	1660	81	69	724	3250	1549	2345	984	0	238	661	435	876	438	173	2258	0	882	1168	2413	3598	0	593	183	0	0	335	386	108	962	283	0	551	540	229	707	0	27	4201	1821	1567	867	0	812	462	11	13	423	369	212	247	12	6336	811	56	0	4774	929	4394
"msp_0052"	1774	5	0	0	0	13	0	842	0	6	0	0	146	0	0	0	0	18	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	198	0	0	0	0	0	0	0	0	13	0	238	0	0	0	0	0	297	0	0	0	1366	0	264	0	0	72	45	0	11	0	0	29	0	17	0	5265	574	0	0	54	181	415	20	0	30	0	0	0
"msp_0053"	0	940	0	324	0	0	68	0	0	4758	0	6490	14	3584	8395	526	0	0	0	0	453	81	31272	19	9	2100	10	0	0	13208	0	0	354	526	0	49	360	0	67	15535	6385	0	0	0	2831	0	0	2155	0	325	1741	1095	0	0	0	212	5731	0	0	1669	608	2122	458	0	0	342	0	0	5369	41	0	7	0	11	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4333	0	45	0	985
"msp_0054"	65	153	801	41	12	0	0	34	419	628	0	22	1887	139	14	145	2987	142	192	651	1789	75	0	541	23	0	592	959	101	188	804	936	5	278	16	206	80	124	922	132	593	19	25	540	31	0	343	0	98	174	5	80	584	170	230	57	169	53	181	30	1094	462	33	70	0	17	0	197	825	40	1595	391	0	135	125	6	23	294	0	82	473	6	81	0	511	132	171	13	877	102	0	17	55	32	813	95
"msp_0055"	6	11594	4547	567	54	112	161	21	6003	12654	37	6262	29	353	1197	2112	49	19404	16440	118	6144	459	1116	649	0	153	425	804	809	470	2178	986	274	1720	35486	7836	9509	23	243	18992	210	105	271	217	905	0	30	0	69	11692	5725	4409	2714	371	612	2708	215	2368	22	884	0	678	287	276	8	3585	1068	428	1667	863	116	0	32	0	186	9	2599	0	217	462	11	11	3636	42	90	1416	957	4265	6242	17	788	1416	198	372	123533	12860
"msp_0056"	2031	11	19	7	0	26	0	885	25	199	340	94	69	0	11	36	3439	946	0	14	426	44	363	155	0	210	0	653	34	0	21	0	26	18	21	23	9	96	0	6	0	79	0	32	0	0	257	362	0	0	14	16	152	414	6	6	6	44	7	0	42	26	169	498	213	0	29	54	77	9	1768	70	0	509	64	170	758	7	4	27	0	287	87	2722	19	47	0	44	39	175	1724	20	1404	12	41	0
"msp_0057"	0	0	389	638	0	34	0	0	330	2263	0	1584	194	0	242	0	27	23	844	42	26	61	0	219	18	0	0	27459	289	23	18	52024	23027	0	383	871	1297	0	1637	549	8288	250	9	101	0	0	10	0	146	342	0	0	26	0	0	0	0	96	0	60	41	0	75	1763	0	27	7	6608	258	0	0	0	26	26	61	0	2023	0	0	564	8	11	0	0	48	599	2190	9323	754	34	32	0	7996	135	144	53
"msp_0058"	15602	58	4	869	3	6236	165	23376	9	246	3247	7	1917	38	42	12	228	7102	13	3064	184	232	20	31592	60342	8204	61	2939	80	483	7	105	33	297	1138	6	0	46	182	26	4	0	293	0	0	602	2373	3481	18	7	157	0	1885	747	11	0	28	70	19017	123	15	41	30	429	1327	0	0	34	108	0	6860	8	1469	1419	530	62444	17	227	2177	3002	1165	12217	4452	26853	2338	132	7	2671	1103	2147	19	177	2982	181	1975	7
"msp_0059"	500	0	123	89	495	0	3107	0	0	124	0	0	0	0	583	0	0	7163	0	0	0	4223	16	0	0	549	4054	4	0	0	0	1566	569	7849	0	0	0	0	0	0	793	937	0	4441	0	0	0	0	0	0	0	0	0	0	0	0	0	1466	0	304	0	9080	0	0	0	12	1868	6187	4043	1078	0	258	0	13	413	0	2021	0	16	17012	0	0	5	8	19	5603	890	0	0	0	0	341	0	332	22	4434
"msp_0060"	6	6261	6043	4	267	93	0	0	0	4336	0	0	0	173	1632	111	0	2620	341	0	0	0	1194	0	0	0	69	0	0	0	376	1377	2664	464	80	1313	2016	198	0	348	1418	0	0	203	561	35	223	0	53	484	146	554	136	526	98	134	3830	0	0	88	982	230	0	14	0	53	589	62	5	61	0	1019	0	0	0	0	1275	0	5	0	0	0	0	7	0	0	1806	4	0	0	0	497	0	1020	467	1967
"msp_0061"	0	11	0	0	0	0	0	0	417	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0062"	122	342	677	21	50	5	465	301	0	48061	0	224	0	473	633	334	4667	0	0	0	3322	504	0	312	0	300	1414	0	3	1608	180	1324	916	671	23	526	912	2150	1522	0	0	190	60	945	0	5	1772	0	1267	85	0	479	689	703	175	1061	4164	547	2	92	1370	1888	276	225	0	692	502	838	751	875	0	905	0	551	1471	0	195	454	21	806	4	0	267	5	242	787	499	0	2054	0	0	0	0	76	178	1169
"msp_0063"	0	0	0	0	14	0	87	0	0	576	0	0	0	505	79	0	0	0	13028	0	0	0	0	0	0	0	0	0	0	2622	0	6591	0	0	0	0	312	0	0	0	1349	1147	10	2285	0	0	0	0	0	0	0	0	3777	0	0	0	74	0	0	87	0	0	0	5	0	0	0	0	0	90	0	0	0	0	0	63	32	173	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0
