"MSP"	"SRS9032175"	"SRS9032172"	"SRS9032166"	"SRS9032079"	"SRS9032163"	"SRS9032162"	"SRS9032160"	"SRS9032078"	"SRS9032076"	"SRS9032158"	"SRS9032072"	"SRS9032157"	"SRS9032156"	"SRS9032071"	"SRS9032069"	"SRS9032065"	"SRS9032064"	"SRS9032061"	"SRS9032059"	"SRS9032058"	"SRS9032057"	"SRS9032150"	"SRS9032054"	"SRS9032149"	"SRS9032053"	"SRS9032043"	"SRS9032148"	"SRS9032039"	"SRS9032147"	"SRS9032034"	"SRS9032143"	"SRS9032141"	"SRS9032140"	"SRS9032137"	"SRS9032134"	"SRS9032133"	"SRS9032131"	"SRS9032129"	"SRS9032121"	"SRS9032119"	"SRS9032115"	"SRS9032113"	"SRS9032110"	"SRS9032108"	"SRS9032106"	"SRS9032102"	"SRS9032099"	"SRS9032098"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032092"	"SRS9032089"	"SRS9032084"	"SRS9032081"	"SRS9032075"	"SRS9032070"	"SRS9032060"	"SRS9032055"	"SRS9032052"	"SRS9032049"	"SRS9032048"	"SRS9032046"	"SRS9032045"	"SRS9032042"	"SRS9032041"	"SRS9032038"	"SRS9032036"	"SRS9032198"	"SRS9032194"	"SRS9032189"	"SRS9032188"	"SRS9032173"	"SRS9032171"	"SRS9032159"	"SRS9032145"	"SRS9032144"	"SRS9032142"	"SRS9032127"	"SRS9032124"	"SRS9032118"	"SRS9032117"	"SRS9032116"	"SRS9032114"	"SRS9032112"	"SRS9032111"	"SRS9032109"	"SRS9032107"	"SRS9032104"	"SRS9032103"	"SRS9032101"	"SRS9032100"	"SRS9032091"	"SRS9032090"	"SRS9032088"	"SRS9032087"	"SRS9032086"	"SRS9032077"	"SRS9032074"	"SRS9032073"	"SRS9032068"	"SRS9032067"	"SRS9032066"	"SRS9032063"	"SRS9032062"	"SRS9032056"	"SRS9032051"	"SRS9032050"	"SRS9032047"	"SRS9032044"	"SRS9032035"
"msp_0254"	0	0	2801	0	0	0	1306	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1352	0	0	0	227	0	4046	0	0	201	415	0	0	0	76	0	0	1330	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	7	0	0	0	0	0	0	0	0	1567	0	941	0	0	3755	0	0	0	0	0
"msp_0258"	5134	4702	0	0	388	262	29653	557	0	3040	376	287	23	0	352	275	0	3989	1459	3111	238	0	0	5	1533	5298	0	8109	23	0	449	9	401	1899	496	6	5897	5247	46	2741	0	64	1963	0	29692	718	0	14	7975	326	119	0	1202	167	454	939	915	0	725	921	1731	1198	6089	0	69	849	66	405	1191	375	0	1549	0	3452	1358	2473	37	5191	15	50	0	6	2988	1625	1923	3154	4282	133	42	952	7767	0	281	20	241	0	23	486	5506	16	2741	4796	961	0	93	7002	7440	3655	5102	774	1572
"msp_0259"	0	75	0	171	2262	149	2795	0	0	1260	594	534	432	0	724	0	106	2446	0	42	0	0	0	334	594	863	58	498	2607	0	0	290	115	0	2379	4558	0	725	8	206	0	0	0	0	2669	8401	0	6037	16688	283	3256	519	496	3804	749	1343	793	0	268	333	1394	567	4	0	467	3215	0	414	0	3170	660	534	0	1672	2775	1451	2375	0	369	10	81	394	0	1012	532	763	886	0	1301	0	362	155	1569	1868	635	0	17910	1438	3842	0	0	0	1061	0	3804	108	0	44	2136	453	159
"msp_0260"	0	0	0	0	0	0	0	0	0	0	168	247	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	2717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0
"msp_0262"	2496	0	0	823	0	473	0	1429	0	0	0	0	0	0	214	0	0	316	0	0	0	0	0	0	0	0	1828	0	0	0	0	0	0	0	367	290	0	258	0	0	0	2310	0	0	0	0	0	13	5313	4636	549	659	99	59	1981	2306	124	0	0	0	0	0	0	0	56	0	0	1462	1424	0	1502	0	0	0	116	0	866	0	0	0	0	0	0	0	0	0	0	0	1651	125	0	0	272	1516	790	0	5108	1274	0	0	0	0	0	0	107	0	0	480	0	286	228
"msp_0263"	0	2449	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6007	0	0	0	0	0	0	22072	17852	220	0	0	0	0	0	0	2437	0	0	7637	0	0	0	0	0	0	52	0	0	0	0	0	0	10579	0	0	0	0	0	0	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0
"msp_0264"	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
"msp_0265"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	15723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	12340	0	0	0	0	355	5501	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0269"	0	0	0	3436	0	0	0	0	0	328	0	0	1996	0	404	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	4553	0	0	0	0	0	7	383	0	0	0	0	0	0	0	0	0	822	691	0	0	62516	0	3099	0	0	0	0	0	0	0	0	14577	1674	0	60	887	563	0	0	0	0	0	0	0	0	0	7	0	0	0	0	9855	0	0	0	0	345	0	0	149	1151	0	0	0	7043	1455	0	0	0	0	0	0	0	0	732	0	0	0
"msp_0270"	716	7	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	311	0	0	0	0	0	26	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	0	0	6076	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1473	0	0	780	0	0	0	0	49	0	0	0	0	0	0	23	0	0	0	412	0
"msp_0271"	98568	5	8	285	0	0	0	0	0	8170	0	0	0	0	0	2264	0	0	0	3336	0	0	0	0	132137	7474	12	0	8709	21	0	0	938	0	3276	0	7879	1564	5398	92	0	0	0	0	0	0	0	10	0	10549	7341	112	31247	216	0	53774	0	0	52515	43	11615	15194	200	0	511	0	85	12512	0	288759	0	69633	0	0	2223	98	0	0	0	0	15554	0	0	0	6506	300	69835	23	0	0	3686	0	2127	37385	1190	0	0	0	0	2343	0	3155	0	7	0	64027	815	72256	72331	88446	0
"msp_0274"	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	139	157	0	0	340	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	8	62	1058	0	25	0	0	10	0	0	323	0	0	0	0	0	0	0	34	0	26	0	0	0	0	0	0	141	0	11	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	76	0	0	0	0	0	0	104	0	0	18	203	0	0	0	0	0	11	0	0	0	0
"msp_0275"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	594	0	7304	28633	169	5504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1128	0	104	0	14633	0	0	0	0	8	20278	1013	0	0	93	140	0	0	0	0	0	371	0	0	0	0	0	640	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0
"msp_0277"	0	0	0	2024	0	0	5926	8425	0	0	0	0	0	0	0	935	0	0	4183	0	0	0	0	0	0	4663	0	0	0	0	0	0	4628	0	3059	0	0	31	84	12772	0	179	0	0	5615	6213	0	0	0	14204	24970	0	29195	10089	2395	0	0	0	0	8763	6	0	8	0	44635	0	0	0	0	15683	0	0	0	0	0	101	2998	0	6747	253	0	0	0	0	0	0	0	0	13202	3230	0	0	3034	0	10927	0	0	0	5822	871	0	0	0	0	0	0	0	0	0	32	0
"msp_0278"	0	0	0	9	0	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	268	0	0	0	0	0	128	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	87	0	0	5	0	0	0	0	0	0	0	0	0	106	0	0	0	0
"msp_0279"	0	8	0	8	0	0	0	0	0	22	15	0	23	0	0	76	0	0	0	0	0	0	0	0	79	371	15	0	1445	0	0	0	0	0	0	0	25	50	0	30	0	0	0	0	0	0	0	0	0	350	0	0	228	0	80	0	224	0	0	0	0	0	0	0	51	0	0	0	0	0	0	5	0	0	0	0	0	0	52	0	0	250	0	79	0	6	0	0	0	84	0	0	0	0	0	0	0	0	0	0	79	100	0	0	0	326	299	0	0	7	0
