rowname	DDA_APT_D5_1	DDA_APT_D6_1	DDA_APT_F7_1	DDA_APT_M8_1	DDA_APT_D5_2	DDA_APT_D6_2	DDA_APT_F7_2	DDA_APT_M8_2	DDA_APT_D5_3	DDA_APT_D6_3	DDA_APT_F7_3	DDA_APT_M8_3	DIA_APT_D5_1	DIA_APT_D6_1	DIA_APT_F7_1	DIA_APT_M8_1	DIA_APT_D5_2	DIA_APT_D6_2	DIA_APT_F7_2	DIA_APT_M8_2	DIA_APT_D5_3	DIA_APT_D6_3	DIA_APT_F7_3	DIA_APT_M8_3	DDA_FDU_D5_1	DDA_FDU_D6_1	DDA_FDU_F7_1	DDA_FDU_M8_1	DDA_FDU_D5_2	DDA_FDU_D6_2	DDA_FDU_F7_2	DDA_FDU_M8_2	DDA_FDU_D5_3	DDA_FDU_D6_3	DDA_FDU_F7_3	DDA_FDU_M8_3	DIA_FDU_D5_1	DIA_FDU_D6_1	DIA_FDU_F7_1	DIA_FDU_M8_1	DIA_FDU_D5_2	DIA_FDU_D6_2	DIA_FDU_F7_2	DIA_FDU_M8_2	DIA_FDU_D5_3	DIA_FDU_D6_3	DIA_FDU_F7_3	DIA_FDU_M8_3	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3	DIA_BGI_D5_1	DIA_BGI_D6_1	DIA_BGI_F7_1	DIA_BGI_M8_1	DIA_BGI_D5_2	DIA_BGI_D6_2	DIA_BGI_F7_2	DIA_BGI_M8_2	DIA_BGI_D5_3	DIA_BGI_D6_3	DIA_BGI_F7_3	DIA_BGI_M8_3
Splicing factor 45	19.053124091730734	18.827918665995533	18.98173579727593	18.785260265945237	18.913303847404837	18.85887309819413	18.976754573272636	18.93520436579573	19.054975955765933	18.871861265494037	18.844370983437532	18.95302532283573	19.345254158883414	19.28568635436721	18.981743261492216	19.39942145368521	19.40097192933581	19.346012753289717	18.030731963326616	18.826415191922816	19.10803616238912	19.415436595488416	18.861550208493213	17.055148200474214	18.95160978971385	19.11562262873465	18.89103202114675	19.078532392361147	19.101726123028747	18.814159799914247	18.71842072816115	19.04296012880985	18.97406024150945	18.633177897654846	19.007632110954248	18.727474371159047	18.965127311224617	18.809100438260018	18.92871358287572	19.14645267133812	18.811025906174017	18.954865182011616	18.77450300405522	19.155831593454216	18.90322293623712	19.22144017241292	18.757618402154417	18.62850703295002	19.156516768159715	18.85229310659772	18.971158037486216	19.048673059575915	18.86834722453592	19.117005151334016	18.97955299921401	18.86566612075121	19.015182925446812	18.94008006433201	18.541577791378817	18.70035498433561	18.89985921361137	18.88731247718787	18.80411982364457	19.03697330439317	18.96884082801857	18.83224938056627	18.99729810091507	18.91178221409407	18.89444035908187	18.99045415284937	18.90360247382547	18.92947590496027
Apoptosis regulator BAX	20.14427938874394	19.90371777298504	19.89343852972134	19.79245891193714	19.83467785132394	19.81480762393474	19.71329901254284	19.84097026141414	19.91230858650004	19.84570365751264	19.75041656191714	19.93020263413734	20.000151641861656	19.97197757423076	19.792719934931057	19.94850078808465	19.92286989319756	19.892531106685755	19.77467052314616	19.93377761109276	19.804368067391955	19.819213646369256	19.601477877772457	19.914022127906257	20.06750961576003	19.75253519123823	19.758876038274437	19.88432835352703	19.97885182514513	19.991719930893236	19.630021901618232	19.75655470001983	20.20296959107323	19.910759171450632	19.58545789469853	19.85669657897173	19.92196606813773	19.88812450622413	19.675766982986232	19.81361884162613	19.83455770234703	19.87213903092423	19.75480826491963	19.967539854668733	19.969731103495636	19.877030037907836	19.92746659687603	19.873531802556933	20.295784991694266	19.68991072977526	19.86142981769406	19.91167039068386	19.70748143152556	19.77446736384486	19.87885166510676	19.84898292661776	20.05291976860636	19.88871341259966	19.65832668010296	19.807741614418862	19.90769495834288	20.05172608195018	19.99048302653198	20.18003376304418	20.00801772374358	19.94252634788218	20.06698662295728	19.94450184075728	19.898270769206174	19.20367942953408	19.49977342078948	19.68258680793098
Density-regulated protein	19.875317349396894	19.5715068573388	19.8422703518574	19.8166580121548	19.619857187662696	19.451924016329297	19.623826376534897	19.711396715237	19.8218060857125	19.7450354854818	19.9270368555157	19.7650981028794	19.86096443563744	19.26766180399044	19.63096258326654	19.75326847365994	19.64317146206004	19.66324808854094	19.77354066773104	19.90078143207764	19.96024364797884	19.54667070234014	19.96869838559384	19.80252171322434	20.068565154590218	19.853383425552018	19.64997425211192	20.00618156373712	19.59133105327452	19.44548642810432	19.603150506511817	19.84597320992112	19.666891200530216	19.345607729537416	19.975258964598417	19.71992990763212	19.68398886866195	19.71968581317215	19.70234004748025	19.84945867288285	19.85383796439655	19.65968628753415	19.60724917812905	19.71530374334645	19.83803426625585	19.72615549850565	19.79844466340865	19.61754839232765	19.841624978778565	19.38256519036337	19.691061020662364	19.91674386770357	19.68532141935177	19.645660764895165	19.82603902461737	19.66555408233397	19.790221392216164	19.808591002404164	19.682859702001863	19.835490950772865	19.63203310264373	19.78451969636623	19.86092869942223	19.78959571281293	19.45686966154913	19.78547601085893	19.51750918461483	19.84406100263413	19.97500645463473	19.48207878530043	19.86523787586153	19.77841720940233
Dipeptidyl peptidase 9	18.675852821390837		18.514292007377037	19.11646270309753	18.43508657166393	18.545774513140437	18.802838324678238	18.741444653024438	18.63508880551933	17.96721688507383		18.72406066754933	18.17850631041665	18.80427238813336	18.681912120398056	18.942413204499456	19.40518767168756	19.148209650715955	18.529810152297955	17.221774941679858	18.801317639101555	18.48061689008496	18.06546023732956	19.104465811955755	18.494466084969325	18.78037057612512			17.99348543761562	19.383571502206625	18.515537746956824	18.200250089213625			18.877748202131425		18.50268509220074	18.683113920718935	18.74872354157144	18.832693107461537	18.81366644063994	18.196998282699337	18.75299684103494	18.74522544959874	18.61546657175524	18.31051044730404	18.31465645597124	18.84721086734464													18.41628631000455	18.57982793679175	18.83180614089225	18.77382895913265	18.80448618542545	18.80941573601815	18.19558927629335	18.48994469832335	18.41774000026465	18.35980464100585	18.79470343826485	18.89051369588385
Thrombospondin-1		19.071878333331163			17.95418513368076	18.39349095653776	17.714515911991363		18.711222304100662	19.57556120889226			17.30709466012587	19.03033132977117	18.60501145714367	18.53215522790297	18.73431130498357	19.47848075684307	18.71380602011507	17.61634912731277	18.22168882984277	18.19925210621457	18.38921056968767	15.925680443681571	17.982817070892565	18.741965265227464	18.182708893461864		18.439660770084267	18.937792462927163				18.964685642365865	18.37947450567936		18.007277605893155	18.874924375037256	18.04645581506925	17.979164312120954	18.248811309948653	18.94547391482756	18.43188208600425	17.832020810870553	18.08701759945925	18.71048893724805	17.749895159931054	17.839959907214755													18.21531226182425	19.08182416348875	17.80799504230105	17.55934014131155	18.28091383758705	19.17719707050515	18.47647089613165	17.46011291049435	17.96246128800875	19.22368892705925	18.00158278773865	17.50647250717425
Pre-mRNA-processing factor 39			16.21251328722997			18.71155914202057	19.23007094052847						18.499276353800276	18.059038685030472	18.130672495415272	18.340189151260773	18.54692213305407	18.616230247130574	17.26912676237817	18.205743115296173	18.56510744783657	18.47997347124767	17.816771660118572	17.15586001680387													18.323303270382	17.4691482942283	18.2937318596111	17.7417285245184	18.2855759463961	18.2814536466936	18.2528918897791	18.3241917877247	18.5437772736461	17.7053477710022	18.4421478679321	18.0216134074586													18.211596957238932	18.188753701528736	18.155367127666235	18.261887276343035	18.160400132649634	18.25622640904153	18.144958493556437	18.04509459281924	18.227367630865235	18.018447228960238	17.917137921282936	18.097674067419835
SAM domain-containing protein SAMSN-1	17.61493368582066	17.89953702149526	18.18010265183816		18.09032511669646	18.215221164378654	18.333090199396057		18.28526699701486	17.875574451792158	18.39095565905796		18.17374531702453	17.540823229821726	18.31834782589663	17.28646560843883	17.878199424383432	18.177675142185727	18.452218950060228	17.398974786681627	17.975675414482126	17.560943369263725	18.260155232245125	17.150985937787027	18.445594986139326		19.122245659271726			16.902872470626328	18.050289492020028				18.48047838295823		17.64656536620802	17.779772186905422	18.644376960220026	16.910868569009622	18.36672898461892	18.12273401345342	18.41803938549492	16.65640304461462	17.84144051399742	18.704457576371222	18.29524922058102	16.787574416796122													17.932188983883165	17.832417054114963	18.037713891632965	16.967866776776564	18.471123790635463	17.784670071639862	18.142304329089164	17.221200120612664	18.085737659276464	18.038694724855365	18.173022224129664	17.487270611624464
Glucose-6-phosphate isomerase	21.438663388687186	21.584049034235687	21.570795432307285	21.529642106797382	21.49247021010329	21.522482272988587	21.649270861788388	21.461950238258687	21.477415998993585	21.63452428682619	21.670855630746388	21.517119504630788	21.356208033517213	21.568356267419716	21.66682348107481	21.474885155995214	21.39006602572201	21.55390973106581	21.636411316756117	21.557176484437115	21.438098287748915	21.623726526640716	21.71264414583741	21.57093351014841	21.56441943494312	21.638161083695024	21.499128657001226	21.517049682615824	21.47086146405592	21.66261157746782	21.63791263406502	21.50328323919292	21.468214542760123	21.465568346515724	21.617257016329024	21.504771287721724	21.387207709672207	21.638195613060105	21.592470618884903	21.558382190533607	21.44976689383431	21.484812954537706	21.618703641211702	21.588806918415703	21.471437270933706	21.551516538667308	21.655156381337207	21.552782235275007	21.33894284043734	21.54077576812634	21.554184497156143	21.60487293795164	21.423338980538546	21.50378642461604	21.670452515539143	21.589635021476344	21.57620139644334	21.60109216647974	21.604107229092943	21.541849188505942	21.42363102365233	21.525850309810227	21.67765883372993	21.510578323936627	21.37918187511743	21.587222368365428	21.72226187008753	21.524968713568427	21.42409820115583	21.57362050843653	21.62350410028083	21.57666283822233
Interferon regulatory factor 8	19.098157612726396			18.59983011845339	18.72676990847409	18.728773129267392	18.27807340995039	19.00617414428129	18.99304694118609	18.66499242207309			18.64040716147952	18.916169193803217	19.90432518929012	19.114944416744517	17.938630506064914	18.596508937422115	18.62843289343532	17.877075208220315	18.614545292217212	18.603027752915114	18.886434866193515	19.218366012402612	18.92812376455097	18.334354234620672		18.43379558415127				19.344549707045072				19.20014132410537	18.81313499087984	18.68570052347144	18.63119284588314	19.063162882188443	18.554092175196544	18.416298189190243	18.35322676635714	18.91152700978114	19.148874429179443	18.755560256740644	18.60795893317534	18.99813842814514													18.96061751150168	18.87037914329248	18.11179429642688	19.17263775122238	18.65332661080548	18.46956396367588	18.33895581957158	19.21537634673518	18.87516782277898	18.65464127857278	18.54379667098598	19.07261021461928
Golgin subfamily A member 5	18.763165445209783	16.902532030734683	18.80525726258618			18.380375275809083	18.712703662316184				18.99101786046858	18.921484244795582	18.785243159263175	18.809794487743176	18.615612982982377	18.63708112753668	18.240892869183376	18.618976871705577	18.002472753315576	18.106561047162774	18.33579051669368	18.50640371480357	18.668833166045378	17.929137539081477	18.156325040887115	18.376613820272315	18.527367138244216	18.468229483228217	18.754128909355416	18.356469331088515			18.318613845230217		18.68987421131021		18.453226958818192	18.395579424246392	18.52839711982249	18.56696077578949	18.17853804325509	18.45309361443109	18.65961743887479	18.34111658830589	19.03194903071309	18.07458858413489	18.41454328076649	18.15918937635889													17.775105300632735	18.57518899530944	18.328031548406532	18.582387035215834	18.316062190090733	18.76764729668973	18.66849544465333	18.108336524133332	18.255728961504435	19.187388887504436	19.547461976572635	17.144966074803634
