rowname	DDA_APT_D5_1	DDA_APT_D6_1	DDA_APT_F7_1	DDA_APT_M8_1	DDA_APT_D5_2	DDA_APT_D6_2	DDA_APT_F7_2	DDA_APT_M8_2	DDA_APT_D5_3	DDA_APT_D6_3	DDA_APT_F7_3	DDA_APT_M8_3	DIA_APT_D5_1	DIA_APT_D6_1	DIA_APT_F7_1	DIA_APT_M8_1	DIA_APT_D5_2	DIA_APT_D6_2	DIA_APT_F7_2	DIA_APT_M8_2	DIA_APT_D5_3	DIA_APT_D6_3	DIA_APT_F7_3	DIA_APT_M8_3	DDA_FDU_D5_1	DDA_FDU_D6_1	DDA_FDU_F7_1	DDA_FDU_M8_1	DDA_FDU_D5_2	DDA_FDU_D6_2	DDA_FDU_F7_2	DDA_FDU_M8_2	DDA_FDU_D5_3	DDA_FDU_D6_3	DDA_FDU_F7_3	DDA_FDU_M8_3	DIA_FDU_D5_1	DIA_FDU_D6_1	DIA_FDU_F7_1	DIA_FDU_M8_1	DIA_FDU_D5_2	DIA_FDU_D6_2	DIA_FDU_F7_2	DIA_FDU_M8_2	DIA_FDU_D5_3	DIA_FDU_D6_3	DIA_FDU_F7_3	DIA_FDU_M8_3	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3	DIA_BGI_D5_1	DIA_BGI_D6_1	DIA_BGI_F7_1	DIA_BGI_M8_1	DIA_BGI_D5_2	DIA_BGI_D6_2	DIA_BGI_F7_2	DIA_BGI_M8_2	DIA_BGI_D5_3	DIA_BGI_D6_3	DIA_BGI_F7_3	DIA_BGI_M8_3
Splicing factor 45	19.130097938017208	18.77557300103191	18.96539381409391	18.88452014728791	18.953251355988108	18.83227626220151	18.95879333102391	18.92175276079431	19.02066002648281	18.78103087528181	18.75642223662891	18.86903017975751	19.26669300911068	19.19272846996638	18.88580279418018	19.40863900647408	19.40207801056348	19.31261444261588	18.07060149917168	18.84583718657558	19.12415558374888	19.369380705465776	18.84361835199408	17.12665286872358	18.907045678319594	19.0770835251036	18.872218931056693	19.07440519471629	18.943145078783797	18.724437325636494	18.66573341046509	19.0738937660728	18.900856217238093	18.652163930761198	19.0087161622508	18.9491027081854	18.94647116691608	18.71553212794648	18.91555076315668	19.16986967002018	18.822338697761975	18.96022148409208	18.77473683775818	19.189239124334577	18.87180435608388	19.20416760932848	18.62168302353538	18.65718706765588	19.129377018486597	18.813251251245298	18.9729219805152	19.0379039539898	18.89714410625899	19.10913543029289	18.97614578893069	18.901994104785096	19.00711199485169	18.85119482640329	18.49369689095789	18.6589245818726	19.206497893196545	18.733126656187643	18.70588726039764	18.968506740764745	18.799302513864344	18.747427849535445	19.317573377200244	18.976044385614745	18.799168490728945	18.84712372389964	18.82923929616164	18.918903741037845
Apoptosis regulator BAX	20.221253235030407	19.851372108021405	19.877096546539303	19.891718793279804	19.874625359907206	19.788210787942106	19.695337770294103	19.827518656412707	19.877992657216904	19.754873267300404	19.662467815108503	19.846207491059104	19.921590492088875	19.879019689829875	19.69677946761897	19.957718340873477	19.92397597442517	19.859132796011878	19.814540058991174	19.95319960574547	19.820487488751677	19.77315775634657	19.58354602127327	19.98552679615557	20.022945504365808	19.713996087607207	19.74006294818441	19.880201155882208	19.82027078090021	19.901997456615508	19.577334583922205	19.78748833728281	20.129765566801908	19.92974520455701	19.58654194599511	20.078324915998103	19.903309923829223	19.794556195910623	19.662604163267225	19.837035840308225	19.845870493935024	19.877495333004724	19.755042098622624	20.000947385549125	19.938312523342425	19.859757474823425	19.791531218257024	19.902211837262826	20.268645242021087	19.650868874422788	19.86319376072299	19.90090128509769	19.73627831324859	19.76659764280369	19.875444454823388	19.885310910651587	20.044848838011188	19.79982817467089	19.61044577968199	19.766311211955788	20.214333637928107	19.89754026095001	19.892250463285105	20.11156719941581	19.838479409589407	19.85770481685141	20.387261899242507	20.008764012278007	19.802998900853307	19.06034900058441	19.425410243125707	19.672014644008605
Density-regulated protein	19.95229119568339	19.51916119237519	19.82592836867549	19.91591789349749	19.659804696245992	19.42532718033679	19.60586513428619	19.69794511023559	19.787490156429392	19.654205095269592	19.83908810870709	19.68110295980119	19.782403285864643	19.174703919589543	19.535022115954444	19.76248602644874	19.644277543287643	19.629849777867044	19.813410203576044	19.920203426730342	19.976363069338543	19.500614812317444	19.950766529094643	19.874026381473644	20.02400104319594	19.814844321920944	19.631161162021844	20.00205436609224	19.432750009029544	19.355763953826543	19.550463188815744	19.87690684718404	19.593687176258843	19.364593762643743	19.976343015894944	19.94155824465844	19.665332724353444	19.62611750285864	19.68917722776124	19.87287567156494	19.865150755984544	19.665042589614643	19.60748301183204	19.74871127422684	19.80661568610264	19.708882935421244	19.662509284789643	19.64622842703354	19.814485229105443	19.343523335010943	19.69282496369134	19.90597476211744	19.71411830107484	19.63779104385404	19.82263181433404	19.70188206636784	19.782150461621043	19.71970576447544	19.634978801580942	19.79406054830984	19.938671782228944	19.630333875366045	19.762696136175343	19.72112914918454	19.287331347394943	19.70065447982814	19.837784460900043	19.908323174154845	19.87973458628184	19.33874835635074	19.790874698197744	19.767845045479945
Dipeptidyl peptidase 9	18.73187076503053		18.47699412154823	19.19476668179343	18.45407817760043	18.49822177450103	18.76392117978273	18.70703714537623	18.57981697358943	17.85543059221483		18.61910962182433	18.092944444050676	18.704313787139277	18.578970936492773	18.94463004069507	19.39929303632197	19.107810623448877	18.56267897154977	17.23419621973937	18.810436343868076	18.427560283469077	18.04052766423717	19.168969763611877	18.48244000791096	18.77436950682996			17.867442427706557	19.32638706226476	18.49538846359665	18.26372176081245			18.91137028776385		18.47702823129897	18.58254489381217	18.72856000525917	18.84910938955037	18.81797851563467	18.19535386818657	18.74622995814467	18.77163226388587	18.57704727500877	18.286237167626368	18.171720360758968	18.868890185457268													18.715924272996475	18.418641399198272	18.726572861052077	18.69836167891097	18.62794715467797	18.717593488394076	18.508863835985277	18.547206153250773	18.315467415318476	18.209473495462877	18.713339544007773	18.87294081536817
Thrombospondin-1		18.738531445836003			17.713131419732505	18.085892898013604	17.415553447211103		18.395905152286005	19.2037295961485			17.344685580381135	19.05352551539833	18.625223059859632	18.657524850719835	18.851569456239236	19.561234516197235	18.869827625988133	17.751923191993534	18.35396032123053	18.26934828621993	18.48743078321653	16.113337181958933	17.86137795385517	18.62655115595327	18.08702079772867		18.20420472019617	18.771194983006268				18.90679666982907	18.30368355133277		18.104773531612636	18.89750813475173	18.149445065378234	18.118733380831035	18.376276171564637	19.066982286936035	18.548267989735237	17.981580411778932	18.171751089334037	18.809368444191637	17.730111851340034	17.984792011948635													18.63810301143746	19.043790412516564	17.825914549082164	17.607025647711165	18.227527593460863	19.20852760950236	18.912898242444864	17.640527152043063	17.983341489683863	19.19651056813756	18.04337168010286	17.612052413279862
Pre-mRNA-processing factor 39			16.979574406880772			19.46836540886087	19.99551280111257						19.19194189898669	18.73730749558879	18.80595872306239	19.12063339900879	19.31925490924089	19.35405863141589	18.08022299318239	18.99639180490809	19.35245356415549	19.20514427618419	18.57006649857859	17.99859138001239													19.0758738210326	18.1468066788739	19.0517957348512	18.5363722181596	19.0681154329432	19.0580366437332	19.0243524184412	19.1288260135642	19.283585388452	18.4593019028769	19.0774391842722	18.8215201371236													19.28946233178332	18.80579457548772	18.82836125937852	18.96464740767382	18.762088513454614	18.94263157296992	19.236460464800818	18.88058345929912	18.90332245747152	18.64634349496972	18.61400143857832	18.85832859845662
SAM domain-containing protein SAMSN-1	17.614499313995392	17.769783138419893	18.08635245054449		18.05286440716799	18.11121611027439	18.23772073903559		18.17354284961999	17.707335843468194	18.22559869413769		18.192252718129552	17.54493389629865	18.31947590946235	17.39275171210545	17.97637405648885	18.24134538238965	18.58915703678305	17.515465332212152	18.08886338671965	17.61195603011885	18.33929192662375	17.319559156914153	18.177813422132747		18.880215116569342			16.589932543736246	17.774384721711645				18.258344981642445		17.724977772777287	17.783272427469687	18.728282691378784	17.031354118569485	18.475110327084685	18.22515886641169	18.51534177007569	16.786879126372785	17.907090484721984	18.784253564164587	18.256382392839782	16.913323002379784													18.335896214346224	17.775299783992622	18.036549879263923	16.996468764026023	18.39865402735912	17.79691709148692	18.559648156252223	17.382530843011224	18.087534341801422	17.992432846783522	18.195727597343723	17.573766998579924
Glucose-6-phosphate isomerase	21.515637234973664	21.531703369272066	21.55445344912536	21.62890198814006	21.532417718686563	21.495885436996065	21.631309619539664	21.448498633257262	21.44310006971046	21.543693896613963	21.582906883937763	21.43312436155256	21.27764688374445	21.47539838301885	21.570883013762742	21.484102708784047	21.391172106949647	21.520511420391948	21.67628085260115	21.57659847908985	21.454217709108647	21.57767063661805	21.69471228933825	21.642438178397747	21.519855323548864	21.59962198006396	21.480315566911163	21.51292248497096	21.31228041981096	21.57288910319006	21.58522531636896	21.53421687645586	21.395010518488764	21.48455437962206	21.61834106762556	21.726399624748066	21.368551565363664	21.54462730274656	21.579307799165864	21.581799189215666	21.461079685422263	21.490169256618163	21.618937474914663	21.622214449296063	21.440018690780462	21.534243975582864	21.519221002718165	21.581462269980864	21.31180309076421	21.501733912773915	21.555948440185112	21.594103832365512	21.452135862261613	21.495916703574917	21.66704530525581	21.62596300551021	21.568130465848213	21.512206928551016	21.55622632867201	21.500418786042918	21.73026970323755	21.371664488810048	21.579426270483047	21.442111760308247	21.209643560963247	21.502400837334648	22.042537146372748	21.589230885089147	21.328826332802947	21.43029007948685	21.54914092261705	21.56609067429995
Interferon regulatory factor 8	19.158547586303			18.6825061270862	18.750133544347506	18.6855924205649	18.243528294991805	18.97613866657	18.942147139193104	18.557578159151			18.593072528661075	18.85443782635668	19.839611238932378	19.15538848648768	17.970963104246877	18.594337143702575	18.699528946234675	17.927723719827377	18.66189123053128	18.588198379846776	18.89972952664868	19.32109719760628	18.797043956913	18.209299434745898		18.3431526902627				19.288967648064297				19.335253964888	18.825705363525625	18.623358730112223	18.649256543118423	19.117806397824825	18.596631483738825	18.452881008225027	18.384687117014423	18.976161057615823	19.148682365980527	18.769514210610527	18.503250071510628	19.058044979805327													19.2984827080412	18.7474198392466	18.044788250134296	19.135397704548296	18.5150148136056	18.4159689495994	18.690457612811095	19.3108650352102	18.8111224713804	18.542537366577395	18.500660010276498	19.0932645676512
Golgin subfamily A member 5	18.82663022082241	16.83667729509721	18.77540620873041			18.34026936914261	18.681233349393608				18.88956004298621	18.82398003104351	18.709868487210887	18.720023081062788	18.522858993390788	18.649485158045987	18.24518542813149	18.588765038752182	18.045528766881088	18.12916951953599	18.35509641577389	18.463534302501387	18.65408778726669	18.003828685051285	18.106290548914544	18.332604336062943	18.503083667575844	18.45863190500504	18.590077484532134	18.26127647623244			18.23993944038054		18.68548788202844		18.43775729223017	18.30519759165337	18.51842077782397	18.59356425219207	18.19303731256357	18.46163639423207	18.66303775029827	18.37771059690677	19.00371692828037	18.06050249877097	18.28179437986797	18.19105588878527													18.08493045793849	18.424189652029792	18.23298546288019	18.51710694930799	18.14971035365709	18.68601224337949	18.99195719865909	18.17578517337459	18.16364357087209	19.04724493627529	19.47628527662939	17.13758038860179
