rowname,BBM_673_P283_01_VEB_001_R4,BBM_673_P283_01_VEB_002_R3,BBM_673_P283_01_VEB_003_R3,BBM_673_P283_01_VEB_004_R3,BBM_673_P283_01_VEB_005_R3,BBM_673_P283_01_VEB_006_R2,BBM_673_P283_01_VEB_007_R2,BBM_673_P283_01_VEB_009_R2,BBM_673_P283_01_VEB_010_R2,BBM_673_P283_01_VEB_011_R2,BBM_673_P283_01_VEB_012_R2,BBM_673_P283_01_VEB_013_R2,BBM_673_P283_01_VEB_014_R2,BBM_673_P283_01_VEB_015_R2,BBM_673_P283_01_VEB_016_R2,BBM_673_P283_01_VEB_017_R2,BBM_673_P283_01_VEB_018_R2,BBM_673_P283_01_VEB_019_R2,BBM_673_P283_01_VEB_020_R2,BBM_673_P283_01_VEB_021_R2,BBM_673_P283_01_VEB_022_R3,BBM_673_P283_01_VEB_023_R3,BBM_673_P283_01_VEB_024_R3
P00803,21.55383601603512,21.647348723277386,21.816887876708737,21.628080629594393,21.821830409866507,21.625588803558326,21.548490620513796,21.649105519337706,21.673478649114006,21.658150181159375,21.686107868378016,21.80654111416746,21.8116458275846,21.762300072398364,21.770794491094836,21.730206919171206,21.746352928406033,21.696750656989156,21.79557783418697,21.824778167580213,21.843016387084813,21.73997763021659,21.835187142232538
P00805,24.182252383227823,23.90878913031531,23.61917571340641,23.27814002538686,24.28512374475098,23.713590518011284,22.800174871558486,23.584383246359547,23.474037784169493,23.545267790925436,23.392629745827946,21.947492816766875,21.272318339157845,21.55102522587267,21.254314690188284,21.325873537350628,21.047236604667447,21.584931432965593,21.524477578562525,22.009125581734352,21.622871513968324,21.89516618743338,21.593505510373145
P00811,19.55071566132439,19.71489052783105,19.714475378375248,19.339110360333947,19.823011141721008,19.622291404214447,19.590361908037185,19.907749088103223,19.67647945102031,19.626506302848043,19.577289607634835,19.861104804112273,19.971989263760282,19.983086759718415,19.78112420662501,19.593055403135455,19.90026795259669,19.83448248603358,19.853611359499947,19.982270198613463,19.606853002453864,19.759944389683596,19.79789897374818
P00861,20.18014338568203,20.18022792779186,20.30527114513182,20.216690165204835,20.318919819769256,20.23604613700931,20.388887430680413,20.167175317941222,20.24573262911825,20.412116523209992,20.372650966437934,20.55573246603421,20.744496488667565,21.064861629151125,20.972334571026135,21.011357331376455,20.849364595954853,20.975791880466577,21.019554750879102,20.76522114425262,20.380148182490736,20.838429642416383,21.041052975327954
P00864,24.319435218612313,24.355207680683776,24.436571741505976,24.223246333575133,24.581133122632234,24.34977268407478,24.258972068877885,24.762550871287743,24.324498054202184,24.4056595731711,24.396660324788677,25.43282289203028,25.622392182295066,25.68131521695979,25.755519615721024,25.72415484881457,25.886671384495394,25.808891426937187,25.797445085367208,25.59093769132847,25.617128062323292,25.803182523535117,25.771343432266725
P00887,21.666943984668375,21.626370093150072,21.917832285797573,21.429801833947536,22.167921977736444,21.743559644004048,21.413076095661484,22.097923868786538,21.622610037690375,21.813822450559048,21.85649037121692,21.922425346253892,21.902308712231324,22.044401613972624,21.876054493471344,21.785569757748725,21.897382915330674,22.01842512164372,21.96310502878162,21.980525001246523,21.774597866828188,22.075001532282204,22.003391814204043
P00888,23.047579394473548,23.028075975047052,23.50497414268495,23.45710245974674,23.36741152804183,23.392174461749203,23.359186146039413,23.185717831723384,23.334941803765183,23.437754419630163,23.538437600765917,22.695631533284228,22.531433303716106,22.595541564053576,22.694174518988948,22.69144270173217,22.597621262105555,22.534702309512078,22.483513714512714,22.74859440452067,22.43979421433807,22.80383080575653,22.57904078358004
P00893,21.856243898391526,21.904892489463908,22.18159319151265,21.923808463508283,22.09594412996194,21.982835321833804,21.923959976682546,22.27290290223273,21.96716722322257,22.083024724117127,22.108531826683055,22.45069340754869,22.71927862995383,22.782550795414636,22.681851641110022,22.631428211257663,22.715097861003702,22.757231651044282,22.802254293412602,22.68601519951636,22.741678640203943,22.672794943516898,22.717016017878002
P00894,22.169780326138316,21.931211160760196,22.119539493558207,22.030826044116477,22.026625724187046,22.080119941934736,21.845425950319665,21.905977455083157,22.100076151633733,22.13062045124109,22.066216902283006,22.597325352307966,22.37905447207286,22.57575573789588,22.317912970946406,22.381503912547924,22.194284907990657,22.487903346010818,22.5269595479128,22.55177946177678,22.35770474285279,22.450393618489034,22.592160636443552
P00895,22.072160441709332,22.24156629344614,22.460635215727997,22.496959548629178,22.442545916017625,22.353396277922773,22.51779173103705,22.368151173352942,22.281914579480514,22.44107226874649,22.566623775402707,22.42990928916121,22.639811666801084,22.81180653930258,22.8072119793857,22.65138591101514,22.711351636686263,22.675484606204304,22.73509220083367,22.632339348625504,22.555978824610474,22.82208462804233,22.7762405152595
