"rowname"	"DDA_NVG_D5_1"	"DDA_NVG_D6_1"	"DDA_NVG_F7_1"	"DDA_NVG_M8_1"	"DDA_NVG_D5_2"	"DDA_NVG_D6_2"	"DDA_NVG_F7_2"	"DDA_NVG_M8_2"	"DDA_NVG_D5_3"	"DDA_NVG_D6_3"	"DDA_NVG_F7_3"	"DDA_NVG_M8_3"
"Cyclin-dependent kinase 6"	NA	18.1195043439393	17.9893898954118	17.8889462446068	17.7505099187317	18.0292760103236	17.7628735576189	17.9633392743015	17.657958745139	17.9896835311122	17.7978663654697	18.0440067499562
"Cyclin-G-associated kinase"	17.6891886598363	17.7478049098023	17.963080030302	17.7836386796345	17.4590949434364	NA	17.3490088612766	NA	17.8475991511867	17.8177461880371	NA	17.0338277033409
"Cystathionine gamma-lyase"	19.0899980633919	18.8358876733633	19.0192715831667	18.5765332847059	19.0830986527494	18.8421951614869	18.8021257392289	18.7053221436085	19.0881515573363	18.850197749651	18.818762406707	18.3332846784386
"Cystatin-B"	19.7245203061533	19.6651834196265	19.6736728506488	19.7612566520231	19.6765881740958	19.5643542819806	19.575371530733	19.8182576581682	19.7768970108328	19.4667797478307	19.539826977863	19.6773138597166
"Cysteine and glycine-rich protein 1"	18.3505945464365	18.2457975825784	18.3782513811226	18.418983657539	18.4346322253716	18.3637602815514	18.4275160778691	18.377334102965	18.4555427738038	18.2964358490174	18.3489661696713	18.4462409954815
"Cysteine and histidine-rich domain-containing protein 1"	18.3126953175471	18.55853787108	18.4092535582065	18.1723014077345	18.4152819162294	18.4311334516673	18.3360134030973	18.4629532855486	18.3026599217808	18.3129184186323	18.3292876503955	18.3804696872805
"Cysteine desulfurase, mitochondrial"	16.98684584659	17.692375789731	17.3427880732635	17.2866603054017	17.5781233098534	17.6104498289698	17.6094254329295	17.6628087389174	17.4524022566847	17.4797809551124	17.5803560679185	17.1622925026824
"Cysteine--tRNA ligase, cytoplasmic"	18.8392409477074	18.6295708374814	18.853651429072	18.6654629645575	18.6762097064188	18.782108717435	18.8913275203069	18.8484923035947	18.8373725859295	18.809860792507	18.8292684597959	18.724157595788
"Cytochrome b-245 heavy chain"	17.9972702504935	18.6030238271612	18.2387968816762	18.6019304256889	18.0942447586106	18.9365006868053	18.3925322692816	18.7471351249693	18.1284135084223	18.5040038247999	17.8828954211968	18.4065649140459
"Cytochrome b-245 light chain"	18.7541394359461	19.1563025618654	18.7734907476686	18.7723259968925	18.5985170032195	18.096794334369	18.568325280575	18.7314410974314	NA	16.8640998996014	NA	NA
"Cytochrome b-c1 complex subunit 1, mitochondrial"	19.1763225092678	18.8624864415383	19.2220587235769	19.0545285545726	19.1216742697225	18.819289318814	19.0828762420313	18.9238843986378	19.0870428083502	19.0945260239337	19.0731240050509	18.8208420267809
"Cytochrome b-c1 complex subunit 2, mitochondrial"	19.6556474212201	19.3523878687789	19.6272181979099	19.3787380619042	19.5864622586431	19.558175366306	19.4568458361754	19.4471540889647	19.5720673945269	19.358345374692	19.4729403058499	19.2092642366844
"Cytochrome b-c1 complex subunit 6, mitochondrial"	17.7231331724907	17.5547456971241	18.3608269387891	18.1401913929302	17.8430334895935	17.992041333659	18.093091021708	NA	NA	18.082234206492	18.4720338830374	17.9340964558696
"Cytochrome b-c1 complex subunit 8"	17.7935121030926	17.8615521491095	18.0784499472914	NA	17.8541528091952	17.9000748531931	18.1597830389527	17.7045300083262	17.6679116367824	17.4027177542205	17.7625870459081	17.6212210475333
"Cytochrome b-c1 complex subunit 9"	17.8724718709462	17.721718943379	17.7247882160431	17.7593524809019	17.9807345437733	17.5327781138461	18.0945609874254	18.0858054042906	17.9301092980887	17.8528439024778	18.0123329019046	17.8212409513592
"Cytochrome b5"	18.5522920279708	18.3847621969547	18.8467920197254	18.306447932646	18.5993337786969	17.9947079178366	18.2722497641501	18.3770399276917	18.3429254179026	18.0481992953767	18.5921283675733	18.4920922962852
"Cytochrome b5 type B"	19.537763188699	19.5246244890408	19.6886612946295	19.4496713223179	19.6708134264748	19.5855479278077	19.5162445855127	19.3382841201977	19.5117881404154	19.358948552261	19.5337914597877	19.2445507669544
"Cytochrome c"	19.8767679002186	19.8947382791661	20.0453869375144	19.8635829307182	19.9631838379502	19.8885828877883	20.0675009388608	19.8408051374345	19.9069757111443	19.8023526978738	19.9465624578908	20.0169666885992
"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial"	17.3857326643805	17.6128122918211	17.7370378651275	17.2914083441272	17.7109604823115	17.711523715581	17.9195322896629	17.6471838552337	17.7271121959253	17.5789104644039	17.9788301926108	17.6336159285068
"Cytochrome c oxidase assembly factor 6 homolog"	17.7237794432403	17.455871803257	17.1839262674105	17.5005363721664	17.7455599322936	17.4097376009498	17.4700096130923	17.6701757082879	17.8794769117829	17.4241735618167	17.6875194382818	17.4995608236866
"Cytochrome c oxidase copper chaperone"	20.2465063295626	20.2832067305149	20.1600918593958	20.3250103188149	20.0502306543887	20.0888983649837	20.3184926074367	20.3066763358302	19.9885391451087	19.7710585624996	20.0120173989442	20.1946904168163
"Cytochrome c oxidase subunit 2"	19.6672688894177	19.7366843456826	19.9083485566614	19.6408561189429	19.6579110181393	19.7820615849188	19.9854135908208	19.4714776085749	19.7013685121264	19.6642537984771	19.9600454677739	19.4461713899328
"Cytochrome c oxidase subunit 3"	18.5042840576751	19.4342680248093	19.4896186049147	18.8293772386939	19.3591711569961	19.6247644407119	19.4957065476392	19.4380594789895	19.5884884090203	19.0219639064919	19.452616711333	NA
"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"	19.6136122776045	19.6847819271626	19.9687923171492	19.3913504211276	19.8539340173474	19.7923978907103	19.9100618465406	19.5552553654529	19.7885578723812	19.6029599100445	19.8250808101047	19.2181489026385
"Cytochrome c oxidase subunit 5B, mitochondrial"	19.5538654850564	19.5495605612991	19.5731395761296	19.3591581643677	19.380847191998	19.5411897131429	19.5920769884698	19.3386242783843	19.5714188088156	19.4737325991379	19.605582856708	19.250688226616
"Cytochrome c oxidase subunit 6B1"	18.8680981761788	18.8990975646753	19.2217169211845	18.8263686774406	19.1718593334316	19.1043093132962	19.2497015587193	19.4020847352665	18.8410598225313	18.9487831815258	19.1647418369479	19.0325302728759
"Cytochrome c oxidase subunit 6C"	18.4554880964985	18.7560950165251	19.4234959427045	18.27900699635	18.5390641683247	NA	19.3155142288077	19.1236557342534	18.8624663557386	19.047316990074	18.9598815691457	NA
"Cytochrome c oxidase subunit 7A2, mitochondrial"	18.4424640294384	18.4853320038592	18.4900719901014	17.9503611514403	18.6068219432759	18.352271343803	18.5259582225141	18.1571718946074	18.4564250358695	18.5824473985407	NA	NA
"Cytochrome c oxidase subunit NDUFA4"	19.1013644629935	19.1596941294261	19.1497746548253	19.0893600381304	19.2962716110704	19.141644986608	19.1680467890553	19.1776796314152	19.3354125551714	19.0539017948995	19.24177536779	19.0399041079561
"Cytochrome c-type heme lyase"	NA	NA	17.2601942741905	17.3501696268536	17.5571456320578	17.1589199764004	17.4707258564195	17.4507133077584	17.3242984356127	17.1945262174754	17.4055284082469	18.0440898976773
"Cytochrome c1, heme protein, mitochondrial"	17.7532045700202	17.5693222159118	17.6500762201304	17.4859555275539	18.2203413915545	17.6426000460246	18.3881830125387	17.2591668191837	18.3060800268537	17.9089949802972	18.8204870857517	17.521222933043
"Cytohesin-1"	17.9311048881252	17.3565652930286	18.0529902657042	18.1210841527868	NA	18.4451645379321	18.5913511947907	18.1359778997271	17.5663799904027	17.5190002443681	18.2986838200283	18.1563568512791
"Cytokine receptor-like factor 3"	17.8745980382768	18.0223734223044	17.565332185332	17.9574404763376	18.4627313758108	17.9816626255003	17.8641818485521	18.3860536713121	18.4644169170403	17.6722616923409	17.6094678445794	17.5423842642688
"Cytoplasmic dynein 1 heavy chain 1"	18.7363508678406	18.7044801671032	18.8377896974368	18.7525646347738	18.7335306997967	18.7650088245288	18.8335257239958	18.8879228121277	18.7005219491094	18.643782302218	18.7493698406637	18.7755094857556
"Cytoplasmic dynein 1 intermediate chain 2"	18.1974458534468	18.2496347493824	18.2653997354827	18.2453285229822	18.3281982463001	18.3512741584379	18.1254979818269	18.2518242959439	18.4980471722549	17.796946703436	17.9614108482442	18.1749681107577
"Cytoplasmic dynein 1 light intermediate chain 1"	17.3289687952608	17.62631008084	17.6578214185083	17.6321834108524	17.5060075588245	17.6290106489192	17.7343125718027	17.8511393576051	17.3669026419208	17.5222938162282	17.6310628582356	17.5601183919792
"Cytoplasmic FMR1-interacting protein 1"	19.3036927421032	18.0999142471127	19.1450850910858	18.518409236554	NA	18.5076723726198	18.1440660393164	18.3075016314514	18.3739828975156	18.3446955017597	18.8838227852803	18.0754021676454
"Cytoplasmic FMR1-interacting protein 2"	18.5537331439203	18.3760717146744	18.4706113437379	18.7030584316477	18.7576262607686	18.3403363970576	18.4357009928068	18.8338573379921	18.5024142430878	18.700664452371	18.6367952931861	18.6985853734257
"Cytoskeleton-associated protein 4"	18.0534058640285	18.476818586999	18.6930099513737	18.0665541047762	17.9517660306642	18.3378617393023	18.6843445209823	18.1556162974462	17.9248222112824	18.3754542254607	18.6090218522486	17.9858346466584
