rowname	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
P00547	24.260126785147385	24.2703715472886	24.472318271792684	24.307415929716104	24.56010729681927	24.528001339307092	24.507070144956167	24.529473382756226	24.328677042959146	24.492849171880714	24.06874780315208	23.986048063978824	23.912653588305112	23.951912684461558	23.94712953560567
P00550	21.45103417615224	21.463263305661748	21.555344733196694	21.48812224443636	21.436702450883672	21.513135085970337	21.530499787568	21.527801353968165	21.340119023488466	21.161229134719843	20.95566263052905	21.04140627345964	21.0270443289281	21.03692529901481	20.988521490980965
P00561	25.5993450663632	25.65601919924712	25.498109781170232	25.888659338480423	25.818795720169646	25.869341078972756	25.67929143271081	25.70415954784206	25.83422566212141	25.950431862723075	25.59272137638973	25.523112623470304	25.588030854548222	25.51698689082114	25.623778161818127
P00562	21.69004216148772	21.988127095547387	21.477594880725682	21.69731947012003	21.7006624358643	21.48127815087061	21.476913978061834	21.434011509512942	21.843188805122274	22.026947074024346	22.24853957674537	22.343389967300855	22.33821664019427	22.326074293654237	22.24949933825447
P00579	22.488349784636767	22.672661729363657	22.373535558674785	22.714406650316104	22.632016620993642	22.622675277875324	22.5607198946602	22.53965865903772	22.724853391055625	22.734275328480628	22.784144623765112	22.744311232439003	22.694920528413043	22.741836809360557	22.69922826750048
P00579;P13445	19.261327303215392	19.269542488616207	18.449949464132015	19.361962467918314	19.372017877110583	19.35018427489104	18.915844831677646	18.92040563880541	19.066349150106312	19.41734032882623	19.458050560899256	19.83391426017114	19.65016685700521	20.107585776991705	19.68314177708775
P00582	22.035031692007482	22.07389166390917	22.013253748659707	22.148387635887186	22.00959818349214	22.131689951224665	22.07755923764024	22.042624899530345	22.14656261144479	22.101156214327908	21.95765417749426	21.97528513652565	22.065017289443112	21.903533199763086	22.010619206093214
P00634	20.233966040042183	19.81633787244733	20.6390145607202	20.275620197452508	20.125497526812943	20.471647807541085	20.34238319819518	20.394872543731843	20.219566822794604	19.99966736755296	19.871973302648556	19.504307640088694	19.650490941650148	19.691464025794556	19.63632985924023
P00803	21.777079748141148	21.68336098862403	21.745374137248383	21.761986355911294	21.736158426699294	21.737611836484632	21.68585794594827	21.79305196876414	21.840610740219116	21.89959801960172	21.501023097380216	21.70530090761964	21.679244142879703	21.63381667822758	21.70420815601284
P00805	23.641889383825895	23.66151576168217	23.35330697260363	23.54776090533116	23.797617897864292	22.85342764484026	23.227292150296186	23.386594796234327	23.64704575281963	24.043439741318632	21.55912088111255	21.543171199074415	21.774336571543145	21.75036752472688	21.84148121822185
P00811	19.74556056552128	19.70154439982277	19.571054255213664	19.778087293269635	19.806020218894503	19.81047825326877	19.64796338762371	19.597258384085183	19.70470398112785	19.878153020035224	19.896566277917003	19.798354329305173	19.7305421965379	19.5789811010622	19.722596178791537
P00861	20.16468366378631	20.474065719675906	19.779962620923122	20.456817462094598	20.131453627834105	20.17832664816354	19.83944840170585	19.891184562079395	20.42843176709068	20.395223960028495	20.99483008906923	20.86698283241552	21.092310259682254	20.97631454786494	21.04542022370029
P00864	24.351692997693114	24.497303827803616	24.032680750699164	24.494388507317904	24.373231615665105	24.369803432095498	24.19124621215472	24.2130572300133	24.573166760301046	24.532182914998664	25.71903602792083	25.633179452672074	25.80793583662036	25.740156101822347	25.809181389665884
P00887	21.92409326835874	22.05208823738457	21.696542448471376	21.90652792550387	21.912232641199655	21.71638020468656	21.736124892146147	21.61454948577984	21.991358991570223	21.922741980132137	21.87683724289519	21.73524460646857	21.807588198143346	21.826371010928952	21.86269339544678
P00888	23.494799756189416	23.329027488332297	23.52872393404023	23.44191445263512	23.229602286487687	23.49259590533589	23.48705859746539	23.374926504997024	23.377876596127916	22.929948572943402	22.366145886479462	22.57430726300709	22.743578707101626	22.49869342155444	22.60242737822627
P00893	22.063290152843244	22.162890894050307	21.907091911275955	22.23207951708527	22.08712392360052	22.144846176127793	22.02917037724493	21.967278125430205	22.252405897076876	22.05793400993445	22.551839360648767	22.511570289524162	22.67867261889504	22.56507341240951	22.652662617942696
P00894	22.08190771226735	22.116230397345664	21.859676011933512	22.143061157075586	21.9791813029311	22.03708393025847	21.876562304150262	21.901242709234317	22.1144371397641	21.93939010630351	22.652338718064538	22.41871174838203	22.367248179247767	22.56088501196409	22.4973113713626
P00895	22.29901955915747	22.564291871037355	22.167192111396183	22.51203999358137	22.348120953526468	22.48794441206916	22.286361116294295	22.266451136696983	22.577712596999174	22.280097509371082	22.744168577575714	22.552024597025042	22.76861209181237	22.65949504799972	22.70796515511829
P00903	17.944977836962398	18.281265622273796	17.90754589177208	17.9009269395939	17.78738989505998	18.157050057350435	17.786713084104367	17.78543110769081	18.610439632701624	18.339386527765527	18.609715480785265	18.33972439256332	18.065802344738994	18.186871450425105	18.1423112865405
P00904	22.530105281897765	22.494178347912374	22.554004461556826	22.552019002665396	22.40098504672575	22.721947157795892	22.47576963172804	22.49120372762954	22.592190587652187	22.272215539292937	22.791984361785214	22.649931641742096	22.833784125902746	22.70620467743059	22.759296404157357
P00909	22.68589806247227	22.566304477115395	22.70587334616147	22.667593934763758	22.60068409508089	22.832074018251678	22.64524697150437	22.62400541547053	22.58225974884853	22.49078190000997	22.823124255934513	22.716010790970856	22.78610885055781	22.8265681266185	22.756470762022673
P00914	18.472865433575336	18.58448476368218	18.943313817908702	18.709915970721646	18.84175747789514	18.849899881405406	18.938294604183387	18.488845178753586	18.048728339131262	18.838368166358457	18.109947325964306	18.64642658948187	18.333681679520094	18.146224402790942	18.191272750380268
P00926	18.490818574822875	18.722064743078768	18.82662525132682	18.893827147761513	18.79836676427264	18.820912305132655	18.827641274512015	18.59251697498117	18.70632940088333	18.731226485501708	19.240601564355952	19.21141946179239	19.1668547531899	19.104053143349265	19.16448340319737
P00934	25.611801838735012	25.50730065639842	25.836634854617444	25.726800607090702	25.828077168791374	25.862486947975842	25.844763926584807	25.868478266988408	25.645446446123188	25.780631612966324	25.24005911226674	25.26500485778009	25.222552196830183	25.162830570341793	25.215860132310375
P00935	22.54545001173944	22.769688986585795	22.55254078779163	22.62674759217655	22.527991539337926	22.45461503915248	22.429537274150338	22.41893138286705	22.71233441723573	22.820900341080105	22.541879890988067	22.735603813266238	22.704135223826466	22.61598295215879	22.63143170945727
P00936	20.00459295352749	20.370791585360426	19.879393382464624	20.555537933288807	20.09352778909308	20.36830569993643	19.915800025878852	19.587288092939723	20.291698343105633	20.14403542084915	21.71507332002057	21.54353010879821	21.59284879865748	21.782588020562084	21.67806136021694
P00946	23.39142849782729	23.391186596007394	23.22036748622982	23.340979630236937	23.348600521418224	23.22134852589024	23.262542658072462	23.277801812483133	23.422400956324093	23.367290128396615	22.849758352361352	22.880557646254815	22.952402636354478	22.917668928646325	22.919583233652876
P00954	22.95942879484187	23.04769954021574	22.99581522712565	23.03591232142021	23.018678876214533	22.947205447214145	23.050528686100854	22.999542450379945	23.058262743388376	23.015044373661333	23.22356217980432	23.18321175255422	23.199198171503284	23.138939834171634	23.224604411212407
P00956	24.456939541807248	24.665381722065263	24.194073903010207	24.539419565479207	24.590612820263754	24.42425682833221	24.305130274887844	24.355441603479452	24.808173791205224	24.935639826658168	24.025624079573294	24.119073870632043	24.27257572084484	24.12650865382578	24.249533830919162
P00957	23.52957390006372	23.586271200347532	23.333890947739707	23.601807194053357	23.543994273986385	23.537351551916846	23.445232902112192	23.47897882072463	23.674048523541206	23.649695866222633	23.77864709441278	23.741918891219417	23.80151746034781	23.76714008690036	23.791852577778617
P00959	23.22862519678091	23.360523198820953	22.96010091111334	23.345445783136885	23.25041774457694	23.198795962862274	23.08260641292289	23.073032004312108	23.45955764821842	23.402193508191292	23.664176551952433	23.650834004492594	23.71875788773635	23.68847410643195	23.670353056156333
P00960	22.930519225891942	23.15764073347621	22.526302829989152	23.03969444259658	22.94508835796587	22.88218838713235	22.701438249508108	22.635566312100007	23.139759725800328	23.04241242333338	23.061020238657107	22.983918268186684	23.057617910810404	23.11300786633815	23.132990716553458
P00961	24.085354480210725	24.094455796313554	23.978756834357455	24.113888010436245	24.04551709719682	24.05558305562429	24.022414514219893	23.996867982424956	24.144112268513556	24.155056101775603	24.069866094047054	24.065375954751058	24.11768787597984	24.078295039551463	24.09757042892576
P00962	22.865401478955597	23.067258600175222	22.76359850726588	22.988771528176667	22.97585007510375	22.920621506434355	22.846695574557415	22.84595853655204	23.140569092689756	23.113405146817488	23.177952811720697	23.282608801092127	23.362245028162388	23.212015732876814	23.26986826878304
P00963	22.815947603328517	22.986118045633148	22.69226065936485	22.890683796346302	22.766604639745015	22.725726926544986	22.628642518824975	22.71345080809429	22.939304179420514	23.01950871784912	23.403188204580754	23.34398611994682	23.453844126114866	23.13063909516341	23.285793565532355
P00968	24.49241622283539	24.484769954429847	24.501799653663817	24.532493659504343	24.42606245973666	24.491764108190228	24.40568789872842	24.3776813409287	24.619178065149715	24.559317117127282	24.97357635241514	25.114561321945054	25.109765555832848	24.912480389683253	24.971976103595917
P02358	25.55500811244877	25.547596682167047	25.693246813422263	25.451084352108857	25.59973175514932	25.47229958371834	25.594430371909176	25.56153749652603	25.376443215213854	25.453293403345825	25.80870627024776	25.793052031452365	25.68437659168749	25.668536611973	25.65922678614549
P02359	25.967538153383067	26.181067442384943	26.174316209367483	26.076036106954405	26.024198710477414	25.98817750067979	26.0260189722637	26.08525932864564	26.143812787624128	26.06299834553964	26.506994508772088	26.481640938744988	26.520408237364315	26.388774208288623	26.500658277587576
P02413	25.246305185925166	25.46389377223293	25.137614260895887	25.461580770079554	25.13432188956473	25.137315264693843	25.026133360488117	25.065625351129256	25.507123879795643	25.44009487322437	25.947611984334312	25.89421488236676	25.949894769843194	25.91417186925979	25.995241644684242
P02916	16.308770550543493		18.12328935846626	18.38227584873673	17.570978296026155	18.792350798265893	18.03530702874494	17.717666782357234	17.15822377311415		18.24051402631488	18.208207025329298	17.285656399353265	18.177490567444227	18.40629050024238
P02918	20.42441761916296	20.49555996659297	20.47712760804687	20.511798047357466	20.495549211937853	20.555322280958524	20.52095478905998	20.40668838980564	20.468553430752564	20.544249725993573	20.25058010291146	20.472940843375444	20.536954995809722	20.42241191757471	20.384707341821308
P02919	21.329490132331816	21.36585223678875	21.185096047451548	21.372911162816955	21.266743724836413	21.297538142566598	21.228314940497622	21.25098735490547	21.46359013852629	21.555255783527397	20.92480024089163	21.038848671250808	21.125922646114624	21.01445661963217	21.09797767107041
P02924	20.561097836607118	20.411525260973033	20.66703382185543	20.557582118564248	20.387407045225135	20.317150096317707	20.351027572825632	20.601067582244138	20.322717658319878	20.69585257815929				18.888291170546257	
P02925	25.403154149901	25.173852381499653	25.594421727540322	25.327403169932726	25.359913251051022	25.566524657045147	25.498375662500795	25.420839142863873	25.123907653502794	25.19953288744092	22.938898583931092	23.007664992129175	22.842690443621567	23.02311338398148	22.740153239162414
P02929	20.39159936830042	19.717422602502175	20.41183088595202	20.534451602508216	20.513512531891088	20.644077011011213	20.501469155586083	20.544776257318553	19.835960603900393	19.41260866801111	20.782634731457406	20.92938250394836	20.6669216933857	20.62909500089853	20.769419271533987
P02930	23.997085696829043	23.97440219491072	24.01092768528728	23.94805126640353	23.983964985457476	23.999775297201108	24.001763051023996	23.99887120701138	23.913993611921992	23.940449607638463	23.954288904130365	23.896598164495813	23.80182785674115	23.853394714005137	23.753443451215283
P02931	27.469499940970874	27.488923469954244	27.52381055375313	27.50775796782972	27.591570730153016	27.419885633192017	27.510960206691294	27.473377075092525	27.613522185010403	27.715744717355232	26.114222954008014	26.171399390126272	26.180145402241884	26.134799454741206	26.15063021408696
P02942	18.899722477360847	18.397742552045763	19.1924706537324	19.627335869688654	20.02711434044616	19.35651359134766	19.579424893584246	19.429735406811297	18.05004177060013	18.533495557389344		19.134707117669375	19.651840015999028	19.092682549960372	19.554515587214187
P02942;P07017	20.001653968582673	19.375174703872723	20.30742240571721	20.274782526973897	20.685607185123544	19.98820558251492	20.355306132062136	20.346645400663828	18.939210854349447	19.317704447715784			17.30819925843899		
P02942;P07017;P07018;P50466	19.832175059520612	18.164088368347354	20.05431570274513	20.185109160690835	20.71770597749995	19.930923665133438	20.34617779641747	20.289648564876813	18.18128299475229	18.58040327631419					
P02943	22.0260731705621	21.624071538830208	22.34199147739868	22.09822511298916	21.83941230094723	22.445157666469278	22.368011253297706	22.236584848647723	21.772713991230596	21.627920571313958	21.582890100416552	21.470713317480996	21.65501165181019	21.816885112121604	21.801369179736927
P03004	21.09523434318402	21.136320232922454	20.88552259714696	21.151365670142017	20.948489663783963	20.96493669054061	20.935725329648058	20.961660092855904	21.194821099154616	21.09745564211866	21.038744492953	21.104529174778158	21.051596224075706	21.101192672670194	21.085671317733464
P03007	17.996541229596485	17.9294925580168	17.84351733234348	17.778419002306485	18.047821358977664	17.85211789377438	17.781103544594693	18.255585206427416	18.20570966583247	18.0657841424397	18.13877755943327	18.052578644569035	18.01899247437894	18.26771960699897	17.87282110190829
