"rowname"	"U_L1_D5_01"	"U_L1_D5_02"	"U_L1_D5_03"	"U_L1_D6_01"	"U_L1_D6_02"	"U_L1_D6_03"	"U_L1_F7_01"	"U_L1_F7_02"	"U_L1_F7_03"	"U_L1_M8_01"	"U_L1_M8_02"	"U_L1_M8_03"	"U_L2_D5_01"	"U_L2_D5_02"	"U_L2_D5_03"	"U_L2_D6_01"	"U_L2_D6_02"	"U_L2_D6_03"	"U_L2_F7_01"	"U_L2_F7_02"	"U_L2_F7_03"	"U_L2_M8_01"	"U_L2_M8_02"	"U_L2_M8_03"	"T_L4_D5_01"	"T_L4_D5_02"	"T_L4_D5_03"	"T_L4_D6_01"	"T_L4_D6_02"	"T_L4_D6_03"	"T_L4_F7_01"	"T_L4_F7_02"	"T_L4_F7_03"	"T_L4_M8_01"	"T_L4_M8_02"	"T_L4_M8_03"	"U_L5_D5_01"	"U_L5_D5_02"	"U_L5_D5_03"	"U_L5_D6_01"	"U_L5_D6_02"	"U_L5_D6_03"	"U_L5_F7_01"	"U_L5_F7_02"	"U_L5_F7_03"	"U_L5_M8_01"	"U_L5_M8_02"	"U_L5_M8_03"	"U_L3_D5_01"	"U_L3_D5_02"	"U_L3_D5_03"	"U_L3_D6_01"	"U_L3_D6_02"	"U_L3_D6_03"	"U_L3_F7_01"	"U_L3_F7_02"	"U_L3_F7_03"	"U_L3_M8_01"	"U_L3_M8_02"	"U_L3_M8_03"	"U_L3_D5_04"	"U_L3_D5_05"	"U_L3_D5_06"	"U_L3_D6_04"	"U_L3_D6_05"	"U_L3_D6_06"	"U_L3_F7_04"	"U_L3_F7_05"	"U_L3_F7_06"	"U_L3_M8_04"	"U_L3_M8_05"	"U_L3_M8_06"
"HMDB0000056|beta-Alanine"	0	0	0	0	0	0	0	0	0	0	0	0	13.145	13.382	13.349	13.209	13.253	13.349	13.295	13.299	13.842	14.029	13.9	14.046	6.624	6.693	6.398	6.682	6.688	6.578	7.2	7.02	7.212	8.595	8.708	8.533	0	0	0	0	0	0	0	0	0	0	0	0	22.59	22.567	22.555	22.749	22.836	22.67	23.226	23.134	23.18	24.408	24.391	24.335	22.825	22.648	22.475	22.746	22.896	22.849	23.246	23.21	23.209	24.337	24.357	24.309
"HMDB0000062|Carnitine"	17.786	17.683	17.783	17.656	17.647	17.915	18.013	18.053	18.36	17.757	17.83	17.936	20.727	20.737	20.626	20.643	20.631	20.744	20.826	20.738	21.007	20.973	20.725	20.975	2.891	2.963	2.913	2.832	2.814	2.811	3.265	3.231	3.197	3.986	3.859	3.833	20.691	20.256	20.43	20.176	20.037	20.081	20.947	20.681	20.803	20.574	20.495	20.656	25.037	25.022	24.933	24.806	24.845	24.812	25.262	25.289	25.372	25.191	25.222	25.223	25.044	24.933	24.942	24.805	24.822	24.84	25.335	25.243	25.265	25.144	25.192	25.203
"HMDB0000033|Carnosine"	9.477	8.888	8.982	8.617	8.656	8.962	8.609	8.495	8.863	8.985	8.519	9.125	12.186	12.537	12.519	12.14	12.115	12.25	12.312	12.426	12.637	12.522	12.474	12.587	1.163	0.556	1.157	1.395	0.546	1.084	0.986	1.339	0.714	0.138	1.208	1.104	13.486	13.064	13.446	12.053	12.981	13.234	13.969	13.428	13.225	13.131	12.704	12.7	16.733	16.726	16.801	16.748	16.428	16.443	17.402	17.5	17.297	17.113	17.603	17.601	16.691	16.855	16.739	16.279	16.143	16.251	17.421	17.235	17.39	17.836	17.374	17.356
"HMDB0003229|cis-9-Palmitoleic acid"	7.616	9.557	10.33	10.314	10.314	10.125	13.178	8.109	11.522	7.751	10.868	11.648	18.825	19.067	18.387	18.973	20.077	18.619	19.677	19.325	19.69	18.779	18.643	19.014	2.561	2.42	2.676	2.475	2.339	2.614	3.622	3.68	3.506	2.897	2.578	2.281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000094|Citrate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.846	7.967	7.983	7.875	7.864	7.823	8.572	8.624	8.665	8.906	8.786	8.797	23.074	23.178	23.588	23.444	23.153	23.307	23.268	23.104	23.174	23.846	23.531	23.688	22.556	22.529	22.454	22.397	22.494	22.38	23.071	23.144	23.126	23.311	23.288	23.315	22.571	22.549	22.567	22.436	22.563	22.505	23.279	23.138	23.195	23.406	23.313	23.343
"HMDB0000904|Citrulline"	10.627	10.714	10.906	10.495	10.089	8.069	10.819	12.27	11.088	11.196	7.849	11.466	15.199	15.06	15.015	15.243	14.987	15.836	15.505	15.837	15.609	15.628	15.737	15.287	2.254	2.409	2.266	3.411	3.114	3.276	3.205	3.202	3.557	3.376	4.017	3.807	17.597	17.652	17.885	17.294	17.636	17.422	17.373	17.518	17.562	17.609	17.45	17.425	19.126	19.073	19.691	20.472	20.783	20.686	20.278	20.528	20.433	20.825	20.725	20.665	18.902	19.747	20.521	20.669	20.652	20.741	20.415	20.604	20.329	21.005	20.747	20.655
"HMDB0000064|Creatine"	19.507	19.316	19.494	19.505	19.573	19.546	19.916	19.653	20.147	19.794	19.936	20.058	0	0	0	0	0	0	0	0	0	0	0	0	6.339	6.3	6.479	6.641	6.695	6.723	7.024	7	7.316	8.166	7.806	7.777	22.52	22.374	22.41	22.663	22.562	22.696	23.154	22.933	23.084	22.982	22.756	22.931	26.818	26.812	26.769	26.792	26.783	26.663	27.122	27.078	27.24	27.215	27.158	27.241	26.818	26.772	26.707	26.782	26.826	26.784	27.245	27.208	27.227	27.138	27.217	27.174
"HMDB0000122|D-Glucose"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.488	6.401	6.424	6.387	6.459	6.395	7.161	6.643	6.751	6.556	6.561	6.622	0	0	0	0	0	0	0	0	0	0	0	0	16.514	0	16.194	0	16.407	15.502	17.344	17.127	16.888	0	18.553	16.648	16.464	0	0	0	16.056	15.933	17.228	16.762	0	17.221	17.111	0
"HMDB0001548|D-Ribose 5-phosphate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.367	8.298	7.957	8.317	8.395	7.984	8.198	8.2	8.874	8.772	8.698	8.53	17.548	17.91	17.802	18.084	18.075	18.061	17.434	17.303	17.048	18.248	18.445	18.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000098|D-Xylose"	0	0	0	0	0	0	0	0	0	0	0	0	12.296	12.252	11.524	12.72	12.698	13.727	10.798	12.801	13.039	12.539	13.132	13.081	2.585	2.669	2.614	2.722	2.651	2.77	2.969	3.055	3.119	2.882	2.664	2.901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
