rowname	DIA_BGI_D5_1	DIA_BGI_D6_1	DIA_BGI_F7_1	DIA_BGI_M8_1	DIA_BGI_D5_2	DIA_BGI_D6_2	DIA_BGI_F7_2	DIA_BGI_M8_2	DIA_BGI_D5_3	DIA_BGI_D6_3	DIA_BGI_F7_3	DIA_BGI_M8_3
Adenylosuccinate lyase	19.641009144179602	19.4995192340305	19.514098179753702	19.630244534005	19.680672492915	19.6089132067005	19.709175980247203	19.624461081359403	19.5902921041313	19.5036626249526	19.6091325731836	19.6594312782047
GTP cyclohydrolase 1 feedback regulatory protein	17.41684288606848	17.402393801539578	17.12820517834938	17.99662460196888	17.58873295882448	17.127336287506477	17.26219278348918	17.90163508791168	17.606970277961878		17.52853108885768	18.17401224783808
39S ribosomal protein L54, mitochondrial	17.649156738476552	17.63318781172155	18.21671288246955	18.35765901787905	17.86782734196295	17.957616534833154	17.810781839371952	17.668764452225354	18.115525908042752	18.261572158968452	18.202414280908652	18.125297159378153
Nesprin-1	21.058319428962946	21.146464910525044	14.897060671426445	21.197645343757646	21.209919151223843	21.204544325003344	21.120263507670845	21.002844460852245	21.147346124002844	20.248289117444344	21.090274194060743	21.234153952432145
Peptidase M20 domain-containing protein 2	19.094789320468102	18.370838617976204	18.558317536798803	18.430756258803203	19.024616363164803	18.0820502424162	18.100243189348802	18.475005628524205	19.333024622412104	18.1969361366977	18.5010391087781	18.378667441116104
Magnesium transporter protein 1	19.538036355969993	18.639806691039194	19.655104298851594		18.511399703789394	16.847178817784293	19.114321775834895	18.444958756120894	19.289434103605096	18.992949317315496	19.975579945268194	
26S protease regulatory subunit 6B	20.108435232262508	20.274779442701906	20.373064213014608	20.308470524370307	20.216086121476906	20.379873155036005	20.416060829779806	20.310107326457405	20.200143711859706	20.321111171950406	20.27308051068991	20.239488543647507
14-3-3 protein epsilon	22.0713295121447	22.0160079768137	22.0297756608889	22.122016721464302	22.1165439688809	22.058105659390502	21.9843734803869	22.1175902675626	22.1680481688295	22.050335414124802	22.0208791612461	22.1425240099266
La-related protein 1	19.63475111586081	18.932372730888808	19.164083062546407	19.176869931959708	19.109688407614108	18.917509446623107	19.548528911027407	19.451308738581307	19.01375808223201	18.907547686390206	18.900955859491308	19.519523468478507
Protein PRRC1	18.532905961931505	18.792799855450603	18.761644627747003	18.049646196362705	18.502340819346703	18.786888194972104	18.885642025242806	18.497416183150904	18.686382567437406	18.822675687437304	18.917556033127404	18.663892548240906
RNA-binding protein 26	18.891924837002133	18.770944107309134	18.892092573492935	18.850221465472135	18.750626563235933	18.915479431781733	18.803556306098034	18.737930198644634	18.690032586593233	18.792516780785135	18.725632770653633	19.064642969219534
Alpha-endosulfine	19.58142615919451	19.81033577561311	19.68815036644281	19.702676721323012	19.69943945965181	19.77944146710961	19.46673815488941	20.07812376784691	20.23474700247971	19.06203334201021	20.13573284872071	20.10542440073451
WAS/WASL-interacting protein family member 1	18.951837382640164	19.028245494263263	18.967926166506064	19.401174062247964	19.061216669452563	19.100235524981365	19.026536526190664	19.428928845666263	18.946828241754066	19.086259207340163	19.006428885068463	19.466607460146964
T-complex protein 1 subunit epsilon	21.165037844676416	21.120187337820415	21.144638501265515	21.094153252877614	21.100301611237814	21.208215712476214	21.157118137258614	21.086151958199615	21.120140132727414	21.185621884893216	21.147325834837815	21.148254628097515
Uncharacterized protein C2orf47, mitochondrial	18.721828008971343	18.896081111003145	18.717331180688145	18.748466692081042	18.703672240797445	18.522106714168643	18.652096481879642	18.614622017304445	18.858060176753245	18.608565294379645	18.873711615942042	18.721468127918342
Ribonuclease inhibitor	20.673121011894082	20.58676506958428	20.368748888322585	20.553289002047386	20.742357914771482	20.523262187261082	20.535244441140286	20.540009347574582	20.685778675943986	20.523813837304083	20.51644973773618	20.52030903065438
Protein ELYS	18.76566858539888	18.51955986174348	18.47098659557458	18.140507834854382	18.65969064421998	18.31486173428338	18.46947214803918	18.260282744429382	18.67192125905478	18.42264693784138	18.442538253434183	18.244616921045882
Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	19.151620161496815	19.085963047744915	18.909672045048215	18.981983525777714	19.041447165475315	18.827704654473216	18.864459301920313	19.179393254047213	19.341532866141115	18.607224848275013	19.030569338875914	18.904716257998412
WD repeat-containing protein 3	18.781602847938213	18.393115836449514	18.386585186341712	18.347664068583214	18.652221525765913	18.363388954460415	18.422436359044912	18.498300884276112	18.625381859822312	18.418768464934214	18.523625879270913	18.386735416627413
ATP-dependent RNA helicase DDX39A	19.986883448884434	19.942417199393933	19.760189979231434	20.061255326705634	20.054827484720633	19.990653069905935	19.764314879972336	20.089515368831833	19.965893842593434	19.966678834007734	19.837061361600636	20.083894510763535
Programmed cell death 1 ligand 1	17.269505615382663	17.42967874826436	17.72778138108406	17.285256134355063	17.203172021481162	17.37519054589626	17.76254405690756	17.43906873091036	17.161962338086262	17.48202978180766	17.77505754348686	17.43631078895406
DNA-directed RNA polymerases I, II, and III subunit RPABC1	18.720967980568748	18.30127748166985	18.89491354208095	18.83821538361575	19.182727954078548	18.92830262976415	18.984643959193548	18.85669503855815	18.94491423663625	19.01970831693635	18.826846988375248	18.74803235797975
CD44 antigen	20.50617860790584	20.517883747578242	20.226328300017943	20.955281024572244	20.562351289357544	20.575484041023245	20.248677038521244	20.847813645613943	20.539770023197544	20.652792113861043	20.114782387741943	21.090264404861344
GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	16.708516274438466	16.817492483213066	17.11354482973977		19.16711895860597	17.615624786082968	17.638503064000368	16.83195391140977	17.08762743030907	17.60018651371367	17.17967877946807	15.973797357074169
U3 small nucleolar RNA-associated protein 14 homolog A	17.890639880880606	17.8830576531603	18.043579960031103	17.898559189773103	18.203336654514004	17.7287561910926	17.909836091572004	17.9753614993176	18.239690068414305	17.715498319690802	18.023354604350004	17.9590018215153
Zinc finger CCCH domain-containing protein 14	18.563771898931964	19.076577034010764	18.757537893879963	18.516555744414763	18.234378723774565	18.463940975923563	18.829426562310964	18.369537508476665	19.203343677194663	19.041566131155864	18.937585955455365	18.731107602945965
Protein MON2 homolog	18.11167705935993	18.13887998234453	18.19005579272253	18.23005205445883	17.88226313679143	18.30025324193953	17.73912227035083	18.32626069017773	17.86550049192623	18.15813705150753	17.61119525941183	18.48797619094063
Metastasis-associated protein MTA1	18.27248028747987	18.30667088237077	18.25086089738617	18.55844481338087	18.61922812253387	18.48049143801637	18.13739699097237	18.25713846388567	18.56041485849407	18.08058951688827	17.80632538282627	18.25076731067597
Rho GTPase-activating protein 4	19.11636087477439	18.778896737490488	18.830747695770288	18.520289824798887	19.00228449960449	18.79193817387909	18.92053314866849	18.77217893884139	19.09131668306429	18.358361330050087	18.79667242461519	18.44425336065309
Protein KTI12 homolog	18.042012167993228	18.326778675837925	18.174809198195526	17.790879656911827	17.894596126378126	18.347654841930126	17.98711577251043	18.514422816654125	18.066154771568826	18.189106061217725	18.114140848333427	17.187947226063827
Serpin H1	18.170541697965138	19.340336386482036	19.30017527180364	19.001873020014937	18.304800282382338	19.20969114291064	19.349937310696937	18.985803594369038	18.157674299268038	19.214539129601736	19.234431998703336	18.905168506760337
Glycogen synthase kinase-3 beta	18.52053360621953	18.60001536561643	18.327649905635027	18.38528014809013	18.47503666101893	18.09146514565513	17.48760376165053	18.464930552756528	17.967235397265828	18.34177124794903	18.23065103700413	18.629762538915028
E3 ubiquitin-protein ligase TRIM21	19.184810528160895	18.912741676833896	18.921521163295395	19.392852379546294	19.286530356975096	19.284022824249394	18.631540073826496	19.453516708364994	19.200789007655796	19.403353935510797	18.792612548653494	19.366873435560194
Vacuolar protein-sorting-associated protein 25	18.75096844868702	19.15005739161562	19.010146426166017	19.055996872113916	19.022064375472517	18.579236445852118	17.62167970238462	18.574204288960516	18.80146757463312	18.71685881923622	18.170554295255418	19.038878242234418
60S ribosomal protein L13	21.646466604807514	21.728423507764415	21.721164706907015	21.736187319574515	21.692475135566415	21.726701458119315	21.818248332717214	21.712032271937513	21.625239373660214	21.609920829734314	21.674695036695116	21.716437414903815
Coiled-coil domain-containing protein 12	17.488727024274304	17.912164243928302		17.931536542356202	18.028259643273405	17.6749638565322	16.974952368684104	17.963990603652505	18.141961858671102	18.198048798790104	17.911689342163804	18.108201158968203
Vacuolar protein sorting-associated protein 33B	19.080899365023964	19.546131923855963	19.486001103588663	18.873630890645163	19.558381838147962	19.590418846512264	19.056812024486362	19.376185418143365	19.464174374562663	19.067293802653165	19.784655224356463	19.046407406761663
E3 ubiquitin-protein ligase ARIH1	18.199850851798047	18.134141197372248	18.137357567199448	18.094434758641448	18.244503618586748	18.115673405632347	18.151951806636948	18.05221478426465	18.247236775385247	18.021025155581647	18.127290907225646	18.09666764205985
Elongator complex protein 3	18.417809798457867	18.555634758520668	18.365504498075268	17.71315466343317	17.88777275104587	18.283108176107767	18.292782672885867	18.538666205584867	18.353696810341567	17.87873074004827	18.34344277509677	18.04564256962317
Tyrosine-protein phosphatase non-receptor type 11	18.73071773439921	18.976555996555412	18.45424168818851	18.79110548883371	18.74742644843971	18.57956964247301	18.40070850041961	18.56493443372701	18.92820682481581	18.638733058059213	18.59248353454921	18.68143510978341
Sphingomyelin phosphodiesterase 4	18.344138671851685	18.402057127933986	17.758531843017483	17.802545161892184	18.648182108113385	17.750662828779184	17.859426803957184	17.126927515077185	18.123460886678085	17.703564698816983	18.402760500275786	17.783984683844785
Zinc finger protein Helios	18.496674077185336	18.276912283430036	18.340220905460637	18.613610204988735	18.511695812172334	18.270415538224434	17.641089521141435	17.609195561642235	18.260910556836834	18.204346918151135	18.145381128376936	18.462818621770136
G protein-coupled receptor kinase 6	18.04788097600403	18.14176346854153	18.28961512560883	18.74383204369383	17.83654007810143	17.896851919988528	18.14564156507393	18.140079140512128	17.95945402868873	18.296074392639728	18.29398994648043	18.86733511518163
Docking protein 1	18.247680588842993	18.888939761383593	19.093854030179394	17.395552385436492	18.824439317574093	17.422420883048694	17.704133317002395	18.090058024914292	18.707710878446594	18.015055516652794	17.726848087586994	17.758552261932294
Ragulator complex protein LAMTOR5	19.083571457117156	18.886655740008855	18.920970913766357	19.015521368134156	19.104791592272257	18.980455405856656	19.202588081927257	19.086440014030355	18.969587849258456	18.913494678606256	19.033483349198857	19.115681467600155
Deoxycytidine kinase	18.43000431585711	18.62793342722681	18.19992314051631	18.141611334081812	18.389686615223912	18.54502383019201	18.287110611401413	17.78210573173921	18.28961998088961	18.71845094322111	18.394640969059314	18.312236750378613
E3 ubiquitin-protein ligase BRE1B	18.715163999980867	18.713270427536365	18.867993901360766	18.716974596781164	19.095182777715465	18.960485965992365	18.800588074020965	18.835586715041465	19.018843396629563	18.644766857578066	18.675864450123264	18.936172187573565
ATP-dependent DNA helicase Q1	19.70998252942934	19.58626933179814	19.73387884351504	19.68395107186384	19.70815174136044	19.69753918410984	19.70377888725304	19.69209409518564	19.65146043073504	19.70461973547074	19.72033541245694	19.70058395609774
Cytosolic Fe-S cluster assembly factor NUBP1	18.668544050035983	19.282358017850385	18.923978900934085	19.157045726435182	18.937779432731485	19.059478326023385	18.899721310247983	19.128633696032583	18.973341207073684	19.060363726434286	18.860978028439483	19.149955085330784
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	19.479818577121733	18.579754345944632	18.994647238407232	18.375362801956435	19.322303083061733	18.682268005456933	19.088191736354332	18.448918168032332	19.532666925692332	18.887086115900633	18.95062839056053	18.443444003782133
ATP-dependent RNA helicase DDX55	18.940807453037625	17.851068845741622	17.902482155810425	17.314701450814123	18.234924840355323	17.897526156655925	18.209316291838224	15.791832848363624	18.194100095704623	17.782961528401625	18.188337472555723	17.379761555230825
182 kDa tankyrase-1-binding protein	19.218919336360457	19.364497169209756	19.973482575644955	19.810927888093754	19.248873302934957	19.060065272574256	20.177017930455055	20.172615337695156	21.009318764619557	19.679029224350156	19.712792122330555	19.726461995207554
Golgi resident protein GCP60	18.30407719055123	18.67644834456213	18.63886950857593	18.49636915979023	18.40438283508503	18.76062513785853	18.693141414044728	18.66884423622943	18.31573201235993	18.622458443138928	18.48780214963293	18.60825384998023
60S ribosomal protein L21	20.45224972524711	20.46422180145291	20.514341577665913	20.43373301510321	20.389319913689413	20.623155094061612	20.624454742668814	20.43603179836091	20.476701824908712	20.583759321896412	20.650782432935813	20.259758431065112
ATPase family AAA domain-containing protein 2	18.707753395423822	19.741383066667822	19.12867395285552	19.812020519460823	19.462370587548723	18.80683027243052	19.12323285094192	18.70526056166782	18.972066101590023	18.97060832289722	19.45039244850412	19.788399765096724
Inorganic pyrophosphatase 2, mitochondrial	20.111807347462832	19.954028382229033	20.095157843826833	20.077902909805534	20.109412110029734	19.96966746044693	19.986377458858232	20.01170261312023	20.034277995624134	19.93575068448663	20.169446759119733	20.05832506316803
Peptidyl-prolyl cis-trans isomerase-like 2	16.502334862470455	16.353310765147754	16.115775483927557	16.204026556730856	16.389961295226154	16.318556675021256	17.971504760170756	15.749123635540254	16.782729277655555	15.506103217355655	17.366739357673655	18.697725884100354
Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	18.992057661386582	19.105910096909483	19.49253832884358	19.302535406634178	18.925698913902977	19.15844380352118	19.491630913696383	19.17405502265928	19.10501212029338	19.20719940819108	19.534749161675883	19.181306072078378
Abl interactor 1	18.51647924222281	18.88276738873841	18.79500748899721	18.88769082889661	18.56891950098631	18.90875916791231	18.89243394822561	18.85259271081231	18.62080631870111	18.96032021450211	18.78374453106531	18.85864720941731
FH1/FH2 domain-containing protein 1	18.569367116675657	18.857882997334357	18.709954080828258	18.851330659147557	18.358768824912055	18.879380042183655	18.921981649772658	18.669105570279257	18.356283823052657	18.655311804187356	18.087712325013257	18.910214709842958
Protein numb homolog	18.262577405729264	19.385990131591665	17.535967963460465		18.655745499455065	19.375342973909564	19.324122984219464	18.215693506869865	18.516795048425564	18.465088063614864	18.555339809111366	17.404319993610663
Eukaryotic peptide chain release factor GTP-binding subunit ERF3B	20.056037538287875	20.189099109535373	20.105297951336773	20.355852842554572	20.152907208701073	20.299566506538472	20.099388306657175	20.271525531418575	20.197047061449574	20.076000261222273	19.911112782750674	20.137376276740174
