run	Method	Accuracy	Precision	Recall	F1_Score	MCC	ARI
12	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
13	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
13	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
13	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
13	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
14	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
14	mild_imbalanced_BC_Fed_2cls	0.61	0.9821428571428571	0.1909722222222222	0.31976744186046513	0.32247760706654066	0.04685342093081844
14	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
14	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
15	mild_imbalanced_BC_Cntrl_2cls	0.55	0.6	0.1875	0.2857142857142857	0.10090091909944687	0.00837963603965883
15	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
15	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
15	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
2	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
2	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
2	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
2	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
3	mild_imbalanced_BC_Cntrl_2cls	0.55	0.6	0.1875	0.2857142857142857	0.10090091909944687	0.00837963603965883
3	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
3	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
3	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
4	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
4	mild_imbalanced_BC_Fed_2cls	0.9333333333333333	0.8780487804878049	1	0.9350649350649352	0.874916238285134	0.7506957212560075
4	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
4	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
5	mild_imbalanced_BC_Cntrl_2cls	0.55	0.5195652173913043	0.8298611111111112	0.6390374331550802	0.14355098069317052	0.0083660020161584
5	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
5	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
5	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
6	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
6	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
6	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
6	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
7	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
7	mild_imbalanced_BC_Fed_2cls	0.5333333333333333	0.5070921985815603	0.9930555555555556	0.6713615023474178	0.21463980314719772	0.002833956359966281
7	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
7	mild_imbalanced_AC_Fed_2cls	0.9866666666666667	0.9861111111111112	0.9861111111111112	0.9861111111111112	0.9732905982905983	0.9472899274221567
8	mild_imbalanced_BC_Cntrl_2cls	0.55	0.5195652173913043	0.8298611111111112	0.6390374331550802	0.14355098069317052	0.0083660020161584
8	mild_imbalanced_BC_Fed_2cls	0.8566666666666667	0.7700534759358288	1	0.8700906344410876	0.7468568444022188	0.5080264326659957
8	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
8	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
