rowname,Clinspect_E_coli_A_QC1_Slot1-6_1_8640,Clinspect_E_coli_A_QC2_Slot1-15_1_8649,Clinspect_E_coli_A_S5_Slot1-7_1_8641,Clinspect_E_coli_A_S7_Slot1-24_1_8673,Clinspect_E_coli_A_S14_Slot1-11_1_8645,Clinspect_E_coli_A_S20_Slot1-20_1_8669,Clinspect_E_coli_A_S23_Slot1-8_1_8642,Clinspect_E_coli_A_S29_Slot1-19_1_8667,Clinspect_E_coli_A_S34_Slot1-18_1_8666,Clinspect_E_coli_A_S39_Slot1-26_1_8675,Clinspect_E_coli_A_S42_Slot1-21_1_8670,Clinspect_E_coli_A_S47_Slot1-14_1_8648,Clinspect_E_coli_B_QC3_Slot1-23_1_8672,Clinspect_E_coli_B_QC4_Slot1-10_1_8644,Clinspect_E_coli_B_S53_Slot1-22_1_8671,Clinspect_E_coli_B_S58_Slot1-5_1_8639,Clinspect_E_coli_B_S62_Slot1-16_1_8664,Clinspect_E_coli_B_S66_Slot1-13_1_8647,Clinspect_E_coli_B_S78_Slot1-17_1_8665,Clinspect_E_coli_B_S85_Slot1-12_1_8646,Clinspect_E_coli_B_S86_Slot1-4_1_8638,Clinspect_E_coli_B_S91_Slot1-25_1_8674,Clinspect_E_coli_B_S98_Slot1-9_1_8643
P00811,19.718646185347534,19.810491452148113,19.45503402548286,19.707203812776342,19.95978953085314,19.844136712889753,20.443974152255393,19.585376493109116,19.527569118799473,19.861680167995118,19.7873003472384,19.54111534310245,19.812966781406157,19.749885383688817,19.48971507582083,19.790188846440984,19.51553461207908,19.953429912008353,19.139431309322557,19.956273452567565,19.439685839098214,19.920537938016178,20.016610161080497
P00861,20.28056064811574,20.428180884052804,20.33721155862535,20.25468871470152,20.183366802415748,20.11844911298565,20.185366606428595,20.06446182149549,20.039450685909145,20.452043252758166,19.946904317347503,19.985724891520867,21.046857538642595,21.10487208062169,21.019229000363218,21.000458670692,21.017023649820846,20.656461533898835,20.61371666695884,21.213023270701786,20.9625373804794,20.916322996346032,20.75347845785199
P00864,24.423823606449538,24.281842259246996,24.351044878155736,24.378023309216378,24.394529247799532,24.39203393903324,24.335712951704625,24.47225658742308,24.41098315219581,24.6389361818887,24.51965951196422,24.47638094734527,25.74125582261237,25.600458078712673,25.782768508129223,25.74167772946045,25.628964936230414,25.38561786398018,25.46709725848386,25.942671520839475,25.777246612278926,25.72109646739796,25.70732145495745
P00887,21.76825979715577,21.9016747236494,21.9854516520367,21.91029717045232,21.73277169911615,21.916874738840267,21.86558616015286,21.815409309279264,21.885991071919122,21.730725859394514,21.527002353334314,22.15329890962755,21.545603281137616,22.000591267913972,21.91295811951939,21.962630848841666,22.042254673300132,21.860613529223123,21.2555278110226,22.190223588227568,21.93138362739281,21.633522940152154,22.01347613716538
P00888,23.225987713149188,23.54592539311905,23.40057523369964,23.40245559170336,23.355115939004246,23.459193329340362,23.343713971916312,23.46129001457136,23.75354012548524,23.045998579575738,23.43644519875286,23.04252246150763,22.550899657670676,22.625232901175174,22.843866371647376,22.715633059117277,22.78593097214911,22.5250716079783,22.074953976364338,22.583495326740863,22.54549432573169,22.300857728169536,22.79056547060673
P00893,21.831387340005335,22.117601018826473,21.883277349700716,22.34487569381228,21.927631148285997,21.95973182050729,22.35503053304125,22.04004883066346,22.179003885107967,22.31711309670342,21.970236176242906,21.965377509493802,22.618515450283898,22.676464163638734,22.5917621962848,22.659246461520386,22.576005018382716,22.64862740109048,22.70073478235188,22.63014683004614,22.604584745783406,22.894942979801574,22.61541731240923
P00894,22.1823638305733,22.10253880750218,22.044176873633873,21.889022505252804,22.11290299316384,22.011324426260472,21.794063126947417,22.089617259621196,22.36644526257792,21.848605108738425,22.069184988929003,21.791010527244897,22.389199823861116,23.027326591502923,22.40407699972394,22.5440967003261,22.963489689444703,22.085030912651334,21.405361188847344,22.679277436253344,22.402696610330604,22.704770185648407,22.447079316007617
P00895,22.155322399481022,22.60460146042169,22.308854250829935,22.566746448055493,22.386674229775956,22.370323601564813,22.41414825662832,22.47113430395779,22.614364590578784,22.443264596710144,22.500442430598074,22.293520255364378,22.781051343827805,22.670631781336212,22.50239323926412,22.75573412597383,22.691457349587907,22.590220912248434,22.520714519911643,22.82155789583597,22.58146734831007,22.638600697858294,22.52294877184393
P00903,17.95341287629207,18.699352968515438,17.355236584295398,18.327545521298163,17.60232167252099,18.477198234005474,17.850075013362762,18.20089970982592,18.289853052281735,18.369468543790376,17.953202584303632,18.28902012352232,18.108662403011436,17.914990231132624,18.22436564638116,17.807627272412425,17.980996019765495,18.062081510135428,18.733244168316823,18.042940671092982,18.27263901591803,18.419608839789703,18.221345413286443
P00904,22.41974161604794,22.661258442841493,22.767166157692838,22.467816300328366,22.497426512231623,22.45855588038342,22.476748355860355,22.748370996301727,22.922457217288738,22.279601389866734,22.4590984567354,22.561310850470356,22.457655822035594,22.745610566034895,22.750423503395364,22.970833075399664,22.83012187436761,22.517048550294312,22.37886201380916,22.869072653940712,22.803581522373122,22.751392430078827,22.544223839294457
