rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P02925	24.701618503290174	24.793661115792172	24.845017297299673	25.07122843308167	22.56344844707847	22.624103187853073	22.408932838296174	22.649536755539973	22.554017761443472	22.48359635006427	22.584018427455774	22.469406110183773	24.919316208366574	22.59615043412987	22.610683616674773
P02929	19.6418312332922	20.5134551987758	20.498484733631507	20.561996888599403	20.919210178810005	20.909967388969804	20.802661611742103	20.771477127733007	20.791303067346902	20.737965197022703	20.868444421145703	20.740027723736603	20.453977946007605	20.630151823069703	20.757011081788306
P02930	23.85191809390802	23.873553017890817	23.906956323370117	23.929527211735316	23.76940338807862	23.839141833773617	23.661755491664916	23.857066359648716	23.743410436172717	23.796184568859417	23.818466483024118	23.723971442073918	23.91296644517982	23.784394453377118	23.828340045815917
P02931	27.63845598451549	27.491466224022286	27.32248170418479	27.212869055207886	26.18908214074999	26.19719800207879	26.19350964615649	26.204056523836687	26.112825591364288	26.197637269025286	25.994258261912087	26.122908059759688	27.279092600136586	26.261983518086186	26.232454320808287
P02942	19.150034495254207	20.530255547892807	20.574380314914507	20.15790497944601	18.703131659195208	19.37612610426761	18.18097077815821	18.581499039856507	18.48831046845841	19.417898160303707	19.569575174813707	19.63330557977881	20.03974078477591	18.818234729420407	19.640248543626008
P02942;P07017	18.92383368345997	20.493907387950973	20.51042042257297	20.115587028910472	18.03291195403867	17.994866260586672	18.10244892696017	18.202558542836773	17.92778051369667				19.949867791408572		18.010126000813973
P02942;P07017;P07018;P50466	19.660195346327953	21.64052653401955	21.76472060325505	21.196403959203252	16.715975783360353	16.93965582174325	18.27616631026575	17.267883107620353	16.58023563696555	16.45557236034235	16.59631633637275	15.966006509626652	21.07331778541015	15.872991143930552	17.04364686255445
P02943	21.70141768143953	22.350137096801028	22.035707056038028	22.103003845394433	21.559703459253427	21.351573762178333	21.47281849696133	21.743459466630533	21.809835566047028	21.82713175510743	21.946085387970832	21.84694638294763	21.935589566012332	21.873724905533933	21.884853387131628
P03004	21.287067117466478	21.299860424716076	21.253401810653777	21.17413191350438	21.250260570709177	21.214170584751876	21.22520350563848	21.20887646010968	21.235948078271377	21.21930304501768	21.241984779502477	21.260669959273077	21.275748564316178	21.271512303271678	21.18799280400948
P03018	21.065555760581564	20.86815787835066	20.906456954419763	20.860142635922163	20.795972840903964	20.812768332428263	20.819695376613662	20.885912048206563	20.811463168144464	20.73203510036966	20.78312060979736	20.857040023217163	20.973812375162762	20.842841093311062	20.797220445020763
P03023	19.457689823769652	19.479843974483252	19.415279087088955	19.447139560367354	19.36323484299235	19.392622116246553	19.341449482371754	19.309768253344753	19.417526470558254	19.324734595614753	19.344542691853054	19.287489040964154	19.455570469393052	19.279523830719352	19.304160078495155
P03024	19.610925033404918	19.528778184689017	19.467799936535314	19.343355138153917	19.428253580104418	19.545954197621214	19.481993584338014	19.540626837610517	19.414819617474713	19.465932189445915	19.420422715770016	19.467145106498315	19.449499534710313	19.487953635297117	19.427773897664515
