rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3
P00562	21.829879302853303	21.907081927397304	21.836956151224204	21.586166646067902	22.435034797336705	21.671883704199104	21.460502932872203	22.182696002446605	21.592439764127604	21.727450806343604	21.722715451385103	22.095742931742905	22.421120041923402	22.215185426777005
P00579	22.732469835067544	22.792112082177443	22.788313445232244	22.851588178952746	22.754659500672844	22.669272009637943	22.678006454275746	22.737674185744144	22.667682362971444	22.679780062754944	22.755472182211246	22.743636071272146	22.772356110820546	22.957973700028646
P00579;P13445	18.892953413374624	19.244468223182825	19.898286702123823	19.173508851117024	19.80880778695032	19.720607073653824	19.103748851455123	20.038054514686824	19.303039741031522	19.387193790803323	19.305559677643522	19.874050011652123	20.02537597551372	19.878772526578622
P00582	22.049336003887166	22.179918634859966	22.277247111633766	22.185800080806263	22.252187131413965	22.137707953963766	22.148227914184965	22.375910682726666	22.180370264971764	22.235138345402266	22.327111462582867	21.953319922122166	22.229664647065967	22.158830526909565
P00634	20.373471534164082	20.16111034423218	20.18136420750218	20.39794017602848	20.14374089342798	20.331153123494783	20.42080031753808	20.10334200485558	20.48731855916968	20.17515134171428	20.293431736267383	19.891770148438983	19.430375784694583	19.48551948724248
P00803	21.565747116496098	21.666632220326797	21.8145195775926	21.664323377589998	21.842954898449197	21.606203277384598	21.589850333330396	21.695855250211597	21.7016732717569	21.678301449847297	21.693613706359898	21.772827834285398	21.781326259609497	21.794572221297397
P00805	24.10011085430313	23.87158041071843	23.57452807529833	23.25170007853083	24.17156981994923	23.67911452030383	22.74828342460113	23.498258453550932	23.42594220045203	23.49162668464283	23.37456972626543	21.95788037003603	21.29016842205303	21.55035372887173
P00811	20.17548778765422	20.21429597291872	20.391966496824818	19.95477585530742	20.30683423458362	20.19397452884502	20.07456567327082	20.35989470901392	20.17356066475452	20.22588688231712	20.11573855607172	20.39170538772262	20.21735313739172	20.36048108082932
P00861	20.513544725640692	20.61200499876799	20.58767715255069	20.64595561952229	20.53463742710149	20.504348963309592	20.681379338087392	20.41328968281989	20.507621345535892	20.64973200180589	20.66968479459189	20.652880045374292	21.23721998110389	21.170388637291193
P00864	24.171442336922787	24.24292429447369	24.301510028204188	24.11215749631489	24.434244704004886	24.239686621718388	24.15801180035759	24.630711585942986	24.23319093671799	24.28669485368209	24.32341231487989	25.277817884122086	25.56735300881109	25.628909825622088
P00887	22.58517910668991	22.54274002853621	22.81821336721701	22.34340088446951	23.05621305386671	22.62603718732821	22.32330190165321	22.99296773254591	22.53632512289531	22.73653688983721	22.77312133402331	22.71665986054541	22.69411986693671	22.90200576932931
P00888	23.03881668607458	23.06660046091658	23.467334540690977	23.44424225439368	23.36107225407108	23.34156459907878	23.26189322963008	23.118443568358277	23.330398717786178	23.428678467575278	23.525628940003678	22.604028748088677	22.64556442155518	22.57769209138008
P00888;P0AB91	20.519197740332594	20.65254431296299	20.950392338715194	20.44833325652879	20.868050809604192	20.732600376552092	20.45018034820569	20.630318646501294	20.629535862205092	20.766380499661192	20.787802811352893	21.11681581231809	21.174193355507093	21.218613346402794
