"pseudo_sample"	"client"	"condition"	"rep"	"Transcriptomics_file"	"Transcriptomics_batch"	"Transcriptomics_lab"	"Transcriptomics_platform"	"Transcriptomics_protocol"	"Transcriptomics_date"	"Proteomics_file"	"Proteomics_batch"	"Proteomics_lab"	"Proteomics_platform"	"Proteomics_protocol"	"Proteomics_date"	"Metabolomics_file"	"Metabolomics_batch"	"Metabolomics_lab"	"Metabolomics_platform"	"Metabolomics_protocol"	"Metabolomics_date"
"client_01_L01_M8_2_1"	"client_01_L01"	"M8"	2	"P_ILM_L1_B1_M8_2"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_M8_2"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_M8_02"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_M8_3_1"	"client_01_L01"	"M8"	3	"P_ILM_L1_B1_M8_3"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_M8_3"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_M8_03"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_02_L02_D5_1_1"	"client_02_L02"	"D5"	1	"P_ILM_L2_B1_D5_1"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_D5_1"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_D5_01"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_D5_2_1"	"client_02_L02"	"D5"	2	"P_ILM_L2_B1_D5_2"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_D5_2"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_D5_02"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_D5_3_1"	"client_02_L02"	"D5"	3	"P_ILM_L2_B1_D5_3"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_D5_3"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_D5_03"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_D6_1_1"	"client_02_L02"	"D6"	1	"P_ILM_L2_B1_D6_1"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_D6_1"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_D6_01"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_D6_2_1"	"client_02_L02"	"D6"	2	"P_ILM_L2_B1_D6_2"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_D6_2"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_D6_02"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_D6_3_1"	"client_02_L02"	"D6"	3	"P_ILM_L2_B1_D6_3"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_D6_3"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_D6_03"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_F7_1_1"	"client_02_L02"	"F7"	1	"P_ILM_L2_B1_F7_1"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_F7_1"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_F7_01"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_F7_2_1"	"client_02_L02"	"F7"	2	"P_ILM_L2_B1_F7_2"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_F7_2"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_F7_02"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_F7_3_1"	"client_02_L02"	"F7"	3	"P_ILM_L2_B1_F7_3"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_F7_3"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_F7_03"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_M8_1_1"	"client_02_L02"	"M8"	1	"P_ILM_L2_B1_M8_1"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_M8_1"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_M8_01"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_M8_2_1"	"client_02_L02"	"M8"	2	"P_ILM_L2_B1_M8_2"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_M8_2"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_M8_02"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_02_L02_M8_3_1"	"client_02_L02"	"M8"	3	"P_ILM_L2_B1_M8_3"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	20180925	"B1_DDA_APT_QE-HFX_B1_M8_3"	"APT_QE-HFX_1"	"L02"	"TFQ"	"not_available"	20190702	"U_L2_M8_03"	"U_L2_01"	"L02"	"U"	"not_available"	20200509
"client_03_L05_L04_D5_1_1"	"client_03_L05_L04"	"D5"	1	"P_ILM_L5_B1_D5_1"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_D5_1"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_D5_01"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_D5_1_2"	"client_03_L05_L04"	"D5"	1	"R_ILM_L5_B2_D5_1"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_D5_1"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_D5_01"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_D5_2_1"	"client_03_L05_L04"	"D5"	2	"P_ILM_L5_B1_D5_2"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_D5_2"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_D5_02"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_D5_2_2"	"client_03_L05_L04"	"D5"	2	"R_ILM_L5_B2_D5_2"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_D5_2"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_D5_02"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_D5_3_1"	"client_03_L05_L04"	"D5"	3	"P_ILM_L5_B1_D5_3"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_D5_3"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_D5_03"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_D5_3_2"	"client_03_L05_L04"	"D5"	3	"R_ILM_L5_B2_D5_3"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_D5_3"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_D5_03"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_D6_1_1"	"client_03_L05_L04"	"D6"	1	"P_ILM_L5_B1_D6_1"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_D6_1"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_D6_01"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_D6_1_2"	"client_03_L05_L04"	"D6"	1	"R_ILM_L5_B2_D6_1"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_D6_1"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_D6_01"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_D6_2_1"	"client_03_L05_L04"	"D6"	2	"P_ILM_L5_B1_D6_2"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_D6_2"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_D6_02"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_D6_2_2"	"client_03_L05_L04"	"D6"	2	"R_ILM_L5_B2_D6_2"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_D6_2"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_D6_02"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_D6_3_1"	"client_03_L05_L04"	"D6"	3	"P_ILM_L5_B1_D6_3"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_D6_3"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_D6_03"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_D6_3_2"	"client_03_L05_L04"	"D6"	3	"R_ILM_L5_B2_D6_3"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_D6_3"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_D6_03"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_F7_1_1"	"client_03_L05_L04"	"F7"	1	"P_ILM_L5_B1_F7_1"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_F7_1"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_F7_01"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_F7_1_2"	"client_03_L05_L04"	"F7"	1	"R_ILM_L5_B2_F7_1"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_F7_1"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_F7_01"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_F7_2_1"	"client_03_L05_L04"	"F7"	2	"P_ILM_L5_B1_F7_2"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_F7_2"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_F7_02"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_F7_2_2"	"client_03_L05_L04"	"F7"	2	"R_ILM_L5_B2_F7_2"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_F7_2"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_F7_02"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_F7_3_1"	"client_03_L05_L04"	"F7"	3	"P_ILM_L5_B1_F7_3"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_F7_3"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_F7_03"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_F7_3_2"	"client_03_L05_L04"	"F7"	3	"R_ILM_L5_B2_F7_3"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_F7_3"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_F7_03"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_M8_1_1"	"client_03_L05_L04"	"M8"	1	"P_ILM_L5_B1_M8_1"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_M8_1"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_M8_01"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_M8_1_2"	"client_03_L05_L04"	"M8"	1	"R_ILM_L5_B2_M8_1"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_M8_1"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_M8_01"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_M8_2_1"	"client_03_L05_L04"	"M8"	2	"P_ILM_L5_B1_M8_2"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_M8_2"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_M8_02"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_M8_2_2"	"client_03_L05_L04"	"M8"	2	"R_ILM_L5_B2_M8_2"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_M8_2"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_M8_02"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
"client_03_L05_L04_M8_3_1"	"client_03_L05_L04"	"M8"	3	"P_ILM_L5_B1_M8_3"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	20190816	"B1_DDA_FDU_Lumos_B1_M8_3"	"FDU_Lumos_1"	"L05"	"TFF"	"not_available"	20180902	"T_L4_M8_03"	"T_L4_01"	"L04"	"T"	"not_available"	20200115
"client_03_L05_L04_M8_3_2"	"client_03_L05_L04"	"M8"	3	"R_ILM_L5_B2_M8_3"	"R_ILM_L5_B2"	"L05"	"ILM"	"R"	20200205	"B1_DDA_FDU_QE-HFX_B4_M8_3"	"FDU_QE-HFX_4"	"L05"	"TFQ"	"not_available"	20200704	"U_L5_M8_03"	"U_L5_01"	"L05"	"U"	"not_available"	20200601
