"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S11_20230414"	"Ref8537_S35_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"
"P0A8Y5"	20423700	34765500	32966400	21974800	18484800	22500700	36106000	34245800	33374000	38202400	33162500	34804300	31659900	32649400	35067100	32271700
"P02924"	9792940	2921450	4383860	9392700	9494440	10452400	3489190	3992760	4011350	4756510	3842440	3817820	3795920	4440650	4086840	2966280
"P50456"	6444630	6988090	6563490	6763710	5811240	6060640	6404020	5770620	6261460	5902070	5663530	6689920	6508490	6774570	6793790	6237620
"P0ADC1"	21555000	21256100	18649700	19775100	20971200	26840500	23554600	21859900	21240200	27288600	18388100	21738200	19495300	21553000	23341100	19961300
"P09152"	11908300	31582600	26823400	16406700	11529900	11732600	29844100	26488700	24431100	26647300	17935100	29558700	24932200	35007600	25073100	24570300
"P0A7J7"	501858000	726263000	721002000	542285000	524175000	535958000	706506000	754685000	733767000	814447000	772229000	725725000	742026000	714301000	723389000	734551000
"P0A6Y8"	329939000	365414000	301648000	326933000	332637000	379656000	403812000	393177000	363008000	427625000	322240000	404752000	364320000	377102000	413038000	370739000
"P0ACQ4"	20852400	20135200	20521800	20128500	19120600	14562400	18842800	19349000	19349500	14277500	20498400	18969900	22437800	19906200	17405500	18928700
"P32053"	5138440	5896620	6057580	4522180	5483410	4966730	5414370	5313780	5783610	4941080	6008170	5811050	5596570	6035090	6491740	5743940
"P08839"	126681000	429426000	444320000	156730000	127225000	124057000	440024000	447366000	425766000	401042000	422880000	450680000	465212000	459968000	375969000	486125000
"P0ADG4"	38988800	45736900	51434900	33525300	34008900	33906100	49754000	55383200	50839500	47250600	55744000	47998700	53818700	48016800	46663400	50662700
"P21165"	89239000	70613100	82990800	80982800	78073000	80456100	65543000	72422700	73584900	58858100	72748500	70792600	75640200	76594300	65000900	76255700
"P0A867"	131639000	120101000	143321000	161731000	115312000	102643000	116655000	136224000	128364000	95405600	135835000	134425000	147800000	130041000	111109000	142824000
"P0A9F6"	11632300	8804430	9629210	9820140	11046700	8802520	10553900	10433000	9422360	7486080	8757420	10627300	11054000	10994100	8808440	9706370
"Q59385"	35084200	30180300	28790800	32212200	24621800	36007800	27574000	26032100	37796500	29112100	29743400	31013300	26149200	27164400	79883800	36892400
"P36683"	575821000	228070000	219343000	513171000	516750000	589516000	200687000	198410000	243897000	204299000	246048000	218060000	204236000	200046000	258117000	195654000
