rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P00861,20.196632947070825,20.155832570280886,20.27819690408939,20.184853437585232,20.821479346961652,20.851821097244418,20.929506192791365,20.846160462779558,20.84462913176894,20.840325869488915,20.851267392490023,20.825570260986673,20.878430806116356,20.977529380183363,20.30773029428518
P00864,24.46547796137171,24.312258510594006,24.43845859472885,24.332493395521574,25.704739016581527,25.696288729821738,25.55873585972742,25.67315247252899,25.67344582395372,25.66458992658457,25.725721917570333,25.683312134181755,25.73532198347946,25.81994687412257,24.55282008607891
P00887,21.92320003411968,21.823452615241607,21.942621425138093,21.660745249019435,21.837143112349594,21.84390205468953,21.847353472047295,21.878252229263772,21.86351616037392,21.841394757706205,21.819783100257816,21.79933292609146,21.874272456257437,21.955957310047886,21.862835030430446
P00888,23.082307886004045,23.256210110996513,23.133794301849512,23.486168835497878,22.777008611192635,22.69945493420917,22.584452336109564,22.86366936475264,22.74064013671476,22.44611470391866,22.445632700565618,22.430101287499326,22.601707390758065,22.721601982605783,23.45212081178623
P00893,22.069525665896485,22.129322120969825,22.06682606647258,22.046330375765038,22.63834251633167,22.642327169634797,22.565974560090083,22.652271317486544,22.618003464385296,22.516026975682983,22.6471186778909,22.599102987019556,22.576803182118326,22.57552136764523,22.22278767665621
P00894,21.91591493269999,22.051919000689455,21.977475678181985,21.88823143923791,22.470549851342582,22.47193905263496,22.600357434008263,22.46168844803646,22.534501783443375,22.56674151465932,22.408995746391273,22.442917892689064,22.484061417134775,22.47006426697498,22.08174034963183
P00895,22.29934319273778,22.244968648153087,22.28907321538635,22.475290723112554,22.67365010113397,22.674308055846534,22.74030589586855,22.79348969145556,22.7072768145952,22.576180445798713,22.66073592635762,22.567301596713122,22.69754249934749,22.745346646363167,22.502658237729307
P00903,17.978330690819927,18.105514504051634,18.483220243651566,18.07855130273373,18.18919908727912,18.306794841374362,18.237468894445293,18.114788047539776,18.127177783374464,17.84305815511917,18.34939738948617,18.06628265967065,17.935120122401575,18.298604338851543,18.06866735775032
P00904,22.4362019830397,22.40774621800791,22.366103404633932,22.820703751975834,22.755046272705222,22.751726161854567,22.72136645121836,22.84645628934861,22.7751447659747,22.658670858364477,22.67838970495378,22.65727287782685,22.69907008731332,22.829437923815128,22.554104780104403
P00909,22.464052688900388,22.507755996356035,22.47895946072526,22.77627984755896,22.82436577194882,22.848886864756555,22.9271760234224,22.94928761692487,22.818572962621403,22.782209201200683,22.73055649734487,22.79052358632128,22.834037429362102,22.863428722614817,22.642581734814815
P00914,18.41009947391854,18.375844430484346,18.45590168193204,18.858331835712153,18.555366928359,18.671047762629307,18.407477626193284,18.670134972116955,18.687771157489387,18.228616646630627,18.59264925677655,18.62444302842228,18.46081352062494,18.411103648393983,18.416916476677187
P00926,18.724071576229726,18.6230425500143,18.648135854036514,18.919386550163882,19.19722264980198,19.19308430117449,19.19282184207053,19.219832818445017,19.12981512051386,19.253946616541814,19.217662933436316,19.17616778479521,19.179736964969493,19.164738004884914,18.83912260716397
P00934,25.74538543065932,25.708431876858217,25.809825975789426,25.951955682988945,25.309193364052174,25.31896462460044,25.302196249535296,25.238077908907414,25.251336049132085,25.232030301153966,25.282328003163634,25.29267148161381,25.322051252115532,25.24434404883491,25.632814642300303
P00935,22.757393602436068,22.731866524764477,22.816719860455002,22.595515413571274,22.59419934203708,22.57739307806322,22.38225882082632,22.543419068970778,22.6612071626319,22.516315314410868,22.61191160087251,22.605527693114237,22.671288341628014,22.732042745062042,22.61900997176519
P00936,20.39576437186254,20.291201415950717,20.309779549886184,20.409878069146618,21.463008001563562,21.363790682976816,21.276151527309597,21.346734901183346,21.320969946175445,21.30466233039073,21.373645327818814,21.297495495209407,21.35823430485312,21.53401829209619,20.44080043810943
P00946,23.3776997928994,23.293181729405404,23.325744717288945,23.220097734568235,22.952552145555856,22.943304664344645,22.974455763851168,22.954020603898336,22.937091914272933,22.946488468651744,22.886288651512377,22.84452142922274,23.017976502389278,22.98018975096756,23.238879382913627
P00954,23.033996384359412,22.920787062810582,22.977490008420283,22.88368384849968,23.2787536275218,23.292872694743387,23.304402547090184,23.295322276972925,23.18595461296035,23.319709779468347,23.212855718399894,23.20105477600824,23.239894528233783,23.23702163327944,22.954829166328317
P00956,24.796066014188757,24.621345644158264,24.792529847098812,24.29486910037227,24.156733101679595,24.131122757307885,23.9297844171141,24.206208775961812,24.129368778865903,24.04538861362633,24.139254133324293,24.14971020865721,24.152129660148756,24.20616334140049,24.67434048974431
P00957,23.611483295338793,23.523637923757235,23.60416501769084,23.568306727006735,23.811355062131668,23.792704467397805,23.65250862604755,23.794237051039374,23.75520951416621,23.685057939865438,23.801072323794138,23.74021224105696,23.800152910058884,23.79710971385797,23.597145451979316
P00959,23.365930361139302,23.24930670724914,23.311120755291295,23.180495668358976,23.623432464225225,23.630665052044634,23.519106984520263,23.593644173192725,23.612975405886754,23.536910586169125,23.63267167768946,23.60587296673219,23.663732758692273,23.660283040893418,23.35766346820033
P00960,22.958609280790412,22.96167678110602,22.97772140070991,22.80303431011403,22.97138913722622,22.99911460344618,23.0511956923416,23.01988491359888,23.02284496580978,23.08205230039931,23.03620933247904,22.990834381034546,22.971596175570113,23.027263728421964,23.11182136197811
P00961,24.124825767676455,24.068535479336077,24.145979526069553,24.097466534251147,24.109665751145336,24.13703813181413,24.018374359972256,24.11597180889673,24.08021245226461,24.040061049599935,24.09468461164215,24.09580511999269,24.064899967437718,24.07777683975307,24.134972910299545
P00962,23.024041997172787,22.98311690660331,23.05530378556355,22.888543266326018,23.230157487825277,23.26288106405605,23.142408631032453,23.252680646919135,23.298893354089394,23.173165188503894,23.227903707378477,23.2117367263568,23.234570920265774,23.2538594926671,23.067717789266943
P00963,22.872846834855288,22.963617169206316,22.99997381551499,22.612643750558483,23.484970012897314,23.580645536357764,23.293037755548184,23.471219942704785,23.41811326483863,23.11879890212996,23.11962871776806,23.251732246214154,23.222032215502608,23.238972766031033,22.872508428031672
P00968,24.52046541946858,24.57365783879819,24.562852536895615,24.544001926301217,25.08948360514354,25.144154041426994,24.737746940394004,25.07745350745482,25.038139723797247,24.83938162169482,24.953446787771895,24.94006566886808,24.95656185536005,24.98765000133828,24.601517890301782
P02358,25.291014987818787,25.702322861513043,25.417235342719728,25.322814369919463,25.73822179135549,25.87141281687826,25.958459573594247,25.628873994163797,25.919797134459557,25.833531712524724,25.795159867177908,25.858252667928532,25.792012066261986,25.75221738130704,25.437185487141605
P02359,25.97208727428729,26.17290754045871,26.18477528762473,25.97440156839005,26.42761015578857,26.52549861256471,26.568856753660796,26.556277514198634,26.450825364846025,26.485867389425735,26.449282319778362,26.540241802678246,26.499837776075502,26.38122770621299,26.0326547471522
P02413,25.256308812239418,25.301312838831777,25.323980952057184,25.280367321816477,25.837093666070082,25.82403579807523,25.89193640668681,25.845243360238094,25.755883367511167,25.780052470615907,25.734760571933613,25.744344361530047,25.734174130035854,25.76691385584749,25.375965430470572
