rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P00547	23.854774955824205	24.177372646236904	24.150448348898905	23.797282340591806	24.171614283267004	24.386126618381905	24.259941798452907	24.468000490997106	24.429439865190705	24.425742410245807	24.445487557695206	24.280338638067107	24.454057212667905	24.501976019764307	23.795619353207506	23.883782965523107	23.865208435903206	23.793309450576505	23.811871710687807	23.892680245513205	23.821235427407405	23.901148867516504	23.829660926568007	23.766599523256204
P00550	21.302500085446518	21.773919467573517	21.73907470634292	21.288142373222616	21.755622787649617	21.958976547865017	21.880798615882117	21.806328620185518	21.87807626481212	21.933965239383816	21.790592406729118	21.70498950165672	21.701471725197916	21.778977009585716	21.317605807814516	21.260610786815718	21.363020145179917	21.407494352662518	21.433224424884816	21.345557371787116	21.343383734178616	21.411818029109916	21.356717926886716	21.375205789989717
P00561	25.540623330538985	25.563166882483287	25.526621891332486	25.480468970401287	25.608874663403487	25.429091163073885	25.817707321011287	25.746939669302286	25.796473141663686	25.627068340662387	25.633022180695086	25.793269758188988	25.890193852791786	25.741291577548488	25.484155111076785	25.496568865583384	25.448744437039085	25.546741175691984	25.521018112845386	25.506808420040088	25.464714161229885	25.541169044606885	25.525301655802387	25.508872786510185
P00562	22.272426275518544	21.812620208068843	21.739866944129343	22.441465942300443	22.055773271820645	21.551225006978342	21.800838754179143	21.814875863164644	21.641091324470644	21.594356225018842	21.599894579099242	21.952146685856142	22.105388682891345	21.689349611566744	22.297727244270042	22.319480997297845	22.370907524821643	22.276366581224742	22.384866578091845	22.305021046187644	22.379921592057443	22.318794208055845	22.345590879321144	22.366348872839943
P00579	22.854337139110324	22.712086034256423	22.619798337961523	22.788170024427725	22.750538701873925	22.512554793898026	22.788214270054823	22.717927808001726	22.716862846865325	22.662534556376123	22.648154443231324	22.816679746538924	22.829857665814725	22.688005284119125	22.840126941271023	22.879720287053026	22.823956521176523	22.859006662279725	22.807133438536926	22.850323635139326	22.845395548621326	22.827225952060225	22.811486438602923	22.794729354118125
P00579;P13445	19.999072624145114	19.238323456047112	19.473459938325913	19.934029226049113	19.30056201527251	18.79085492574251	19.580173181128714	19.662030745643214	19.605632790082613	19.166385025011113	19.240551899298612	19.290777114572013	19.578670695318113	19.073874430535913	19.951911617474412	19.582051390857714	20.036001407284413	19.912692157806312	19.772893111991813	20.289577494564014	20.275405306699714	20.149813385331512	19.844366412125012	20.016307544884913
P00582	22.133051841646044	22.194086597898043	22.196385523109644	22.115347698447444	22.182867982374745	22.152628151972543	22.281198198163242	22.127255572772242	22.270727346807842	22.185601090160045	22.170980033155242	22.271958853243444	22.196605564122944	22.129117444045242	22.146866208422445	22.088735121043744	22.110987864221144	22.165693375279844	22.215427494079645	22.082243798512543	22.061067023426443	22.141333864413443	22.154258846341243	22.121151237262342
P00634	19.592739189067927	20.127531743090426	20.320412542814825	19.520636951595627	19.818450177959225	20.676515397055326	20.297863893033625	20.190435676901526	20.457744788347327	20.370809812385225	20.426121983985926	20.208567977986824	19.940682976983425	20.451486121672126	19.853307009943926	19.838939860325027	19.605953913325827	19.617283791997025	19.651655355687225	19.724223897402425	19.667128912356425	19.772892252859226	19.625948550456926	19.710381170720527
P00803	21.596617684772465	21.694091436632966	21.724492053224765	21.576145087027566	21.757243367740266	21.731585269021767	21.769101631699968	21.764762821447466	21.759404771904666	21.728410848577866	21.765145773442168	21.831847579598467	21.905659365593966	21.751864292578666	21.664530113359564	21.474890177346865	21.654049018277668	21.594965772092966	21.667214905550868	21.581096776300765	21.603261006332566	21.572028207598866	21.644589084772065	21.587788170019966
P00805	21.843535679565885	23.657074194542385	23.649759679098985	22.266851137474884	23.713574482113685	23.398887364729482	23.559710104128882	23.876012769066183	22.880198923068185	23.266317432275084	23.384770209360784	23.648842477905983	24.065579840610585	23.692376311576083	21.876889859545486	21.616492861063385	21.645832854888084	21.126281971234384	21.833320915157582	21.837884254416284	21.841536823714183	21.807086332996885	21.893744199765685	21.545675749103584
