rowname	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3
Platelet-activating factor acetylhydrolase IB subunit alpha	19.795224140948644	19.69502997408574	19.760767947704043	19.870287051609942	19.677132259884242	19.861601048992842	19.835915945457245	19.882413196157444	19.75547288714394	19.823578736704643	19.837638361322544	19.806587914836545
Leucine-rich PPR motif-containing protein, mitochondrial	20.30004791581913	20.18114199988363	20.249751715138327	20.07112740287753	20.372713294924228	20.083621309878428	20.350497338425427	20.09176352395143	20.36421344128483	20.085454296542228	20.270398290803328	20.15141823634863
U3 small nucleolar RNA-associated protein 15 homolog	18.7933067370315	19.2569456494887	19.463600415505702	18.8008225832343	19.078293008863703	18.6180144280141	18.8966895521596	18.858209767740505	17.7397357621154	17.7151370920175	18.864517077861002	
Striatin	18.673403309913823	18.601755389934524	18.006242104121124	18.868875507225024	18.518015741830123	18.969614077611023	18.852644386024924	19.085530903489225	18.800080649243625	19.045199716904225		18.692994944823724
Mannose-1-phosphate guanyltransferase alpha	18.7769767993813	19.169236780303	19.1792597368828	18.410641510290397	18.798766780660998	19.174184154004696	19.144222342363097	18.606002138352896	18.927694269816996	19.1474562625092	19.358038632055198	18.654620482443796
BRCA1-A complex subunit BRE	19.02820070033264	18.64928158622944	18.32804427903804	18.90714725935914	18.78571526333604	18.60011822674934	18.48884001098324	18.961191556056338	18.83830087652914	18.73475157588694	18.93758148459564	18.99839378565744
ADP-ribosylation factor-like protein 6-interacting protein 4	18.299391206701134			18.441363634347834	18.219337177927734	18.241973932481635	18.231758885348032	18.451482833005034	18.505857590199934	18.781370734254434	18.499679718289535	18.411229767036534
GEM-interacting protein	18.34125833541537	18.62257591413517	18.572541836495372	19.11223403545727		18.43982588288167	18.56303940074797	18.95170155737487	18.39118989858087	18.48949093174157	18.39093617450457	18.80051212440457
Plasminogen activator inhibitor 1 RNA-binding protein	20.4632869441732	20.305961978274	20.4893939618771	20.3089528098814	20.3646412254169	20.5141490271971	20.6072527631939	20.5265851661582	20.5404229054815	20.5318243232871	20.6350080355959	20.6335273265083
Heat shock protein 75 kDa, mitochondrial	20.638498696490483	20.411655361552583	20.531610317435383	20.155182497671383	20.585974121022282	20.457578184533784	20.516174280727483	20.306582394365485	20.690189318806983	20.423782258859482	20.608958940910785	20.189779451537785
Kynurenine--oxoglutarate transaminase 3	18.529793076862862	18.521339774107766	19.314617072235063	18.955038797373064	19.512460137340465	18.769540885553365	18.836539068083464	19.205387510502565	18.567782498863163	18.733683955239563	19.039041837483765	18.978911129792163
Treacle protein	19.56003339945861	19.47353094609531	19.67247920691221	19.58923787325981	19.58303536821731	19.56442961700211	19.44367771119901	19.383422540204908	19.50356729546281	19.49003702966141	19.41358033640191	19.26171390001961
Programmed cell death protein 10	18.69447037325687	19.06146995375027	19.44224018621877	19.66920528623237	18.95151760679357	19.52606730001137	19.55979608618727	19.46100912347287	19.174570163067568	18.875319611118368	19.335402392550467	19.129875075072068
Mitochondrial ribonuclease P protein 1	19.256005308086753	19.111685003662252	19.168572788362752	19.071911528496152	18.92494400138975	18.84418240527275	18.94912091601945	18.98363924851355	19.25647585619555	19.228818277003953	19.245170067199552	18.75241913428445
Tetratricopeptide repeat protein 37	18.449559928734452		18.49317298670295	18.905341879850955	18.414639661796752	18.661905313722254	18.797435787379253	18.564030509553454	18.74019459719875	18.511538813755653	18.90711861969435	18.772146845188153
F-box-like/WD repeat-containing protein TBL1XR1	18.61869650145095	18.11207599434255	18.31315424521035	19.631363724653948	18.647011916020748	18.41496534767845	17.68431844592815	18.42307810252305	18.738791313803848	18.36694668026845	18.264050722008747	18.445774306294048
Nucleophosmin	23.466593680054704	23.496129481019004	23.455871107414605	23.462742285035503	23.596077846286306	23.427240053034705	23.617954747062605	23.516340418544505	23.711611067379206	23.535642687169904	23.557766396948903	23.483874541604905
Cysteine desulfurase, mitochondrial	18.054574069953272	18.77200611877357	18.381612603924673	18.338017884677974	18.58991490182047	18.658908023701073	18.653421116902972	18.667069228573673	18.501061660969974	18.60925466673127	18.668825442029572	18.244311378835572
