"rowname"	"DDA_APT_D5_1"	"DDA_APT_D6_1"	"DDA_APT_F7_1"	"DDA_APT_M8_1"	"DDA_APT_D5_2"	"DDA_APT_D6_2"	"DDA_APT_F7_2"	"DDA_APT_M8_2"	"DDA_APT_D5_3"	"DDA_APT_D6_3"	"DDA_APT_F7_3"	"DDA_APT_M8_3"	"DIA_APT_D5_1"	"DIA_APT_D6_1"	"DIA_APT_F7_1"	"DIA_APT_M8_1"	"DIA_APT_D5_2"	"DIA_APT_D6_2"	"DIA_APT_F7_2"	"DIA_APT_M8_2"	"DIA_APT_D5_3"	"DIA_APT_D6_3"	"DIA_APT_F7_3"	"DIA_APT_M8_3"
"RuvB-like 1"	20.7055324320259	20.6958807358834	20.7025149798084	20.5619379644024	20.7524761974575	20.7323362752851	20.7677456072337	20.6674352792702	20.758141517562	20.7206637530333	20.7097917814602	20.6334149176877	21.064590422444	20.8816342954068	20.9393699081569	20.8692183183011	21.0969118604173	21.0323437014631	21.0166434051003	20.8551472527732	21.0416522680484	21.009788357435	21.031881782548	20.8916137421093
"RuvB-like 2"	20.1039510756682	19.9744677149089	19.9702166374346	19.8059374004922	20.1323698500359	19.9533749913092	20.011052996854	19.8780240486945	20.1307031124317	20.0057171834391	20.0217468188467	19.9143666177524	20.7004379850766	20.6189639735427	20.5793860480607	20.4561402073447	20.6254434623918	20.6425909221078	20.5703519150107	20.4871822478547	20.7337240225738	20.6510782368408	20.5731445792483	20.4807451615088
"RWD domain-containing protein 4"	17.1482262946317	17.4079478524866	17.3050731162719	17.2027025566763	17.1809712862676	17.2942484687186	17.2472544733196	17.2373057412575	16.9908694699223	17.6525925464806	17.0403779777209	NA	17.4423171407484	17.3804620588521	17.5140237143122	16.9316131720065	17.008396134714	17.2594611814745	17.143757382794	17.05358161416	17.1170260680883	16.9988419206031	17.0556594033515	17.317134735326
"S-adenosylmethionine synthase isoform type-2"	NA	18.7338933342777	19.052678326375	18.9278693452477	18.8693866009406	18.8309635945666	18.9311595395974	18.6212456105212	18.9115986488961	NA	18.892633036265	18.5923785703109	19.615230740909	19.4550090033978	19.339557374072	19.3799989975665	19.5131190198912	19.5100922038631	19.3459144118238	19.359274493858	19.7980364202629	19.5560071850334	19.5540837333767	19.349479726521
"S-formylglutathione hydrolase"	19.9277450690247	19.7334142388907	19.857441879451	20.0758107468363	19.9720659544899	19.8167026951968	19.993700302055	20.0461561530039	19.982885848267	19.8745226076187	19.9265289984228	20.0776939819206	20.2598868204102	20.0218267713706	20.0764300118883	19.804917100427	20.4156222934522	20.1222571755968	20.7521173674929	20.3929427642127	20.4005881292318	20.3939292304961	20.5762977137361	20.1539279712096
"S-methyl-5-thioadenosine phosphorylase"	18.5807162536623	18.4205722301	18.6052688725418	18.383603209902	18.6212779256918	18.5799822809823	18.4107848578877	18.0776869909818	19.0778783394069	18.3508932740726	18.3480386606182	18.5821958430694	18.9590478818816	18.7345974233368	18.9280116477183	18.5773226711635	18.8956265797088	18.5801730393123	18.7068834640635	18.7566243236343	18.9802696005652	18.7649827672592	18.6310947409731	18.912446923387
"S-phase kinase-associated protein 1"	19.3659752577241	19.3664024483012	19.3684571892118	19.2226068543484	19.283814082452	19.2744210628579	19.4335216450909	19.4909797941175	19.3662464481314	19.4037675480516	19.3986586177249	19.4270419481751	19.8561867519105	19.5859292863664	19.6051880301421	19.8661879701364	19.9269978705632	19.7248618599562	19.8597425645071	19.8414742869707	19.6458010922352	19.8511429460585	20.0496264137599	19.7324898163285
"S1 RNA-binding domain-containing protein 1"	18.0357269220275	NA	NA	NA	NA	17.1869260212789	NA	NA	NA	NA	NA	NA	17.6190562736476	17.3068084497494	17.6277874362167	19.7078233711735	18.8684972553056	18.7797343643983	16.9325812683646	15.8746524565966	17.7178972260386	18.3229568882443	16.9315080835244	16.8594029839026
"Saccharopine dehydrogenase-like oxidoreductase"	18.4327648662798	18.2352449259422	18.4735501688106	18.1899693311131	18.7547166204667	18.5358579311251	18.0296376306418	18.1386267571031	18.5609924123382	18.4482134145756	18.5658506170126	NA	18.4779774789332	18.2110637229858	18.2476821844514	18.147569575569	18.4451458519068	18.3867745348332	18.3256252951987	18.0681101081983	18.4134499976166	18.3514380803083	18.3410136737692	18.0061556015739
"SAFB-like transcription modulator"	18.6684338589576	18.5449431669405	18.6365067329712	18.6417154470843	18.6098288549575	18.4894735421463	18.4844503052403	18.6327625033958	18.6444900984491	18.6148726729413	18.687937252689	18.4815268238635	18.9661473397495	18.6082122324767	18.8020282384455	19.0296755841559	18.9189786838889	18.9223975629026	18.9156334603254	19.2157430571004	19.1574753303879	18.7976170687066	18.8852924542122	18.9380449279995
"SAM and SH3 domain-containing protein 3"	19.3870799903532	19.3039025111203	19.3579974509435	19.6537971846114	19.4477345001933	19.1857733323462	19.4716639346309	19.6091308165442	19.4064530452306	19.33471227618	19.3658788841078	19.5008600346754	19.8243570243046	19.90398204413	19.9612412059092	19.9202803653794	19.8133334498114	19.6371298411284	19.9139600001865	20.0339937318745	19.916984980932	19.973654917673	19.8712920197932	19.974090327314
"SAM domain-containing protein SAMSN-1"	16.9416987574841	17.2263020931587	17.5068677235016	NA	17.4170901883599	17.5419862360421	17.6598552710595	NA	17.6120320686783	17.2023395234556	17.7177207307214	NA	18.1663115650756	17.5333894778728	18.3109140739477	17.2790318564899	17.8707656724345	18.1702413902368	18.4447851981113	17.3915410347327	17.9682416625332	17.5535096173148	18.2527214802962	17.1435521858381
"SAP domain-containing ribonucleoprotein"	20.1735066910115	20.1277738849465	20.102845532767	20.1837647525885	20.2205268107544	19.9950524836696	20.0793994661636	20.2220967642497	20.2194541068535	20.2741537565685	20.10466099673	20.2151117708109	20.8776598123725	20.7220259211051	20.7685908745213	20.8427027558714	20.8595361792345	20.7010952999717	20.680929659703	20.837443982847	20.8305704293478	20.7675127736818	20.7199490515993	20.7300596254124
"SAP30-binding protein"	NA	NA	NA	NA	19.1088406369267	19.2583646342494	NA	19.10148953474	19.2879548359231	19.2567687424245	NA	NA	18.455172977159	17.9891162539196	17.9033601974733	NA	18.1710939607853	17.9242578785672	17.3785647043855	18.024865553855	18.5284211261761	17.5307644492076	17.0149835378277	17.915702121556
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"	19.0423853729861	19.1311443282333	19.5160099822949	18.8767549831631	19.2184187544905	19.2512951273632	19.4664344310232	18.7999853069322	19.1163487790849	19.3340878664476	19.4548798846378	19.0243249177243	19.3979961827392	19.7324848815938	19.868547910338	19.2881524193709	19.4711586896022	19.655815459626	19.9296310906525	19.1579087891106	19.5578347869755	19.679183548479	19.9676292541318	19.3546443338392
"Scaffold attachment factor B1"	19.5952155517746	19.3592031546224	19.4732574084472	19.5810540270767	19.5610703774271	19.5066595245565	19.2912503121248	19.461232890573	19.5487976274159	19.4111107428546	19.5078555917782	19.5254620393546	19.5839408128498	19.3895199558518	19.1217810559696	19.5266001993526	19.4497323016447	19.5097887896705	19.2916632791612	19.6534272602685	19.5975275216544	19.5144670474405	19.4170273523384	19.378802969159
"Scaffold attachment factor B2"	17.9638078479228	18.1697760711503	18.2197523061278	18.3794486655834	18.129707927729	18.3879206603062	18.3560107781531	18.044768707568	18.171464808104	18.1199591001036	18.1932164387498	18.1420049105233	18.2757985030329	18.2632262661976	17.863038584441	18.4270804076366	18.1422595470256	18.3759168534083	18.2350659130647	18.1394546008455	18.2226064732857	18.1214885377586	18.1633797113886	18.4226007356088
"Scavenger receptor class B member 1"	19.3648066507856	NA	NA	18.8435238716101	18.716410499176	18.3536355513072	18.6109530862526	NA	18.7078048760614	18.157715800807	18.6047760093893	18.9022811210489	18.7658573161433	17.9833851990569	18.0332908091841	19.0521013891796	18.8505479701071	18.9230787317734	18.324763716871	18.9381682027203	17.8023838314559	18.5678601517839	18.5002871235489	19.1007369124962
"Schlafen family member 5"	19.3014258220776	18.6052499070982	19.2320919222691	NA	19.2626322446583	19.9140107062095	19.1602804907183	NA	19.3095860887806	19.1875880462145	19.3077965414234	NA	19.4578129596798	19.0106782271675	19.558640110193	15.3000120841354	19.0752960653976	19.1945123340849	19.472531661265	18.1366773627599	19.3029040552725	19.2140808859273	19.4152411303725	18.2336132650805
"SCY1-like protein 2"	17.5093501818718	17.71532397757	NA	17.8659738047996	17.5386821738989	17.4881262931973	17.7912686469482	17.9643864485664	17.5144747460022	NA	NA	18.072956469927	17.5083256831581	17.9418056258527	18.6318116959058	18.5427675483548	17.5170231771096	18.6433121436664	18.7294917025212	17.9366919382296	17.0402794214557	18.3422470269671	17.8157452810679	17.5238240316921
"Sec1 family domain-containing protein 1"	18.7526795208148	18.8187407360324	19.0758804039334	18.6815609704599	18.7663618648115	18.9226188329277	18.9831901297415	18.8327415834801	18.6533900701381	18.8372643918502	18.9004875647743	18.8136719119276	18.7776474305676	18.8899205036558	18.9762361996954	18.7432319593586	18.6888379812061	18.9618318786272	19.0133602978807	18.8969869593134	18.7261410439919	19.0004828232993	19.0861331409708	18.8746631711744
"Sec1 family domain-containing protein 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.3359585760395	19.3601819696027	18.5336003222585	18.1367316971693	17.6522642536247	18.4626539706859	18.5416588090744	17.1924306118692	16.66587803455	17.5633871757145	18.7118014677867	17.3903052193771
"SEC23-interacting protein"	18.7367800248613	18.7199514762629	18.8455457900414	18.5447031871423	18.7312919989478	18.70099556194	18.7925573767562	18.869650450189	18.8453769984068	18.8133984062298	18.7086334641876	18.8453178545917	18.8274365350995	18.891345479721	18.7695623680958	18.8518182454281	18.2532055368118	18.9441738169086	18.9022585926444	18.7405193356679	18.6823880540231	19.0076892013035	18.6685722469807	19.0475094316593
